date,average
1980-12,0.105
1981-01,0.109
1981-02,0.091
1981-03,0.085
1981-04,0.094
1981-05,0.1
1981-06,0.106
1981-07,0.084
1981-08,0.077
1981-09,0.062
1981-10,0.064
1981-11,0.064
1981-12,0.069
1982-01,0.068
1982-02,0.065
1982-03,0.057
1982-04,0.056
1982-05,0.051
1982-06,0.045
1982-07,0.044
1982-08,0.05
1982-09,0.063
1982-10,0.08
1982-11,0.104
1982-12,0.107
1983-01,0.116
1983-02,0.154
1983-03,0.149
1983-04,0.157
1983-05,0.188
1983-06,0.192
1983-07,0.15
1983-08,0.115
1983-09,0.104
1983-10,0.073
1983-11,0.071
1983-12,0.079
1984-01,0.094
1984-02,0.087
1984-03,0.09
1984-04,0.091
1984-05,0.107
1984-06,0.098
1984-07,0.089
1984-08,0.096
1984-09,0.092
1984-10,0.085
1984-11,0.083
1984-12,0.093
1985-01,0.101
1985-02,0.097
1985-03,0.078
1985-04,0.074
1985-05,0.068
1985-06,0.056
1985-07,0.059
1985-08,0.052
1985-09,0.054
1985-10,0.058
1985-11,0.067
1985-12,0.072
1986-01,0.079
1986-02,0.085
1986-03,0.09
1986-04,0.099
1986-05,0.12
1986-06,0.124
1986-07,0.117
1986-08,0.119
1986-09,0.118
1986-10,0.115
1986-11,0.126
1986-12,0.144
1987-01,0.168
1987-02,0.208
1987-03,0.228
1987-04,0.248
1987-05,0.268
1987-06,0.276
1987-07,0.284
1987-08,0.339
1987-09,0.367
1987-10,0.317
1987-11,0.252
1987-12,0.26
1988-01,0.29
1988-02,0.285
1988-03,0.305
1988-04,0.281
1988-05,0.279
1988-06,0.31
1988-07,0.31
1988-08,0.293
1988-09,0.289
1988-10,0.276
1988-11,0.263
1988-12,0.279
1989-01,0.287
1989-02,0.261
1989-03,0.244
1989-04,0.269
1989-05,0.311
1989-06,0.318
1989-07,0.281
1989-08,0.3
1989-09,0.315
1989-10,0.329
1989-11,0.315
1989-12,0.268
1990-01,0.246
1990-02,0.239
1990-03,0.273
1990-04,0.289
1990-05,0.29
1990-06,0.287
1990-07,0.311
1990-08,0.272
1990-09,0.234
1990-10,0.206
1990-11,0.251
1990-12,0.297
1991-01,0.35
1991-02,0.417
1991-03,0.466
1991-04,0.463
1991-05,0.346
1991-06,0.314
1991-07,0.324
1991-08,0.373
1991-09,0.361
1991-10,0.366
1991-11,0.37
1991-12,0.37
1992-01,0.451
1992-02,0.47
1992-03,0.457
1992-04,0.415
1992-05,0.437
1992-06,0.364
1992-07,0.334
1992-08,0.322
1992-09,0.341
1992-10,0.343
1992-11,0.406
1992-12,0.422
1993-01,0.442
1993-02,0.407
1993-03,0.397
1993-04,0.362
1993-05,0.405
1993-06,0.328
1993-07,0.231
1993-08,0.204
1993-09,0.184
1993-10,0.195
1993-11,0.236
1993-12,0.218
1994-01,0.236
1994-02,0.265
1994-03,0.263
1994-04,0.231
1994-05,0.227
1994-06,0.198
1994-07,0.213
1994-08,0.256
1994-09,0.26
1994-10,0.298
1994-11,0.298
1994-12,0.281
1995-01,0.316
1995-02,0.309
1995-03,0.279
1995-04,0.279
1995-05,0.312
1995-06,0.339
