date,average,ticker,industry
2000-01,4178.728,005930.KS,Tech
2000-02,3800.555,005930.KS,Tech
2000-03,4349.883,005930.KS,Tech
2000-04,4608.673,005930.KS,Tech
2000-05,4557.937,005930.KS,Tech
2000-06,5083.47,005930.KS,Tech
2000-07,5120.115,005930.KS,Tech
2000-08,4419.865,005930.KS,Tech
2000-09,3304.079,005930.KS,Tech
2000-10,2371.187,005930.KS,Tech
2000-11,2414.36,005930.KS,Tech
2000-12,2414.015,005930.KS,Tech
2001-01,2914.633,005930.KS,Tech
2001-02,2927.321,005930.KS,Tech
2001-03,2838.834,005930.KS,Tech
2001-04,2981.957,005930.KS,Tech
2001-05,3256.659,005930.KS,Tech
2001-06,2953.647,005930.KS,Tech
2001-07,2595.948,005930.KS,Tech
2001-08,2807.769,005930.KS,Tech
2001-09,2417.623,005930.KS,Tech
2001-10,2347.531,005930.KS,Tech
2001-11,2989.772,005930.KS,Tech
2001-12,3776.041,005930.KS,Tech
2002-01,4470.617,005930.KS,Tech
2002-02,4797.907,005930.KS,Tech
2002-03,5072.124,005930.KS,Tech
2002-04,5671.406,005930.KS,Tech
2002-05,5247.978,005930.KS,Tech
2002-06,5004.541,005930.KS,Tech
2002-07,4969.944,005930.KS,Tech
2002-08,4741.057,005930.KS,Tech
2002-09,4727.906,005930.KS,Tech
2002-10,4547.219,005930.KS,Tech
2002-11,5260.633,005930.KS,Tech
2002-12,5169.815,005930.KS,Tech
2003-01,4637.69,005930.KS,Tech
2003-02,4155.527,005930.KS,Tech
2003-03,4270.79,005930.KS,Tech
2003-04,4266.16,005930.KS,Tech
2003-05,4539.037,005930.KS,Tech
2003-06,5055.552,005930.KS,Tech
2003-07,5825.168,005930.KS,Tech
2003-08,6180.734,005930.KS,Tech
2003-09,6233.307,005930.KS,Tech
2003-10,6439.87,005930.KS,Tech
2003-11,6726.856,005930.KS,Tech
2003-12,6536.33,005930.KS,Tech
2004-01,7292.844,005930.KS,Tech
2004-02,7824.558,005930.KS,Tech
2004-03,7914.209,005930.KS,Tech
2004-04,8716.875,005930.KS,Tech
2004-05,7403.968,005930.KS,Tech
2004-06,6749.399,005930.KS,Tech
2004-07,6180.906,005930.KS,Tech
2004-08,6283.07,005930.KS,Tech
2004-09,6646.905,005930.KS,Tech
2004-10,6540.834,005930.KS,Tech
2004-11,6443.896,005930.KS,Tech
2004-12,6240.328,005930.KS,Tech
2005-01,6778.368,005930.KS,Tech
2005-02,7430.502,005930.KS,Tech
2005-03,7321.573,005930.KS,Tech
2005-04,7130.872,005930.KS,Tech
2005-05,6980.091,005930.KS,Tech
2005-06,7112.574,005930.KS,Tech
2005-07,7814.475,005930.KS,Tech
2005-08,8109.022,005930.KS,Tech
2005-09,8527.049,005930.KS,Tech
2005-10,8295.069,005930.KS,Tech
2005-11,8763.013,005930.KS,Tech
2005-12,9105.725,005930.KS,Tech
2006-01,10056.555,005930.KS,Tech
2006-02,9958.329,005930.KS,Tech
2006-03,9154.532,005930.KS,Tech
2006-04,9492.133,005930.KS,Tech
2006-05,9279.043,005930.KS,Tech
