date,average,ticker,industry
1980-12,0.105,AAPL,Tech
1981-01,0.109,AAPL,Tech
1981-02,0.091,AAPL,Tech
1981-03,0.085,AAPL,Tech
1981-04,0.094,AAPL,Tech
1981-05,0.1,AAPL,Tech
1981-06,0.106,AAPL,Tech
1981-07,0.084,AAPL,Tech
1981-08,0.077,AAPL,Tech
1981-09,0.062,AAPL,Tech
1981-10,0.064,AAPL,Tech
1981-11,0.064,AAPL,Tech
1981-12,0.069,AAPL,Tech
1982-01,0.068,AAPL,Tech
1982-02,0.065,AAPL,Tech
1982-03,0.057,AAPL,Tech
1982-04,0.056,AAPL,Tech
1982-05,0.051,AAPL,Tech
1982-06,0.045,AAPL,Tech
1982-07,0.044,AAPL,Tech
1982-08,0.05,AAPL,Tech
1982-09,0.063,AAPL,Tech
1982-10,0.08,AAPL,Tech
1982-11,0.104,AAPL,Tech
1982-12,0.107,AAPL,Tech
1983-01,0.116,AAPL,Tech
1983-02,0.154,AAPL,Tech
1983-03,0.149,AAPL,Tech
1983-04,0.157,AAPL,Tech
1983-05,0.188,AAPL,Tech
1983-06,0.192,AAPL,Tech
1983-07,0.15,AAPL,Tech
1983-08,0.115,AAPL,Tech
1983-09,0.104,AAPL,Tech
1983-10,0.073,AAPL,Tech
1983-11,0.071,AAPL,Tech
1983-12,0.079,AAPL,Tech
1984-01,0.094,AAPL,Tech
1984-02,0.087,AAPL,Tech
1984-03,0.09,AAPL,Tech
1984-04,0.091,AAPL,Tech
1984-05,0.107,AAPL,Tech
1984-06,0.098,AAPL,Tech
1984-07,0.089,AAPL,Tech
1984-08,0.096,AAPL,Tech
1984-09,0.092,AAPL,Tech
1984-10,0.085,AAPL,Tech
1984-11,0.083,AAPL,Tech
1984-12,0.093,AAPL,Tech
1985-01,0.101,AAPL,Tech
1985-02,0.097,AAPL,Tech
1985-03,0.078,AAPL,Tech
1985-04,0.074,AAPL,Tech
1985-05,0.068,AAPL,Tech
1985-06,0.056,AAPL,Tech
1985-07,0.059,AAPL,Tech
1985-08,0.052,AAPL,Tech
1985-09,0.054,AAPL,Tech
1985-10,0.058,AAPL,Tech
1985-11,0.067,AAPL,Tech
1985-12,0.072,AAPL,Tech
1986-01,0.079,AAPL,Tech
1986-02,0.085,AAPL,Tech
1986-03,0.09,AAPL,Tech
1986-04,0.099,AAPL,Tech
1986-05,0.12,AAPL,Tech
1986-06,0.124,AAPL,Tech
1986-07,0.117,AAPL,Tech
1986-08,0.119,AAPL,Tech
1986-09,0.118,AAPL,Tech
1986-10,0.115,AAPL,Tech
1986-11,0.126,AAPL,Tech
1986-12,0.144,AAPL,Tech
1987-01,0.168,AAPL,Tech
1987-02,0.208,AAPL,Tech
1987-03,0.228,AAPL,Tech
1987-04,0.248,AAPL,Tech
1987-05,0.268,AAPL,Tech
1987-06,0.276,AAPL,Tech
1987-07,0.284,AAPL,Tech
1987-08,0.339,AAPL,Tech
1987-09,0.367,AAPL,Tech
1987-10,0.317,AAPL,Tech
1987-11,0.252,AAPL,Tech
1987-12,0.26,AAPL,Tech
1988-01,0.29,AAPL,Tech
1988-02,0.285,AAPL,Tech
1988-03,0.305,AAPL,Tech
1988-04,0.281,AAPL,Tech
1988-05,0.279,AAPL,Tech
1988-06,0.31,AAPL,Tech
1988-07,0.31,AAPL,Tech
1988-08,0.293,AAPL,Tech
1988-09,0.289,AAPL,Tech
1988-10,0.276,AAPL,Tech
1988-11,0.263,AAPL,Tech
1988-12,0.279,AAPL,Tech
1989-01,0.287,AAPL,Tech
1989-02,0.261,AAPL,Tech
1989-03,0.244,AAPL,Tech
1989-04,0.269,AAPL,Tech
1989-05,0.311,AAPL,Tech
1989-06,0.318,AAPL,Tech
1989-07,0.281,AAPL,Tech
1989-08,0.3,AAPL,Tech
1989-09,0.315,AAPL,Tech
1989-10,0.329,AAPL,Tech
1989-11,0.315,AAPL,Tech
1989-12,0.268,AAPL,Tech
1990-01,0.246,AAPL,Tech
1990-02,0.239,AAPL,Tech
1990-03,0.273,AAPL,Tech
1990-04,0.289,AAPL,Tech
1990-05,0.29,AAPL,Tech
1990-06,0.287,AAPL,Tech
1990-07,0.311,AAPL,Tech
1990-08,0.272,AAPL,Tech
1990-09,0.234,AAPL,Tech
1990-10,0.206,AAPL,Tech
1990-11,0.251,AAPL,Tech
1990-12,0.297,AAPL,Tech
1991-01,0.35,AAPL,Tech
1991-02,0.417,AAPL,Tech
1991-03,0.466,AAPL,Tech
1991-04,0.463,AAPL,Tech
1991-05,0.346,AAPL,Tech
1991-06,0.314,AAPL,Tech
1991-07,0.324,AAPL,Tech
1991-08,0.373,AAPL,Tech
1991-09,0.361,AAPL,Tech
1991-10,0.366,AAPL,Tech
1991-11,0.37,AAPL,Tech
1991-12,0.37,AAPL,Tech
1992-01,0.451,AAPL,Tech
1992-02,0.47,AAPL,Tech
1992-03,0.457,AAPL,Tech
1992-04,0.415,AAPL,Tech
1992-05,0.437,AAPL,Tech
1992-06,0.364,AAPL,Tech
1992-07,0.334,AAPL,Tech
1992-08,0.322,AAPL,Tech
1992-09,0.341,AAPL,Tech
1992-10,0.343,AAPL,Tech
1992-11,0.406,AAPL,Tech
1992-12,0.422,AAPL,Tech
1993-01,0.442,AAPL,Tech
1993-02,0.407,AAPL,Tech
1993-03,0.397,AAPL,Tech
1993-04,0.362,AAPL,Tech
1993-05,0.405,AAPL,Tech
1993-06,0.328,AAPL,Tech
1993-07,0.231,AAPL,Tech
1993-08,0.204,AAPL,Tech
1993-09,0.184,AAPL,Tech
1993-10,0.195,AAPL,Tech
1993-11,0.236,AAPL,Tech
1993-12,0.218,AAPL,Tech
1994-01,0.236,AAPL,Tech
1994-02,0.265,AAPL,Tech
1994-03,0.263,AAPL,Tech
1994-04,0.231,AAPL,Tech
1994-05,0.227,AAPL,Tech
1994-06,0.198,AAPL,Tech
1994-07,0.213,AAPL,Tech
1994-08,0.256,AAPL,Tech
1994-09,0.26,AAPL,Tech
1994-10,0.298,AAPL,Tech
1994-11,0.298,AAPL,Tech
1994-12,0.281,AAPL,Tech
1995-01,0.316,AAPL,Tech
1995-02,0.309,AAPL,Tech
1995-03,0.279,AAPL,Tech
1995-04,0.279,AAPL,Tech
1995-05,0.312,AAPL,Tech
1995-06,0.339,AAPL,Tech
1995-07,0.35,AAPL,Tech
1995-08,0.33,AAPL,Tech
1995-09,0.299,AAPL,Tech
1995-10,0.268,AAPL,Tech
1995-11,0.294,AAPL,Tech
1995-12,0.269,AAPL,Tech
1996-01,0.241,AAPL,Tech
1996-02,0.215,AAPL,Tech
1996-03,0.192,AAPL,Tech
1996-04,0.189,AAPL,Tech
1996-05,0.199,AAPL,Tech
1996-06,0.175,AAPL,Tech
1996-07,0.15,AAPL,Tech
1996-08,0.173,AAPL,Tech
1996-09,0.169,AAPL,Tech
1996-10,0.183,AAPL,Tech
1996-11,0.189,AAPL,Tech
1996-12,0.178,AAPL,Tech
1997-01,0.133,AAPL,Tech
1997-02,0.123,AAPL,Tech
1997-03,0.126,AAPL,Tech
1997-04,0.138,AAPL,Tech
1997-05,0.128,AAPL,Tech
1997-06,0.12,AAPL,Tech
1997-07,0.117,AAPL,Tech
1997-08,0.176,AAPL,Tech
1997-09,0.166,AAPL,Tech
1997-10,0.152,AAPL,Tech
1997-11,0.137,AAPL,Tech
1997-12,0.109,AAPL,Tech
1998-01,0.14,AAPL,Tech
1998-02,0.151,AAPL,Tech
1998-03,0.195,AAPL,Tech
1998-04,0.205,AAPL,Tech
1998-05,0.219,AAPL,Tech
1998-06,0.208,AAPL,Tech
1998-07,0.255,AAPL,Tech
1998-08,0.291,AAPL,Tech
1998-09,0.281,AAPL,Tech
1998-10,0.27,AAPL,Tech
1998-11,0.27,AAPL,Tech
