date,average,ticker,industry
2013-01,22.153,ABBV,Health
2013-02,23.101,ABBV,Health
2013-03,23.921,ABBV,Health
2013-04,26.941,ABBV,Health
2013-05,28.414,ABBV,Health
2013-06,27.039,ABBV,Health
2013-07,27.819,ABBV,Health
2013-08,27.817,ABBV,Health
2013-09,28.752,ABBV,Health
2013-10,30.18,ABBV,Health
2013-11,30.937,ABBV,Health
2013-12,33.327,ABBV,Health
2014-01,32.011,ABBV,Health
2014-02,32.29,ABBV,Health
2014-03,33.457,ABBV,Health
2014-04,32.423,ABBV,Health
2014-05,34.434,ABBV,Health
2014-06,35.537,ABBV,Health
2014-07,35.87,ABBV,Health
2014-08,35.523,ABBV,Health
2014-09,37.842,ABBV,Health
2014-10,37.835,ABBV,Health
2014-11,42.96,ABBV,Health
2014-12,44.509,ABBV,Health
2015-01,42.46,ABBV,Health
2015-02,39.253,ABBV,Health
2015-03,38.974,ABBV,Health
2015-04,41.626,ABBV,Health
2015-05,43.989,ABBV,Health
2015-06,45.735,ABBV,Health
2015-07,46.931,ABBV,Health
2015-08,45.419,ABBV,Health
2015-09,39.531,ABBV,Health
2015-10,37.152,ABBV,Health
2015-11,41.885,ABBV,Health
2015-12,39.062,ABBV,Health
2016-01,38.752,ABBV,Health
2016-02,37.549,ABBV,Health
2016-03,38.908,ABBV,Health
2016-04,41.558,ABBV,Health
2016-05,42.963,ABBV,Health
2016-06,42.671,ABBV,Health
2016-07,44.834,ABBV,Health
2016-08,46.499,ABBV,Health
2016-09,44.899,ABBV,Health
2016-10,43.365,ABBV,Health
2016-11,42.695,ABBV,Health
2016-12,43.684,ABBV,Health
2017-01,44.2,ABBV,Health
2017-02,43.851,ABBV,Health
2017-03,46.638,ABBV,Health
2017-04,46.663,ABBV,Health
2017-05,47.87,ABBV,Health
2017-06,50.999,ABBV,Health
2017-07,52.693,ABBV,Health
2017-08,52.222,ABBV,Health
2017-09,62.169,ABBV,Health
2017-10,67.318,ABBV,Health
2017-11,69.401,ABBV,Health
2017-12,71.14,ABBV,Health
2018-01,77.833,ABBV,Health
2018-02,85.102,ABBV,Health
2018-03,81.258,ABBV,Health
2018-04,69.336,ABBV,Health
2018-05,76.857,ABBV,Health
2018-06,72.538,ABBV,Health
2018-07,70.592,ABBV,Health
2018-08,73.012,ABBV,Health
2018-09,70.957,ABBV,Health
2018-10,67.4,ABBV,Health
2018-11,66.698,ABBV,Health
2018-12,67.052,ABBV,Health
2019-01,65.959,ABBV,Health
2019-02,61.742,ABBV,Health
2019-03,61.598,ABBV,Health
2019-04,62.922,ABBV,Health
2019-05,61.734,ABBV,Health
2019-06,59.613,ABBV,Health
2019-07,55.156,ABBV,Health
2019-08,52.107,ABBV,Health
2019-09,56.163,ABBV,Health
2019-10,60.752,ABBV,Health
2019-11,69.398,ABBV,Health
2019-12,71.215,ABBV,Health
2020-01,70.76,ABBV,Health
2020-02,74.449,ABBV,Health
2020-03,64.133,ABBV,Health
2020-04,66.279,ABBV,Health
2020-05,73.624,ABBV,Health
2020-06,78.751,ABBV,Health
2020-07,82.13,ABBV,Health
2020-08,79.404,ABBV,Health
2020-09,75.25,ABBV,Health
2020-10,72.21,ABBV,Health
2020-11,83.574,ABBV,Health
2020-12,89.489,ABBV,Health
2021-01,92.99,ABBV,Health
2021-02,91.291,ABBV,Health
2021-03,91.819,ABBV,Health
2021-04,94.385,ABBV,Health
2021-05,100.69,ABBV,Health
2021-06,99.222,ABBV,Health
2021-07,102.703,ABBV,Health
2021-08,103.571,ABBV,Health
2021-09,95.443,ABBV,Health
2021-10,97.091,ABBV,Health
2021-11,104.166,ABBV,Health
2021-12,114.109,ABBV,Health
2022-01,121.409,ABBV,Health
2022-02,129.497,ABBV,Health
2022-03,140.119,ABBV,Health
2022-04,146.029,ABBV,Health
2022-05,137.684,ABBV,Health
2022-06,133.028,ABBV,Health
2022-07,137.892,ABBV,Health
2022-08,128.234,ABBV,Health
2022-09,129.172,ABBV,Health
2022-10,133.347,ABBV,Health
2022-11,141.421,ABBV,Health
2022-12,151.278,ABBV,Health
2023-01,143.276,ABBV,Health
2023-02,140.217,ABBV,Health
2023-03,144.928,ABBV,Health
2023-04,151.076,ABBV,Health
2023-05,136.781,ABBV,Health
2023-06,128.558,ABBV,Health
2023-07,132.798,ABBV,Health
2023-08,142.621,ABBV,Health
2023-09,144.388,ABBV,Health
2023-10,140.844,ABBV,Health
2023-11,134.709,ABBV,Health
2023-12,146.105,ABBV,Health
2024-01,158.517,ABBV,Health
2024-02,170.302,ABBV,Health
2024-03,174.611,ABBV,Health
2024-04,164.299,ABBV,Health
2024-05,158.214,ABBV,Health
2024-06,165.766,ABBV,Health
2024-07,171.218,ABBV,Health
2024-08,191.306,ABBV,Health
2024-09,193.035,ABBV,Health
2024-10,191.457,ABBV,Health
