date,average,ticker,industry
1986-08,0.202,ADBE,Tech
1986-09,0.243,ADBE,Tech
1986-10,0.276,ADBE,Tech
1986-11,0.332,ADBE,Tech
1986-12,0.36,ADBE,Tech
1987-01,0.464,ADBE,Tech
1987-02,0.601,ADBE,Tech
1987-03,0.887,ADBE,Tech
1987-04,1.205,ADBE,Tech
1987-05,1.479,ADBE,Tech
1987-06,1.105,ADBE,Tech
1987-07,0.979,ADBE,Tech
1987-08,1.037,ADBE,Tech
1987-09,1.056,ADBE,Tech
1987-10,0.939,ADBE,Tech
1987-11,0.696,ADBE,Tech
1987-12,0.795,ADBE,Tech
1988-01,0.806,ADBE,Tech
1988-02,0.788,ADBE,Tech
1988-03,0.929,ADBE,Tech
1988-04,0.979,ADBE,Tech
1988-05,1.011,ADBE,Tech
1988-06,1.138,ADBE,Tech
1988-07,1.238,ADBE,Tech
1988-08,1.128,ADBE,Tech
1988-09,1.194,ADBE,Tech
1988-10,1.334,ADBE,Tech
1988-11,1.281,ADBE,Tech
1988-12,1.367,ADBE,Tech
1989-01,1.39,ADBE,Tech
1989-02,1.296,ADBE,Tech
1989-03,1.222,ADBE,Tech
1989-04,1.368,ADBE,Tech
1989-05,1.588,ADBE,Tech
1989-06,1.628,ADBE,Tech
1989-07,1.433,ADBE,Tech
1989-08,1.424,ADBE,Tech
1989-09,1.202,ADBE,Tech
1989-10,0.97,ADBE,Tech
1989-11,1.058,ADBE,Tech
1989-12,1.096,ADBE,Tech
1990-01,1.346,ADBE,Tech
1990-02,1.577,ADBE,Tech
1990-03,2.269,ADBE,Tech
1990-04,2.255,ADBE,Tech
1990-05,2.543,ADBE,Tech
1990-06,2.134,ADBE,Tech
1990-07,2.197,ADBE,Tech
1990-08,1.672,ADBE,Tech
1990-09,1.462,ADBE,Tech
1990-10,1.28,ADBE,Tech
1990-11,1.546,ADBE,Tech
1990-12,1.68,ADBE,Tech
1991-01,1.946,ADBE,Tech
1991-02,2.566,ADBE,Tech
1991-03,2.944,ADBE,Tech
1991-04,3.399,ADBE,Tech
1991-05,2.971,ADBE,Tech
1991-06,2.917,ADBE,Tech
1991-07,2.847,ADBE,Tech
1991-08,3.195,ADBE,Tech
1991-09,2.843,ADBE,Tech
1991-10,3.109,ADBE,Tech
1991-11,3.073,ADBE,Tech
1991-12,3.285,ADBE,Tech
1992-01,3.774,ADBE,Tech
