date,average,ticker,industry
1998-02,13.267,AMT,Real Estate
1998-03,13.328,AMT,Real Estate
1998-04,17.117,AMT,Real Estate
1998-05,16.426,AMT,Real Estate
1998-06,17.067,AMT,Real Estate
1998-07,20.124,AMT,Real Estate
1998-08,16.398,AMT,Real Estate
1998-09,16.567,AMT,Real Estate
1998-10,14.742,AMT,Real Estate
1998-11,16.495,AMT,Real Estate
1998-12,19.872,AMT,Real Estate
1999-01,21.204,AMT,Real Estate
1999-02,19.848,AMT,Real Estate
1999-03,18.299,AMT,Real Estate
1999-04,18.2,AMT,Real Estate
1999-05,17.777,AMT,Real Estate
1999-06,18.523,AMT,Real Estate
1999-07,18.355,AMT,Real Estate
1999-08,17.108,AMT,Real Estate
1999-09,17.228,AMT,Real Estate
1999-10,14.219,AMT,Real Estate
1999-11,18.198,AMT,Real Estate
1999-12,22.401,AMT,Real Estate
2000-01,27.82,AMT,Real Estate
2000-02,32.743,AMT,Real Estate
2000-03,38.458,AMT,Real Estate
2000-04,34.169,AMT,Real Estate
2000-05,32.102,AMT,Real Estate
2000-06,31.697,AMT,Real Estate
2000-07,33.986,AMT,Real Estate
2000-08,32.555,AMT,Real Estate
2000-09,26.975,AMT,Real Estate
2000-10,27.716,AMT,Real Estate
2000-11,28.134,AMT,Real Estate
2000-12,27.068,AMT,Real Estate
2001-01,28.302,AMT,Real Estate
2001-02,25.234,AMT,Real Estate
2001-03,17.586,AMT,Real Estate
2001-04,16.186,AMT,Real Estate
2001-05,19.805,AMT,Real Estate
2001-06,16.317,AMT,Real Estate
2001-07,13.666,AMT,Real Estate
2001-08,12.276,AMT,Real Estate
2001-09,9.326,AMT,Real Estate
2001-10,10.722,AMT,Real Estate
2001-11,6.184,AMT,Real Estate
2001-12,6.129,AMT,Real Estate
2002-01,5.539,AMT,Real Estate
2002-02,3.353,AMT,Real Estate
2002-03,4.499,AMT,Real Estate
2002-04,3.637,AMT,Real Estate
2002-05,3.218,AMT,Real Estate
2002-06,2.685,AMT,Real Estate
2002-07,1.911,AMT,Real Estate
2002-08,1.481,AMT,Real Estate
2002-09,1.589,AMT,Real Estate
2002-10,0.773,AMT,Real Estate
2002-11,1.728,AMT,Real Estate
2002-12,2.763,AMT,Real Estate
2003-01,3.436,AMT,Real Estate
2003-02,3.621,AMT,Real Estate
2003-03,4.044,AMT,Real Estate
2003-04,4.79,AMT,Real Estate
2003-05,6.093,AMT,Real Estate
2003-06,6.585,AMT,Real Estate
2003-07,7.298,AMT,Real Estate
2003-08,7.769,AMT,Real Estate
2003-09,8.148,AMT,Real Estate
2003-10,8.383,AMT,Real Estate
2003-11,8.484,AMT,Real Estate
2003-12,8.221,AMT,Real Estate
2004-01,8.959,AMT,Real Estate
2004-02,8.727,AMT,Real Estate
2004-03,8.544,AMT,Real Estate
2004-04,9.595,AMT,Real Estate
2004-05,10.128,AMT,Real Estate
2004-06,11.161,AMT,Real Estate
2004-07,11.392,AMT,Real Estate
2004-08,10.959,AMT,Real Estate
2004-09,11.371,AMT,Real Estate
2004-10,12.321,AMT,Real Estate
2004-11,13.63,AMT,Real Estate
2004-12,13.841,AMT,Real Estate
2005-01,14.018,AMT,Real Estate
2005-02,13.815,AMT,Real Estate
2005-03,14.146,AMT,Real Estate
2005-04,13.366,AMT,Real Estate
2005-05,13.126,AMT,Real Estate
2005-06,14.705,AMT,Real Estate
2005-07,16.487,AMT,Real Estate
2005-08,17.548,AMT,Real Estate
2005-09,18.589,AMT,Real Estate
2005-10,18.033,AMT,Real Estate
2005-11,19.75,AMT,Real Estate
2005-12,20.803,AMT,Real Estate
2006-01,22.154,AMT,Real Estate
2006-02,23.866,AMT,Real Estate
2006-03,23.33,AMT,Real Estate
2006-04,24.584,AMT,Real Estate
2006-05,25.152,AMT,Real Estate
2006-06,23.059,AMT,Real Estate
2006-07,24.371,AMT,Real Estate
2006-08,26.609,AMT,Real Estate
2006-09,27.516,AMT,Real Estate
2006-10,28.14,AMT,Real Estate
2006-11,28.494,AMT,Real Estate
2006-12,28.231,AMT,Real Estate
2007-01,30.077,AMT,Real Estate
2007-02,30.524,AMT,Real Estate
2007-03,29.239,AMT,Real Estate
2007-04,29.927,AMT,Real Estate
2007-05,30.873,AMT,Real Estate
2007-06,32.133,AMT,Real Estate
2007-07,33.014,AMT,Real Estate
2007-08,30.264,AMT,Real Estate
2007-09,31.018,AMT,Real Estate
2007-10,33.125,AMT,Real Estate
2007-11,33.719,AMT,Real Estate
2007-12,32.208,AMT,Real Estate
2008-01,29.246,AMT,Real Estate
2008-02,29.786,AMT,Real Estate
2008-03,29.219,AMT,Real Estate
2008-04,31.301,AMT,Real Estate
2008-05,33.971,AMT,Real Estate
2008-06,32.9,AMT,Real Estate
2008-07,30.842,AMT,Real Estate
2008-08,31.631,AMT,Real Estate
2008-09,29.022,AMT,Real Estate
2008-10,23.977,AMT,Real Estate
2008-11,20.511,AMT,Real Estate
2008-12,21.319,AMT,Real Estate
2009-01,22.537,AMT,Real Estate
2009-02,21.79,AMT,Real Estate
2009-03,22.701,AMT,Real Estate
2009-04,24.76,AMT,Real Estate
2009-05,22.887,AMT,Real Estate
2009-06,23.395,AMT,Real Estate
2009-07,24.637,AMT,Real Estate
2009-08,24.938,AMT,Real Estate
2009-09,26.945,AMT,Real Estate
2009-10,28.871,AMT,Real Estate
2009-11,30.475,AMT,Real Estate
2009-12,31.811,AMT,Real Estate
2010-01,33.314,AMT,Real Estate
2010-02,32.468,AMT,Real Estate
2010-03,33.069,AMT,Real Estate
2010-04,32.064,AMT,Real Estate
2010-05,30.982,AMT,Real Estate
2010-06,33.238,AMT,Real Estate
2010-07,34.815,AMT,Real Estate
2010-08,35.699,AMT,Real Estate
2010-09,37.951,AMT,Real Estate
2010-10,38.772,AMT,Real Estate
2010-11,39.562,AMT,Real Estate
2010-12,38.86,AMT,Real Estate
2011-01,38.757,AMT,Real Estate
2011-02,41.231,AMT,Real Estate
2011-03,38.852,AMT,Real Estate
2011-04,38.931,AMT,Real Estate
2011-05,40.632,AMT,Real Estate
2011-06,39.279,AMT,Real Estate
2011-07,40.442,AMT,Real Estate
2011-08,38.627,AMT,Real Estate
2011-09,40.99,AMT,Real Estate
2011-10,42.33,AMT,Real Estate
2011-11,43.654,AMT,Real Estate
2011-12,45.369,AMT,Real Estate
2012-01,47.413,AMT,Real Estate
2012-02,48.645,AMT,Real Estate
2012-03,48.037,AMT,Real Estate
2012-04,49.068,AMT,Real Estate
2012-05,51.029,AMT,Real Estate
2012-06,51.656,AMT,Real Estate
2012-07,54.966,AMT,Real Estate
2012-08,54.654,AMT,Real Estate
2012-09,55.065,AMT,Real Estate
2012-10,56.781,AMT,Real Estate
2012-11,57.585,AMT,Real Estate
2012-12,59.084,AMT,Real Estate
2013-01,60.982,AMT,Real Estate
2013-02,58.74,AMT,Real Estate
2013-03,59.627,AMT,Real Estate
2013-04,62.717,AMT,Real Estate
2013-05,64.566,AMT,Real Estate
2013-06,58.839,AMT,Real Estate
2013-07,57.767,AMT,Real Estate
2013-08,54.558,AMT,Real Estate
2013-09,57.531,AMT,Real Estate
2013-10,60.316,AMT,Real Estate
2013-11,61.571,AMT,Real Estate
2013-12,61.545,AMT,Real Estate
2014-01,64.395,AMT,Real Estate
2014-02,64.427,AMT,Real Estate
2014-03,64.13,AMT,Real Estate
