date,average,ticker,industry
1997-05,0.079,AMZN,Consumer Discretionary
1997-06,0.077,AMZN,Consumer Discretionary
1997-07,0.11,AMZN,Consumer Discretionary
1997-08,0.112,AMZN,Consumer Discretionary
1997-09,0.175,AMZN,Consumer Discretionary
1997-10,0.213,AMZN,Consumer Discretionary
1997-11,0.219,AMZN,Consumer Discretionary
1997-12,0.228,AMZN,Consumer Discretionary
1998-01,0.24,AMZN,Consumer Discretionary
1998-02,0.265,AMZN,Consumer Discretionary
1998-03,0.337,AMZN,Consumer Discretionary
1998-04,0.382,AMZN,Consumer Discretionary
1998-05,0.374,AMZN,Consumer Discretionary
1998-06,0.577,AMZN,Consumer Discretionary
1998-07,0.99,AMZN,Consumer Discretionary
1998-08,0.998,AMZN,Consumer Discretionary
1998-09,0.75,AMZN,Consumer Discretionary
1998-10,0.884,AMZN,Consumer Discretionary
1998-11,1.295,AMZN,Consumer Discretionary
1998-12,2.185,AMZN,Consumer Discretionary
1999-01,3.354,AMZN,Consumer Discretionary
1999-02,2.731,AMZN,Consumer Discretionary
1999-03,3.364,AMZN,Consumer Discretionary
1999-04,4.552,AMZN,Consumer Discretionary
1999-05,3.341,AMZN,Consumer Discretionary
1999-06,2.79,AMZN,Consumer Discretionary
1999-07,2.994,AMZN,Consumer Discretionary
1999-08,2.651,AMZN,Consumer Discretionary
1999-09,3.257,AMZN,Consumer Discretionary
1999-10,3.98,AMZN,Consumer Discretionary
1999-11,3.812,AMZN,Consumer Discretionary
1999-12,4.553,AMZN,Consumer Discretionary
2000-01,3.402,AMZN,Consumer Discretionary
2000-02,3.623,AMZN,Consumer Discretionary
2000-03,3.335,AMZN,Consumer Discretionary
2000-04,2.819,AMZN,Consumer Discretionary
2000-05,2.685,AMZN,Consumer Discretionary
2000-06,2.274,AMZN,Consumer Discretionary
2000-07,1.839,AMZN,Consumer Discretionary
2000-08,1.805,AMZN,Consumer Discretionary
2000-09,2.086,AMZN,Consumer Discretionary
2000-10,1.539,AMZN,Consumer Discretionary
2000-11,1.509,AMZN,Consumer Discretionary
2000-12,1.045,AMZN,Consumer Discretionary
2001-01,0.891,AMZN,Consumer Discretionary
2001-02,0.675,AMZN,Consumer Discretionary
2001-03,0.545,AMZN,Consumer Discretionary
2001-04,0.666,AMZN,Consumer Discretionary
2001-05,0.79,AMZN,Consumer Discretionary
2001-06,0.708,AMZN,Consumer Discretionary
2001-07,0.739,AMZN,Consumer Discretionary
2001-08,0.521,AMZN,Consumer Discretionary
2001-09,0.372,AMZN,Consumer Discretionary
2001-10,0.382,AMZN,Consumer Discretionary
2001-11,0.439,AMZN,Consumer Discretionary
2001-12,0.554,AMZN,Consumer Discretionary
