date,average,ticker,industry
1994-03,7.012,AVB,Real Estate
1994-04,6.853,AVB,Real Estate
1994-05,6.926,AVB,Real Estate
1994-06,7.212,AVB,Real Estate
1994-07,7.136,AVB,Real Estate
1994-08,6.957,AVB,Real Estate
1994-09,7.002,AVB,Real Estate
1994-10,6.864,AVB,Real Estate
1994-11,6.153,AVB,Real Estate
1994-12,6.435,AVB,Real Estate
1995-01,6.728,AVB,Real Estate
1995-02,6.504,AVB,Real Estate
1995-03,6.345,AVB,Real Estate
1995-04,6.023,AVB,Real Estate
1995-05,6.146,AVB,Real Estate
1995-06,6.554,AVB,Real Estate
1995-07,6.622,AVB,Real Estate
1995-08,6.646,AVB,Real Estate
1995-09,7.155,AVB,Real Estate
1995-10,6.998,AVB,Real Estate
1995-11,7.054,AVB,Real Estate
1995-12,7.782,AVB,Real Estate
1996-01,7.906,AVB,Real Estate
1996-02,7.933,AVB,Real Estate
1996-03,8.244,AVB,Real Estate
1996-04,8.09,AVB,Real Estate
1996-05,8.501,AVB,Real Estate
1996-06,8.592,AVB,Real Estate
1996-07,8.558,AVB,Real Estate
1996-08,9.025,AVB,Real Estate
1996-09,9.504,AVB,Real Estate
1996-10,9.798,AVB,Real Estate
1996-11,10.643,AVB,Real Estate
1996-12,11.383,AVB,Real Estate
1997-01,11.906,AVB,Real Estate
1997-02,12.051,AVB,Real Estate
1997-03,12.308,AVB,Real Estate
1997-04,11.836,AVB,Real Estate
1997-05,11.844,AVB,Real Estate
1997-06,12.252,AVB,Real Estate
1997-07,12.816,AVB,Real Estate
1997-08,12.697,AVB,Real Estate
1997-09,13.094,AVB,Real Estate
1997-10,13.22,AVB,Real Estate
1997-11,13.095,AVB,Real Estate
1997-12,13.253,AVB,Real Estate
1998-01,12.906,AVB,Real Estate
1998-02,12.744,AVB,Real Estate
1998-03,12.406,AVB,Real Estate
1998-04,12.499,AVB,Real Estate
1998-05,12.422,AVB,Real Estate
1998-06,12.261,AVB,Real Estate
1998-07,12.522,AVB,Real Estate
1998-08,11.569,AVB,Real Estate
1998-09,11.214,AVB,Real Estate
1998-10,11.267,AVB,Real Estate
1998-11,11.461,AVB,Real Estate
1998-12,11.674,AVB,Real Estate
1999-01,11.777,AVB,Real Estate
1999-02,11.27,AVB,Real Estate
1999-03,11.11,AVB,Real Estate
1999-04,11.864,AVB,Real Estate
1999-05,12.676,AVB,Real Estate
1999-06,12.574,AVB,Real Estate
1999-07,12.364,AVB,Real Estate
1999-08,12.496,AVB,Real Estate
1999-09,12.603,AVB,Real Estate
1999-10,11.999,AVB,Real Estate
1999-11,11.921,AVB,Real Estate
1999-12,12.112,AVB,Real Estate
2000-01,13.012,AVB,Real Estate
2000-02,12.77,AVB,Real Estate
2000-03,13.07,AVB,Real Estate
2000-04,14.27,AVB,Real Estate
2000-05,15.238,AVB,Real Estate
2000-06,15.677,AVB,Real Estate
2000-07,17.066,AVB,Real Estate
2000-08,17.756,AVB,Real Estate
2000-09,17.991,AVB,Real Estate
2000-10,17.715,AVB,Real Estate
2000-11,17.799,AVB,Real Estate
2000-12,18.951,AVB,Real Estate
2001-01,18.794,AVB,Real Estate
2001-02,18.34,AVB,Real Estate
2001-03,18.966,AVB,Real Estate
2001-04,17.611,AVB,Real Estate
2001-05,18.078,AVB,Real Estate
2001-06,18.593,AVB,Real Estate
2001-07,19.176,AVB,Real Estate
2001-08,20.249,AVB,Real Estate
2001-09,19.183,AVB,Real Estate
2001-10,18.958,AVB,Real Estate
2001-11,19.369,AVB,Real Estate
2001-12,19.804,AVB,Real Estate
2002-01,19.095,AVB,Real Estate
2002-02,19.094,AVB,Real Estate
2002-03,20.536,AVB,Real Estate
2002-04,20.987,AVB,Real Estate
2002-05,19.631,AVB,Real Estate
2002-06,19.768,AVB,Real Estate
2002-07,18.701,AVB,Real Estate
2002-08,19.065,AVB,Real Estate
2002-09,18.804,AVB,Real Estate
2002-10,16.735,AVB,Real Estate
2002-11,16.9,AVB,Real Estate
2002-12,17.031,AVB,Real Estate
2003-01,16.81,AVB,Real Estate
2003-02,16.112,AVB,Real Estate
2003-03,16.199,AVB,Real Estate
2003-04,17.481,AVB,Real Estate
2003-05,18.836,AVB,Real Estate
2003-06,19.484,AVB,Real Estate
2003-07,20.163,AVB,Real Estate
2003-08,21.312,AVB,Real Estate
2003-09,21.601,AVB,Real Estate
2003-10,21.754,AVB,Real Estate
2003-11,21.811,AVB,Real Estate
2003-12,22.758,AVB,Real Estate
2004-01,22.588,AVB,Real Estate
2004-02,23.742,AVB,Real Estate
2004-03,25.146,AVB,Real Estate
2004-04,24.296,AVB,Real Estate
2004-05,24.746,AVB,Real Estate
2004-06,26.536,AVB,Real Estate
2004-07,27.906,AVB,Real Estate
2004-08,29.033,AVB,Real Estate
2004-09,29.184,AVB,Real Estate
2004-10,31.298,AVB,Real Estate
2004-11,33.902,AVB,Real Estate
2004-12,36.138,AVB,Real Estate
2005-01,34.244,AVB,Real Estate
2005-02,34.302,AVB,Real Estate
2005-03,33.747,AVB,Real Estate
2005-04,34.343,AVB,Real Estate
2005-05,37.167,AVB,Real Estate
2005-06,39.696,AVB,Real Estate
2005-07,42.6,AVB,Real Estate
