date,average,ticker,industry
1972-06,1.159,AXP,Financial
1972-07,1.226,AXP,Financial
1972-08,1.297,AXP,Financial
1972-09,1.267,AXP,Financial
1972-10,1.3,AXP,Financial
1972-11,1.349,AXP,Financial
1972-12,1.365,AXP,Financial
1973-01,1.446,AXP,Financial
1973-02,1.338,AXP,Financial
1973-03,1.308,AXP,Financial
1973-04,1.151,AXP,Financial
1973-05,1.147,AXP,Financial
1973-06,1.168,AXP,Financial
1973-07,1.265,AXP,Financial
1973-08,1.287,AXP,Financial
1973-09,1.303,AXP,Financial
1973-10,1.311,AXP,Financial
1973-11,1.123,AXP,Financial
1973-12,0.977,AXP,Financial
1974-01,0.919,AXP,Financial
1974-02,0.942,AXP,Financial
1974-03,0.976,AXP,Financial
1974-04,0.875,AXP,Financial
1974-05,0.791,AXP,Financial
1974-06,0.83,AXP,Financial
1974-07,0.67,AXP,Financial
1974-08,0.577,AXP,Financial
1974-09,0.473,AXP,Financial
1974-10,0.456,AXP,Financial
1974-11,0.59,AXP,Financial
1974-12,0.542,AXP,Financial
1975-01,0.592,AXP,Financial
1975-02,0.727,AXP,Financial
1975-03,0.784,AXP,Financial
1975-04,0.796,AXP,Financial
1975-05,0.841,AXP,Financial
1975-06,0.927,AXP,Financial
1975-07,0.86,AXP,Financial
1975-08,0.734,AXP,Financial
1975-09,0.69,AXP,Financial
1975-10,0.782,AXP,Financial
1975-11,0.796,AXP,Financial
1975-12,0.777,AXP,Financial
1976-01,0.869,AXP,Financial
1976-02,0.841,AXP,Financial
1976-03,0.778,AXP,Financial
1976-04,0.716,AXP,Financial
1976-05,0.718,AXP,Financial
1976-06,0.771,AXP,Financial
1976-07,0.829,AXP,Financial
1976-08,0.858,AXP,Financial
1976-09,0.883,AXP,Financial
1976-10,0.839,AXP,Financial
1976-11,0.861,AXP,Financial
1976-12,0.87,AXP,Financial
1977-01,0.809,AXP,Financial
1977-02,0.787,AXP,Financial
1977-03,0.799,AXP,Financial
1977-04,0.813,AXP,Financial
1977-05,0.82,AXP,Financial
1977-06,0.839,AXP,Financial
1977-07,0.88,AXP,Financial
1977-08,0.897,AXP,Financial
1977-09,0.863,AXP,Financial
1977-10,0.81,AXP,Financial
1977-11,0.847,AXP,Financial
1977-12,0.822,AXP,Financial
1978-01,0.751,AXP,Financial
1978-02,0.743,AXP,Financial
1978-03,0.73,AXP,Financial
1978-04,0.779,AXP,Financial
1978-05,0.848,AXP,Financial
1978-06,0.837,AXP,Financial
1978-07,0.837,AXP,Financial
1978-08,0.884,AXP,Financial
1978-09,0.821,AXP,Financial
1978-10,0.773,AXP,Financial
1978-11,0.722,AXP,Financial
1978-12,0.711,AXP,Financial
1979-01,0.728,AXP,Financial
1979-02,0.689,AXP,Financial
1979-03,0.703,AXP,Financial
1979-04,0.735,AXP,Financial
1979-05,0.747,AXP,Financial
1979-06,0.83,AXP,Financial
1979-07,0.815,AXP,Financial
1979-08,0.864,AXP,Financial
1979-09,0.821,AXP,Financial
1979-10,0.753,AXP,Financial
1979-11,0.72,AXP,Financial
1979-12,0.754,AXP,Financial
1980-01,0.785,AXP,Financial
1980-02,0.716,AXP,Financial
1980-03,0.664,AXP,Financial
1980-04,0.779,AXP,Financial
1980-05,0.844,AXP,Financial
1980-06,0.885,AXP,Financial
1980-07,0.903,AXP,Financial
1980-08,0.937,AXP,Financial
1980-09,0.938,AXP,Financial
1980-10,0.926,AXP,Financial
