date,average,ticker,industry
1993-05,1.673,AZN,Health
1993-06,1.6,AZN,Health
1993-07,1.581,AZN,Health
1993-08,1.724,AZN,Health
1993-09,1.909,AZN,Health
1993-10,1.992,AZN,Health
1993-11,1.959,AZN,Health
1993-12,2.075,AZN,Health
1994-01,2.149,AZN,Health
1994-02,1.998,AZN,Health
1994-03,1.972,AZN,Health
1994-04,1.876,AZN,Health
1994-05,1.897,AZN,Health
1994-06,1.924,AZN,Health
1994-07,2.06,AZN,Health
1994-08,2.274,AZN,Health
1994-09,2.33,AZN,Health
1994-10,2.415,AZN,Health
1994-11,2.477,AZN,Health
1994-12,2.437,AZN,Health
1995-01,2.529,AZN,Health
1995-02,2.547,AZN,Health
1995-03,2.595,AZN,Health
1995-04,2.701,AZN,Health
1995-05,2.732,AZN,Health
1995-06,3.123,AZN,Health
1995-07,3.305,AZN,Health
1995-08,3.271,AZN,Health
1995-09,3.301,AZN,Health
1995-10,3.52,AZN,Health
1995-11,3.715,AZN,Health
1995-12,3.691,AZN,Health
1996-01,3.674,AZN,Health
1996-02,3.645,AZN,Health
1996-03,3.927,AZN,Health
1996-04,4.032,AZN,Health
1996-05,4.014,AZN,Health
1996-06,4.13,AZN,Health
1996-07,4.222,AZN,Health
1996-08,4.398,AZN,Health
1996-09,4.681,AZN,Health
1996-10,5.161,AZN,Health
1996-11,5.338,AZN,Health
1996-12,5.239,AZN,Health
1997-01,5.352,AZN,Health
1997-02,5.657,AZN,Health
1997-03,5.662,AZN,Health
1997-04,5.781,AZN,Health
1997-05,6.129,AZN,Health
1997-06,6.188,AZN,Health
1997-07,6.816,AZN,Health
1997-08,6.208,AZN,Health
1997-09,6.218,AZN,Health
1997-10,6.551,AZN,Health
1997-11,6.101,AZN,Health
1997-12,6.73,AZN,Health
1998-01,7.475,AZN,Health
1998-02,8.438,AZN,Health
1998-03,8.678,AZN,Health
1998-04,8.817,AZN,Health
1998-05,8.504,AZN,Health
1998-06,8.674,AZN,Health
1998-07,8.285,AZN,Health
1998-08,7.555,AZN,Health
1998-09,7.622,AZN,Health
1998-10,7.172,AZN,Health
1998-11,8.021,AZN,Health
1998-12,8.821,AZN,Health
1999-01,9.424,AZN,Health
1999-02,8.646,AZN,Health
1999-03,8.545,AZN,Health
1999-04,8.804,AZN,Health
1999-05,8.039,AZN,Health
1999-06,8.128,AZN,Health
1999-07,7.509,AZN,Health
1999-08,7.706,AZN,Health
1999-09,8.302,AZN,Health
1999-10,9.344,AZN,Health
1999-11,9.391,AZN,Health
1999-12,8.635,AZN,Health
2000-01,8.119,AZN,Health
2000-02,7.191,AZN,Health
2000-03,8.29,AZN,Health
2000-04,9.121,AZN,Health
2000-05,8.727,AZN,Health
2000-06,8.936,AZN,Health
2000-07,9.39,AZN,Health
2000-08,9.358,AZN,Health
2000-09,9.94,AZN,Health
2000-10,10.371,AZN,Health
2000-11,10.259,AZN,Health
2000-12,10.699,AZN,Health
2001-01,9.97,AZN,Health
2001-02,9.637,AZN,Health
2001-03,10.056,AZN,Health
2001-04,10.401,AZN,Health
2001-05,10.373,AZN,Health
2001-06,10.586,AZN,Health
