date,average,ticker,industry
1973-02,1.552,BAC,Financial
1973-03,1.6,BAC,Financial
1973-04,1.561,BAC,Financial
1973-05,1.557,BAC,Financial
1973-06,1.494,BAC,Financial
1973-07,1.539,BAC,Financial
1973-08,1.578,BAC,Financial
1973-09,1.632,BAC,Financial
1973-10,1.695,BAC,Financial
1973-11,1.628,BAC,Financial
1973-12,1.488,BAC,Financial
1974-01,1.513,BAC,Financial
1974-02,1.371,BAC,Financial
1974-03,1.46,BAC,Financial
1974-04,1.361,BAC,Financial
1974-05,1.192,BAC,Financial
1974-06,1.017,BAC,Financial
1974-07,0.704,BAC,Financial
1974-08,0.568,BAC,Financial
1974-09,0.385,BAC,Financial
1974-10,0.411,BAC,Financial
1974-11,0.355,BAC,Financial
1974-12,0.307,BAC,Financial
1975-01,0.382,BAC,Financial
1975-02,0.506,BAC,Financial
1975-03,0.466,BAC,Financial
1975-04,0.49,BAC,Financial
1975-05,0.538,BAC,Financial
1975-06,0.485,BAC,Financial
1975-07,0.49,BAC,Financial
1975-08,0.448,BAC,Financial
1975-09,0.425,BAC,Financial
1975-10,0.376,BAC,Financial
1975-11,0.361,BAC,Financial
1975-12,0.365,BAC,Financial
1976-01,0.408,BAC,Financial
1976-02,0.493,BAC,Financial
1976-03,0.496,BAC,Financial
1976-04,0.494,BAC,Financial
1976-05,0.451,BAC,Financial
1976-06,0.428,BAC,Financial
1976-07,0.457,BAC,Financial
1976-08,0.432,BAC,Financial
1976-09,0.433,BAC,Financial
1976-10,0.413,BAC,Financial
1976-11,0.42,BAC,Financial
1976-12,0.461,BAC,Financial
1977-01,0.521,BAC,Financial
1977-02,0.467,BAC,Financial
1977-03,0.482,BAC,Financial
1977-04,0.496,BAC,Financial
1977-05,0.502,BAC,Financial
1977-06,0.482,BAC,Financial
1977-07,0.475,BAC,Financial
1977-08,0.462,BAC,Financial
1977-09,0.445,BAC,Financial
1977-10,0.451,BAC,Financial
1977-11,0.444,BAC,Financial
1977-12,0.464,BAC,Financial
1978-01,0.483,BAC,Financial
1978-02,0.496,BAC,Financial
1978-03,0.48,BAC,Financial
1978-04,0.521,BAC,Financial
1978-05,0.57,BAC,Financial
1978-06,0.555,BAC,Financial
1978-07,0.57,BAC,Financial
1978-08,0.624,BAC,Financial
1978-09,0.656,BAC,Financial
1978-10,0.587,BAC,Financial
1978-11,0.543,BAC,Financial
1978-12,0.508,BAC,Financial
1979-01,0.528,BAC,Financial
1979-02,0.511,BAC,Financial
1979-03,0.498,BAC,Financial
1979-04,0.528,BAC,Financial
1979-05,0.517,BAC,Financial
1979-06,0.532,BAC,Financial
1979-07,0.589,BAC,Financial
1979-08,0.656,BAC,Financial
1979-09,0.605,BAC,Financial
1979-10,0.54,BAC,Financial
1979-11,0.546,BAC,Financial
1979-12,0.587,BAC,Financial
1980-01,0.587,BAC,Financial
1980-02,0.536,BAC,Financial
1980-03,0.466,BAC,Financial
1980-04,0.546,BAC,Financial
1980-05,0.592,BAC,Financial
1980-06,0.6,BAC,Financial
1980-07,0.66,BAC,Financial
1980-08,0.653,BAC,Financial
1980-09,0.619,BAC,Financial
1980-10,0.552,BAC,Financial
1980-11,0.548,BAC,Financial
1980-12,0.545,BAC,Financial
1981-01,0.571,BAC,Financial
1981-02,0.602,BAC,Financial
1981-03,0.653,BAC,Financial
1981-04,0.677,BAC,Financial
1981-05,0.648,BAC,Financial
1981-06,0.674,BAC,Financial
1981-07,0.633,BAC,Financial
1981-08,0.589,BAC,Financial
1981-09,0.581,BAC,Financial
1981-10,0.594,BAC,Financial
1981-11,0.649,BAC,Financial
1981-12,0.641,BAC,Financial
1982-01,0.614,BAC,Financial
1982-02,0.617,BAC,Financial
1982-03,0.579,BAC,Financial
1982-04,0.576,BAC,Financial
1982-05,0.576,BAC,Financial
1982-06,0.542,BAC,Financial
1982-07,0.522,BAC,Financial
1982-08,0.523,BAC,Financial
1982-09,0.575,BAC,Financial
1982-10,0.739,BAC,Financial
