date,average,ticker,industry
1996-11,1.567,BASFY,Materials
1996-12,1.695,BASFY,Materials
1997-01,1.626,BASFY,Materials
1997-02,1.644,BASFY,Materials
1997-03,1.655,BASFY,Materials
1997-04,1.702,BASFY,Materials
1997-05,1.714,BASFY,Materials
1997-06,1.651,BASFY,Materials
1997-07,1.712,BASFY,Materials
1997-08,1.633,BASFY,Materials
1997-09,1.556,BASFY,Materials
1997-10,1.578,BASFY,Materials
1997-11,1.518,BASFY,Materials
1997-12,1.571,BASFY,Materials
1998-01,1.523,BASFY,Materials
1998-02,1.559,BASFY,Materials
1998-03,1.758,BASFY,Materials
1998-04,1.968,BASFY,Materials
1998-05,1.993,BASFY,Materials
1998-06,2.058,BASFY,Materials
1998-07,2.178,BASFY,Materials
1998-08,1.866,BASFY,Materials
1998-09,1.686,BASFY,Materials
1998-10,1.706,BASFY,Materials
1998-11,1.741,BASFY,Materials
1998-12,1.64,BASFY,Materials
1999-01,1.684,BASFY,Materials
1999-02,1.558,BASFY,Materials
1999-03,1.579,BASFY,Materials
1999-04,1.882,BASFY,Materials
1999-05,1.864,BASFY,Materials
1999-06,1.882,BASFY,Materials
1999-07,2.007,BASFY,Materials
1999-08,2.056,BASFY,Materials
1999-09,1.981,BASFY,Materials
1999-10,1.95,BASFY,Materials
1999-11,1.974,BASFY,Materials
1999-12,2.206,BASFY,Materials
2000-01,2.141,BASFY,Materials
2000-02,1.945,BASFY,Materials
2000-03,2.047,BASFY,Materials
2000-04,2.018,BASFY,Materials
2000-05,1.912,BASFY,Materials
2000-06,1.803,BASFY,Materials
2000-07,1.82,BASFY,Materials
2000-08,1.71,BASFY,Materials
2000-09,1.604,BASFY,Materials
2000-10,1.583,BASFY,Materials
2000-11,1.676,BASFY,Materials
2000-12,1.85,BASFY,Materials
2001-01,1.949,BASFY,Materials
2001-02,1.944,BASFY,Materials
2001-03,1.895,BASFY,Materials
2001-04,1.87,BASFY,Materials
2001-05,1.955,BASFY,Materials
2001-06,1.803,BASFY,Materials
2001-07,1.864,BASFY,Materials
2001-08,1.89,BASFY,Materials
2001-09,1.631,BASFY,Materials
2001-10,1.619,BASFY,Materials
2001-11,1.709,BASFY,Materials
2001-12,1.735,BASFY,Materials
2002-01,1.774,BASFY,Materials
2002-02,1.741,BASFY,Materials
2002-03,1.888,BASFY,Materials
2002-04,1.92,BASFY,Materials
2002-05,2.079,BASFY,Materials
2002-06,2.101,BASFY,Materials
2002-07,1.988,BASFY,Materials
2002-08,1.905,BASFY,Materials
2002-09,1.823,BASFY,Materials
2002-10,1.699,BASFY,Materials
2002-11,1.804,BASFY,Materials
2002-12,1.85,BASFY,Materials
2003-01,1.815,BASFY,Materials
2003-02,1.723,BASFY,Materials
2003-03,1.737,BASFY,Materials
2003-04,1.994,BASFY,Materials
2003-05,2.096,BASFY,Materials
2003-06,2.177,BASFY,Materials
2003-07,2.231,BASFY,Materials
2003-08,2.289,BASFY,Materials
2003-09,2.263,BASFY,Materials
2003-10,2.272,BASFY,Materials
2003-11,2.397,BASFY,Materials
2003-12,2.605,BASFY,Materials
2004-01,2.8,BASFY,Materials
2004-02,2.669,BASFY,Materials
2004-03,2.544,BASFY,Materials
2004-04,2.595,BASFY,Materials
2004-05,2.543,BASFY,Materials
2004-06,2.659,BASFY,Materials
2004-07,2.735,BASFY,Materials
2004-08,2.731,BASFY,Materials
2004-09,2.871,BASFY,Materials
2004-10,3.073,BASFY,Materials
2004-11,3.339,BASFY,Materials
2004-12,3.55,BASFY,Materials
2005-01,3.486,BASFY,Materials
2005-02,3.67,BASFY,Materials
2005-03,3.745,BASFY,Materials
2005-04,3.526,BASFY,Materials
2005-05,3.504,BASFY,Materials
2005-06,3.569,BASFY,Materials
2005-07,3.586,BASFY,Materials
2005-08,3.755,BASFY,Materials
2005-09,3.867,BASFY,Materials
2005-10,3.87,BASFY,Materials
2005-11,3.79,BASFY,Materials
2005-12,3.993,BASFY,Materials
2006-01,4.039,BASFY,Materials
2006-02,4.024,BASFY,Materials
2006-03,4.028,BASFY,Materials
2006-04,4.266,BASFY,Materials
2006-05,4.535,BASFY,Materials
2006-06,4.186,BASFY,Materials
2006-07,4.278,BASFY,Materials
2006-08,4.367,BASFY,Materials
2006-09,4.351,BASFY,Materials
2006-10,4.533,BASFY,Materials
2006-11,4.859,BASFY,Materials
2006-12,5.156,BASFY,Materials
2007-01,5.15,BASFY,Materials
2007-02,5.463,BASFY,Materials
2007-03,5.658,BASFY,Materials
2007-04,6.48,BASFY,Materials
2007-05,6.757,BASFY,Materials
2007-06,6.912,BASFY,Materials
2007-07,7.451,BASFY,Materials
2007-08,7.093,BASFY,Materials
2007-09,7.421,BASFY,Materials
2007-10,7.67,BASFY,Materials
2007-11,7.589,BASFY,Materials
2007-12,8.023,BASFY,Materials
2008-01,7.768,BASFY,Materials
2008-02,7.1,BASFY,Materials
2008-03,7.335,BASFY,Materials
2008-04,8.05,BASFY,Materials
2008-05,8.418,BASFY,Materials
2008-06,8.436,BASFY,Materials
2008-07,7.641,BASFY,Materials
2008-08,6.928,BASFY,Materials
2008-09,6.047,BASFY,Materials
2008-10,4.108,BASFY,Materials
2008-11,3.763,BASFY,Materials
2008-12,4.033,BASFY,Materials
2009-01,3.787,BASFY,Materials
2009-02,3.484,BASFY,Materials
2009-03,3.516,BASFY,Materials
2009-04,4.063,BASFY,Materials
2009-05,5.016,BASFY,Materials
2009-06,5.297,BASFY,Materials
2009-07,5.544,BASFY,Materials
2009-08,6.403,BASFY,Materials
2009-09,6.621,BASFY,Materials
2009-10,7.075,BASFY,Materials
2009-11,7.4,BASFY,Materials
2009-12,7.845,BASFY,Materials
2010-01,7.571,BASFY,Materials
