date,average,ticker,industry
1962-01,0.198,BA,Industrials
1962-02,0.21,BA,Industrials
1962-03,0.196,BA,Industrials
1962-04,0.184,BA,Industrials
1962-05,0.171,BA,Industrials
1962-06,0.158,BA,Industrials
1962-07,0.157,BA,Industrials
1962-08,0.16,BA,Industrials
1962-09,0.156,BA,Industrials
1962-10,0.15,BA,Industrials
1962-11,0.16,BA,Industrials
1962-12,0.152,BA,Industrials
1963-01,0.154,BA,Industrials
1963-02,0.157,BA,Industrials
1963-03,0.15,BA,Industrials
1963-04,0.15,BA,Industrials
1963-05,0.151,BA,Industrials
1963-06,0.148,BA,Industrials
1963-07,0.138,BA,Industrials
1963-08,0.141,BA,Industrials
1963-09,0.144,BA,Industrials
1963-10,0.142,BA,Industrials
1963-11,0.152,BA,Industrials
1963-12,0.156,BA,Industrials
1964-01,0.16,BA,Industrials
1964-02,0.172,BA,Industrials
1964-03,0.184,BA,Industrials
1964-04,0.195,BA,Industrials
1964-05,0.206,BA,Industrials
1964-06,0.222,BA,Industrials
1964-07,0.238,BA,Industrials
1964-08,0.247,BA,Industrials
1964-09,0.277,BA,Industrials
1964-10,0.282,BA,Industrials
1964-11,0.286,BA,Industrials
1964-12,0.302,BA,Industrials
1965-01,0.293,BA,Industrials
1965-02,0.299,BA,Industrials
1965-03,0.288,BA,Industrials
1965-04,0.314,BA,Industrials
1965-05,0.33,BA,Industrials
1965-06,0.307,BA,Industrials
1965-07,0.325,BA,Industrials
1965-08,0.357,BA,Industrials
1965-09,0.418,BA,Industrials
1965-10,0.485,BA,Industrials
1965-11,0.571,BA,Industrials
1965-12,0.608,BA,Industrials
1966-01,0.67,BA,Industrials
1966-02,0.746,BA,Industrials
1966-03,0.683,BA,Industrials
1966-04,0.747,BA,Industrials
1966-05,0.625,BA,Industrials
1966-06,0.645,BA,Industrials
1966-07,0.626,BA,Industrials
1966-08,0.54,BA,Industrials
1966-09,0.517,BA,Industrials
1966-10,0.445,BA,Industrials
1966-11,0.561,BA,Industrials
1966-12,0.594,BA,Industrials
1967-01,0.638,BA,Industrials
1967-02,0.651,BA,Industrials
1967-03,0.757,BA,Industrials
1967-04,0.812,BA,Industrials
1967-05,0.896,BA,Industrials
1967-06,0.963,BA,Industrials
1967-07,0.942,BA,Industrials
1967-08,0.946,BA,Industrials
1967-09,0.858,BA,Industrials
1967-10,0.786,BA,Industrials
1967-11,0.815,BA,Industrials
1967-12,0.843,BA,Industrials
1968-01,0.761,BA,Industrials
1968-02,0.719,BA,Industrials
1968-03,0.687,BA,Industrials
1968-04,0.673,BA,Industrials
1968-05,0.703,BA,Industrials
1968-06,0.647,BA,Industrials
1968-07,0.613,BA,Industrials
1968-08,0.541,BA,Industrials
1968-09,0.53,BA,Industrials
1968-10,0.555,BA,Industrials
1968-11,0.533,BA,Industrials
1968-12,0.549,BA,Industrials
1969-01,0.544,BA,Industrials
1969-02,0.549,BA,Industrials
1969-03,0.478,BA,Industrials
1969-04,0.472,BA,Industrials
1969-05,0.437,BA,Industrials
1969-06,0.413,BA,Industrials
1969-07,0.359,BA,Industrials
1969-08,0.314,BA,Industrials
1969-09,0.332,BA,Industrials
1969-10,0.316,BA,Industrials
1969-11,0.313,BA,Industrials
1969-12,0.284,BA,Industrials
1970-01,0.27,BA,Industrials
1970-02,0.219,BA,Industrials
1970-03,0.224,BA,Industrials
1970-04,0.209,BA,Industrials
1970-05,0.185,BA,Industrials
1970-06,0.149,BA,Industrials
1970-07,0.134,BA,Industrials
1970-08,0.133,BA,Industrials
1970-09,0.172,BA,Industrials
1970-10,0.156,BA,Industrials
1970-11,0.139,BA,Industrials
1970-12,0.143,BA,Industrials
1971-01,0.175,BA,Industrials
1971-02,0.22,BA,Industrials
1971-03,0.221,BA,Industrials
1971-04,0.224,BA,Industrials
1971-05,0.236,BA,Industrials
1971-06,0.213,BA,Industrials
1971-07,0.181,BA,Industrials
1971-08,0.163,BA,Industrials
1971-09,0.157,BA,Industrials
1971-10,0.165,BA,Industrials
1971-11,0.151,BA,Industrials
