date,average,ticker,industry
1980-03,0.598,BHP,Materials
1980-04,0.62,BHP,Materials
1980-05,0.691,BHP,Materials
1980-06,0.808,BHP,Materials
1980-07,0.824,BHP,Materials
1980-08,0.837,BHP,Materials
1980-09,0.858,BHP,Materials
1980-10,0.881,BHP,Materials
1980-11,0.936,BHP,Materials
1980-12,0.874,BHP,Materials
1981-01,0.871,BHP,Materials
1981-02,0.735,BHP,Materials
1981-03,0.757,BHP,Materials
1981-04,0.799,BHP,Materials
1981-05,0.752,BHP,Materials
1981-06,0.8,BHP,Materials
1981-07,0.76,BHP,Materials
1981-08,0.69,BHP,Materials
1981-09,0.624,BHP,Materials
1981-10,0.554,BHP,Materials
1981-11,0.546,BHP,Materials
1981-12,0.556,BHP,Materials
1982-01,0.493,BHP,Materials
1982-02,0.437,BHP,Materials
1982-03,0.377,BHP,Materials
1982-04,0.37,BHP,Materials
1982-05,0.396,BHP,Materials
1982-06,0.35,BHP,Materials
1982-07,0.321,BHP,Materials
1982-08,0.315,BHP,Materials
1982-09,0.326,BHP,Materials
1982-10,0.318,BHP,Materials
1982-11,0.299,BHP,Materials
1982-12,0.279,BHP,Materials
1983-01,0.327,BHP,Materials
1983-02,0.294,BHP,Materials
1983-03,0.264,BHP,Materials
1983-04,0.31,BHP,Materials
1983-05,0.338,BHP,Materials
1983-06,0.331,BHP,Materials
1983-07,0.384,BHP,Materials
1983-08,0.45,BHP,Materials
1983-09,0.511,BHP,Materials
1983-10,0.519,BHP,Materials
1983-11,0.554,BHP,Materials
1983-12,0.583,BHP,Materials
1984-01,0.588,BHP,Materials
1984-02,0.596,BHP,Materials
1984-03,0.59,BHP,Materials
1984-04,0.606,BHP,Materials
1984-05,0.538,BHP,Materials
1984-06,0.47,BHP,Materials
1984-07,0.442,BHP,Materials
1984-08,0.501,BHP,Materials
1984-09,0.473,BHP,Materials
1984-10,0.477,BHP,Materials
1984-11,0.505,BHP,Materials
1984-12,0.466,BHP,Materials
1985-01,0.461,BHP,Materials
1985-02,0.439,BHP,Materials
1985-03,0.45,BHP,Materials
1985-04,0.474,BHP,Materials
1985-05,0.548,BHP,Materials
1985-06,0.514,BHP,Materials
1985-07,0.577,BHP,Materials
1985-08,0.621,BHP,Materials
