date,average,ticker,industry
1999-03,493.697,BKNG,Consumer Discretionary
1999-04,540.698,BKNG,Consumer Discretionary
1999-05,767.129,BKNG,Consumer Discretionary
1999-06,583.384,BKNG,Consumer Discretionary
1999-07,569.482,BKNG,Consumer Discretionary
1999-08,416.906,BKNG,Consumer Discretionary
1999-09,373.89,BKNG,Consumer Discretionary
1999-10,406.405,BKNG,Consumer Discretionary
1999-11,366.416,BKNG,Consumer Discretionary
1999-12,337.339,BKNG,Consumer Discretionary
2000-01,346.872,BKNG,Consumer Discretionary
2000-02,332.221,BKNG,Consumer Discretionary
2000-03,507.537,BKNG,Consumer Discretionary
2000-04,393.126,BKNG,Consumer Discretionary
2000-05,290.6,BKNG,Consumer Discretionary
2000-06,256.694,BKNG,Consumer Discretionary
2000-07,208.388,BKNG,Consumer Discretionary
2000-08,153.428,BKNG,Consumer Discretionary
2000-09,137.074,BKNG,Consumer Discretionary
2000-10,36.932,BKNG,Consumer Discretionary
2000-11,19.866,BKNG,Consumer Discretionary
2000-12,10.499,BKNG,Consumer Discretionary
2001-01,14.733,BKNG,Consumer Discretionary
2001-02,16.098,BKNG,Consumer Discretionary
2001-03,13.936,BKNG,Consumer Discretionary
2001-04,19.688,BKNG,Consumer Discretionary
2001-05,31.448,BKNG,Consumer Discretionary
2001-06,44.034,BKNG,Consumer Discretionary
2001-07,50.363,BKNG,Consumer Discretionary
2001-08,42.575,BKNG,Consumer Discretionary
2001-09,21.132,BKNG,Consumer Discretionary
2001-10,23.699,BKNG,Consumer Discretionary
2001-11,25.431,BKNG,Consumer Discretionary
2001-12,31.334,BKNG,Consumer Discretionary
2002-01,34.736,BKNG,Consumer Discretionary
2002-02,25.265,BKNG,Consumer Discretionary
2002-03,30.393,BKNG,Consumer Discretionary
2002-04,27.977,BKNG,Consumer Discretionary
2002-05,24.644,BKNG,Consumer Discretionary
2002-06,22.896,BKNG,Consumer Discretionary
2002-07,13.58,BKNG,Consumer Discretionary
2002-08,13.36,BKNG,Consumer Discretionary
2002-09,11.959,BKNG,Consumer Discretionary
2002-10,10.003,BKNG,Consumer Discretionary
2002-11,10.249,BKNG,Consumer Discretionary
2002-12,9.435,BKNG,Consumer Discretionary
2003-01,8.473,BKNG,Consumer Discretionary
2003-02,7.631,BKNG,Consumer Discretionary
2003-03,9.08,BKNG,Consumer Discretionary
2003-04,11.061,BKNG,Consumer Discretionary
2003-05,20.41,BKNG,Consumer Discretionary
2003-06,23.998,BKNG,Consumer Discretionary
2003-07,26.387,BKNG,Consumer Discretionary
2003-08,34.312,BKNG,Consumer Discretionary
2003-09,34.373,BKNG,Consumer Discretionary
2003-10,30.272,BKNG,Consumer Discretionary
2003-11,20.005,BKNG,Consumer Discretionary
2003-12,17.649,BKNG,Consumer Discretionary
2004-01,19.223,BKNG,Consumer Discretionary
2004-02,21.496,BKNG,Consumer Discretionary
2004-03,23.697,BKNG,Consumer Discretionary
2004-04,25.827,BKNG,Consumer Discretionary
2004-05,23.84,BKNG,Consumer Discretionary
2004-06,27.274,BKNG,Consumer Discretionary
2004-07,23.891,BKNG,Consumer Discretionary
2004-08,19.88,BKNG,Consumer Discretionary
2004-09,20.377,BKNG,Consumer Discretionary
2004-10,20.995,BKNG,Consumer Discretionary
2004-11,23.035,BKNG,Consumer Discretionary
2004-12,23.691,BKNG,Consumer Discretionary
2005-01,23.405,BKNG,Consumer Discretionary
2005-02,21.751,BKNG,Consumer Discretionary
2005-03,23.265,BKNG,Consumer Discretionary
2005-04,24.96,BKNG,Consumer Discretionary
2005-05,24.499,BKNG,Consumer Discretionary
2005-06,23.257,BKNG,Consumer Discretionary
2005-07,23.422,BKNG,Consumer Discretionary
