date,average,ticker,industry
1996-05,22.312,BRK-B,Financial
1996-06,21.188,BRK-B,Financial
1996-07,20.861,BRK-B,Financial
1996-08,21.119,BRK-B,Financial
1996-09,21.4,BRK-B,Financial
1996-10,21.455,BRK-B,Financial
1996-11,22.022,BRK-B,Financial
1996-12,22.066,BRK-B,Financial
1997-01,22.641,BRK-B,Financial
1997-02,23.965,BRK-B,Financial
1997-03,24.617,BRK-B,Financial
1997-04,24.975,BRK-B,Financial
1997-05,27.036,BRK-B,Financial
1997-06,31.068,BRK-B,Financial
1997-07,31.631,BRK-B,Financial
1997-08,29.875,BRK-B,Financial
1997-09,29.231,BRK-B,Financial
1997-10,29.953,BRK-B,Financial
1997-11,29.745,BRK-B,Financial
1997-12,30.598,BRK-B,Financial
1998-01,32.179,BRK-B,Financial
1998-02,36.155,BRK-B,Financial
1998-03,41.922,BRK-B,Financial
1998-04,45.84,BRK-B,Financial
1998-05,47.333,BRK-B,Financial
1998-06,51.463,BRK-B,Financial
1998-07,49.881,BRK-B,Financial
1998-08,46.085,BRK-B,Financial
1998-09,40.072,BRK-B,Financial
1998-10,41.735,BRK-B,Financial
1998-11,45.006,BRK-B,Financial
1998-12,43.092,BRK-B,Financial
1999-01,42.927,BRK-B,Financial
1999-02,48.004,BRK-B,Financial
1999-03,49.061,BRK-B,Financial
1999-04,48.217,BRK-B,Financial
1999-05,48.479,BRK-B,Financial
1999-06,45.969,BRK-B,Financial
1999-07,44.963,BRK-B,Financial
1999-08,41.013,BRK-B,Financial
1999-09,39.356,BRK-B,Financial
1999-10,37.88,BRK-B,Financial
1999-11,39.533,BRK-B,Financial
1999-12,35.408,BRK-B,Financial
2000-01,34.555,BRK-B,Financial
2000-02,31.716,BRK-B,Financial
2000-03,32.112,BRK-B,Financial
2000-04,37.399,BRK-B,Financial
2000-05,36.509,BRK-B,Financial
2000-06,37.18,BRK-B,Financial
2000-07,35.924,BRK-B,Financial
2000-08,39.643,BRK-B,Financial
2000-09,38.18,BRK-B,Financial
2000-10,39.087,BRK-B,Financial
2000-11,42.27,BRK-B,Financial
2000-12,44.579,BRK-B,Financial
2001-01,44.975,BRK-B,Financial
2001-02,46.162,BRK-B,Financial
2001-03,45.012,BRK-B,Financial
2001-04,44.173,BRK-B,Financial
2001-05,45.328,BRK-B,Financial
2001-06,44.958,BRK-B,Financial
2001-07,45.81,BRK-B,Financial
2001-08,46.163,BRK-B,Financial
2001-09,44.261,BRK-B,Financial
2001-10,48.643,BRK-B,Financial
2001-11,45.998,BRK-B,Financial
2001-12,46.967,BRK-B,Financial
2002-01,49.21,BRK-B,Financial
2002-02,48.756,BRK-B,Financial
2002-03,47.984,BRK-B,Financial
2002-04,47.331,BRK-B,Financial
2002-05,50.566,BRK-B,Financial
2002-06,48.094,BRK-B,Financial
2002-07,44.147,BRK-B,Financial
2002-08,48.572,BRK-B,Financial
2002-09,49.018,BRK-B,Financial
2002-10,48.183,BRK-B,Financial
2002-11,48.69,BRK-B,Financial
2002-12,47.543,BRK-B,Financial
2003-01,46.2,BRK-B,Financial
2003-02,42.455,BRK-B,Financial
2003-03,44.271,BRK-B,Financial
2003-04,46.93,BRK-B,Financial
2003-05,48.624,BRK-B,Financial
2003-06,48.857,BRK-B,Financial
2003-07,48.138,BRK-B,Financial
2003-08,49.742,BRK-B,Financial
2003-09,50.273,BRK-B,Financial
2003-10,50.917,BRK-B,Financial
2003-11,54.299,BRK-B,Financial
2003-12,55.692,BRK-B,Financial
2004-01,58.025,BRK-B,Financial
2004-02,61.53,BRK-B,Financial
2004-03,61.59,BRK-B,Financial
2004-04,62.323,BRK-B,Financial
2004-05,59.245,BRK-B,Financial
2004-06,58.966,BRK-B,Financial
2004-07,59.514,BRK-B,Financial
2004-08,57.21,BRK-B,Financial
2004-09,57.59,BRK-B,Financial
2004-10,56.202,BRK-B,Financial
2004-11,56.101,BRK-B,Financial
2004-12,57.325,BRK-B,Financial
2005-01,58.406,BRK-B,Financial
2005-02,60.464,BRK-B,Financial
2005-03,58.861,BRK-B,Financial
2005-04,56.706,BRK-B,Financial
2005-05,55.952,BRK-B,Financial
2005-06,55.585,BRK-B,Financial
2005-07,56.048,BRK-B,Financial
2005-08,55.757,BRK-B,Financial
2005-09,54.909,BRK-B,Financial
2005-10,55.67,BRK-B,Financial
2005-11,58.724,BRK-B,Financial
2005-12,59.301,BRK-B,Financial
2006-01,59.076,BRK-B,Financial
