date,average,ticker,industry
1962-01,0.5,CAT,Industrials
1962-02,0.5,CAT,Industrials
1962-03,0.493,CAT,Industrials
1962-04,0.478,CAT,Industrials
1962-05,0.443,CAT,Industrials
1962-06,0.406,CAT,Industrials
1962-07,0.397,CAT,Industrials
1962-08,0.416,CAT,Industrials
1962-09,0.42,CAT,Industrials
1962-10,0.398,CAT,Industrials
1962-11,0.447,CAT,Industrials
1962-12,0.462,CAT,Industrials
1963-01,0.479,CAT,Industrials
1963-02,0.459,CAT,Industrials
1963-03,0.453,CAT,Industrials
1963-04,0.475,CAT,Industrials
1963-05,0.52,CAT,Industrials
1963-06,0.562,CAT,Industrials
1963-07,0.564,CAT,Industrials
1963-08,0.572,CAT,Industrials
1963-09,0.561,CAT,Industrials
1963-10,0.571,CAT,Industrials
1963-11,0.601,CAT,Industrials
1963-12,0.619,CAT,Industrials
1964-01,0.663,CAT,Industrials
1964-02,0.668,CAT,Industrials
1964-03,0.763,CAT,Industrials
1964-04,0.803,CAT,Industrials
1964-05,0.792,CAT,Industrials
1964-06,0.837,CAT,Industrials
1964-07,0.897,CAT,Industrials
1964-08,0.872,CAT,Industrials
1964-09,0.943,CAT,Industrials
1964-10,0.98,CAT,Industrials
1964-11,1.053,CAT,Industrials
1964-12,1.09,CAT,Industrials
1965-01,1.087,CAT,Industrials
1965-02,1.122,CAT,Industrials
1965-03,1.108,CAT,Industrials
1965-04,1.154,CAT,Industrials
1965-05,1.239,CAT,Industrials
1965-06,1.151,CAT,Industrials
1965-07,1.115,CAT,Industrials
1965-08,1.149,CAT,Industrials
1965-09,1.214,CAT,Industrials
1965-10,1.282,CAT,Industrials
1965-11,1.357,CAT,Industrials
1965-12,1.375,CAT,Industrials
1966-01,1.344,CAT,Industrials
1966-02,1.276,CAT,Industrials
1966-03,1.233,CAT,Industrials
1966-04,1.222,CAT,Industrials
1966-05,1.146,CAT,Industrials
1966-06,1.144,CAT,Industrials
1966-07,1.062,CAT,Industrials
1966-08,1.024,CAT,Industrials
1966-09,0.987,CAT,Industrials
1966-10,0.952,CAT,Industrials
1966-11,1.058,CAT,Industrials
1966-12,1.009,CAT,Industrials
1967-01,1.051,CAT,Industrials
1967-02,1.092,CAT,Industrials
1967-03,1.197,CAT,Industrials
1967-04,1.278,CAT,Industrials
1967-05,1.313,CAT,Industrials
1967-06,1.244,CAT,Industrials
1967-07,1.321,CAT,Industrials
1967-08,1.362,CAT,Industrials
1967-09,1.36,CAT,Industrials
1967-10,1.277,CAT,Industrials
1967-11,1.217,CAT,Industrials
1967-12,1.25,CAT,Industrials
1968-01,1.227,CAT,Industrials
1968-02,1.111,CAT,Industrials
1968-03,1.105,CAT,Industrials
1968-04,1.191,CAT,Industrials
1968-05,1.175,CAT,Industrials
1968-06,1.164,CAT,Industrials
1968-07,1.116,CAT,Industrials
1968-08,1.193,CAT,Industrials
1968-09,1.288,CAT,Industrials
1968-10,1.34,CAT,Industrials
1968-11,1.379,CAT,Industrials
1968-12,1.35,CAT,Industrials
1969-01,1.323,CAT,Industrials
1969-02,1.35,CAT,Industrials
1969-03,1.408,CAT,Industrials
1969-04,1.489,CAT,Industrials
1969-05,1.585,CAT,Industrials
1969-06,1.533,CAT,Industrials
1969-07,1.422,CAT,Industrials
1969-08,1.438,CAT,Industrials
1969-09,1.327,CAT,Industrials
1969-10,1.323,CAT,Industrials
1969-11,1.302,CAT,Industrials
1969-12,1.223,CAT,Industrials
1970-01,1.159,CAT,Industrials
1970-02,1.142,CAT,Industrials
1970-03,1.253,CAT,Industrials
1970-04,1.251,CAT,Industrials
1970-05,1.068,CAT,Industrials
1970-06,1.08,CAT,Industrials
1970-07,0.978,CAT,Industrials
1970-08,0.99,CAT,Industrials
1970-09,1.035,CAT,Industrials
1970-10,1.058,CAT,Industrials
1970-11,1.083,CAT,Industrials
1970-12,1.25,CAT,Industrials
1971-01,1.351,CAT,Industrials
1971-02,1.411,CAT,Industrials
1971-03,1.431,CAT,Industrials
1971-04,1.551,CAT,Industrials
1971-05,1.563,CAT,Industrials
1971-06,1.511,CAT,Industrials
1971-07,1.471,CAT,Industrials
1971-08,1.534,CAT,Industrials
1971-09,1.614,CAT,Industrials
1971-10,1.417,CAT,Industrials
1971-11,1.279,CAT,Industrials
1971-12,1.39,CAT,Industrials
1972-01,1.447,CAT,Industrials
1972-02,1.482,CAT,Industrials
1972-03,1.564,CAT,Industrials
1972-04,1.641,CAT,Industrials
1972-05,1.635,CAT,Industrials
1972-06,1.722,CAT,Industrials
1972-07,1.809,CAT,Industrials
1972-08,1.933,CAT,Industrials
1972-09,1.965,CAT,Industrials
1972-10,1.875,CAT,Industrials
1972-11,2.045,CAT,Industrials
1972-12,2.02,CAT,Industrials
1973-01,1.999,CAT,Industrials
1973-02,1.949,CAT,Industrials
1973-03,1.919,CAT,Industrials
1973-04,1.906,CAT,Industrials
1973-05,1.857,CAT,Industrials
1973-06,1.687,CAT,Industrials
1973-07,1.806,CAT,Industrials
1973-08,1.848,CAT,Industrials
1973-09,2.047,CAT,Industrials
1973-10,2.213,CAT,Industrials
1973-11,2.003,CAT,Industrials
1973-12,1.929,CAT,Industrials
1974-01,1.91,CAT,Industrials
1974-02,1.764,CAT,Industrials
1974-03,1.809,CAT,Industrials
1974-04,1.736,CAT,Industrials
1974-05,1.828,CAT,Industrials
1974-06,1.879,CAT,Industrials
1974-07,1.717,CAT,Industrials
1974-08,1.548,CAT,Industrials
1974-09,1.394,CAT,Industrials
1974-10,1.43,CAT,Industrials
1974-11,1.596,CAT,Industrials
1974-12,1.401,CAT,Industrials
