date,average,ticker,industry
1998-08,7.898,CCI,Real Estate
1998-09,5.832,CCI,Real Estate
1998-10,6.189,CCI,Real Estate
1998-11,8.128,CCI,Real Estate
1998-12,11.366,CCI,Real Estate
1999-01,14.142,CCI,Real Estate
1999-02,13.167,CCI,Real Estate
1999-03,12.221,CCI,Real Estate
1999-04,12.083,CCI,Real Estate
1999-05,13.058,CCI,Real Estate
1999-06,12.509,CCI,Real Estate
1999-07,14.932,CCI,Real Estate
1999-08,11.901,CCI,Real Estate
1999-09,12.486,CCI,Real Estate
1999-10,12.059,CCI,Real Estate
1999-11,13.164,CCI,Real Estate
1999-12,17.479,CCI,Real Estate
2000-01,20.575,CCI,Real Estate
2000-02,22.288,CCI,Real Estate
2000-03,26.371,CCI,Real Estate
2000-04,23.607,CCI,Real Estate
2000-05,19.925,CCI,Real Estate
2000-06,23.079,CCI,Real Estate
2000-07,23.691,CCI,Real Estate
2000-08,24.162,CCI,Real Estate
2000-09,20.135,CCI,Real Estate
2000-10,17.464,CCI,Real Estate
2000-11,18.634,CCI,Real Estate
2000-12,16.697,CCI,Real Estate
2001-01,18.145,CCI,Real Estate
2001-02,17.254,CCI,Real Estate
2001-03,12.607,CCI,Real Estate
2001-04,12.596,CCI,Real Estate
2001-05,12.638,CCI,Real Estate
2001-06,10.05,CCI,Real Estate
2001-07,8.23,CCI,Real Estate
2001-08,6.033,CCI,Real Estate
2001-09,5.769,CCI,Real Estate
2001-10,7.109,CCI,Real Estate
2001-11,7.441,CCI,Real Estate
2001-12,6.689,CCI,Real Estate
2002-01,5.731,CCI,Real Estate
2002-02,4.161,CCI,Real Estate
2002-03,5.027,CCI,Real Estate
2002-04,4.192,CCI,Real Estate
2002-05,3.346,CCI,Real Estate
2002-06,2.746,CCI,Real Estate
2002-07,2.114,CCI,Real Estate
2002-08,1.225,CCI,Real Estate
2002-09,1.567,CCI,Real Estate
2002-10,1.495,CCI,Real Estate
2002-11,2.343,CCI,Real Estate
2002-12,2.291,CCI,Real Estate
2003-01,2.662,CCI,Real Estate
2003-02,2.436,CCI,Real Estate
2003-03,3.252,CCI,Real Estate
2003-04,4.1,CCI,Real Estate
2003-05,4.794,CCI,Real Estate
2003-06,5.318,CCI,Real Estate
2003-07,6.407,CCI,Real Estate
2003-08,6.734,CCI,Real Estate
2003-09,6.734,CCI,Real Estate
2003-10,7.504,CCI,Real Estate
2003-11,8.023,CCI,Real Estate
2003-12,7.713,CCI,Real Estate
2004-01,8.185,CCI,Real Estate
2004-02,8.029,CCI,Real Estate
2004-03,8.423,CCI,Real Estate
2004-04,9.445,CCI,Real Estate
2004-05,9.327,CCI,Real Estate
2004-06,9.909,CCI,Real Estate
2004-07,9.468,CCI,Real Estate
2004-08,8.948,CCI,Real Estate
2004-09,9.64,CCI,Real Estate
2004-10,10.099,CCI,Real Estate
2004-11,10.804,CCI,Real Estate
2004-12,10.967,CCI,Real Estate
2005-01,11.096,CCI,Real Estate
2005-02,10.802,CCI,Real Estate
2005-03,10.69,CCI,Real Estate
2005-04,10.835,CCI,Real Estate
2005-05,11.109,CCI,Real Estate
2005-06,12.475,CCI,Real Estate
2005-07,13.695,CCI,Real Estate
2005-08,15.102,CCI,Real Estate
2005-09,16.151,CCI,Real Estate
2005-10,16.074,CCI,Real Estate
2005-11,17.743,CCI,Real Estate
2005-12,17.945,CCI,Real Estate
2006-01,19.351,CCI,Real Estate
2006-02,20.503,CCI,Real Estate
2006-03,19.543,CCI,Real Estate
2006-04,20.262,CCI,Real Estate
2006-05,21.935,CCI,Real Estate
2006-06,21.503,CCI,Real Estate
2006-07,22.529,CCI,Real Estate
2006-08,22.395,CCI,Real Estate
2006-09,23.014,CCI,Real Estate
2006-10,22.395,CCI,Real Estate
2006-11,22.412,CCI,Real Estate
2006-12,22.065,CCI,Real Estate
2007-01,22.586,CCI,Real Estate
2007-02,22.867,CCI,Real Estate
2007-03,21.502,CCI,Real Estate
2007-04,22.435,CCI,Real Estate
2007-05,23.351,CCI,Real Estate
2007-06,23.6,CCI,Real Estate
2007-07,24.679,CCI,Real Estate
2007-08,24.375,CCI,Real Estate
2007-09,25.117,CCI,Real Estate
2007-10,26.181,CCI,Real Estate
2007-11,26.558,CCI,Real Estate
2007-12,26.842,CCI,Real Estate
2008-01,24.081,CCI,Real Estate
2008-02,23.698,CCI,Real Estate
2008-03,22.954,CCI,Real Estate
2008-04,24.99,CCI,Real Estate
2008-05,27.187,CCI,Real Estate
2008-06,27.004,CCI,Real Estate
2008-07,24.082,CCI,Real Estate
2008-08,24.637,CCI,Real Estate
2008-09,21.903,CCI,Real Estate
2008-10,14.066,CCI,Real Estate
2008-11,9.985,CCI,Real Estate
2008-12,11.198,CCI,Real Estate
2009-01,12.75,CCI,Real Estate
2009-02,12.183,CCI,Real Estate
2009-03,12.727,CCI,Real Estate
2009-04,15.523,CCI,Real Estate
2009-05,15.425,CCI,Real Estate
2009-06,15.242,CCI,Real Estate
2009-07,16.993,CCI,Real Estate
2009-08,18.502,CCI,Real Estate
2009-09,19.68,CCI,Real Estate
2009-10,21.122,CCI,Real Estate
2009-11,23.489,CCI,Real Estate
2009-12,24.868,CCI,Real Estate
2010-01,25.442,CCI,Real Estate
2010-02,24.576,CCI,Real Estate
2010-03,25.513,CCI,Real Estate
2010-04,25.018,CCI,Real Estate
2010-05,24.244,CCI,Real Estate
2010-06,25.106,CCI,Real Estate
2010-07,25.217,CCI,Real Estate
2010-08,26.686,CCI,Real Estate
2010-09,28.128,CCI,Real Estate
2010-10,28.219,CCI,Real Estate
2010-11,27.999,CCI,Real Estate
2010-12,28.134,CCI,Real Estate
2011-01,28.085,CCI,Real Estate
2011-02,29.139,CCI,Real Estate
2011-03,26.432,CCI,Real Estate
2011-04,28.413,CCI,Real Estate
2011-05,27.59,CCI,Real Estate
2011-06,26.768,CCI,Real Estate
2011-07,28.069,CCI,Real Estate
2011-08,27.309,CCI,Real Estate
2011-09,28.021,CCI,Real Estate
2011-10,27.803,CCI,Real Estate
2011-11,27.093,CCI,Real Estate
2011-12,28.782,CCI,Real Estate
2012-01,30.574,CCI,Real Estate
2012-02,33.31,CCI,Real Estate
2012-03,35.14,CCI,Real Estate
2012-04,36.008,CCI,Real Estate
2012-05,36.214,CCI,Real Estate
2012-06,37.359,CCI,Real Estate
2012-07,39.536,CCI,Real Estate
2012-08,41.212,CCI,Real Estate
2012-09,42.425,CCI,Real Estate
2012-10,43.396,CCI,Real Estate
2012-11,44.027,CCI,Real Estate
2012-12,46.188,CCI,Real Estate
2013-01,48.461,CCI,Real Estate
2013-02,45.812,CCI,Real Estate
2013-03,46.774,CCI,Real Estate
2013-04,48.631,CCI,Real Estate
2013-05,50.548,CCI,Real Estate
2013-06,46.138,CCI,Real Estate
