date,average,ticker,industry
2010-01,32.457,CHTR,Communication Services
2010-02,29.874,CHTR,Communication Services
2010-03,33.17,CHTR,Communication Services
2010-04,35.72,CHTR,Communication Services
2010-05,37.59,CHTR,Communication Services
2010-06,34.987,CHTR,Communication Services
2010-07,35.688,CHTR,Communication Services
2010-08,35.37,CHTR,Communication Services
2010-09,33.961,CHTR,Communication Services
2010-10,32.748,CHTR,Communication Services
2010-11,35.052,CHTR,Communication Services
2010-12,37.103,CHTR,Communication Services
2011-01,40.556,CHTR,Communication Services
2011-02,44.855,CHTR,Communication Services
2011-03,48.23,CHTR,Communication Services
2011-04,54.986,CHTR,Communication Services
2011-05,57.399,CHTR,Communication Services
2011-06,56.22,CHTR,Communication Services
2011-07,57.428,CHTR,Communication Services
2011-08,47.713,CHTR,Communication Services
2011-09,48.482,CHTR,Communication Services
2011-10,48.149,CHTR,Communication Services
2011-11,51.91,CHTR,Communication Services
2011-12,54.062,CHTR,Communication Services
2012-01,57.044,CHTR,Communication Services
2012-02,60.818,CHTR,Communication Services
2012-03,63.026,CHTR,Communication Services
2012-04,61.232,CHTR,Communication Services
2012-05,64.101,CHTR,Communication Services
2012-06,66.181,CHTR,Communication Services
2012-07,73.564,CHTR,Communication Services
2012-08,77.628,CHTR,Communication Services
2012-09,78.496,CHTR,Communication Services
2012-10,76.679,CHTR,Communication Services
2012-11,70.426,CHTR,Communication Services
2012-12,71.658,CHTR,Communication Services
2013-01,78.948,CHTR,Communication Services
2013-02,81.061,CHTR,Communication Services
2013-03,95.11,CHTR,Communication Services
2013-04,103.455,CHTR,Communication Services
2013-05,110.676,CHTR,Communication Services
2013-06,116.049,CHTR,Communication Services
2013-07,125.922,CHTR,Communication Services
2013-08,125.067,CHTR,Communication Services
2013-09,129.969,CHTR,Communication Services
2013-10,135.584,CHTR,Communication Services
2013-11,130.902,CHTR,Communication Services
2013-12,131.046,CHTR,Communication Services
2014-01,135.597,CHTR,Communication Services
2014-02,131.243,CHTR,Communication Services
2014-03,125.904,CHTR,Communication Services
2014-04,125.222,CHTR,Communication Services
2014-05,138.91,CHTR,Communication Services
2014-06,149.761,CHTR,Communication Services
2014-07,162.011,CHTR,Communication Services
2014-08,155.013,CHTR,Communication Services
2014-09,158.251,CHTR,Communication Services
2014-10,150.822,CHTR,Communication Services
2014-11,157.873,CHTR,Communication Services
2014-12,165.78,CHTR,Communication Services
2015-01,158.558,CHTR,Communication Services
