date,average,ticker,industry
1973-05,0.429,CL,Consumer Staples
1973-06,0.379,CL,Consumer Staples
1973-07,0.435,CL,Consumer Staples
1973-08,0.447,CL,Consumer Staples
1973-09,0.458,CL,Consumer Staples
1973-10,0.463,CL,Consumer Staples
1973-11,0.426,CL,Consumer Staples
1973-12,0.368,CL,Consumer Staples
1974-01,0.332,CL,Consumer Staples
1974-02,0.342,CL,Consumer Staples
1974-03,0.379,CL,Consumer Staples
1974-04,0.371,CL,Consumer Staples
1974-05,0.373,CL,Consumer Staples
1974-06,0.409,CL,Consumer Staples
1974-07,0.367,CL,Consumer Staples
1974-08,0.316,CL,Consumer Staples
1974-09,0.269,CL,Consumer Staples
1974-10,0.311,CL,Consumer Staples
1974-11,0.345,CL,Consumer Staples
1974-12,0.324,CL,Consumer Staples
1975-01,0.343,CL,Consumer Staples
1975-02,0.39,CL,Consumer Staples
1975-03,0.419,CL,Consumer Staples
1975-04,0.422,CL,Consumer Staples
1975-05,0.459,CL,Consumer Staples
1975-06,0.468,CL,Consumer Staples
1975-07,0.445,CL,Consumer Staples
1975-08,0.4,CL,Consumer Staples
1975-09,0.379,CL,Consumer Staples
1975-10,0.428,CL,Consumer Staples
1975-11,0.418,CL,Consumer Staples
1975-12,0.418,CL,Consumer Staples
1976-01,0.439,CL,Consumer Staples
1976-02,0.409,CL,Consumer Staples
1976-03,0.418,CL,Consumer Staples
1976-04,0.396,CL,Consumer Staples
1976-05,0.373,CL,Consumer Staples
1976-06,0.377,CL,Consumer Staples
1976-07,0.417,CL,Consumer Staples
1976-08,0.418,CL,Consumer Staples
1976-09,0.423,CL,Consumer Staples
1976-10,0.391,CL,Consumer Staples
1976-11,0.394,CL,Consumer Staples
1976-12,0.405,CL,Consumer Staples
1977-01,0.386,CL,Consumer Staples
1977-02,0.381,CL,Consumer Staples
1977-03,0.383,CL,Consumer Staples
1977-04,0.381,CL,Consumer Staples
1977-05,0.38,CL,Consumer Staples
1977-06,0.385,CL,Consumer Staples
1977-07,0.393,CL,Consumer Staples
1977-08,0.393,CL,Consumer Staples
1977-09,0.376,CL,Consumer Staples
1977-10,0.359,CL,Consumer Staples
1977-11,0.365,CL,Consumer Staples
1977-12,0.348,CL,Consumer Staples
1978-01,0.324,CL,Consumer Staples
1978-02,0.315,CL,Consumer Staples
1978-03,0.318,CL,Consumer Staples
1978-04,0.331,CL,Consumer Staples
1978-05,0.343,CL,Consumer Staples
1978-06,0.35,CL,Consumer Staples
1978-07,0.331,CL,Consumer Staples
1978-08,0.341,CL,Consumer Staples
1978-09,0.341,CL,Consumer Staples
1978-10,0.315,CL,Consumer Staples
1978-11,0.29,CL,Consumer Staples
1978-12,0.279,CL,Consumer Staples
1979-01,0.307,CL,Consumer Staples
1979-02,0.297,CL,Consumer Staples
1979-03,0.289,CL,Consumer Staples
1979-04,0.3,CL,Consumer Staples
1979-05,0.293,CL,Consumer Staples
1979-06,0.277,CL,Consumer Staples
1979-07,0.283,CL,Consumer Staples
1979-08,0.304,CL,Consumer Staples
1979-09,0.299,CL,Consumer Staples
1979-10,0.276,CL,Consumer Staples
1979-11,0.25,CL,Consumer Staples
1979-12,0.26,CL,Consumer Staples
1980-01,0.249,CL,Consumer Staples
1980-02,0.239,CL,Consumer Staples
1980-03,0.221,CL,Consumer Staples
1980-04,0.224,CL,Consumer Staples
1980-05,0.263,CL,Consumer Staples
