date,average,ticker,industry
1981-12,1.033,COP,Energy
1982-01,0.962,COP,Energy
1982-02,0.906,COP,Energy
1982-03,0.757,COP,Energy
1982-04,0.818,COP,Energy
1982-05,0.834,COP,Energy
1982-06,0.807,COP,Energy
1982-07,0.747,COP,Energy
1982-08,0.686,COP,Energy
1982-09,0.778,COP,Energy
1982-10,0.867,COP,Energy
1982-11,0.87,COP,Energy
1982-12,0.877,COP,Energy
1983-01,0.929,COP,Energy
1983-02,0.871,COP,Energy
1983-03,0.895,COP,Energy
1983-04,0.952,COP,Energy
1983-05,0.967,COP,Energy
1983-06,0.961,COP,Energy
1983-07,1.003,COP,Energy
1983-08,1.037,COP,Energy
1983-09,1.029,COP,Energy
1983-10,0.975,COP,Energy
1983-11,0.977,COP,Energy
1983-12,0.97,COP,Energy
1984-01,1.084,COP,Energy
1984-02,1.186,COP,Energy
1984-03,1.169,COP,Energy
1984-04,1.223,COP,Energy
1984-05,1.23,COP,Energy
1984-06,1.105,COP,Energy
1984-07,1.087,COP,Energy
1984-08,1.14,COP,Energy
1984-09,1.217,COP,Energy
1984-10,1.228,COP,Energy
1984-11,1.333,COP,Energy
1984-12,1.568,COP,Energy
1985-01,1.407,COP,Energy
1985-02,1.535,COP,Energy
1985-03,1.4,COP,Energy
1985-04,1.234,COP,Energy
1985-05,1.239,COP,Energy
1985-06,1.22,COP,Energy
1985-07,1.196,COP,Energy
1985-08,1.195,COP,Energy
1985-09,1.157,COP,Energy
1985-10,1.242,COP,Energy
1985-11,1.307,COP,Energy
1985-12,1.206,COP,Energy
1986-01,1.171,COP,Energy
1986-02,1.026,COP,Energy
1986-03,1.03,COP,Energy
1986-04,1.074,COP,Energy
1986-05,1.067,COP,Energy
1986-06,1.028,COP,Energy
1986-07,0.949,COP,Energy
1986-08,1.041,COP,Energy
1986-09,1.1,COP,Energy
1986-10,1.106,COP,Energy
1986-11,1.145,COP,Energy
1986-12,1.206,COP,Energy
1987-01,1.35,COP,Energy
1987-02,1.429,COP,Energy
1987-03,1.579,COP,Energy
1987-04,1.675,COP,Energy
1987-05,1.726,COP,Energy
1987-06,1.773,COP,Energy
1987-07,1.935,COP,Energy
1987-08,1.944,COP,Energy
1987-09,1.836,COP,Energy
1987-10,1.583,COP,Energy
1987-11,1.237,COP,Energy
1987-12,1.267,COP,Energy
1988-01,1.498,COP,Energy
1988-02,1.622,COP,Energy
1988-03,1.832,COP,Energy
1988-04,1.994,COP,Energy
1988-05,1.947,COP,Energy
1988-06,1.951,COP,Energy
1988-07,1.888,COP,Energy
1988-08,1.971,COP,Energy
1988-09,2.106,COP,Energy
1988-10,2.352,COP,Energy
1988-11,2.248,COP,Energy
1988-12,2.315,COP,Energy
1989-01,2.431,COP,Energy
1989-02,2.484,COP,Energy
1989-03,2.668,COP,Energy
1989-04,2.722,COP,Energy
1989-05,2.742,COP,Energy
1989-06,2.723,COP,Energy
1989-07,2.746,COP,Energy
1989-08,2.965,COP,Energy
1989-09,3.24,COP,Energy
1989-10,2.997,COP,Energy
1989-11,2.763,COP,Energy
1989-12,3.01,COP,Energy
1990-01,2.929,COP,Energy
1990-02,3.2,COP,Energy
1990-03,3.155,COP,Energy
1990-04,3.116,COP,Energy
1990-05,3.293,COP,Energy
1990-06,3.231,COP,Energy
1990-07,3.424,COP,Energy
1990-08,3.603,COP,Energy
1990-09,3.544,COP,Energy
1990-10,3.237,COP,Energy
1990-11,3.32,COP,Energy
1990-12,3.288,COP,Energy
1991-01,3.196,COP,Energy
1991-02,3.459,COP,Energy
1991-03,3.614,COP,Energy
1991-04,3.587,COP,Energy
1991-05,3.398,COP,Energy
1991-06,3.368,COP,Energy
1991-07,3.352,COP,Energy
1991-08,3.369,COP,Energy
1991-09,3.416,COP,Energy
1991-10,3.478,COP,Energy
1991-11,3.248,COP,Energy
1991-12,3.001,COP,Energy
1992-01,3.16,COP,Energy
1992-02,3.064,COP,Energy
1992-03,3.105,COP,Energy
1992-04,3.178,COP,Energy
1992-05,3.385,COP,Energy
1992-06,3.477,COP,Energy
1992-07,3.597,COP,Energy
1992-08,3.808,COP,Energy
1992-09,3.786,COP,Energy
1992-10,3.488,COP,Energy
1992-11,3.318,COP,Energy
1992-12,3.388,COP,Energy
1993-01,3.482,COP,Energy
1993-02,3.83,COP,Energy
1993-03,3.978,COP,Energy
1993-04,4.102,COP,Energy
1993-05,4.193,COP,Energy
1993-06,4.255,COP,Energy
1993-07,4.121,COP,Energy
1993-08,4.475,COP,Energy
1993-09,4.573,COP,Energy
1993-10,4.78,COP,Energy
1993-11,4.417,COP,Energy
1993-12,4.031,COP,Energy
1994-01,4.223,COP,Energy
1994-02,4.215,COP,Energy
1994-03,4.033,COP,Energy
1994-04,4.345,COP,Energy
1994-05,4.728,COP,Energy
1994-06,4.769,COP,Energy
1994-07,4.803,COP,Energy
1994-08,4.742,COP,Energy
1994-09,4.971,COP,Energy
1994-10,5.109,COP,Energy
1994-11,5.066,COP,Energy
1994-12,4.903,COP,Energy
1995-01,4.714,COP,Energy
1995-02,4.877,COP,Energy
1995-03,5.251,COP,Energy
1995-04,5.279,COP,Energy
1995-05,5.461,COP,Energy
1995-06,5.147,COP,Energy
1995-07,5.224,COP,Energy
1995-08,5.087,COP,Energy
1995-09,5.1,COP,Energy
1995-10,4.801,COP,Energy
1995-11,5.038,COP,Energy
1995-12,5.185,COP,Energy
1996-01,5.073,COP,Energy
1996-02,5.311,COP,Energy
1996-03,5.937,COP,Energy
1996-04,6.18,COP,Energy
1996-05,6.328,COP,Energy
1996-06,6.397,COP,Energy
1996-07,6.544,COP,Energy
1996-08,6.373,COP,Energy
1996-09,6.609,COP,Energy
1996-10,6.668,COP,Energy
1996-11,6.734,COP,Energy
1996-12,6.985,COP,Energy
1997-01,7.158,COP,Energy
1997-02,6.916,COP,Energy
1997-03,6.645,COP,Energy
1997-04,6.234,COP,Energy
1997-05,6.676,COP,Energy
1997-06,7.041,COP,Energy
1997-07,7.262,COP,Energy
1997-08,7.744,COP,Energy
1997-09,8.077,COP,Energy
1997-10,8.042,COP,Energy
1997-11,8.149,COP,Energy
1997-12,7.931,COP,Energy
1998-01,7.338,COP,Energy
1998-02,7.613,COP,Energy
1998-03,8.241,COP,Energy
1998-04,8.214,COP,Energy
1998-05,8.305,COP,Energy
