date,average,ticker,industry
2004-06,4.075,CRM,Tech
2004-07,3.715,CRM,Tech
2004-08,2.926,CRM,Tech
2004-09,3.752,CRM,Tech
2004-10,4.523,CRM,Tech
2004-11,4.863,CRM,Tech
2004-12,4.097,CRM,Tech
2005-01,3.811,CRM,Tech
2005-02,3.59,CRM,Tech
2005-03,3.867,CRM,Tech
2005-04,3.707,CRM,Tech
2005-05,4.171,CRM,Tech
2005-06,5.052,CRM,Tech
2005-07,5.376,CRM,Tech
2005-08,5.438,CRM,Tech
2005-09,5.582,CRM,Tech
2005-10,5.838,CRM,Tech
2005-11,7.067,CRM,Tech
2005-12,8.367,CRM,Tech
2006-01,9.759,CRM,Tech
2006-02,8.972,CRM,Tech
2006-03,9.388,CRM,Tech
2006-04,8.596,CRM,Tech
2006-05,7.853,CRM,Tech
2006-06,6.793,CRM,Tech
2006-07,5.943,CRM,Tech
2006-08,7.42,CRM,Tech
2006-09,8.795,CRM,Tech
2006-10,9.871,CRM,Tech
2006-11,10.256,CRM,Tech
2006-12,9.454,CRM,Tech
2007-01,10.267,CRM,Tech
2007-02,11.802,CRM,Tech
2007-03,10.664,CRM,Tech
2007-04,10.735,CRM,Tech
2007-05,11.061,CRM,Tech
2007-06,11.136,CRM,Tech
2007-07,10.764,CRM,Tech
2007-08,10.283,CRM,Tech
2007-09,11.487,CRM,Tech
2007-10,13.407,CRM,Tech
2007-11,13.264,CRM,Tech
2007-12,14.915,CRM,Tech
2008-01,13.645,CRM,Tech
2008-02,13.336,CRM,Tech
2008-03,14.402,CRM,Tech
2008-04,15.913,CRM,Tech
2008-05,16.894,CRM,Tech
2008-06,17.743,CRM,Tech
2008-07,16.404,CRM,Tech
2008-08,15.825,CRM,Tech
2008-09,13.306,CRM,Tech
2008-10,8.32,CRM,Tech
2008-11,6.663,CRM,Tech
2008-12,7.854,CRM,Tech
2009-01,7.321,CRM,Tech
2009-02,6.871,CRM,Tech
2009-03,8.165,CRM,Tech
2009-04,9.51,CRM,Tech
2009-05,10.01,CRM,Tech
2009-06,9.837,CRM,Tech
2009-07,10.08,CRM,Tech
2009-08,11.971,CRM,Tech
2009-09,13.921,CRM,Tech
2009-10,14.975,CRM,Tech
2009-11,15.664,CRM,Tech
2009-12,16.883,CRM,Tech
2010-01,17.19,CRM,Tech
2010-02,16.453,CRM,Tech
2010-03,18.588,CRM,Tech
2010-04,20.639,CRM,Tech
2010-05,20.961,CRM,Tech
2010-06,22.777,CRM,Tech
2010-07,23.392,CRM,Tech
2010-08,25.929,CRM,Tech
2010-09,29.319,CRM,Tech
2010-10,27.019,CRM,Tech
2010-11,30.761,CRM,Tech
2010-12,34.695,CRM,Tech
2011-01,34.025,CRM,Tech
2011-02,34.229,CRM,Tech
2011-03,31.592,CRM,Tech
2011-04,33.688,CRM,Tech
2011-05,34.577,CRM,Tech
2011-06,35.535,CRM,Tech
2011-07,37.8,CRM,Tech
2011-08,31.76,CRM,Tech
2011-09,31.099,CRM,Tech
2011-10,31.569,CRM,Tech
2011-11,30.709,CRM,Tech
2011-12,27.429,CRM,Tech
2012-01,27.066,CRM,Tech
2012-02,32.381,CRM,Tech
2012-03,37.348,CRM,Tech
2012-04,38.898,CRM,Tech
2012-05,36.25,CRM,Tech
2012-06,33.363,CRM,Tech
2012-07,32.677,CRM,Tech
2012-08,35.165,CRM,Tech
2012-09,38.008,CRM,Tech
2012-10,37.671,CRM,Tech
2012-11,37.054,CRM,Tech
2012-12,40.965,CRM,Tech
2013-01,42.749,CRM,Tech
2013-02,42.5,CRM,Tech
2013-03,44.561,CRM,Tech
2013-04,41.432,CRM,Tech
2013-05,43.614,CRM,Tech
2013-06,37.944,CRM,Tech
2013-07,41.15,CRM,Tech
2013-08,44.293,CRM,Tech
2013-09,50.621,CRM,Tech
2013-10,52.463,CRM,Tech
2013-11,54.532,CRM,Tech
2013-12,52.903,CRM,Tech
2014-01,57.759,CRM,Tech
2014-02,62.21,CRM,Tech
2014-03,58.845,CRM,Tech
2014-04,54.503,CRM,Tech
2014-05,52.118,CRM,Tech
2014-06,54.713,CRM,Tech
2014-07,54.737,CRM,Tech
2014-08,55.393,CRM,Tech
2014-09,58.147,CRM,Tech
2014-10,57.123,CRM,Tech
2014-11,61.543,CRM,Tech
2014-12,57.897,CRM,Tech
2015-01,57.399,CRM,Tech
2015-02,61.391,CRM,Tech
2015-03,66.026,CRM,Tech
2015-04,67.695,CRM,Tech
2015-05,72.367,CRM,Tech
2015-06,72.64,CRM,Tech
2015-07,71.668,CRM,Tech
2015-08,70.168,CRM,Tech
2015-09,69.838,CRM,Tech
2015-10,76.207,CRM,Tech
2015-11,78.509,CRM,Tech
2015-12,78.587,CRM,Tech
2016-01,71.507,CRM,Tech
2016-02,62.543,CRM,Tech
2016-03,71.488,CRM,Tech
2016-04,75.446,CRM,Tech
2016-05,78.022,CRM,Tech
2016-06,80.826,CRM,Tech
2016-07,80.816,CRM,Tech
2016-08,79.195,CRM,Tech
2016-09,72.938,CRM,Tech
2016-10,72.701,CRM,Tech
2016-11,74.253,CRM,Tech
2016-12,69.8,CRM,Tech
2017-01,75.296,CRM,Tech
2017-02,80.592,CRM,Tech
2017-03,82.34,CRM,Tech
2017-04,83.822,CRM,Tech
2017-05,87.974,CRM,Tech
2017-06,87.909,CRM,Tech
2017-07,88.947,CRM,Tech
2017-08,91.222,CRM,Tech
2017-09,94.65,CRM,Tech
2017-10,97.074,CRM,Tech
2017-11,104.743,CRM,Tech
2017-12,102.836,CRM,Tech
2018-01,109.862,CRM,Tech
2018-02,111.044,CRM,Tech
2018-03,121.762,CRM,Tech
2018-04,119.275,CRM,Tech
2018-05,126.795,CRM,Tech
2018-06,134.991,CRM,Tech
2018-07,143.63,CRM,Tech
2018-08,145.98,CRM,Tech
2018-09,154.399,CRM,Tech
2018-10,143.729,CRM,Tech
2018-11,132.164,CRM,Tech
2018-12,134.021,CRM,Tech
2019-01,145.425,CRM,Tech
2019-02,159.039,CRM,Tech
2019-03,158.921,CRM,Tech
2019-04,159.669,CRM,Tech
2019-05,156.212,CRM,Tech
2019-06,151.971,CRM,Tech
2019-07,156.071,CRM,Tech
2019-08,146.18,CRM,Tech
2019-09,151.685,CRM,Tech
2019-10,147.999,CRM,Tech
2019-11,160.975,CRM,Tech
2019-12,160.228,CRM,Tech
2020-01,179.162,CRM,Tech
2020-02,185.148,CRM,Tech
2020-03,150.131,CRM,Tech
2020-04,151.429,CRM,Tech
2020-05,171.555,CRM,Tech
2020-06,179.874,CRM,Tech
2020-07,191.538,CRM,Tech
2020-08,214.583,CRM,Tech
2020-09,248.944,CRM,Tech
2020-10,251.912,CRM,Tech
2020-11,251.154,CRM,Tech
2020-12,224.082,CRM,Tech
2021-01,219.858,CRM,Tech
2021-02,236.988,CRM,Tech
2021-03,210.432,CRM,Tech
2021-04,228.292,CRM,Tech
2021-05,219.316,CRM,Tech
2021-06,239.774,CRM,Tech
2021-07,242.99,CRM,Tech
2021-08,251.812,CRM,Tech
2021-09,263.752,CRM,Tech
2021-10,284.348,CRM,Tech
2021-11,299.668,CRM,Tech
2021-12,256.331,CRM,Tech
2022-01,227.082,CRM,Tech
2022-02,210.066,CRM,Tech
2022-03,206.582,CRM,Tech
2022-04,189.612,CRM,Tech
2022-05,164.408,CRM,Tech
2022-06,174.367,CRM,Tech
2022-07,173.39,CRM,Tech
2022-08,180.223,CRM,Tech
2022-09,151.966,CRM,Tech
2022-10,152.988,CRM,Tech
2022-11,150.883,CRM,Tech
2022-12,131.953,CRM,Tech
2023-01,149.864,CRM,Tech
