date,average,ticker,industry
1962-01,0.323,CVX,Energy
1962-02,0.35,CVX,Energy
1962-03,0.351,CVX,Energy
1962-04,0.352,CVX,Energy
1962-05,0.349,CVX,Energy
1962-06,0.321,CVX,Energy
1962-07,0.331,CVX,Energy
1962-08,0.347,CVX,Energy
1962-09,0.358,CVX,Energy
1962-10,0.347,CVX,Energy
1962-11,0.362,CVX,Energy
1962-12,0.397,CVX,Energy
1963-01,0.413,CVX,Energy
1963-02,0.416,CVX,Energy
1963-03,0.426,CVX,Energy
1963-04,0.442,CVX,Energy
1963-05,0.426,CVX,Energy
1963-06,0.425,CVX,Energy
1963-07,0.429,CVX,Energy
1963-08,0.438,CVX,Energy
1963-09,0.443,CVX,Energy
1963-10,0.425,CVX,Energy
1963-11,0.406,CVX,Energy
1963-12,0.399,CVX,Energy
1964-01,0.417,CVX,Energy
1964-02,0.417,CVX,Energy
1964-03,0.409,CVX,Energy
1964-04,0.422,CVX,Energy
1964-05,0.428,CVX,Energy
1964-06,0.43,CVX,Energy
1964-07,0.448,CVX,Energy
1964-08,0.44,CVX,Energy
1964-09,0.443,CVX,Energy
1964-10,0.453,CVX,Energy
1964-11,0.485,CVX,Energy
1964-12,0.482,CVX,Energy
1965-01,0.509,CVX,Energy
1965-02,0.496,CVX,Energy
1965-03,0.48,CVX,Energy
1965-04,0.482,CVX,Energy
1965-05,0.487,CVX,Energy
1965-06,0.479,CVX,Energy
1965-07,0.497,CVX,Energy
1965-08,0.52,CVX,Energy
1965-09,0.535,CVX,Energy
1965-10,0.546,CVX,Energy
1965-11,0.552,CVX,Energy
1965-12,0.557,CVX,Energy
1966-01,0.576,CVX,Energy
1966-02,0.56,CVX,Energy
1966-03,0.519,CVX,Energy
1966-04,0.535,CVX,Energy
1966-05,0.499,CVX,Energy
1966-06,0.477,CVX,Energy
1966-07,0.463,CVX,Energy
1966-08,0.44,CVX,Energy
1966-09,0.436,CVX,Energy
1966-10,0.447,CVX,Energy
1966-11,0.462,CVX,Energy
1966-12,0.467,CVX,Energy
1967-01,0.45,CVX,Energy
1967-02,0.458,CVX,Energy
1967-03,0.441,CVX,Energy
1967-04,0.439,CVX,Energy
1967-05,0.452,CVX,Energy
1967-06,0.423,CVX,Energy
1967-07,0.425,CVX,Energy
1967-08,0.435,CVX,Energy
1967-09,0.447,CVX,Energy
1967-10,0.458,CVX,Energy
1967-11,0.449,CVX,Energy
1967-12,0.479,CVX,Energy
1968-01,0.464,CVX,Energy
1968-02,0.465,CVX,Energy
1968-03,0.459,CVX,Energy
1968-04,0.478,CVX,Energy
1968-05,0.479,CVX,Energy
1968-06,0.484,CVX,Energy
1968-07,0.506,CVX,Energy
1968-08,0.505,CVX,Energy
1968-09,0.522,CVX,Energy
1968-10,0.536,CVX,Energy
1968-11,0.559,CVX,Energy
1968-12,0.585,CVX,Energy
1969-01,0.537,CVX,Energy
1969-02,0.553,CVX,Energy
1969-03,0.533,CVX,Energy
1969-04,0.549,CVX,Energy
1969-05,0.582,CVX,Energy
1969-06,0.553,CVX,Energy
1969-07,0.507,CVX,Energy
1969-08,0.489,CVX,Energy
1969-09,0.483,CVX,Energy
1969-10,0.457,CVX,Energy
1969-11,0.462,CVX,Energy
1969-12,0.414,CVX,Energy
1970-01,0.413,CVX,Energy
1970-02,0.38,CVX,Energy
1970-03,0.379,CVX,Energy
1970-04,0.366,CVX,Energy
1970-05,0.346,CVX,Energy
1970-06,0.356,CVX,Energy
1970-07,0.353,CVX,Energy
1970-08,0.389,CVX,Energy
1970-09,0.404,CVX,Energy
1970-10,0.414,CVX,Energy
1970-11,0.425,CVX,Energy
1970-12,0.464,CVX,Energy
1971-01,0.464,CVX,Energy
1971-02,0.479,CVX,Energy
1971-03,0.512,CVX,Energy
1971-04,0.541,CVX,Energy
1971-05,0.533,CVX,Energy
1971-06,0.518,CVX,Energy
1971-07,0.516,CVX,Energy
1971-08,0.5,CVX,Energy
1971-09,0.506,CVX,Energy
1971-10,0.499,CVX,Energy
1971-11,0.483,CVX,Energy
1971-12,0.51,CVX,Energy
1972-01,0.552,CVX,Energy
1972-02,0.549,CVX,Energy
1972-03,0.548,CVX,Energy
1972-04,0.524,CVX,Energy
1972-05,0.542,CVX,Energy
1972-06,0.571,CVX,Energy
1972-07,0.585,CVX,Energy
1972-08,0.625,CVX,Energy
1972-09,0.645,CVX,Energy
1972-10,0.69,CVX,Energy
1972-11,0.742,CVX,Energy
1972-12,0.768,CVX,Energy
1973-01,0.82,CVX,Energy
1973-02,0.797,CVX,Energy
1973-03,0.793,CVX,Energy
