date,average,ticker,industry
1977-01,6.928,C,Financial
1977-02,6.911,C,Financial
1977-03,6.999,C,Financial
1977-04,7.061,C,Financial
1977-05,7.116,C,Financial
1977-06,7.072,C,Financial
1977-07,7.277,C,Financial
1977-08,7.042,C,Financial
1977-09,7.039,C,Financial
1977-10,6.775,C,Financial
1977-11,6.666,C,Financial
1977-12,6.831,C,Financial
1978-01,6.557,C,Financial
1978-02,6.455,C,Financial
1978-03,6.287,C,Financial
1978-04,6.874,C,Financial
1978-05,7.133,C,Financial
1978-06,7.355,C,Financial
1978-07,7.417,C,Financial
1978-08,7.558,C,Financial
1978-09,7.103,C,Financial
1978-10,6.714,C,Financial
1978-11,6.423,C,Financial
1978-12,6.326,C,Financial
1979-01,6.453,C,Financial
1979-02,6.332,C,Financial
1979-03,6.519,C,Financial
1979-04,6.679,C,Financial
1979-05,6.731,C,Financial
1979-06,6.788,C,Financial
1979-07,7.014,C,Financial
1979-08,6.958,C,Financial
1979-09,6.95,C,Financial
1979-10,6.43,C,Financial
1979-11,6.205,C,Financial
1979-12,6.178,C,Financial
1980-01,6.318,C,Financial
1980-02,5.805,C,Financial
1980-03,5.199,C,Financial
1980-04,5.186,C,Financial
1980-05,5.494,C,Financial
1980-06,5.78,C,Financial
1980-07,5.735,C,Financial
1980-08,5.739,C,Financial
1980-09,5.801,C,Financial
1980-10,5.707,C,Financial
1980-11,5.35,C,Financial
1980-12,5.102,C,Financial
1981-01,5.401,C,Financial
1981-02,5.187,C,Financial
1981-03,5.657,C,Financial
1981-04,7.501,C,Financial
1981-05,7.238,C,Financial
1981-06,7.219,C,Financial
1981-07,6.791,C,Financial
1981-08,6.384,C,Financial
1981-09,5.695,C,Financial
1981-10,5.973,C,Financial
1981-11,6.245,C,Financial
1981-12,6.005,C,Financial
1982-01,5.686,C,Financial
1982-02,5.138,C,Financial
1982-03,4.778,C,Financial
1982-04,4.872,C,Financial
1982-05,4.783,C,Financial
1982-06,4.885,C,Financial
1982-07,4.972,C,Financial
1982-08,5.028,C,Financial
1982-09,5.531,C,Financial
1982-10,5.766,C,Financial
1982-11,5.676,C,Financial
1982-12,5.505,C,Financial
1983-01,5.718,C,Financial
1983-02,5.62,C,Financial
1983-03,5.971,C,Financial
1983-04,6.362,C,Financial
1983-05,7.511,C,Financial
1983-06,7.792,C,Financial
1983-07,7.469,C,Financial
1983-08,7.07,C,Financial
1983-09,7.621,C,Financial
1983-10,7.647,C,Financial
1983-11,8.361,C,Financial
1983-12,8.519,C,Financial
1984-01,8.893,C,Financial
1984-02,8.677,C,Financial
1984-03,8.436,C,Financial
1984-04,8.134,C,Financial
1984-05,7.68,C,Financial
1984-06,7.883,C,Financial
1984-07,7.718,C,Financial
1984-08,8.39,C,Financial
1984-09,8.419,C,Financial
