date,average,ticker,industry
1972-06,1.083,DD,Materials
1972-07,1.063,DD,Materials
1972-08,1.127,DD,Materials
1972-09,1.13,DD,Materials
1972-10,1.122,DD,Materials
1972-11,1.214,DD,Materials
1972-12,1.217,DD,Materials
1973-01,1.224,DD,Materials
1973-02,1.226,DD,Materials
1973-03,1.234,DD,Materials
1973-04,1.246,DD,Materials
1973-05,1.24,DD,Materials
1973-06,1.249,DD,Materials
1973-07,1.284,DD,Materials
1973-08,1.313,DD,Materials
1973-09,1.389,DD,Materials
1973-10,1.556,DD,Materials
1973-11,1.322,DD,Materials
1973-12,1.322,DD,Materials
1974-01,1.346,DD,Materials
1974-02,1.349,DD,Materials
1974-03,1.503,DD,Materials
1974-04,1.513,DD,Materials
1974-05,1.557,DD,Materials
1974-06,1.644,DD,Materials
1974-07,1.589,DD,Materials
1974-08,1.524,DD,Materials
1974-09,1.385,DD,Materials
1974-10,1.47,DD,Materials
1974-11,1.538,DD,Materials
1974-12,1.32,DD,Materials
1975-01,1.415,DD,Materials
1975-02,1.626,DD,Materials
1975-03,1.831,DD,Materials
1975-04,1.971,DD,Materials
1975-05,2.214,DD,Materials
1975-06,2.168,DD,Materials
1975-07,2.214,DD,Materials
1975-08,2.217,DD,Materials
1975-09,2.248,DD,Materials
1975-10,2.268,DD,Materials
1975-11,2.305,DD,Materials
1975-12,2.281,DD,Materials
1976-01,2.588,DD,Materials
1976-02,2.762,DD,Materials
1976-03,2.757,DD,Materials
1976-04,2.774,DD,Materials
1976-05,2.731,DD,Materials
1976-06,2.502,DD,Materials
1976-07,2.401,DD,Materials
1976-08,2.293,DD,Materials
1976-09,2.348,DD,Materials
1976-10,2.126,DD,Materials
1976-11,2.048,DD,Materials
1976-12,2.108,DD,Materials
1977-01,2.084,DD,Materials
1977-02,1.928,DD,Materials
1977-03,1.964,DD,Materials
1977-04,1.947,DD,Materials
1977-05,1.884,DD,Materials
1977-06,1.82,DD,Materials
1977-07,1.691,DD,Materials
1977-08,1.631,DD,Materials
1977-09,1.63,DD,Materials
1977-10,1.539,DD,Materials
1977-11,1.487,DD,Materials
1977-12,1.42,DD,Materials
1978-01,1.366,DD,Materials
1978-02,1.282,DD,Materials
1978-03,1.258,DD,Materials
1978-04,1.351,DD,Materials
1978-05,1.413,DD,Materials
1978-06,1.406,DD,Materials
1978-07,1.339,DD,Materials
1978-08,1.493,DD,Materials
1978-09,1.573,DD,Materials
1978-10,1.564,DD,Materials
1978-11,1.463,DD,Materials
1978-12,1.439,DD,Materials
1979-01,1.514,DD,Materials
1979-02,1.461,DD,Materials
1979-03,1.545,DD,Materials
1979-04,1.563,DD,Materials
1979-05,1.453,DD,Materials
1979-06,1.521,DD,Materials
1979-07,1.518,DD,Materials
1979-08,1.706,DD,Materials
1979-09,1.836,DD,Materials
1979-10,1.769,DD,Materials
1979-11,1.775,DD,Materials
1979-12,1.892,DD,Materials
1980-01,1.991,DD,Materials
1980-02,2.129,DD,Materials
1980-03,1.877,DD,Materials
1980-04,1.856,DD,Materials
1980-05,1.944,DD,Materials
1980-06,2.06,DD,Materials
1980-07,2.067,DD,Materials
1980-08,2.219,DD,Materials
1980-09,2.148,DD,Materials
1980-10,2.027,DD,Materials
1980-11,2.109,DD,Materials
1980-12,1.978,DD,Materials
1981-01,2.106,DD,Materials
1981-02,2.173,DD,Materials
1981-03,2.319,DD,Materials
1981-04,2.262,DD,Materials
1981-05,2.09,DD,Materials
1981-06,2.1,DD,Materials
1981-07,1.98,DD,Materials
1981-08,1.925,DD,Materials
1981-09,1.708,DD,Materials
1981-10,1.621,DD,Materials
1981-11,1.642,DD,Materials
1981-12,1.718,DD,Materials
1982-01,1.609,DD,Materials
1982-02,1.468,DD,Materials
1982-03,1.477,DD,Materials
1982-04,1.561,DD,Materials
1982-05,1.537,DD,Materials
1982-06,1.414,DD,Materials
1982-07,1.452,DD,Materials
1982-08,1.494,DD,Materials
1982-09,1.695,DD,Materials
1982-10,1.797,DD,Materials
1982-11,1.86,DD,Materials
1982-12,1.758,DD,Materials
1983-01,2.007,DD,Materials
1983-02,2.112,DD,Materials
1983-03,2.169,DD,Materials
1983-04,2.172,DD,Materials
1983-05,2.379,DD,Materials
1983-06,2.493,DD,Materials
1983-07,2.485,DD,Materials
1983-08,2.478,DD,Materials
1983-09,2.711,DD,Materials
1983-10,2.694,DD,Materials
1983-11,2.473,DD,Materials
1983-12,2.412,DD,Materials
1984-01,2.49,DD,Materials
1984-02,2.209,DD,Materials
1984-03,2.288,DD,Materials
1984-04,2.406,DD,Materials
1984-05,2.359,DD,Materials
1984-06,2.152,DD,Materials
1984-07,2.137,DD,Materials
1984-08,2.404,DD,Materials
1984-09,2.297,DD,Materials
1984-10,2.261,DD,Materials
1984-11,2.308,DD,Materials
1984-12,2.216,DD,Materials
1985-01,2.322,DD,Materials
1985-02,2.385,DD,Materials
1985-03,2.363,DD,Materials
1985-04,2.374,DD,Materials
1985-05,2.612,DD,Materials
1985-06,2.805,DD,Materials
1985-07,2.984,DD,Materials
1985-08,2.963,DD,Materials
1985-09,2.912,DD,Materials
1985-10,2.982,DD,Materials
1985-11,3.194,DD,Materials
1985-12,3.396,DD,Materials
1986-01,3.514,DD,Materials
1986-02,3.919,DD,Materials
1986-03,4.33,DD,Materials
1986-04,4.452,DD,Materials
1986-05,4.654,DD,Materials
1986-06,4.988,DD,Materials
1986-07,4.733,DD,Materials
1986-08,4.618,DD,Materials
1986-09,4.794,DD,Materials
1986-10,4.749,DD,Materials
1986-11,5.001,DD,Materials
1986-12,5.272,DD,Materials
1987-01,5.89,DD,Materials
1987-02,6.533,DD,Materials
1987-03,7.073,DD,Materials
1987-04,7.315,DD,Materials
1987-05,7.382,DD,Materials
1987-06,7.516,DD,Materials
1987-07,7.744,DD,Materials
1987-08,8.633,DD,Materials
1987-09,8.899,DD,Materials
1987-10,7.864,DD,Materials
1987-11,7.011,DD,Materials
1987-12,7.552,DD,Materials
1988-01,7.464,DD,Materials
1988-02,7.417,DD,Materials
1988-03,7.719,DD,Materials
1988-04,7.602,DD,Materials
1988-05,7.38,DD,Materials
1988-06,7.942,DD,Materials
1988-07,8.001,DD,Materials
1988-08,7.691,DD,Materials
1988-09,7.9,DD,Materials
1988-10,8.315,DD,Materials
1988-11,7.793,DD,Materials
1988-12,7.878,DD,Materials
1989-01,8.37,DD,Materials
1989-02,8.936,DD,Materials
1989-03,8.583,DD,Materials
1989-04,8.707,DD,Materials
1989-05,8.745,DD,Materials
1989-06,8.343,DD,Materials
1989-07,8.359,DD,Materials
1989-08,9.372,DD,Materials
1989-09,9.545,DD,Materials
1989-10,9.333,DD,Materials
1989-11,9.01,DD,Materials
1989-12,9.83,DD,Materials
1990-01,9.934,DD,Materials
1990-02,9.138,DD,Materials
1990-03,9.648,DD,Materials
1990-04,9.322,DD,Materials
1990-05,9.246,DD,Materials
1990-06,9.045,DD,Materials
1990-07,8.303,DD,Materials
