date,average,ticker,industry
1962-01,0.059,DIS,Consumer Discretionary
1962-02,0.06,DIS,Consumer Discretionary
1962-03,0.059,DIS,Consumer Discretionary
1962-04,0.057,DIS,Consumer Discretionary
1962-05,0.051,DIS,Consumer Discretionary
1962-06,0.045,DIS,Consumer Discretionary
1962-07,0.044,DIS,Consumer Discretionary
1962-08,0.047,DIS,Consumer Discretionary
1962-09,0.045,DIS,Consumer Discretionary
1962-10,0.039,DIS,Consumer Discretionary
1962-11,0.045,DIS,Consumer Discretionary
1962-12,0.046,DIS,Consumer Discretionary
1963-01,0.052,DIS,Consumer Discretionary
1963-02,0.053,DIS,Consumer Discretionary
1963-03,0.055,DIS,Consumer Discretionary
1963-04,0.055,DIS,Consumer Discretionary
1963-05,0.058,DIS,Consumer Discretionary
1963-06,0.06,DIS,Consumer Discretionary
1963-07,0.063,DIS,Consumer Discretionary
1963-08,0.07,DIS,Consumer Discretionary
1963-09,0.071,DIS,Consumer Discretionary
1963-10,0.072,DIS,Consumer Discretionary
1963-11,0.069,DIS,Consumer Discretionary
1963-12,0.065,DIS,Consumer Discretionary
1964-01,0.065,DIS,Consumer Discretionary
1964-02,0.067,DIS,Consumer Discretionary
1964-03,0.07,DIS,Consumer Discretionary
1964-04,0.076,DIS,Consumer Discretionary
1964-05,0.074,DIS,Consumer Discretionary
1964-06,0.067,DIS,Consumer Discretionary
1964-07,0.07,DIS,Consumer Discretionary
1964-08,0.066,DIS,Consumer Discretionary
1964-09,0.075,DIS,Consumer Discretionary
1964-10,0.079,DIS,Consumer Discretionary
1964-11,0.078,DIS,Consumer Discretionary
1964-12,0.075,DIS,Consumer Discretionary
1965-01,0.079,DIS,Consumer Discretionary
1965-02,0.086,DIS,Consumer Discretionary
1965-03,0.093,DIS,Consumer Discretionary
1965-04,0.091,DIS,Consumer Discretionary
1965-05,0.094,DIS,Consumer Discretionary
1965-06,0.085,DIS,Consumer Discretionary
1965-07,0.083,DIS,Consumer Discretionary
