date,average,ticker,industry
2001-06,2.383,EQNR,Energy
2001-07,2.218,EQNR,Energy
2001-08,2.214,EQNR,Energy
2001-09,2.119,EQNR,Energy
2001-10,2.044,EQNR,Energy
2001-11,2.111,EQNR,Energy
2001-12,2.102,EQNR,Energy
2002-01,2.112,EQNR,Energy
2002-02,2.142,EQNR,Energy
2002-03,2.407,EQNR,Energy
2002-04,2.605,EQNR,Energy
2002-05,2.804,EQNR,Energy
2002-06,2.827,EQNR,Energy
2002-07,2.758,EQNR,Energy
2002-08,2.79,EQNR,Energy
2002-09,2.65,EQNR,Energy
2002-10,2.454,EQNR,Energy
2002-11,2.409,EQNR,Energy
2002-12,2.6,EQNR,Energy
2003-01,2.675,EQNR,Energy
2003-02,2.514,EQNR,Energy
2003-03,2.552,EQNR,Energy
2003-04,2.602,EQNR,Energy
2003-05,2.894,EQNR,Energy
2003-06,3.077,EQNR,Energy
2003-07,2.998,EQNR,Energy
2003-08,3.151,EQNR,Energy
2003-09,3.2,EQNR,Energy
2003-10,3.322,EQNR,Energy
2003-11,3.45,EQNR,Energy
2003-12,3.718,EQNR,Energy
2004-01,3.94,EQNR,Energy
2004-02,3.977,EQNR,Energy
2004-03,4.29,EQNR,Energy
2004-04,4.523,EQNR,Energy
2004-05,4.46,EQNR,Energy
2004-06,4.616,EQNR,Energy
2004-07,4.501,EQNR,Energy
2004-08,4.594,EQNR,Energy
2004-09,4.912,EQNR,Energy
2004-10,5.374,EQNR,Energy
2004-11,5.381,EQNR,Energy
2004-12,5.508,EQNR,Energy
2005-01,5.507,EQNR,Energy
2005-02,6.006,EQNR,Energy
2005-03,6.422,EQNR,Energy
2005-04,6.305,EQNR,Energy
2005-05,6.523,EQNR,Energy
2005-06,7.289,EQNR,Energy
2005-07,8.158,EQNR,Energy
2005-08,8.806,EQNR,Energy
2005-09,9.562,EQNR,Energy
2005-10,8.453,EQNR,Energy
2005-11,8.503,EQNR,Energy
2005-12,8.726,EQNR,Energy
2006-01,9.7,EQNR,Energy
2006-02,9.823,EQNR,Energy
2006-03,10.165,EQNR,Energy
2006-04,11.821,EQNR,Energy
2006-05,11.96,EQNR,Energy
2006-06,10.639,EQNR,Energy
2006-07,11.54,EQNR,Energy
2006-08,11.171,EQNR,Energy
2006-09,9.774,EQNR,Energy
2006-10,9.547,EQNR,Energy
2006-11,10.539,EQNR,Energy
2006-12,10.66,EQNR,Energy
2007-01,9.862,EQNR,Energy
2007-02,10.321,EQNR,Energy
2007-03,10.154,EQNR,Energy
2007-04,10.97,EQNR,Energy
2007-05,11.389,EQNR,Energy
2007-06,11.966,EQNR,Energy
2007-07,13.17,EQNR,Energy
2007-08,11.586,EQNR,Energy
2007-09,13.5,EQNR,Energy
2007-10,13.834,EQNR,Energy
2007-11,13.458,EQNR,Energy
2007-12,12.684,EQNR,Energy
2008-01,11.727,EQNR,Energy
2008-02,11.843,EQNR,Energy
2008-03,12.443,EQNR,Energy
2008-04,13.928,EQNR,Energy
2008-05,16.564,EQNR,Energy
2008-06,16.22,EQNR,Energy
2008-07,14.326,EQNR,Energy
2008-08,12.871,EQNR,Energy
2008-09,10.894,EQNR,Energy
2008-10,8.054,EQNR,Energy
2008-11,7.538,EQNR,Energy
2008-12,6.804,EQNR,Energy
2009-01,7.55,EQNR,Energy
