date,average,ticker,industry
1993-08,2.763,EQR,Real Estate
1993-09,2.942,EQR,Real Estate
1993-10,3.349,EQR,Real Estate
1993-11,3.301,EQR,Real Estate
1993-12,3.128,EQR,Real Estate
1994-01,2.945,EQR,Real Estate
1994-02,3.07,EQR,Real Estate
1994-03,3.243,EQR,Real Estate
1994-04,3.252,EQR,Real Estate
1994-05,3.469,EQR,Real Estate
1994-06,3.42,EQR,Real Estate
1994-07,3.295,EQR,Real Estate
1994-08,3.386,EQR,Real Estate
1994-09,3.39,EQR,Real Estate
1994-10,3.268,EQR,Real Estate
1994-11,2.954,EQR,Real Estate
1994-12,3.063,EQR,Real Estate
1995-01,3.007,EQR,Real Estate
1995-02,2.909,EQR,Real Estate
1995-03,2.874,EQR,Real Estate
1995-04,2.857,EQR,Real Estate
1995-05,3.138,EQR,Real Estate
1995-06,3.178,EQR,Real Estate
1995-07,3.281,EQR,Real Estate
1995-08,3.293,EQR,Real Estate
1995-09,3.421,EQR,Real Estate
1995-10,3.319,EQR,Real Estate
1995-11,3.331,EQR,Real Estate
1995-12,3.577,EQR,Real Estate
1996-01,3.481,EQR,Real Estate
1996-02,3.647,EQR,Real Estate
1996-03,3.78,EQR,Real Estate
1996-04,3.815,EQR,Real Estate
1996-05,3.772,EQR,Real Estate
1996-06,3.858,EQR,Real Estate
1996-07,4.065,EQR,Real Estate
1996-08,4.213,EQR,Real Estate
1996-09,4.305,EQR,Real Estate
1996-10,4.526,EQR,Real Estate
1996-11,4.832,EQR,Real Estate
1996-12,5.198,EQR,Real Estate
1997-01,5.252,EQR,Real Estate
1997-02,5.506,EQR,Real Estate
1997-03,5.857,EQR,Real Estate
1997-04,5.558,EQR,Real Estate
1997-05,5.631,EQR,Real Estate
1997-06,5.888,EQR,Real Estate
1997-07,6.418,EQR,Real Estate
1997-08,6.558,EQR,Real Estate
1997-09,6.537,EQR,Real Estate
1997-10,6.845,EQR,Real Estate
1997-11,6.485,EQR,Real Estate
1997-12,6.589,EQR,Real Estate
1998-01,6.642,EQR,Real Estate
1998-02,6.533,EQR,Real Estate
1998-03,6.453,EQR,Real Estate
1998-04,6.633,EQR,Real Estate
1998-05,6.468,EQR,Real Estate
1998-06,6.344,EQR,Real Estate
1998-07,6.086,EQR,Real Estate
1998-08,5.608,EQR,Real Estate
1998-09,5.359,EQR,Real Estate
1998-10,5.62,EQR,Real Estate
1998-11,5.817,EQR,Real Estate
1998-12,5.709,EQR,Real Estate
1999-01,5.727,EQR,Real Estate
1999-02,5.672,EQR,Real Estate
1999-03,5.756,EQR,Real Estate
1999-04,6.15,EQR,Real Estate
1999-05,6.693,EQR,Real Estate
1999-06,6.615,EQR,Real Estate
1999-07,6.234,EQR,Real Estate
1999-08,6.152,EQR,Real Estate
1999-09,6.316,EQR,Real Estate
1999-10,6.08,EQR,Real Estate
