date,average,ticker,industry
1995-11,2.932,E,Energy
1995-12,2.93,E,Energy
1996-01,3.178,E,Energy
1996-02,3.345,E,Energy
1996-03,3.332,E,Energy
1996-04,3.555,E,Energy
1996-05,3.998,E,Energy
1996-06,4.345,E,Energy
1996-07,4.299,E,Energy
1996-08,4.039,E,Energy
1996-09,4.21,E,Energy
1996-10,4.433,E,Energy
1996-11,4.617,E,Energy
1996-12,4.717,E,Energy
1997-01,5.085,E,Energy
1997-02,4.937,E,Energy
1997-03,4.616,E,Energy
1997-04,4.628,E,Energy
1997-05,4.805,E,Energy
1997-06,5.019,E,Energy
1997-07,5.533,E,Energy
1997-08,5.372,E,Energy
1997-09,5.595,E,Energy
1997-10,5.666,E,Energy
1997-11,5.537,E,Energy
1997-12,5.301,E,Energy
1998-01,5.351,E,Energy
1998-02,5.525,E,Energy
1998-03,6.098,E,Energy
1998-04,6.454,E,Energy
1998-05,6.538,E,Energy
1998-06,6.45,E,Energy
1998-07,6.46,E,Energy
1998-08,5.703,E,Energy
1998-09,5.768,E,Energy
1998-10,5.824,E,Energy
1998-11,5.836,E,Energy
1998-12,6.038,E,Energy
1999-01,6.16,E,Energy
1999-02,5.824,E,Energy
1999-03,5.997,E,Energy
1999-04,6.119,E,Energy
1999-05,6.24,E,Energy
1999-06,6.079,E,Energy
1999-07,6.111,E,Energy
1999-08,6.073,E,Energy
1999-09,6.066,E,Energy
1999-10,5.936,E,Energy
1999-11,5.63,E,Energy
1999-12,5.289,E,Energy
2000-01,5.164,E,Energy
2000-02,5.002,E,Energy
2000-03,4.823,E,Energy
2000-04,4.872,E,Energy
2000-05,5.106,E,Energy
2000-06,5.568,E,Energy
2000-07,5.712,E,Energy
2000-08,5.899,E,Energy
2000-09,5.675,E,Energy
2000-10,5.555,E,Energy
2000-11,5.965,E,Energy
2000-12,6.065,E,Energy
2001-01,6.508,E,Energy
2001-02,6.556,E,Energy
2001-03,6.559,E,Energy
2001-04,6.817,E,Energy
2001-05,6.718,E,Energy
2001-06,6.682,E,Energy
2001-07,6.272,E,Energy
2001-08,6.742,E,Energy
2001-09,6.295,E,Energy
2001-10,6.633,E,Energy
2001-11,6.252,E,Energy
2001-12,6.311,E,Energy
2002-01,6.63,E,Energy
2002-02,7.0,E,Energy
2002-03,7.489,E,Energy
2002-04,7.79,E,Energy
2002-05,7.981,E,Energy
2002-06,8.077,E,Energy
2002-07,8.159,E,Energy
2002-08,8.363,E,Energy
2002-09,7.933,E,Energy
2002-10,7.613,E,Energy
2002-11,7.671,E,Energy
2002-12,8.128,E,Energy
2003-01,8.354,E,Energy
2003-02,8.05,E,Energy
2003-03,7.539,E,Energy
2003-04,7.825,E,Energy
2003-05,8.407,E,Energy
2003-06,8.944,E,Energy
2003-07,8.617,E,Energy
2003-08,8.759,E,Energy
2003-09,8.843,E,Energy
2003-10,9.187,E,Energy
2003-11,9.377,E,Energy
2003-12,10.467,E,Energy
2004-01,10.921,E,Energy
2004-02,11.085,E,Energy
2004-03,11.394,E,Energy
2004-04,11.779,E,Energy
2004-05,11.528,E,Energy
2004-06,12.132,E,Energy
2004-07,12.256,E,Energy
2004-08,12.234,E,Energy
2004-09,13.037,E,Energy
2004-10,13.633,E,Energy
2004-11,14.326,E,Energy
2004-12,14.723,E,Energy
2005-01,14.483,E,Energy
2005-02,14.98,E,Energy
2005-03,15.821,E,Energy
2005-04,15.432,E,Energy
2005-05,15.203,E,Energy
2005-06,15.923,E,Energy
2005-07,17.272,E,Energy
2005-08,18.27,E,Energy
2005-09,18.761,E,Energy
2005-10,17.122,E,Energy
2005-11,17.284,E,Energy
2005-12,17.931,E,Energy
2006-01,18.914,E,Energy
2006-02,18.489,E,Energy
2006-03,18.034,E,Energy
2006-04,19.003,E,Energy
2006-05,19.432,E,Energy
2006-06,18.855,E,Energy
2006-07,20.031,E,Energy
2006-08,20.944,E,Energy
2006-09,19.875,E,Energy
2006-10,20.442,E,Energy
2006-11,21.922,E,Energy
2006-12,23.105,E,Energy
2007-01,22.331,E,Energy
2007-02,22.123,E,Energy
2007-03,21.586,E,Energy
2007-04,22.959,E,Energy
2007-05,23.935,E,Energy
2007-06,25.021,E,Energy
2007-07,26.648,E,Energy
2007-08,23.771,E,Energy
2007-09,25.36,E,Energy
2007-10,26.302,E,Energy
2007-11,25.619,E,Energy
2007-12,26.12,E,Energy
2008-01,25.272,E,Energy
2008-02,23.998,E,Energy
2008-03,24.854,E,Energy
2008-04,26.94,E,Energy
2008-05,29.635,E,Energy
2008-06,28.47,E,Energy
2008-07,26.258,E,Energy
2008-08,24.063,E,Energy
2008-09,21.432,E,Energy
2008-10,16.676,E,Energy
2008-11,17.465,E,Energy
2008-12,17.825,E,Energy
2009-01,17.481,E,Energy
2009-02,16.474,E,Energy
2009-03,14.09,E,Energy
2009-04,15.348,E,Energy
2009-05,18.13,E,Energy
2009-06,19.53,E,Energy
2009-07,19.032,E,Energy
2009-08,18.607,E,Energy
2009-09,20.136,E,Energy
2009-10,21.341,E,Energy
2009-11,21.103,E,Energy
2009-12,20.682,E,Energy
2010-01,21.042,E,Energy
2010-02,18.861,E,Energy
2010-03,19.41,E,Energy
2010-04,19.361,E,Energy
2010-05,16.504,E,Energy
2010-06,16.195,E,Energy
2010-07,16.969,E,Energy
2010-08,17.602,E,Energy
2010-09,18.28,E,Energy
2010-10,19.732,E,Energy
2010-11,19.463,E,Energy
2010-12,19.002,E,Energy
2011-01,20.427,E,Energy
2011-02,21.676,E,Energy
2011-03,21.322,E,Energy
2011-04,22.309,E,Energy
2011-05,21.697,E,Energy
2011-06,20.832,E,Energy
2011-07,20.323,E,Energy
2011-08,17.375,E,Energy
2011-09,16.774,E,Energy
2011-10,19.747,E,Energy
2011-11,19.835,E,Energy
2011-12,19.515,E,Energy
2012-01,20.424,E,Energy
2012-02,21.645,E,Energy
2012-03,22.321,E,Energy
2012-04,20.747,E,Energy
2012-05,19.737,E,Energy
2012-06,19.624,E,Energy
2012-07,19.999,E,Energy
2012-08,21.373,E,Energy
2012-09,22.737,E,Energy
2012-10,22.785,E,Energy
2012-11,22.843,E,Energy
2012-12,24.127,E,Energy
2013-01,25.574,E,Energy
2013-02,23.616,E,Energy
2013-03,23.421,E,Energy
2013-04,23.264,E,Energy
2013-05,24.296,E,Energy
2013-06,22.438,E,Energy
2013-07,22.125,E,Energy
2013-08,23.686,E,Energy
2013-09,24.32,E,Energy
2013-10,25.695,E,Energy
2013-11,25.996,E,Energy
2013-12,24.947,E,Energy
2014-01,25.098,E,Energy
2014-02,24.83,E,Energy
2014-03,25.953,E,Energy
2014-04,27.195,E,Energy
2014-05,27.728,E,Energy
2014-06,29.176,E,Energy
2014-07,29.39,E,Energy
2014-08,27.204,E,Energy
2014-09,27.06,E,Energy
2014-10,24.093,E,Energy
2014-11,23.376,E,Energy
2014-12,20.519,E,Energy
2015-01,18.9,E,Energy
2015-02,20.531,E,Energy
2015-03,19.729,E,Energy
2015-04,20.793,E,Energy
2015-05,21.722,E,Energy
2015-06,21.289,E,Energy
2015-07,20.223,E,Energy
2015-08,19.702,E,Energy
2015-09,18.893,E,Energy
2015-10,20.101,E,Energy
2015-11,18.724,E,Energy
2015-12,17.847,E,Energy
2016-01,16.487,E,Energy
2016-02,15.839,E,Energy
2016-03,17.55,E,Energy
2016-04,17.939,E,Energy
2016-05,18.116,E,Energy
2016-06,18.81,E,Energy
2016-07,19.219,E,Energy
2016-08,18.289,E,Energy
2016-09,17.97,E,Energy
2016-10,18.404,E,Energy
2016-11,17.012,E,Energy
2016-12,19.251,E,Energy
2017-01,20.31,E,Energy
2017-02,19.051,E,Energy
2017-03,19.88,E,Energy
2017-04,20.008,E,Energy
2017-05,20.753,E,Energy
2017-06,19.857,E,Energy
2017-07,19.454,E,Energy
2017-08,20.169,E,Energy
2017-09,21.184,E,Energy
2017-10,21.558,E,Energy
2017-11,21.828,E,Energy
2017-12,21.759,E,Energy
2018-01,23.614,E,Energy
2018-02,22.398,E,Energy
2018-03,22.548,E,Energy
2018-04,25.0,E,Energy
2018-05,25.39,E,Energy
2018-06,24.338,E,Energy
2018-07,25.432,E,Energy
2018-08,25.076,E,Energy
2018-09,25.433,E,Energy
2018-10,24.732,E,Energy
2018-11,23.252,E,Energy
2018-12,21.697,E,Energy
2019-01,22.557,E,Energy
2019-02,23.393,E,Energy
2019-03,24.042,E,Energy
2019-04,24.132,E,Energy
2019-05,22.356,E,Energy
2019-06,22.533,E,Energy
2019-07,22.942,E,Energy
2019-08,20.963,E,Energy
2019-09,22.004,E,Energy
2019-10,22.165,E,Energy
2019-11,22.645,E,Energy
2019-12,22.25,E,Energy
2020-01,22.273,E,Energy
2020-02,20.027,E,Energy
2020-03,13.611,E,Energy
2020-04,14.084,E,Energy
2020-05,13.714,E,Energy
2020-06,15.322,E,Energy
2020-07,15.067,E,Energy
2020-08,14.542,E,Energy
2020-09,13.266,E,Energy
2020-10,11.862,E,Energy
2020-11,14.193,E,Energy
2020-12,16.382,E,Energy
2021-01,16.75,E,Energy
2021-02,17.023,E,Energy
2021-03,18.883,E,Energy
2021-04,19.251,E,Energy
2021-05,19.585,E,Energy
2021-06,20.162,E,Energy
2021-07,18.742,E,Energy
2021-08,19.349,E,Energy
2021-09,20.792,E,Energy
2021-10,23.286,E,Energy
2021-11,23.613,E,Energy
2021-12,22.92,E,Energy
2022-01,24.669,E,Energy
2022-02,25.341,E,Energy
2022-03,24.47,E,Energy
2022-04,24.523,E,Energy
2022-05,24.413,E,Energy
2022-06,23.396,E,Energy
2022-07,19.428,E,Energy
2022-08,20.608,E,Energy
2022-09,19.536,E,Energy
2022-10,20.753,E,Energy
2022-11,25.338,E,Energy
2022-12,25.463,E,Energy
2023-01,27.241,E,Energy
2023-02,26.938,E,Energy
2023-03,24.636,E,Energy
2023-04,27.331,E,Energy
2023-05,26.363,E,Energy
2023-06,25.93,E,Energy
2023-07,27.547,E,Energy
2023-08,28.188,E,Energy
2023-09,29.902,E,Energy
2023-10,30.119,E,Energy
2023-11,30.811,E,Energy
2023-12,31.26,E,Energy
2024-01,30.942,E,Energy
2024-02,29.514,E,Energy
2024-03,30.288,E,Energy
2024-04,31.78,E,Energy
2024-05,31.028,E,Energy
2024-06,29.718,E,Energy
2024-07,30.474,E,Energy
2024-08,31.29,E,Energy
2024-09,30.741,E,Energy
2024-10,31.024,E,Energy
