date,average,ticker,industry
1995-07,6.871,FCX,Materials
1995-08,6.655,FCX,Materials
1995-09,6.636,FCX,Materials
1995-10,6.776,FCX,Materials
1995-11,6.89,FCX,Materials
1995-12,7.849,FCX,Materials
1996-01,7.834,FCX,Materials
1996-02,8.697,FCX,Materials
1996-03,8.698,FCX,Materials
1996-04,9.183,FCX,Materials
1996-05,9.548,FCX,Materials
1996-06,8.828,FCX,Materials
1996-07,8.479,FCX,Materials
1996-08,8.396,FCX,Materials
1996-09,8.671,FCX,Materials
1996-10,8.794,FCX,Materials
1996-11,8.821,FCX,Materials
1996-12,8.622,FCX,Materials
1997-01,8.484,FCX,Materials
1997-02,8.795,FCX,Materials
1997-03,9.123,FCX,Materials
1997-04,8.155,FCX,Materials
1997-05,8.7,FCX,Materials
1997-06,8.265,FCX,Materials
1997-07,8.09,FCX,Materials
1997-08,8.427,FCX,Materials
1997-09,8.044,FCX,Materials
1997-10,8.032,FCX,Materials
1997-11,6.717,FCX,Materials
1997-12,4.936,FCX,Materials
1998-01,4.249,FCX,Materials
1998-02,4.35,FCX,Materials
1998-03,4.79,FCX,Materials
1998-04,5.817,FCX,Materials
1998-05,4.939,FCX,Materials
1998-06,4.657,FCX,Materials
1998-07,4.541,FCX,Materials
1998-08,3.941,FCX,Materials
1998-09,3.711,FCX,Materials
1998-10,3.476,FCX,Materials
1998-11,4.029,FCX,Materials
1998-12,3.272,FCX,Materials
1999-01,3.25,FCX,Materials
1999-02,2.944,FCX,Materials
1999-03,2.95,FCX,Materials
1999-04,3.714,FCX,Materials
1999-05,4.612,FCX,Materials
1999-06,4.685,FCX,Materials
1999-07,5.181,FCX,Materials
1999-08,5.068,FCX,Materials
1999-09,4.562,FCX,Materials
1999-10,4.992,FCX,Materials
1999-11,5.011,FCX,Materials
1999-12,5.043,FCX,Materials
2000-01,5.615,FCX,Materials
2000-02,5.052,FCX,Materials
2000-03,3.912,FCX,Materials
2000-04,3.189,FCX,Materials
2000-05,3.116,FCX,Materials
2000-06,2.744,FCX,Materials
2000-07,2.593,FCX,Materials
2000-08,2.64,FCX,Materials
2000-09,2.783,FCX,Materials
2000-10,2.439,FCX,Materials
2000-11,2.174,FCX,Materials
2000-12,2.518,FCX,Materials
