date,average,ticker,industry
1962-01,0.601,GE,Industrials
1962-02,0.629,GE,Industrials
1962-03,0.646,GE,Industrials
1962-04,0.62,GE,Industrials
1962-05,0.582,GE,Industrials
1962-06,0.513,GE,Industrials
1962-07,0.537,GE,Industrials
1962-08,0.568,GE,Industrials
1962-09,0.561,GE,Industrials
1962-10,0.565,GE,Industrials
1962-11,0.615,GE,Industrials
1962-12,0.65,GE,Industrials
1963-01,0.67,GE,Industrials
1963-02,0.662,GE,Industrials
1963-03,0.634,GE,Industrials
1963-04,0.666,GE,Industrials
1963-05,0.705,GE,Industrials
1963-06,0.702,GE,Industrials
1963-07,0.683,GE,Industrials
1963-08,0.699,GE,Industrials
1963-09,0.711,GE,Industrials
1963-10,0.702,GE,Industrials
1963-11,0.699,GE,Industrials
1963-12,0.737,GE,Industrials
1964-01,0.756,GE,Industrials
1964-02,0.77,GE,Industrials
1964-03,0.775,GE,Industrials
1964-04,0.761,GE,Industrials
1964-05,0.73,GE,Industrials
1964-06,0.708,GE,Industrials
1964-07,0.742,GE,Industrials
1964-08,0.737,GE,Industrials
1964-09,0.784,GE,Industrials
1964-10,0.789,GE,Industrials
1964-11,0.803,GE,Industrials
1964-12,0.821,GE,Industrials
1965-01,0.869,GE,Industrials
1965-02,0.882,GE,Industrials
1965-03,0.913,GE,Industrials
1965-04,0.927,GE,Industrials
1965-05,0.947,GE,Industrials
1965-06,0.886,GE,Industrials
1965-07,0.901,GE,Industrials
1965-08,0.94,GE,Industrials
1965-09,1.022,GE,Industrials
1965-10,1.075,GE,Industrials
1965-11,1.057,GE,Industrials
1965-12,1.057,GE,Industrials
1966-01,1.081,GE,Industrials
1966-02,1.033,GE,Industrials
1966-03,1.01,GE,Industrials
1966-04,1.043,GE,Industrials
1966-05,0.997,GE,Industrials
1966-06,1.019,GE,Industrials
1966-07,0.974,GE,Industrials
1966-08,0.848,GE,Industrials
1966-09,0.806,GE,Industrials
1966-10,0.848,GE,Industrials
1966-11,0.915,GE,Industrials
1966-12,0.883,GE,Industrials
1967-01,0.834,GE,Industrials
1967-02,0.824,GE,Industrials
1967-03,0.847,GE,Industrials
1967-04,0.857,GE,Industrials
1967-05,0.861,GE,Industrials
1967-06,0.836,GE,Industrials
1967-07,0.929,GE,Industrials
1967-08,1.028,GE,Industrials
1967-09,1.078,GE,Industrials
1967-10,1.057,GE,Industrials
1967-11,0.984,GE,Industrials
1967-12,0.95,GE,Industrials
1968-01,0.911,GE,Industrials
1968-02,0.855,GE,Industrials
1968-03,0.847,GE,Industrials
1968-04,0.901,GE,Industrials
1968-05,0.884,GE,Industrials
1968-06,0.867,GE,Industrials
1968-07,0.839,GE,Industrials
1968-08,0.816,GE,Industrials
1968-09,0.845,GE,Industrials
1968-10,0.908,GE,Industrials
1968-11,0.95,GE,Industrials
1968-12,0.951,GE,Industrials
1969-01,0.908,GE,Industrials
1969-02,0.889,GE,Industrials
1969-03,0.887,GE,Industrials
1969-04,0.915,GE,Industrials
1969-05,0.958,GE,Industrials
1969-06,0.915,GE,Industrials
1969-07,0.87,GE,Industrials
1969-08,0.845,GE,Industrials
1969-09,0.851,GE,Industrials
1969-10,0.868,GE,Industrials
1969-11,0.843,GE,Industrials
1969-12,0.793,GE,Industrials
1970-01,0.756,GE,Industrials
1970-02,0.715,GE,Industrials
1970-03,0.745,GE,Industrials
1970-04,0.764,GE,Industrials
1970-05,0.685,GE,Industrials
1970-06,0.702,GE,Industrials
1970-07,0.76,GE,Industrials
1970-08,0.793,GE,Industrials
1970-09,0.843,GE,Industrials
1970-10,0.889,GE,Industrials
1970-11,0.907,GE,Industrials
1970-12,0.952,GE,Industrials
1971-01,1.026,GE,Industrials
1971-02,1.106,GE,Industrials
1971-03,1.17,GE,Industrials
1971-04,1.265,GE,Industrials
1971-05,1.281,GE,Industrials
1971-06,1.278,GE,Industrials
1971-07,1.234,GE,Industrials
1971-08,1.249,GE,Industrials
1971-09,1.343,GE,Industrials
1971-10,1.314,GE,Industrials
1971-11,1.23,GE,Industrials
1971-12,1.356,GE,Industrials
1972-01,1.366,GE,Industrials
1972-02,1.307,GE,Industrials
1972-03,1.383,GE,Industrials
1972-04,1.484,GE,Industrials
1972-05,1.475,GE,Industrials
1972-06,1.465,GE,Industrials
1972-07,1.412,GE,Industrials
1972-08,1.46,GE,Industrials
1972-09,1.438,GE,Industrials
1972-10,1.405,GE,Industrials
1972-11,1.462,GE,Industrials
1972-12,1.536,GE,Industrials
1973-01,1.588,GE,Industrials
1973-02,1.515,GE,Industrials
1973-03,1.47,GE,Industrials
1973-04,1.392,GE,Industrials
1973-05,1.321,GE,Industrials
1973-06,1.306,GE,Industrials
1973-07,1.344,GE,Industrials
1973-08,1.346,GE,Industrials
1973-09,1.36,GE,Industrials
1973-10,1.488,GE,Industrials
1973-11,1.438,GE,Industrials
1973-12,1.362,GE,Industrials
1974-01,1.411,GE,Industrials
1974-02,1.283,GE,Industrials
1974-03,1.251,GE,Industrials
1974-04,1.229,GE,Industrials
1974-05,1.131,GE,Industrials
1974-06,1.129,GE,Industrials
1974-07,1.075,GE,Industrials
1974-08,0.948,GE,Industrials
1974-09,0.795,GE,Industrials
1974-10,0.837,GE,Industrials
1974-11,0.859,GE,Industrials
1974-12,0.783,GE,Industrials
1975-01,0.836,GE,Industrials
1975-02,0.984,GE,Industrials
1975-03,1.102,GE,Industrials
1975-04,1.094,GE,Industrials
1975-05,1.104,GE,Industrials
1975-06,1.146,GE,Industrials
1975-07,1.197,GE,Industrials
1975-08,1.068,GE,Industrials
1975-09,1.064,GE,Industrials
1975-10,1.145,GE,Industrials
1975-11,1.17,GE,Industrials
1975-12,1.13,GE,Industrials
1976-01,1.274,GE,Industrials
1976-02,1.3,GE,Industrials
1976-03,1.28,GE,Industrials
1976-04,1.308,GE,Industrials
1976-05,1.266,GE,Industrials
1976-06,1.353,GE,Industrials
1976-07,1.41,GE,Industrials
1976-08,1.357,GE,Industrials
1976-09,1.364,GE,Industrials
1976-10,1.298,GE,Industrials
1976-11,1.285,GE,Industrials
1976-12,1.326,GE,Industrials
1977-01,1.347,GE,Industrials
1977-02,1.285,GE,Industrials
1977-03,1.288,GE,Industrials
1977-04,1.314,GE,Industrials
1977-05,1.388,GE,Industrials
1977-06,1.437,GE,Industrials
1977-07,1.419,GE,Industrials
1977-08,1.391,GE,Industrials
1977-09,1.366,GE,Industrials
1977-10,1.308,GE,Industrials
1977-11,1.324,GE,Industrials
1977-12,1.285,GE,Industrials
1978-01,1.234,GE,Industrials
1978-02,1.222,GE,Industrials
1978-03,1.229,GE,Industrials
1978-04,1.298,GE,Industrials
1978-05,1.392,GE,Industrials
1978-06,1.389,GE,Industrials
1978-07,1.404,GE,Industrials
1978-08,1.495,GE,Industrials
1978-09,1.444,GE,Industrials
1978-10,1.388,GE,Industrials
1978-11,1.324,GE,Industrials
1978-12,1.313,GE,Industrials
1979-01,1.352,GE,Industrials
1979-02,1.292,GE,Industrials
1979-03,1.329,GE,Industrials
1979-04,1.35,GE,Industrials
1979-05,1.383,GE,Industrials
1979-06,1.405,GE,Industrials
1979-07,1.432,GE,Industrials
1979-08,1.512,GE,Industrials
1979-09,1.466,GE,Industrials
1979-10,1.402,GE,Industrials
1979-11,1.35,GE,Industrials
1979-12,1.415,GE,Industrials
1980-01,1.564,GE,Industrials
1980-02,1.546,GE,Industrials
1980-03,1.406,GE,Industrials
1980-04,1.385,GE,Industrials
1980-05,1.409,GE,Industrials
1980-06,1.512,GE,Industrials
1980-07,1.629,GE,Industrials
1980-08,1.689,GE,Industrials
1980-09,1.633,GE,Industrials
1980-10,1.629,GE,Industrials
1980-11,1.782,GE,Industrials
1980-12,1.821,GE,Industrials
1981-01,1.908,GE,Industrials
1981-02,1.946,GE,Industrials
1981-03,2.077,GE,Industrials
1981-04,2.081,GE,Industrials
1981-05,2.017,GE,Industrials
1981-06,2.055,GE,Industrials
1981-07,1.93,GE,Industrials
1981-08,1.84,GE,Industrials
1981-09,1.726,GE,Industrials
1981-10,1.774,GE,Industrials
1981-11,1.823,GE,Industrials
1981-12,1.906,GE,Industrials
1982-01,1.886,GE,Industrials
1982-02,1.995,GE,Industrials
1982-03,2.005,GE,Industrials
1982-04,2.116,GE,Industrials
1982-05,2.082,GE,Industrials
1982-06,2.055,GE,Industrials
1982-07,2.223,GE,Industrials
1982-08,2.267,GE,Industrials
1982-09,2.541,GE,Industrials
1982-10,2.777,GE,Industrials
1982-11,3.03,GE,Industrials
1982-12,3.229,GE,Industrials
1983-01,3.262,GE,Industrials
1983-02,3.522,GE,Industrials
1983-03,3.6,GE,Industrials
1983-04,3.716,GE,Industrials
1983-05,3.703,GE,Industrials
1983-06,3.813,GE,Industrials
1983-07,3.641,GE,Industrials
1983-08,3.36,GE,Industrials
1983-09,3.544,GE,Industrials
1983-10,3.734,GE,Industrials
1983-11,3.829,GE,Industrials
1983-12,4.045,GE,Industrials
1984-01,3.977,GE,Industrials
1984-02,3.746,GE,Industrials
1984-03,3.713,GE,Industrials
1984-04,3.827,GE,Industrials
1984-05,3.832,GE,Industrials
1984-06,3.822,GE,Industrials
1984-07,3.643,GE,Industrials
1984-08,4.101,GE,Industrials
1984-09,4.076,GE,Industrials
1984-10,4.063,GE,Industrials
1984-11,4.143,GE,Industrials
1984-12,4.064,GE,Industrials
1985-01,4.414,GE,Industrials
1985-02,4.647,GE,Industrials
1985-03,4.568,GE,Industrials
1985-04,4.405,GE,Industrials
1985-05,4.419,GE,Industrials
1985-06,4.535,GE,Industrials
1985-07,4.649,GE,Industrials
1985-08,4.586,GE,Industrials
1985-09,4.432,GE,Industrials
1985-10,4.416,GE,Industrials
1985-11,4.779,GE,Industrials
1985-12,5.251,GE,Industrials
1986-01,5.295,GE,Industrials
1986-02,5.691,GE,Industrials
1986-03,5.872,GE,Industrials
1986-04,5.918,GE,Industrials
1986-05,5.944,GE,Industrials
1986-06,6.228,GE,Industrials
1986-07,5.845,GE,Industrials
1986-08,5.819,GE,Industrials
1986-09,5.72,GE,Industrials
