date,average,ticker,industry
1992-01,0.49,GILD,Health
1992-02,0.422,GILD,Health
1992-03,0.384,GILD,Health
1992-04,0.288,GILD,Health
1992-05,0.284,GILD,Health
1992-06,0.25,GILD,Health
1992-07,0.28,GILD,Health
1992-08,0.24,GILD,Health
1992-09,0.239,GILD,Health
1992-10,0.27,GILD,Health
1992-11,0.314,GILD,Health
1992-12,0.352,GILD,Health
1993-01,0.412,GILD,Health
1993-02,0.313,GILD,Health
1993-03,0.294,GILD,Health
1993-04,0.297,GILD,Health
1993-05,0.363,GILD,Health
1993-06,0.381,GILD,Health
1993-07,0.339,GILD,Health
1993-08,0.336,GILD,Health
1993-09,0.341,GILD,Health
1993-10,0.356,GILD,Health
1993-11,0.297,GILD,Health
1993-12,0.273,GILD,Health
1994-01,0.292,GILD,Health
1994-02,0.267,GILD,Health
1994-03,0.247,GILD,Health
1994-04,0.221,GILD,Health
1994-05,0.198,GILD,Health
1994-06,0.178,GILD,Health
1994-07,0.195,GILD,Health
1994-08,0.225,GILD,Health
1994-09,0.248,GILD,Health
1994-10,0.237,GILD,Health
1994-11,0.205,GILD,Health
1994-12,0.205,GILD,Health
1995-01,0.264,GILD,Health
1995-02,0.304,GILD,Health
1995-03,0.314,GILD,Health
1995-04,0.322,GILD,Health
1995-05,0.369,GILD,Health
1995-06,0.376,GILD,Health
1995-07,0.416,GILD,Health
1995-08,0.497,GILD,Health
1995-09,0.52,GILD,Health
1995-10,0.472,GILD,Health
1995-11,0.501,GILD,Health
1995-12,0.62,GILD,Health
1996-01,0.82,GILD,Health
1996-02,0.827,GILD,Health
1996-03,0.723,GILD,Health
1996-04,0.694,GILD,Health
1996-05,0.747,GILD,Health
1996-06,0.62,GILD,Health
1996-07,0.479,GILD,Health
1996-08,0.473,GILD,Health
1996-09,0.608,GILD,Health
1996-10,0.568,GILD,Health
1996-11,0.533,GILD,Health
1996-12,0.591,GILD,Health
1997-01,0.65,GILD,Health
1997-02,0.723,GILD,Health
1997-03,0.62,GILD,Health
1997-04,0.542,GILD,Health
1997-05,0.574,GILD,Health
1997-06,0.66,GILD,Health
1997-07,0.6,GILD,Health
1997-08,0.662,GILD,Health
1997-09,0.92,GILD,Health
1997-10,0.911,GILD,Health
1997-11,0.804,GILD,Health
1997-12,0.8,GILD,Health
1998-01,0.878,GILD,Health
1998-02,0.839,GILD,Health
1998-03,0.864,GILD,Health
1998-04,0.907,GILD,Health
1998-05,0.813,GILD,Health
1998-06,0.754,GILD,Health
1998-07,0.538,GILD,Health
1998-08,0.503,GILD,Health
1998-09,0.52,GILD,Health
1998-10,0.546,GILD,Health
1998-11,0.695,GILD,Health
1998-12,0.786,GILD,Health
1999-01,0.893,GILD,Health
1999-02,0.923,GILD,Health
1999-03,1.083,GILD,Health
1999-04,0.956,GILD,Health
1999-05,1.02,GILD,Health
1999-06,1.052,GILD,Health
1999-07,1.308,GILD,Health
1999-08,1.727,GILD,Health
1999-09,1.785,GILD,Health
1999-10,1.519,GILD,Health
1999-11,1.089,GILD,Health
1999-12,0.999,GILD,Health
2000-01,1.352,GILD,Health
2000-02,1.403,GILD,Health
2000-03,1.557,GILD,Health
2000-04,1.255,GILD,Health
2000-05,1.38,GILD,Health
2000-06,1.483,GILD,Health
2000-07,1.703,GILD,Health
2000-08,2.097,GILD,Health
2000-09,2.304,GILD,Health
2000-10,2.097,GILD,Health
2000-11,1.808,GILD,Health
2000-12,1.855,GILD,Health
2001-01,1.425,GILD,Health
2001-02,1.508,GILD,Health
2001-03,1.458,GILD,Health
2001-04,1.685,GILD,Health
2001-05,2.332,GILD,Health
2001-06,2.474,GILD,Health
2001-07,2.423,GILD,Health
2001-08,2.425,GILD,Health
2001-09,2.45,GILD,Health
2001-10,2.81,GILD,Health
2001-11,3.044,GILD,Health
2001-12,3.007,GILD,Health
2002-01,2.977,GILD,Health
2002-02,3.009,GILD,Health
2002-03,3.306,GILD,Health
2002-04,3.088,GILD,Health
2002-05,3.152,GILD,Health
2002-06,2.964,GILD,Health
2002-07,2.696,GILD,Health
2002-08,3.03,GILD,Health
2002-09,2.931,GILD,Health
2002-10,3.036,GILD,Health
2002-11,3.338,GILD,Health
2002-12,3.289,GILD,Health
2003-01,3.253,GILD,Health
2003-02,3.006,GILD,Health
2003-03,3.508,GILD,Health
2003-04,3.96,GILD,Health
2003-05,4.287,GILD,Health
2003-06,4.77,GILD,Health
2003-07,5.762,GILD,Health
2003-08,5.75,GILD,Health
2003-09,5.627,GILD,Health
2003-10,5.252,GILD,Health
2003-11,4.961,GILD,Health
2003-12,5.224,GILD,Health
2004-01,5.549,GILD,Health
2004-02,5.077,GILD,Health
2004-03,4.972,GILD,Health
2004-04,5.254,GILD,Health
2004-05,5.407,GILD,Health
2004-06,5.793,GILD,Health
2004-07,5.664,GILD,Health
2004-08,5.858,GILD,Health
2004-09,6.455,GILD,Health
2004-10,6.626,GILD,Health
2004-11,6.414,GILD,Health
2004-12,6.392,GILD,Health
2005-01,5.965,GILD,Health
2005-02,5.976,GILD,Health
2005-03,6.335,GILD,Health
2005-04,6.666,GILD,Health
2005-05,7.116,GILD,Health
2005-06,7.752,GILD,Health
2005-07,8.149,GILD,Health
2005-08,7.671,GILD,Health
2005-09,8.177,GILD,Health
2005-10,8.451,GILD,Health
2005-11,9.388,GILD,Health
2005-12,9.531,GILD,Health
2006-01,10.417,GILD,Health
2006-02,10.94,GILD,Health
2006-03,11.117,GILD,Health
2006-04,11.128,GILD,Health
2006-05,10.077,GILD,Health
2006-06,10.233,GILD,Health
2006-07,10.938,GILD,Health
2006-08,11.293,GILD,Health
2006-09,11.648,GILD,Health
2006-10,12.047,GILD,Health
2006-11,12.164,GILD,Health
2006-12,11.783,GILD,Health
2007-01,11.629,GILD,Health
2007-02,12.947,GILD,Health
2007-03,12.983,GILD,Health
2007-04,14.401,GILD,Health
2007-05,14.877,GILD,Health
2007-06,14.392,GILD,Health
2007-07,13.981,GILD,Health
2007-08,13.425,GILD,Health
2007-09,13.957,GILD,Health
2007-10,15.528,GILD,Health
2007-11,16.051,GILD,Health
2007-12,16.689,GILD,Health
2008-01,16.602,GILD,Health
2008-02,16.15,GILD,Health
2008-03,17.53,GILD,Health
2008-04,18.557,GILD,Health
2008-05,19.309,GILD,Health
2008-06,19.548,GILD,Health
2008-07,19.074,GILD,Health
2008-08,19.79,GILD,Health
2008-09,17.066,GILD,Health
2008-10,15.603,GILD,Health
2008-11,16.118,GILD,Health
2008-12,17.076,GILD,Health
2009-01,17.649,GILD,Health
2009-02,18.03,GILD,Health
2009-03,16.089,GILD,Health
2009-04,16.62,GILD,Health
2009-05,15.691,GILD,Health
2009-06,16.349,GILD,Health
2009-07,16.967,GILD,Health
2009-08,16.517,GILD,Health
