date,average,ticker,industry
2010-11,25.586,GM,Consumer Discretionary
2010-12,26.122,GM,Consumer Discretionary
2011-01,28.652,GM,Consumer Discretionary
2011-02,26.998,GM,Consumer Discretionary
2011-03,23.995,GM,Consumer Discretionary
2011-04,23.658,GM,Consumer Discretionary
2011-05,23.809,GM,Consumer Discretionary
2011-06,22.251,GM,Consumer Discretionary
2011-07,22.589,GM,Consumer Discretionary
2011-08,18.578,GM,Consumer Discretionary
2011-09,16.42,GM,Consumer Discretionary
2011-10,17.77,GM,Consumer Discretionary
2011-11,16.825,GM,Consumer Discretionary
2011-12,15.495,GM,Consumer Discretionary
2012-01,18.021,GM,Consumer Discretionary
2012-02,19.635,GM,Consumer Discretionary
2012-03,19.286,GM,Consumer Discretionary
2012-04,18.156,GM,Consumer Discretionary
2012-05,16.724,GM,Consumer Discretionary
2012-06,15.982,GM,Consumer Discretionary
2012-07,14.868,GM,Consumer Discretionary
2012-08,15.71,GM,Consumer Discretionary
2012-09,17.688,GM,Consumer Discretionary
2012-10,18.409,GM,Consumer Discretionary
2012-11,18.944,GM,Consumer Discretionary
2012-12,19.779,GM,Consumer Discretionary
2013-01,22.15,GM,Consumer Discretionary
2013-02,20.971,GM,Consumer Discretionary
2013-03,21.188,GM,Consumer Discretionary
2013-04,21.96,GM,Consumer Discretionary
2013-05,24.553,GM,Consumer Discretionary
2013-06,25.378,GM,Consumer Discretionary
2013-07,27.111,GM,Consumer Discretionary
2013-08,26.597,GM,Consumer Discretionary
2013-09,27.575,GM,Consumer Discretionary
2013-10,26.808,GM,Consumer Discretionary
2013-11,28.43,GM,Consumer Discretionary
2013-12,30.511,GM,Consumer Discretionary
2014-01,29.266,GM,Consumer Discretionary
2014-02,27.125,GM,Consumer Discretionary
2014-03,26.876,GM,Consumer Discretionary
2014-04,25.886,GM,Consumer Discretionary
2014-05,26.199,GM,Consumer Discretionary
2014-06,27.798,GM,Consumer Discretionary
2014-07,28.281,GM,Consumer Discretionary
2014-08,26.182,GM,Consumer Discretionary
2014-09,25.957,GM,Consumer Discretionary
2014-10,24.118,GM,Consumer Discretionary
2014-11,24.631,GM,Consumer Discretionary
2014-12,25.679,GM,Consumer Discretionary
2015-01,26.788,GM,Consumer Discretionary
2015-02,28.794,GM,Consumer Discretionary
2015-03,29.807,GM,Consumer Discretionary
2015-04,28.645,GM,Consumer Discretionary
2015-05,27.797,GM,Consumer Discretionary
2015-06,28.118,GM,Consumer Discretionary
2015-07,25.087,GM,Consumer Discretionary
2015-08,24.278,GM,Consumer Discretionary
2015-09,23.996,GM,Consumer Discretionary
2015-10,27.147,GM,Consumer Discretionary
2015-11,28.811,GM,Consumer Discretionary
2015-12,28.277,GM,Consumer Discretionary
2016-01,24.52,GM,Consumer Discretionary
2016-02,23.496,GM,Consumer Discretionary
2016-03,25.644,GM,Consumer Discretionary
2016-04,25.566,GM,Consumer Discretionary
2016-05,25.541,GM,Consumer Discretionary
2016-06,24.295,GM,Consumer Discretionary
2016-07,25.618,GM,Consumer Discretionary
2016-08,26.223,GM,Consumer Discretionary
2016-09,26.67,GM,Consumer Discretionary
2016-10,26.968,GM,Consumer Discretionary
2016-11,27.821,GM,Consumer Discretionary
2016-12,30.763,GM,Consumer Discretionary
2017-01,31.589,GM,Consumer Discretionary
2017-02,31.193,GM,Consumer Discretionary
2017-03,31.239,GM,Consumer Discretionary
2017-04,29.363,GM,Consumer Discretionary
2017-05,28.855,GM,Consumer Discretionary
2017-06,30.002,GM,Consumer Discretionary
2017-07,31.215,GM,Consumer Discretionary
2017-08,30.827,GM,Consumer Discretionary
2017-09,34.082,GM,Consumer Discretionary
2017-10,39.475,GM,Consumer Discretionary
2017-11,38.226,GM,Consumer Discretionary
2017-12,37.218,GM,Consumer Discretionary
2018-01,38.695,GM,Consumer Discretionary
2018-02,36.616,GM,Consumer Discretionary
2018-03,33.278,GM,Consumer Discretionary
2018-04,34.2,GM,Consumer Discretionary
2018-05,33.709,GM,Consumer Discretionary
2018-06,38.623,GM,Consumer Discretionary
2018-07,35.378,GM,Consumer Discretionary
2018-08,33.329,GM,Consumer Discretionary
2018-09,31.63,GM,Consumer Discretionary
2018-10,30.053,GM,Consumer Discretionary
2018-11,33.207,GM,Consumer Discretionary
2018-12,32.105,GM,Consumer Discretionary
2019-01,34.091,GM,Consumer Discretionary
2019-02,36.453,GM,Consumer Discretionary
2019-03,35.405,GM,Consumer Discretionary
2019-04,36.716,GM,Consumer Discretionary
2019-05,34.407,GM,Consumer Discretionary
2019-06,34.394,GM,Consumer Discretionary
2019-07,37.252,GM,Consumer Discretionary
2019-08,35.8,GM,Consumer Discretionary
2019-09,36.334,GM,Consumer Discretionary
2019-10,34.288,GM,Consumer Discretionary
2019-11,35.359,GM,Consumer Discretionary
2019-12,34.844,GM,Consumer Discretionary
2020-01,33.644,GM,Consumer Discretionary
2020-02,32.676,GM,Consumer Discretionary
2020-03,22.956,GM,Consumer Discretionary
2020-04,21.105,GM,Consumer Discretionary
2020-05,23.323,GM,Consumer Discretionary
2020-06,26.714,GM,Consumer Discretionary
2020-07,25.046,GM,Consumer Discretionary
2020-08,27.744,GM,Consumer Discretionary
2020-09,29.674,GM,Consumer Discretionary
2020-10,32.56,GM,Consumer Discretionary
2020-11,40.016,GM,Consumer Discretionary
2020-12,41.553,GM,Consumer Discretionary
2021-01,47.939,GM,Consumer Discretionary
2021-02,51.985,GM,Consumer Discretionary
2021-03,55.064,GM,Consumer Discretionary
2021-04,57.256,GM,Consumer Discretionary
2021-05,55.47,GM,Consumer Discretionary
2021-06,59.364,GM,Consumer Discretionary
2021-07,55.522,GM,Consumer Discretionary
2021-08,50.808,GM,Consumer Discretionary
2021-09,49.507,GM,Consumer Discretionary
2021-10,55.204,GM,Consumer Discretionary
2021-11,59.015,GM,Consumer Discretionary
2021-12,57.014,GM,Consumer Discretionary
2022-01,56.447,GM,Consumer Discretionary
2022-02,48.419,GM,Consumer Discretionary
2022-03,42.415,GM,Consumer Discretionary
2022-04,39.277,GM,Consumer Discretionary
2022-05,36.824,GM,Consumer Discretionary
2022-06,33.98,GM,Consumer Discretionary
2022-07,32.51,GM,Consumer Discretionary
2022-08,37.415,GM,Consumer Discretionary
2022-09,37.436,GM,Consumer Discretionary
2022-10,34.075,GM,Consumer Discretionary
2022-11,38.682,GM,Consumer Discretionary
2022-12,35.893,GM,Consumer Discretionary
2023-01,35.736,GM,Consumer Discretionary
2023-02,40.362,GM,Consumer Discretionary
2023-03,35.687,GM,Consumer Discretionary
2023-04,33.85,GM,Consumer Discretionary
2023-05,32.26,GM,Consumer Discretionary
2023-06,36.12,GM,Consumer Discretionary
2023-07,38.659,GM,Consumer Discretionary
2023-08,33.995,GM,Consumer Discretionary
2023-09,32.745,GM,Consumer Discretionary
2023-10,29.517,GM,Consumer Discretionary
2023-11,28.132,GM,Consumer Discretionary
2023-12,34.452,GM,Consumer Discretionary
2024-01,35.516,GM,Consumer Discretionary
2024-02,38.802,GM,Consumer Discretionary
2024-03,41.277,GM,Consumer Discretionary
2024-04,43.926,GM,Consumer Discretionary
2024-05,44.464,GM,Consumer Discretionary
2024-06,46.683,GM,Consumer Discretionary
2024-07,46.858,GM,Consumer Discretionary
2024-08,44.964,GM,Consumer Discretionary
