date,average,ticker,industry
1985-02,0.382,GOLD,Materials
1985-03,0.386,GOLD,Materials
1985-04,0.393,GOLD,Materials
1985-05,0.4,GOLD,Materials
1985-06,0.397,GOLD,Materials
1985-07,0.444,GOLD,Materials
1985-08,0.541,GOLD,Materials
1985-09,0.533,GOLD,Materials
1985-10,0.555,GOLD,Materials
1985-11,0.516,GOLD,Materials
1985-12,0.505,GOLD,Materials
1986-01,0.566,GOLD,Materials
1986-02,0.563,GOLD,Materials
1986-03,0.56,GOLD,Materials
1986-04,0.685,GOLD,Materials
1986-05,0.784,GOLD,Materials
1986-06,0.818,GOLD,Materials
1986-07,0.827,GOLD,Materials
1986-08,0.982,GOLD,Materials
1986-09,1.118,GOLD,Materials
1986-10,1.231,GOLD,Materials
1986-11,1.165,GOLD,Materials
1986-12,1.174,GOLD,Materials
1987-01,1.435,GOLD,Materials
1987-02,1.752,GOLD,Materials
1987-03,2.322,GOLD,Materials
1987-04,2.529,GOLD,Materials
1987-05,3.043,GOLD,Materials
1987-06,2.836,GOLD,Materials
1987-07,3.12,GOLD,Materials
1987-08,3.702,GOLD,Materials
1987-09,4.35,GOLD,Materials
1987-10,3.615,GOLD,Materials
1987-11,2.854,GOLD,Materials
1987-12,3.444,GOLD,Materials
1988-01,3.26,GOLD,Materials
1988-02,3.061,GOLD,Materials
1988-03,3.42,GOLD,Materials
1988-04,3.413,GOLD,Materials
1988-05,3.211,GOLD,Materials
1988-06,3.547,GOLD,Materials
1988-07,3.194,GOLD,Materials
1988-08,2.913,GOLD,Materials
1988-09,2.689,GOLD,Materials
1988-10,2.862,GOLD,Materials
1988-11,2.874,GOLD,Materials
1988-12,2.691,GOLD,Materials
1989-01,2.99,GOLD,Materials
1989-02,3.343,GOLD,Materials
1989-03,3.545,GOLD,Materials
1989-04,3.511,GOLD,Materials
1989-05,3.261,GOLD,Materials
1989-06,3.67,GOLD,Materials
1989-07,4.231,GOLD,Materials
1989-08,4.213,GOLD,Materials
1989-09,3.77,GOLD,Materials
1989-10,4.136,GOLD,Materials
1989-11,5.07,GOLD,Materials
1989-12,5.371,GOLD,Materials
1990-01,5.604,GOLD,Materials
1990-02,6.137,GOLD,Materials
1990-03,6.175,GOLD,Materials
1990-04,5.82,GOLD,Materials
1990-05,5.865,GOLD,Materials
1990-06,5.705,GOLD,Materials
1990-07,6.682,GOLD,Materials
1990-08,7.269,GOLD,Materials
1990-09,7.167,GOLD,Materials
1990-10,6.457,GOLD,Materials
1990-11,6.283,GOLD,Materials
1990-12,6.58,GOLD,Materials
1991-01,6.655,GOLD,Materials
1991-02,6.535,GOLD,Materials
1991-03,6.771,GOLD,Materials
1991-04,6.587,GOLD,Materials
1991-05,6.4,GOLD,Materials
1991-06,7.184,GOLD,Materials
1991-07,7.696,GOLD,Materials
1991-08,7.674,GOLD,Materials
1991-09,7.227,GOLD,Materials
1991-10,7.806,GOLD,Materials
1991-11,8.298,GOLD,Materials
1991-12,8.663,GOLD,Materials
1992-01,9.167,GOLD,Materials
1992-02,9.239,GOLD,Materials
1992-03,8.496,GOLD,Materials
1992-04,7.903,GOLD,Materials
1992-05,8.161,GOLD,Materials
1992-06,8.922,GOLD,Materials
1992-07,9.54,GOLD,Materials
1992-08,9.541,GOLD,Materials
1992-09,10.305,GOLD,Materials
1992-10,9.98,GOLD,Materials
1992-11,9.517,GOLD,Materials
1992-12,9.906,GOLD,Materials
1993-01,9.591,GOLD,Materials
1993-02,10.866,GOLD,Materials
1993-03,11.282,GOLD,Materials
1993-04,12.795,GOLD,Materials
1993-05,14.821,GOLD,Materials
1993-06,15.249,GOLD,Materials
1993-07,16.846,GOLD,Materials
1993-08,17.067,GOLD,Materials
1993-09,15.184,GOLD,Materials
1993-10,16.79,GOLD,Materials
1993-11,18.457,GOLD,Materials
1993-12,18.784,GOLD,Materials
1994-01,19.647,GOLD,Materials
1994-02,17.207,GOLD,Materials
1994-03,16.582,GOLD,Materials
1994-04,15.151,GOLD,Materials
1994-05,15.762,GOLD,Materials
1994-06,15.988,GOLD,Materials
1994-07,15.437,GOLD,Materials
1994-08,14.799,GOLD,Materials
1994-09,16.869,GOLD,Materials
1994-10,16.921,GOLD,Materials
1994-11,15.204,GOLD,Materials
1994-12,14.466,GOLD,Materials
1995-01,14.278,GOLD,Materials
1995-02,14.291,GOLD,Materials
1995-03,15.582,GOLD,Materials
1995-04,16.683,GOLD,Materials
1995-05,16.254,GOLD,Materials
1995-06,17.349,GOLD,Materials
1995-07,17.564,GOLD,Materials
1995-08,17.32,GOLD,Materials
1995-09,17.366,GOLD,Materials
1995-10,16.671,GOLD,Materials
1995-11,17.102,GOLD,Materials
1995-12,17.92,GOLD,Materials
1996-01,19.387,GOLD,Materials
1996-02,20.836,GOLD,Materials
1996-03,19.932,GOLD,Materials
1996-04,20.607,GOLD,Materials
1996-05,21.024,GOLD,Materials
1996-06,19.276,GOLD,Materials
1996-07,18.468,GOLD,Materials
1996-08,18.858,GOLD,Materials
1996-09,17.96,GOLD,Materials
1996-10,17.909,GOLD,Materials
1996-11,18.638,GOLD,Materials
1996-12,19.816,GOLD,Materials
1997-01,18.299,GOLD,Materials
1997-02,18.237,GOLD,Materials
1997-03,17.771,GOLD,Materials
1997-04,15.666,GOLD,Materials
1997-05,16.597,GOLD,Materials
1997-06,16.07,GOLD,Materials
1997-07,14.969,GOLD,Materials
1997-08,15.712,GOLD,Materials
1997-09,15.177,GOLD,Materials
1997-10,15.607,GOLD,Materials
1997-11,12.605,GOLD,Materials
1997-12,11.863,GOLD,Materials
1998-01,12.298,GOLD,Materials
1998-02,13.073,GOLD,Materials
1998-03,13.732,GOLD,Materials
1998-04,15.335,GOLD,Materials
1998-05,14.482,GOLD,Materials
1998-06,12.527,GOLD,Materials
1998-07,12.425,GOLD,Materials
1998-08,10.856,GOLD,Materials
1998-09,12.242,GOLD,Materials
1998-10,14.359,GOLD,Materials
1998-11,14.614,GOLD,Materials
1998-12,13.251,GOLD,Materials
1999-01,13.714,GOLD,Materials
1999-02,13.038,GOLD,Materials
1999-03,12.467,GOLD,Materials
1999-04,12.57,GOLD,Materials
1999-05,13.145,GOLD,Materials
1999-06,12.365,GOLD,Materials
1999-07,12.455,GOLD,Materials
1999-08,13.402,GOLD,Materials
1999-09,13.764,GOLD,Materials
1999-10,14.138,GOLD,Materials
1999-11,12.536,GOLD,Materials
1999-12,12.446,GOLD,Materials
2000-01,11.94,GOLD,Materials
2000-02,12.132,GOLD,Materials
2000-03,11.474,GOLD,Materials
2000-04,11.662,GOLD,Materials
2000-05,12.645,GOLD,Materials
2000-06,12.992,GOLD,Materials
2000-07,12.078,GOLD,Materials
2000-08,11.48,GOLD,Materials
2000-09,10.993,GOLD,Materials
2000-10,9.694,GOLD,Materials
2000-11,9.699,GOLD,Materials
2000-12,11.34,GOLD,Materials
2001-01,11.024,GOLD,Materials
2001-02,10.555,GOLD,Materials
2001-03,10.906,GOLD,Materials
2001-04,10.981,GOLD,Materials
2001-05,12.277,GOLD,Materials
2001-06,11.609,GOLD,Materials
2001-07,10.759,GOLD,Materials
2001-08,11.35,GOLD,Materials
2001-09,11.819,GOLD,Materials
2001-10,11.639,GOLD,Materials
2001-11,10.734,GOLD,Materials
2001-12,11.324,GOLD,Materials
2002-01,12.102,GOLD,Materials
2002-02,13.058,GOLD,Materials
2002-03,12.849,GOLD,Materials
2002-04,13.247,GOLD,Materials
2002-05,15.602,GOLD,Materials
2002-06,14.685,GOLD,Materials
2002-07,12.217,GOLD,Materials
2002-08,11.131,GOLD,Materials
2002-09,12.141,GOLD,Materials
2002-10,10.707,GOLD,Materials
2002-11,11.177,GOLD,Materials
2002-12,11.233,GOLD,Materials
2003-01,11.567,GOLD,Materials
2003-02,11.719,GOLD,Materials
2003-03,10.859,GOLD,Materials
2003-04,11.049,GOLD,Materials
2003-05,12.478,GOLD,Materials
2003-06,13.203,GOLD,Materials
2003-07,12.855,GOLD,Materials
2003-08,13.632,GOLD,Materials
2003-09,14.528,GOLD,Materials
2003-10,13.899,GOLD,Materials
2003-11,15.164,GOLD,Materials
2003-12,16.28,GOLD,Materials
2004-01,15.634,GOLD,Materials
2004-02,15.023,GOLD,Materials
2004-03,15.949,GOLD,Materials
2004-04,15.939,GOLD,Materials
2004-05,14.361,GOLD,Materials
2004-06,14.663,GOLD,Materials
2004-07,14.732,GOLD,Materials
2004-08,14.206,GOLD,Materials
2004-09,14.626,GOLD,Materials
2004-10,15.817,GOLD,Materials
2004-11,17.383,GOLD,Materials
2004-12,17.575,GOLD,Materials
2005-01,16.575,GOLD,Materials
2005-02,17.159,GOLD,Materials
2005-03,18.403,GOLD,Materials
2005-04,17.083,GOLD,Materials
2005-05,16.598,GOLD,Materials
2005-06,17.812,GOLD,Materials
2005-07,18.168,GOLD,Materials
2005-08,19.507,GOLD,Materials
2005-09,20.999,GOLD,Materials
2005-10,20.221,GOLD,Materials
2005-11,19.514,GOLD,Materials
2005-12,20.405,GOLD,Materials
2006-01,22.28,GOLD,Materials
2006-02,21.487,GOLD,Materials
2006-03,19.952,GOLD,Materials
2006-04,22.083,GOLD,Materials
2006-05,23.937,GOLD,Materials
2006-06,21.33,GOLD,Materials
2006-07,22.34,GOLD,Materials
2006-08,24.156,GOLD,Materials
2006-09,22.818,GOLD,Materials
2006-10,22.376,GOLD,Materials
2006-11,22.322,GOLD,Materials
