date,average,ticker,industry
2004-08,2.628,GOOGL,Tech
2004-09,2.827,GOOGL,Tech
2004-10,3.825,GOOGL,Tech
2004-11,4.431,GOOGL,Tech
2004-12,4.538,GOOGL,Tech
2005-01,4.814,GOOGL,Tech
2005-02,4.868,GOOGL,Tech
2005-03,4.522,GOOGL,Tech
2005-04,4.973,GOOGL,Tech
2005-05,5.984,GOOGL,Tech
2005-06,7.178,GOOGL,Tech
2005-07,7.444,GOOGL,Tech
2005-08,7.163,GOOGL,Tech
2005-09,7.595,GOOGL,Tech
2005-10,8.05,GOOGL,Tech
2005-11,9.964,GOOGL,Tech
2005-12,10.458,GOOGL,Tech
2006-01,11.126,GOOGL,Tech
2006-02,9.236,GOOGL,Tech
2006-03,8.959,GOOGL,Tech
2006-04,10.329,GOOGL,Tech
2006-05,9.581,GOOGL,Tech
2006-06,9.825,GOOGL,Tech
2006-07,10.074,GOOGL,Tech
2006-08,9.413,GOOGL,Tech
2006-09,9.912,GOOGL,Tech
2006-10,10.997,GOOGL,Tech
2006-11,12.123,GOOGL,Tech
2006-12,11.82,GOOGL,Tech
2007-01,12.247,GOOGL,Tech
2007-02,11.663,GOOGL,Tech
2007-03,11.306,GOOGL,Tech
2007-04,11.795,GOOGL,Tech
2007-05,11.808,GOOGL,Tech
2007-06,12.857,GOOGL,Tech
2007-07,13.292,GOOGL,Tech
2007-08,12.727,GOOGL,Tech
2007-09,13.491,GOOGL,Tech
2007-10,15.861,GOOGL,Tech
2007-11,16.884,GOOGL,Tech
2007-12,17.359,GOOGL,Tech
2008-01,15.273,GOOGL,Tech
2008-02,12.576,GOOGL,Tech
2008-03,10.992,GOOGL,Tech
2008-04,12.421,GOOGL,Tech
2008-05,14.377,GOOGL,Tech
2008-06,13.887,GOOGL,Tech
2008-07,12.732,GOOGL,Tech
2008-08,12.13,GOOGL,Tech
2008-09,10.787,GOOGL,Tech
2008-10,8.985,GOOGL,Tech
2008-11,7.601,GOOGL,Tech
2008-12,7.478,GOOGL,Tech
2009-01,7.957,GOOGL,Tech
2009-02,8.727,GOOGL,Tech
2009-03,8.204,GOOGL,Tech
2009-04,9.428,GOOGL,Tech
2009-05,9.986,GOOGL,Tech
2009-06,10.579,GOOGL,Tech
2009-07,10.667,GOOGL,Tech
2009-08,11.431,GOOGL,Tech
2009-09,11.999,GOOGL,Tech
2009-10,13.236,GOOGL,Tech
2009-11,14.152,GOOGL,Tech
2009-12,14.96,GOOGL,Tech
2010-01,14.444,GOOGL,Tech
2010-02,13.353,GOOGL,Tech
2010-03,14.005,GOOGL,Tech
2010-04,13.906,GOOGL,Tech
2010-05,12.415,GOOGL,Tech
2010-06,12.094,GOOGL,Tech
2010-07,11.807,GOOGL,Tech
2010-08,11.965,GOOGL,Tech
2010-09,12.345,GOOGL,Tech
2010-10,14.377,GOOGL,Tech
2010-11,15.028,GOOGL,Tech
2010-12,14.767,GOOGL,Tech
2011-01,15.364,GOOGL,Tech
2011-02,15.398,GOOGL,Tech
2011-03,14.535,GOOGL,Tech
2011-04,13.844,GOOGL,Tech
2011-05,13.215,GOOGL,Tech
2011-06,12.554,GOOGL,Tech
2011-07,14.323,GOOGL,Tech
2011-08,13.658,GOOGL,Tech
2011-09,13.285,GOOGL,Tech
2011-10,14.023,GOOGL,Tech
2011-11,14.839,GOOGL,Tech
2011-12,15.66,GOOGL,Tech
2012-01,15.35,GOOGL,Tech
2012-02,15.138,GOOGL,Tech
2012-03,15.659,GOOGL,Tech
2012-04,15.463,GOOGL,Tech
2012-05,15.112,GOOGL,Tech
2012-06,14.245,GOOGL,Tech
2012-07,14.879,GOOGL,Tech
2012-08,16.539,GOOGL,Tech
2012-09,17.931,GOOGL,Tech
2012-10,18.125,GOOGL,Tech
2012-11,16.728,GOOGL,Tech
2012-12,17.556,GOOGL,Tech
2013-01,18.328,GOOGL,Tech
2013-02,19.62,GOOGL,Tech
2013-03,20.42,GOOGL,Tech
2013-04,19.881,GOOGL,Tech
2013-05,21.884,GOOGL,Tech
2013-06,21.899,GOOGL,Tech
2013-07,22.502,GOOGL,Tech
2013-08,21.844,GOOGL,Tech
2013-09,22.1,GOOGL,Tech
2013-10,23.433,GOOGL,Tech
2013-11,25.733,GOOGL,Tech
2013-12,27.069,GOOGL,Tech
2014-01,28.368,GOOGL,Tech
2014-02,29.711,GOOGL,Tech
2014-03,29.518,GOOGL,Tech
2014-04,27.26,GOOGL,Tech
2014-05,27.082,GOOGL,Tech
2014-06,28.294,GOOGL,Tech
2014-07,29.551,GOOGL,Tech
2014-08,29.095,GOOGL,Tech
2014-09,29.533,GOOGL,Tech
2014-10,27.808,GOOGL,Tech
2014-11,27.559,GOOGL,Tech
2014-12,26.394,GOOGL,Tech
2015-01,25.732,GOOGL,Tech
2015-02,26.982,GOOGL,Tech
2015-03,28.228,GOOGL,Tech
2015-04,27.406,GOOGL,Tech
2015-05,27.316,GOOGL,Tech
2015-06,27.472,GOOGL,Tech
2015-07,30.797,GOOGL,Tech
2015-08,33.3,GOOGL,Tech
2015-09,32.309,GOOGL,Tech
2015-10,34.492,GOOGL,Tech
2015-11,37.888,GOOGL,Tech
