date,average,ticker,industry
1999-05,49.064,GS,Financial
1999-06,46.371,GS,Financial
1999-07,47.804,GS,Financial
1999-08,43.412,GS,Financial
1999-09,43.355,GS,Financial
1999-10,44.915,GS,Financial
1999-11,53.727,GS,Financial
1999-12,58.185,GS,Financial
2000-01,60.809,GS,Financial
2000-02,61.775,GS,Financial
2000-03,77.628,GS,Financial
2000-04,68.566,GS,Financial
2000-05,59.764,GS,Financial
2000-06,62.193,GS,Financial
2000-07,71.924,GS,Financial
2000-08,83.292,GS,Financial
2000-09,86.948,GS,Financial
2000-10,73.463,GS,Financial
2000-11,63.466,GS,Financial
2000-12,66.252,GS,Financial
2001-01,79.743,GS,Financial
2001-02,74.425,GS,Financial
2001-03,63.723,GS,Financial
2001-04,64.617,GS,Financial
2001-05,69.503,GS,Financial
2001-06,65.597,GS,Financial
2001-07,59.991,GS,Financial
2001-08,58.26,GS,Financial
2001-09,51.487,GS,Financial
2001-10,57.485,GS,Financial
2001-11,63.332,GS,Financial
2001-12,65.869,GS,Financial
2002-01,64.703,GS,Financial
2002-02,59.16,GS,Financial
2002-03,64.397,GS,Financial
2002-04,60.151,GS,Financial
2002-05,56.424,GS,Financial
2002-06,52.83,GS,Financial
2002-07,52.206,GS,Financial
2002-08,55.213,GS,Financial
2002-09,50.954,GS,Financial
2002-10,49.353,GS,Financial
2002-11,54.971,GS,Financial
2002-12,52.781,GS,Financial
2003-01,51.817,GS,Financial
2003-02,48.666,GS,Financial
2003-03,49.398,GS,Financial
2003-04,54.207,GS,Financial
2003-05,55.661,GS,Financial
2003-06,63.241,GS,Financial
2003-07,63.241,GS,Financial
2003-08,63.224,GS,Financial
2003-09,65.412,GS,Financial
2003-10,64.418,GS,Financial
2003-11,69.77,GS,Financial
2003-12,71.883,GS,Financial
2004-01,72.726,GS,Financial
2004-02,76.511,GS,Financial
2004-03,76.567,GS,Financial
2004-04,75.195,GS,Financial
2004-05,68.894,GS,Financial
2004-06,67.663,GS,Financial
2004-07,65.893,GS,Financial
2004-08,64.279,GS,Financial
2004-09,68.29,GS,Financial
2004-10,69.712,GS,Financial
2004-11,75.915,GS,Financial
2004-12,78.543,GS,Financial
2005-01,77.235,GS,Financial
2005-02,81.782,GS,Financial
2005-03,81.607,GS,Financial
2005-04,80.539,GS,Financial
2005-05,75.032,GS,Financial
2005-06,74.928,GS,Financial
2005-07,79.841,GS,Financial
2005-08,82.71,GS,Financial
2005-09,87.485,GS,Financial
2005-10,89.133,GS,Financial
2005-11,97.171,GS,Financial
2005-12,96.243,GS,Financial
2006-01,99.357,GS,Financial
2006-02,106.807,GS,Financial
2006-03,111.333,GS,Financial
2006-04,121.693,GS,Financial
2006-05,115.562,GS,Financial
2006-06,110.725,GS,Financial
2006-07,110.339,GS,Financial
2006-08,113.869,GS,Financial
2006-09,120.937,GS,Financial
2006-10,137.021,GS,Financial
2006-11,145.012,GS,Financial
2006-12,151.025,GS,Financial
2007-01,157.93,GS,Financial
2007-02,161.034,GS,Financial
2007-03,153.018,GS,Financial
2007-04,161.978,GS,Financial
2007-05,171.102,GS,Financial
2007-06,169.816,GS,Financial
2007-07,159.725,GS,Financial
2007-08,134.966,GS,Financial
2007-09,148.261,GS,Financial
2007-10,174.148,GS,Financial
2007-11,167.609,GS,Financial
2007-12,161.621,GS,Financial
2008-01,148.981,GS,Financial
2008-02,138.425,GS,Financial
2008-03,126.09,GS,Financial
2008-04,135.307,GS,Financial
2008-05,141.449,GS,Financial
2008-06,133.545,GS,Financial
2008-07,133.993,GS,Financial
2008-08,126.815,GS,Financial
2008-09,108.133,GS,Financial
2008-10,84.396,GS,Financial
2008-11,54.691,GS,Financial
2008-12,56.525,GS,Financial
2009-01,60.205,GS,Financial
2009-02,68.758,GS,Financial
2009-03,73.936,GS,Financial
2009-04,92.291,GS,Financial
2009-05,105.513,GS,Financial
2009-06,111.583,GS,Financial
2009-07,118.812,GS,Financial
2009-08,126.0,GS,Financial
2009-09,135.858,GS,Financial
2009-10,141.672,GS,Financial
2009-11,133.812,GS,Financial
2009-12,127.704,GS,Financial
2010-01,127.374,GS,Financial
2010-02,120.128,GS,Financial
2010-03,132.683,GS,Financial
2010-04,129.457,GS,Financial
2010-05,110.919,GS,Financial
2010-06,106.845,GS,Financial
2010-07,110.853,GS,Financial
2010-08,115.295,GS,Financial
