date,average,ticker,industry
1981-09,0.017,HD,Consumer Discretionary
1981-10,0.019,HD,Consumer Discretionary
1981-11,0.027,HD,Consumer Discretionary
1981-12,0.03,HD,Consumer Discretionary
1982-01,0.033,HD,Consumer Discretionary
1982-02,0.033,HD,Consumer Discretionary
1982-03,0.037,HD,Consumer Discretionary
1982-04,0.04,HD,Consumer Discretionary
1982-05,0.046,HD,Consumer Discretionary
1982-06,0.057,HD,Consumer Discretionary
1982-07,0.06,HD,Consumer Discretionary
1982-08,0.067,HD,Consumer Discretionary
1982-09,0.086,HD,Consumer Discretionary
1982-10,0.104,HD,Consumer Discretionary
1982-11,0.123,HD,Consumer Discretionary
1982-12,0.155,HD,Consumer Discretionary
1983-01,0.174,HD,Consumer Discretionary
1983-02,0.204,HD,Consumer Discretionary
1983-03,0.194,HD,Consumer Discretionary
1983-04,0.214,HD,Consumer Discretionary
1983-05,0.268,HD,Consumer Discretionary
1983-06,0.347,HD,Consumer Discretionary
1983-07,0.347,HD,Consumer Discretionary
1983-08,0.347,HD,Consumer Discretionary
1983-09,0.374,HD,Consumer Discretionary
1983-10,0.334,HD,Consumer Discretionary
1983-11,0.307,HD,Consumer Discretionary
1983-12,0.312,HD,Consumer Discretionary
1984-01,0.291,HD,Consumer Discretionary
1984-02,0.224,HD,Consumer Discretionary
1984-03,0.213,HD,Consumer Discretionary
1984-04,0.231,HD,Consumer Discretionary
1984-05,0.243,HD,Consumer Discretionary
1984-06,0.271,HD,Consumer Discretionary
1984-07,0.28,HD,Consumer Discretionary
1984-08,0.258,HD,Consumer Discretionary
1984-09,0.19,HD,Consumer Discretionary
1984-10,0.177,HD,Consumer Discretionary
1984-11,0.18,HD,Consumer Discretionary
1984-12,0.208,HD,Consumer Discretionary
1985-01,0.217,HD,Consumer Discretionary
1985-02,0.218,HD,Consumer Discretionary
1985-03,0.234,HD,Consumer Discretionary
1985-04,0.217,HD,Consumer Discretionary
1985-05,0.223,HD,Consumer Discretionary
1985-06,0.19,HD,Consumer Discretionary
1985-07,0.172,HD,Consumer Discretionary
1985-08,0.151,HD,Consumer Discretionary
1985-09,0.149,HD,Consumer Discretionary
1985-10,0.142,HD,Consumer Discretionary
1985-11,0.142,HD,Consumer Discretionary
1985-12,0.155,HD,Consumer Discretionary
1986-01,0.15,HD,Consumer Discretionary
1986-02,0.172,HD,Consumer Discretionary
1986-03,0.201,HD,Consumer Discretionary
1986-04,0.205,HD,Consumer Discretionary
1986-05,0.228,HD,Consumer Discretionary
1986-06,0.26,HD,Consumer Discretionary
1986-07,0.234,HD,Consumer Discretionary
1986-08,0.233,HD,Consumer Discretionary
1986-09,0.229,HD,Consumer Discretionary
1986-10,0.217,HD,Consumer Discretionary
1986-11,0.233,HD,Consumer Discretionary
1986-12,0.234,HD,Consumer Discretionary
1987-01,0.25,HD,Consumer Discretionary
1987-02,0.298,HD,Consumer Discretionary
1987-03,0.34,HD,Consumer Discretionary
1987-04,0.364,HD,Consumer Discretionary
1987-05,0.387,HD,Consumer Discretionary
1987-06,0.444,HD,Consumer Discretionary
1987-07,0.434,HD,Consumer Discretionary
1987-08,0.504,HD,Consumer Discretionary
1987-09,0.475,HD,Consumer Discretionary
1987-10,0.367,HD,Consumer Discretionary
1987-11,0.326,HD,Consumer Discretionary
1987-12,0.343,HD,Consumer Discretionary
1988-01,0.352,HD,Consumer Discretionary
1988-02,0.401,HD,Consumer Discretionary
1988-03,0.455,HD,Consumer Discretionary
1988-04,0.486,HD,Consumer Discretionary
1988-05,0.479,HD,Consumer Discretionary
1988-06,0.526,HD,Consumer Discretionary
1988-07,0.514,HD,Consumer Discretionary
1988-08,0.488,HD,Consumer Discretionary
1988-09,0.496,HD,Consumer Discretionary
1988-10,0.542,HD,Consumer Discretionary
1988-11,0.543,HD,Consumer Discretionary
1988-12,0.581,HD,Consumer Discretionary
1989-01,0.577,HD,Consumer Discretionary
1989-02,0.628,HD,Consumer Discretionary
1989-03,0.664,HD,Consumer Discretionary
1989-04,0.726,HD,Consumer Discretionary
1989-05,0.768,HD,Consumer Discretionary
1989-06,0.789,HD,Consumer Discretionary
1989-07,0.812,HD,Consumer Discretionary
1989-08,0.942,HD,Consumer Discretionary
1989-09,0.985,HD,Consumer Discretionary
1989-10,1.014,HD,Consumer Discretionary
1989-11,1.023,HD,Consumer Discretionary
1989-12,1.017,HD,Consumer Discretionary
1990-01,1.055,HD,Consumer Discretionary
1990-02,1.066,HD,Consumer Discretionary
1990-03,1.265,HD,Consumer Discretionary
1990-04,1.329,HD,Consumer Discretionary
1990-05,1.553,HD,Consumer Discretionary
1990-06,1.708,HD,Consumer Discretionary
1990-07,1.688,HD,Consumer Discretionary
1990-08,1.462,HD,Consumer Discretionary
1990-09,1.405,HD,Consumer Discretionary
1990-10,1.283,HD,Consumer Discretionary
1990-11,1.437,HD,Consumer Discretionary
1990-12,1.653,HD,Consumer Discretionary
1991-01,1.707,HD,Consumer Discretionary
1991-02,2.039,HD,Consumer Discretionary
1991-03,2.197,HD,Consumer Discretionary
1991-04,2.456,HD,Consumer Discretionary
1991-05,2.617,HD,Consumer Discretionary
1991-06,2.869,HD,Consumer Discretionary
1991-07,3.064,HD,Consumer Discretionary
1991-08,3.301,HD,Consumer Discretionary
1991-09,3.409,HD,Consumer Discretionary
1991-10,3.546,HD,Consumer Discretionary
1991-11,3.828,HD,Consumer Discretionary
1991-12,4.179,HD,Consumer Discretionary
1992-01,4.304,HD,Consumer Discretionary
1992-02,4.117,HD,Consumer Discretionary
1992-03,4.156,HD,Consumer Discretionary
1992-04,4.139,HD,Consumer Discretionary
1992-05,4.252,HD,Consumer Discretionary
1992-06,4.4,HD,Consumer Discretionary
1992-07,4.622,HD,Consumer Discretionary
1992-08,5.037,HD,Consumer Discretionary
1992-09,5.333,HD,Consumer Discretionary
1992-10,5.381,HD,Consumer Discretionary
1992-11,5.802,HD,Consumer Discretionary
1992-12,6.398,HD,Consumer Discretionary
1993-01,6.331,HD,Consumer Discretionary
1993-02,6.196,HD,Consumer Discretionary
1993-03,6.212,HD,Consumer Discretionary
1993-04,5.558,HD,Consumer Discretionary
1993-05,5.803,HD,Consumer Discretionary
1993-06,5.643,HD,Consumer Discretionary
1993-07,5.659,HD,Consumer Discretionary
1993-08,5.728,HD,Consumer Discretionary
1993-09,5.06,HD,Consumer Discretionary
1993-10,5.061,HD,Consumer Discretionary
1993-11,5.439,HD,Consumer Discretionary
1993-12,5.316,HD,Consumer Discretionary
1994-01,4.985,HD,Consumer Discretionary
1994-02,5.181,HD,Consumer Discretionary
1994-03,5.509,HD,Consumer Discretionary
1994-04,5.424,HD,Consumer Discretionary
1994-05,5.614,HD,Consumer Discretionary
1994-06,5.704,HD,Consumer Discretionary
1994-07,5.534,HD,Consumer Discretionary
1994-08,5.607,HD,Consumer Discretionary
1994-09,5.666,HD,Consumer Discretionary
1994-10,5.682,HD,Consumer Discretionary
1994-11,6.058,HD,Consumer Discretionary
1994-12,6.0,HD,Consumer Discretionary
1995-01,6.069,HD,Consumer Discretionary
1995-02,6.266,HD,Consumer Discretionary
1995-03,5.818,HD,Consumer Discretionary
1995-04,5.553,HD,Consumer Discretionary
1995-05,5.455,HD,Consumer Discretionary
1995-06,5.345,HD,Consumer Discretionary
1995-07,5.637,HD,Consumer Discretionary
1995-08,5.551,HD,Consumer Discretionary
1995-09,5.332,HD,Consumer Discretionary
1995-10,5.039,HD,Consumer Discretionary
1995-11,5.595,HD,Consumer Discretionary
1995-12,5.998,HD,Consumer Discretionary
1996-01,5.856,HD,Consumer Discretionary
1996-02,6.037,HD,Consumer Discretionary
1996-03,6.347,HD,Consumer Discretionary
1996-04,6.084,HD,Consumer Discretionary
1996-05,6.603,HD,Consumer Discretionary
1996-06,7.165,HD,Consumer Discretionary
1996-07,6.81,HD,Consumer Discretionary
1996-08,7.056,HD,Consumer Discretionary
1996-09,7.355,HD,Consumer Discretionary
1996-10,7.498,HD,Consumer Discretionary
1996-11,7.029,HD,Consumer Discretionary
1996-12,6.755,HD,Consumer Discretionary
1997-01,6.635,HD,Consumer Discretionary
1997-02,6.879,HD,Consumer Discretionary
1997-03,7.467,HD,Consumer Discretionary
1997-04,7.412,HD,Consumer Discretionary
1997-05,7.892,HD,Consumer Discretionary
1997-06,8.844,HD,Consumer Discretionary
1997-07,9.247,HD,Consumer Discretionary
1997-08,9.714,HD,Consumer Discretionary
1997-09,10.276,HD,Consumer Discretionary
1997-10,10.762,HD,Consumer Discretionary
1997-11,11.202,HD,Consumer Discretionary
1997-12,11.496,HD,Consumer Discretionary
1998-01,11.771,HD,Consumer Discretionary
1998-02,12.894,HD,Consumer Discretionary
1998-03,13.34,HD,Consumer Discretionary
1998-04,13.87,HD,Consumer Discretionary
1998-05,14.311,HD,Consumer Discretionary
1998-06,16.234,HD,Consumer Discretionary
1998-07,18.136,HD,Consumer Discretionary
1998-08,17.048,HD,Consumer Discretionary
1998-09,16.351,HD,Consumer Discretionary
1998-10,15.836,HD,Consumer Discretionary
1998-11,18.896,HD,Consumer Discretionary
1998-12,22.108,HD,Consumer Discretionary
1999-01,22.861,HD,Consumer Discretionary
1999-02,23.188,HD,Consumer Discretionary
1999-03,25.053,HD,Consumer Discretionary
1999-04,24.968,HD,Consumer Discretionary
1999-05,23.142,HD,Consumer Discretionary
1999-06,23.918,HD,Consumer Discretionary
1999-07,26.11,HD,Consumer Discretionary
1999-08,24.447,HD,Consumer Discretionary
1999-09,26.292,HD,Consumer Discretionary
1999-10,28.674,HD,Consumer Discretionary
1999-11,31.631,HD,Consumer Discretionary
1999-12,36.974,HD,Consumer Discretionary
2000-01,36.214,HD,Consumer Discretionary
2000-02,34.675,HD,Consumer Discretionary
2000-03,35.64,HD,Consumer Discretionary
2000-04,37.162,HD,Consumer Discretionary
2000-05,31.146,HD,Consumer Discretionary
2000-06,29.674,HD,Consumer Discretionary
