date,average,ticker,industry
1962-01,1.034,HON,Industrials
1962-02,1.015,HON,Industrials
1962-03,0.953,HON,Industrials
1962-04,0.881,HON,Industrials
1962-05,0.828,HON,Industrials
1962-06,0.76,HON,Industrials
1962-07,0.733,HON,Industrials
1962-08,0.736,HON,Industrials
1962-09,0.751,HON,Industrials
1962-10,0.732,HON,Industrials
1962-11,0.827,HON,Industrials
1962-12,0.853,HON,Industrials
1963-01,0.888,HON,Industrials
1963-02,0.898,HON,Industrials
1963-03,0.894,HON,Industrials
1963-04,0.97,HON,Industrials
1963-05,1.023,HON,Industrials
1963-06,1.016,HON,Industrials
1963-07,0.989,HON,Industrials
1963-08,1.033,HON,Industrials
1963-09,1.065,HON,Industrials
1963-10,1.076,HON,Industrials
1963-11,1.103,HON,Industrials
1963-12,1.153,HON,Industrials
1964-01,1.159,HON,Industrials
1964-02,1.13,HON,Industrials
1964-03,1.163,HON,Industrials
1964-04,1.159,HON,Industrials
1964-05,1.123,HON,Industrials
1964-06,1.118,HON,Industrials
1964-07,1.148,HON,Industrials
1964-08,1.114,HON,Industrials
1964-09,1.123,HON,Industrials
1964-10,1.127,HON,Industrials
1964-11,1.153,HON,Industrials
1964-12,1.121,HON,Industrials
1965-01,1.155,HON,Industrials
1965-02,1.231,HON,Industrials
1965-03,1.241,HON,Industrials
1965-04,1.232,HON,Industrials
1965-05,1.191,HON,Industrials
1965-06,1.089,HON,Industrials
1965-07,1.052,HON,Industrials
1965-08,1.055,HON,Industrials
1965-09,1.12,HON,Industrials
1965-10,1.089,HON,Industrials
1965-11,1.064,HON,Industrials
1965-12,1.093,HON,Industrials
1966-01,1.129,HON,Industrials
1966-02,1.101,HON,Industrials
1966-03,1.054,HON,Industrials
1966-04,1.033,HON,Industrials
1966-05,0.969,HON,Industrials
1966-06,0.935,HON,Industrials
1966-07,0.916,HON,Industrials
1966-08,0.874,HON,Industrials
1966-09,0.859,HON,Industrials
1966-10,0.819,HON,Industrials
1966-11,0.826,HON,Industrials
1966-12,0.818,HON,Industrials
1967-01,0.921,HON,Industrials
1967-02,1.001,HON,Industrials
1967-03,0.999,HON,Industrials
1967-04,1.01,HON,Industrials
1967-05,1.025,HON,Industrials
1967-06,0.974,HON,Industrials
1967-07,0.986,HON,Industrials
1967-08,1.062,HON,Industrials
1967-09,1.134,HON,Industrials
1967-10,1.07,HON,Industrials
1967-11,1.007,HON,Industrials
1967-12,1.013,HON,Industrials
1968-01,1.051,HON,Industrials
1968-02,0.972,HON,Industrials
1968-03,0.919,HON,Industrials
1968-04,0.943,HON,Industrials
1968-05,0.966,HON,Industrials
1968-06,0.96,HON,Industrials
1968-07,0.954,HON,Industrials
1968-08,0.944,HON,Industrials
1968-09,0.979,HON,Industrials
1968-10,0.972,HON,Industrials
1968-11,0.941,HON,Industrials
1968-12,0.986,HON,Industrials
1969-01,0.975,HON,Industrials
1969-02,0.928,HON,Industrials
1969-03,0.869,HON,Industrials
1969-04,0.842,HON,Industrials
1969-05,0.947,HON,Industrials
1969-06,0.848,HON,Industrials
1969-07,0.777,HON,Industrials
1969-08,0.764,HON,Industrials
1969-09,0.736,HON,Industrials
1969-10,0.805,HON,Industrials
1969-11,0.827,HON,Industrials
1969-12,0.707,HON,Industrials
1970-01,0.718,HON,Industrials
1970-02,0.659,HON,Industrials
1970-03,0.687,HON,Industrials
1970-04,0.635,HON,Industrials
1970-05,0.531,HON,Industrials
1970-06,0.517,HON,Industrials
1970-07,0.535,HON,Industrials
1970-08,0.557,HON,Industrials
1970-09,0.595,HON,Industrials
1970-10,0.56,HON,Industrials
1970-11,0.533,HON,Industrials
1970-12,0.644,HON,Industrials
1971-01,0.744,HON,Industrials
1971-02,0.841,HON,Industrials
1971-03,0.833,HON,Industrials
1971-04,0.87,HON,Industrials
1971-05,0.961,HON,Industrials
1971-06,0.969,HON,Industrials
1971-07,0.993,HON,Industrials
1971-08,0.962,HON,Industrials
1971-09,1.032,HON,Industrials
1971-10,0.954,HON,Industrials
1971-11,0.837,HON,Industrials
1971-12,0.892,HON,Industrials
1972-01,0.935,HON,Industrials
1972-02,0.963,HON,Industrials
1972-03,0.932,HON,Industrials
1972-04,1.058,HON,Industrials
1972-05,1.024,HON,Industrials
1972-06,0.956,HON,Industrials
1972-07,0.909,HON,Industrials
1972-08,0.947,HON,Industrials
1972-09,0.933,HON,Industrials
1972-10,0.889,HON,Industrials
1972-11,0.972,HON,Industrials
1972-12,0.98,HON,Industrials
1973-01,0.964,HON,Industrials
1973-02,1.05,HON,Industrials
1973-03,1.094,HON,Industrials
1973-04,1.127,HON,Industrials
1973-05,1.125,HON,Industrials
1973-06,1.103,HON,Industrials
1973-07,1.148,HON,Industrials
1973-08,1.163,HON,Industrials
1973-09,1.247,HON,Industrials
1973-10,1.476,HON,Industrials
1973-11,1.481,HON,Industrials
1973-12,1.548,HON,Industrials
1974-01,1.583,HON,Industrials
1974-02,1.475,HON,Industrials
1974-03,1.519,HON,Industrials
1974-04,1.446,HON,Industrials
1974-05,1.473,HON,Industrials
1974-06,1.364,HON,Industrials
1974-07,1.244,HON,Industrials
1974-08,1.242,HON,Industrials
1974-09,1.048,HON,Industrials
1974-10,1.038,HON,Industrials
1974-11,1.135,HON,Industrials
1974-12,1.029,HON,Industrials
1975-01,1.032,HON,Industrials
1975-02,1.225,HON,Industrials
1975-03,1.298,HON,Industrials
1975-04,1.298,HON,Industrials
1975-05,1.4,HON,Industrials
1975-06,1.35,HON,Industrials
1975-07,1.358,HON,Industrials
1975-08,1.31,HON,Industrials
1975-09,1.217,HON,Industrials
1975-10,1.198,HON,Industrials
1975-11,1.217,HON,Industrials
1975-12,1.206,HON,Industrials
1976-01,1.411,HON,Industrials
1976-02,1.575,HON,Industrials
1976-03,1.556,HON,Industrials
1976-04,1.523,HON,Industrials
1976-05,1.448,HON,Industrials
1976-06,1.417,HON,Industrials
1976-07,1.448,HON,Industrials
1976-08,1.491,HON,Industrials
1976-09,1.478,HON,Industrials
1976-10,1.399,HON,Industrials
1976-11,1.366,HON,Industrials
1976-12,1.455,HON,Industrials
1977-01,1.722,HON,Industrials
1977-02,1.77,HON,Industrials
1977-03,1.747,HON,Industrials
1977-04,1.73,HON,Industrials
1977-05,1.852,HON,Industrials
1977-06,1.936,HON,Industrials
1977-07,1.949,HON,Industrials
1977-08,1.78,HON,Industrials
1977-09,1.763,HON,Industrials
1977-10,1.692,HON,Industrials
1977-11,1.734,HON,Industrials
1977-12,1.77,HON,Industrials
1978-01,1.571,HON,Industrials
1978-02,1.482,HON,Industrials
1978-03,1.517,HON,Industrials
1978-04,1.662,HON,Industrials
1978-05,1.744,HON,Industrials
1978-06,1.634,HON,Industrials
1978-07,1.481,HON,Industrials
1978-08,1.568,HON,Industrials
1978-09,1.56,HON,Industrials
1978-10,1.457,HON,Industrials
1978-11,1.325,HON,Industrials
1978-12,1.256,HON,Industrials
1979-01,1.266,HON,Industrials
1979-02,1.29,HON,Industrials
1979-03,1.414,HON,Industrials
1979-04,1.487,HON,Industrials
1979-05,1.415,HON,Industrials
1979-06,1.469,HON,Industrials
1979-07,1.536,HON,Industrials
1979-08,1.664,HON,Industrials
1979-09,1.793,HON,Industrials
1979-10,1.925,HON,Industrials
1979-11,2.036,HON,Industrials
1979-12,2.138,HON,Industrials
1980-01,2.344,HON,Industrials
1980-02,2.59,HON,Industrials
1980-03,2.265,HON,Industrials
1980-04,2.068,HON,Industrials
1980-05,2.167,HON,Industrials
1980-06,2.311,HON,Industrials
1980-07,2.316,HON,Industrials
1980-08,2.416,HON,Industrials
1980-09,2.454,HON,Industrials
1980-10,2.586,HON,Industrials
1980-11,2.688,HON,Industrials
1980-12,2.578,HON,Industrials
1981-01,2.388,HON,Industrials
1981-02,2.355,HON,Industrials
1981-03,2.519,HON,Industrials
1981-04,2.433,HON,Industrials
1981-05,2.621,HON,Industrials
1981-06,2.576,HON,Industrials
1981-07,2.627,HON,Industrials
1981-08,2.524,HON,Industrials
1981-09,2.099,HON,Industrials
1981-10,2.099,HON,Industrials
1981-11,2.258,HON,Industrials
1981-12,2.222,HON,Industrials
1982-01,2.078,HON,Industrials
1982-02,1.959,HON,Industrials
1982-03,1.679,HON,Industrials
1982-04,1.662,HON,Industrials
1982-05,1.769,HON,Industrials
1982-06,1.625,HON,Industrials
1982-07,1.585,HON,Industrials
1982-08,1.717,HON,Industrials
1982-09,1.768,HON,Industrials
1982-10,1.757,HON,Industrials
1982-11,1.88,HON,Industrials
1982-12,1.715,HON,Industrials
1983-01,1.822,HON,Industrials
1983-02,1.891,HON,Industrials
1983-03,2.219,HON,Industrials
1983-04,2.449,HON,Industrials
1983-05,2.587,HON,Industrials
1983-06,2.738,HON,Industrials
1983-07,2.75,HON,Industrials
1983-08,2.773,HON,Industrials
1983-09,3.032,HON,Industrials
1983-10,3.059,HON,Industrials
1983-11,3.051,HON,Industrials
1983-12,2.952,HON,Industrials
1984-01,2.985,HON,Industrials
1984-02,2.774,HON,Industrials
1984-03,2.794,HON,Industrials
1984-04,2.826,HON,Industrials
1984-05,2.88,HON,Industrials
1984-06,2.751,HON,Industrials
1984-07,2.55,HON,Industrials
1984-08,2.82,HON,Industrials
1984-09,2.958,HON,Industrials
1984-10,3.004,HON,Industrials
1984-11,3.002,HON,Industrials
1984-12,3.013,HON,Industrials
1985-01,3.097,HON,Industrials
1985-02,3.361,HON,Industrials
1985-03,3.375,HON,Industrials
1985-04,3.656,HON,Industrials
1985-05,3.784,HON,Industrials
1985-06,3.704,HON,Industrials
1985-07,3.905,HON,Industrials
1985-08,3.764,HON,Industrials
1985-09,3.773,HON,Industrials
1985-10,3.849,HON,Industrials
1985-11,4.016,HON,Industrials
1985-12,4.115,HON,Industrials
1986-01,4.12,HON,Industrials
1986-02,4.448,HON,Industrials
1986-03,4.621,HON,Industrials
1986-04,4.625,HON,Industrials
1986-05,4.439,HON,Industrials
1986-06,4.009,HON,Industrials
1986-07,3.714,HON,Industrials
1986-08,3.745,HON,Industrials
1986-09,3.728,HON,Industrials
1986-10,3.732,HON,Industrials
1986-11,3.793,HON,Industrials
1986-12,3.894,HON,Industrials
1987-01,4.144,HON,Industrials
1987-02,4.29,HON,Industrials
1987-03,4.424,HON,Industrials
1987-04,4.242,HON,Industrials
1987-05,3.97,HON,Industrials
1987-06,4.05,HON,Industrials
1987-07,4.152,HON,Industrials
1987-08,4.444,HON,Industrials
1987-09,4.221,HON,Industrials
1987-10,3.749,HON,Industrials
1987-11,3.04,HON,Industrials
1987-12,2.709,HON,Industrials
1988-01,2.923,HON,Industrials
1988-02,3.156,HON,Industrials
1988-03,3.193,HON,Industrials
1988-04,3.15,HON,Industrials
1988-05,3.159,HON,Industrials
1988-06,3.416,HON,Industrials
1988-07,3.559,HON,Industrials
1988-08,3.404,HON,Industrials
1988-09,3.477,HON,Industrials
1988-10,3.478,HON,Industrials
1988-11,3.409,HON,Industrials
