date,average,ticker,industry
1980-03,0.177,INTC,Tech
1980-04,0.172,INTC,Tech
1980-05,0.187,INTC,Tech
1980-06,0.193,INTC,Tech
1980-07,0.22,INTC,Tech
1980-08,0.255,INTC,Tech
1980-09,0.262,INTC,Tech
1980-10,0.272,INTC,Tech
1980-11,0.267,INTC,Tech
1980-12,0.238,INTC,Tech
1981-01,0.226,INTC,Tech
1981-02,0.221,INTC,Tech
1981-03,0.203,INTC,Tech
1981-04,0.22,INTC,Tech
1981-05,0.217,INTC,Tech
1981-06,0.212,INTC,Tech
1981-07,0.197,INTC,Tech
1981-08,0.178,INTC,Tech
1981-09,0.152,INTC,Tech
1981-10,0.147,INTC,Tech
1981-11,0.156,INTC,Tech
1981-12,0.141,INTC,Tech
1982-01,0.135,INTC,Tech
1982-02,0.144,INTC,Tech
1982-03,0.151,INTC,Tech
1982-04,0.18,INTC,Tech
1982-05,0.184,INTC,Tech
1982-06,0.175,INTC,Tech
1982-07,0.185,INTC,Tech
1982-08,0.182,INTC,Tech
1982-09,0.204,INTC,Tech
1982-10,0.215,INTC,Tech
1982-11,0.218,INTC,Tech
1982-12,0.219,INTC,Tech
1983-01,0.244,INTC,Tech
1983-02,0.261,INTC,Tech
1983-03,0.265,INTC,Tech
1983-04,0.271,INTC,Tech
1983-05,0.321,INTC,Tech
1983-06,0.372,INTC,Tech
1983-07,0.457,INTC,Tech
1983-08,0.448,INTC,Tech
1983-09,0.499,INTC,Tech
1983-10,0.465,INTC,Tech
1983-11,0.465,INTC,Tech
1983-12,0.48,INTC,Tech
1984-01,0.461,INTC,Tech
1984-02,0.396,INTC,Tech
1984-03,0.419,INTC,Tech
1984-04,0.384,INTC,Tech
1984-05,0.387,INTC,Tech
1984-06,0.364,INTC,Tech
1984-07,0.331,INTC,Tech
1984-08,0.408,INTC,Tech
1984-09,0.386,INTC,Tech
1984-10,0.339,INTC,Tech
1984-11,0.329,INTC,Tech
1984-12,0.322,INTC,Tech
1985-01,0.353,INTC,Tech
1985-02,0.345,INTC,Tech
1985-03,0.306,INTC,Tech
1985-04,0.323,INTC,Tech
1985-05,0.313,INTC,Tech
1985-06,0.291,INTC,Tech
1985-07,0.321,INTC,Tech
1985-08,0.317,INTC,Tech
1985-09,0.298,INTC,Tech
1985-10,0.279,INTC,Tech
1985-11,0.317,INTC,Tech
1985-12,0.34,INTC,Tech
1986-01,0.33,INTC,Tech
1986-02,0.338,INTC,Tech
1986-03,0.315,INTC,Tech
1986-04,0.324,INTC,Tech
1986-05,0.32,INTC,Tech
1986-06,0.283,INTC,Tech
1986-07,0.228,INTC,Tech
1986-08,0.234,INTC,Tech
1986-09,0.241,INTC,Tech
1986-10,0.228,INTC,Tech
1986-11,0.244,INTC,Tech
1986-12,0.259,INTC,Tech
1987-01,0.312,INTC,Tech
1987-02,0.42,INTC,Tech
1987-03,0.435,INTC,Tech
1987-04,0.505,INTC,Tech
1987-05,0.511,INTC,Tech
1987-06,0.489,INTC,Tech
1987-07,0.542,INTC,Tech
