date,average,ticker,industry
1962-01,0.06,JNJ,Health
1962-02,0.066,JNJ,Health
1962-03,0.066,JNJ,Health
1962-04,0.062,JNJ,Health
1962-05,0.057,JNJ,Health
1962-06,0.048,JNJ,Health
1962-07,0.049,JNJ,Health
1962-08,0.047,JNJ,Health
1962-09,0.046,JNJ,Health
1962-10,0.044,JNJ,Health
1962-11,0.047,JNJ,Health
1962-12,0.049,JNJ,Health
1963-01,0.052,JNJ,Health
1963-02,0.054,JNJ,Health
1963-03,0.054,JNJ,Health
1963-04,0.054,JNJ,Health
1963-05,0.057,JNJ,Health
1963-06,0.059,JNJ,Health
1963-07,0.057,JNJ,Health
1963-08,0.061,JNJ,Health
1963-09,0.064,JNJ,Health
1963-10,0.069,JNJ,Health
1963-11,0.069,JNJ,Health
1963-12,0.07,JNJ,Health
1964-01,0.073,JNJ,Health
1964-02,0.075,JNJ,Health
1964-03,0.075,JNJ,Health
1964-04,0.071,JNJ,Health
1964-05,0.068,JNJ,Health
1964-06,0.067,JNJ,Health
1964-07,0.069,JNJ,Health
1964-08,0.067,JNJ,Health
1964-09,0.068,JNJ,Health
1964-10,0.07,JNJ,Health
1964-11,0.073,JNJ,Health
1964-12,0.074,JNJ,Health
1965-01,0.079,JNJ,Health
1965-02,0.082,JNJ,Health
1965-03,0.085,JNJ,Health
1965-04,0.088,JNJ,Health
1965-05,0.091,JNJ,Health
1965-06,0.086,JNJ,Health
1965-07,0.088,JNJ,Health
1965-08,0.101,JNJ,Health
1965-09,0.105,JNJ,Health
1965-10,0.108,JNJ,Health
1965-11,0.105,JNJ,Health
1965-12,0.115,JNJ,Health
1966-01,0.123,JNJ,Health
1966-02,0.132,JNJ,Health
1966-03,0.122,JNJ,Health
1966-04,0.129,JNJ,Health
1966-05,0.121,JNJ,Health
1966-06,0.126,JNJ,Health
1966-07,0.124,JNJ,Health
1966-08,0.115,JNJ,Health
1966-09,0.103,JNJ,Health
1966-10,0.102,JNJ,Health
1966-11,0.116,JNJ,Health
1966-12,0.121,JNJ,Health
1967-01,0.121,JNJ,Health
1967-02,0.133,JNJ,Health
1967-03,0.144,JNJ,Health
1967-04,0.157,JNJ,Health
1967-05,0.164,JNJ,Health
1967-06,0.161,JNJ,Health
1967-07,0.153,JNJ,Health
1967-08,0.153,JNJ,Health
1967-09,0.174,JNJ,Health
1967-10,0.185,JNJ,Health
1967-11,0.176,JNJ,Health
1967-12,0.192,JNJ,Health
1968-01,0.179,JNJ,Health
1968-02,0.17,JNJ,Health
1968-03,0.163,JNJ,Health
1968-04,0.182,JNJ,Health
1968-05,0.183,JNJ,Health
1968-06,0.192,JNJ,Health
1968-07,0.194,JNJ,Health
1968-08,0.19,JNJ,Health
1968-09,0.189,JNJ,Health
1968-10,0.186,JNJ,Health
1968-11,0.195,JNJ,Health
1968-12,0.214,JNJ,Health
1969-01,0.222,JNJ,Health
1969-02,0.226,JNJ,Health
1969-03,0.235,JNJ,Health
1969-04,0.254,JNJ,Health
1969-05,0.26,JNJ,Health
1969-06,0.249,JNJ,Health
1969-07,0.242,JNJ,Health
1969-08,0.272,JNJ,Health
1969-09,0.297,JNJ,Health
1969-10,0.316,JNJ,Health
1969-11,0.32,JNJ,Health
1969-12,0.338,JNJ,Health
1970-01,0.366,JNJ,Health
1970-02,0.344,JNJ,Health
1970-03,0.33,JNJ,Health
1970-04,0.308,JNJ,Health
1970-05,0.281,JNJ,Health
1970-06,0.298,JNJ,Health
1970-07,0.307,JNJ,Health
1970-08,0.299,JNJ,Health
1970-09,0.331,JNJ,Health
1970-10,0.348,JNJ,Health
1970-11,0.367,JNJ,Health
1970-12,0.365,JNJ,Health
1971-01,0.402,JNJ,Health
1971-02,0.438,JNJ,Health
1971-03,0.484,JNJ,Health
1971-04,0.506,JNJ,Health
1971-05,0.561,JNJ,Health
1971-06,0.587,JNJ,Health
1971-07,0.613,JNJ,Health
1971-08,0.595,JNJ,Health
1971-09,0.581,JNJ,Health
1971-10,0.572,JNJ,Health
1971-11,0.579,JNJ,Health
1971-12,0.626,JNJ,Health
1972-01,0.624,JNJ,Health
1972-02,0.663,JNJ,Health
1972-03,0.707,JNJ,Health
1972-04,0.741,JNJ,Health
1972-05,0.765,JNJ,Health
1972-06,0.792,JNJ,Health
1972-07,0.795,JNJ,Health
1972-08,0.804,JNJ,Health
1972-09,0.794,JNJ,Health
1972-10,0.807,JNJ,Health
1972-11,0.816,JNJ,Health
1972-12,0.823,JNJ,Health
1973-01,0.827,JNJ,Health
1973-02,0.796,JNJ,Health
1973-03,0.801,JNJ,Health
1973-04,0.782,JNJ,Health
1973-05,0.751,JNJ,Health
1973-06,0.755,JNJ,Health
1973-07,0.753,JNJ,Health
1973-08,0.746,JNJ,Health
1973-09,0.766,JNJ,Health
1973-10,0.769,JNJ,Health
1973-11,0.772,JNJ,Health
1973-12,0.722,JNJ,Health
1974-01,0.69,JNJ,Health
1974-02,0.666,JNJ,Health
1974-03,0.709,JNJ,Health
1974-04,0.707,JNJ,Health
1974-05,0.733,JNJ,Health
1974-06,0.763,JNJ,Health
1974-07,0.692,JNJ,Health
1974-08,0.571,JNJ,Health
1974-09,0.53,JNJ,Health
1974-10,0.552,JNJ,Health
1974-11,0.559,JNJ,Health
1974-12,0.533,JNJ,Health
1975-01,0.508,JNJ,Health
1975-02,0.583,JNJ,Health
1975-03,0.612,JNJ,Health
1975-04,0.595,JNJ,Health
1975-05,0.623,JNJ,Health
1975-06,0.631,JNJ,Health
1975-07,0.606,JNJ,Health
1975-08,0.564,JNJ,Health
1975-09,0.54,JNJ,Health
1975-10,0.565,JNJ,Health
1975-11,0.605,JNJ,Health
1975-12,0.592,JNJ,Health
1976-01,0.602,JNJ,Health
1976-02,0.602,JNJ,Health
1976-03,0.573,JNJ,Health
1976-04,0.587,JNJ,Health
1976-05,0.575,JNJ,Health
1976-06,0.561,JNJ,Health
1976-07,0.574,JNJ,Health
1976-08,0.577,JNJ,Health
1976-09,0.612,JNJ,Health
1976-10,0.584,JNJ,Health
1976-11,0.544,JNJ,Health
1976-12,0.498,JNJ,Health
1977-01,0.488,JNJ,Health
1977-02,0.45,JNJ,Health
1977-03,0.47,JNJ,Health
1977-04,0.443,JNJ,Health
1977-05,0.439,JNJ,Health
1977-06,0.471,JNJ,Health
1977-07,0.47,JNJ,Health
1977-08,0.482,JNJ,Health
1977-09,0.493,JNJ,Health
1977-10,0.49,JNJ,Health
1977-11,0.495,JNJ,Health
1977-12,0.506,JNJ,Health
1978-01,0.483,JNJ,Health
1978-02,0.472,JNJ,Health
1978-03,0.471,JNJ,Health
1978-04,0.476,JNJ,Health
1978-05,0.526,JNJ,Health
1978-06,0.562,JNJ,Health
1978-07,0.569,JNJ,Health
1978-08,0.594,JNJ,Health
1978-09,0.588,JNJ,Health
1978-10,0.551,JNJ,Health
1978-11,0.535,JNJ,Health
1978-12,0.52,JNJ,Health
1979-01,0.529,JNJ,Health
1979-02,0.497,JNJ,Health
1979-03,0.487,JNJ,Health
1979-04,0.489,JNJ,Health
1979-05,0.49,JNJ,Health
1979-06,0.506,JNJ,Health
1979-07,0.506,JNJ,Health
1979-08,0.537,JNJ,Health
1979-09,0.53,JNJ,Health
1979-10,0.492,JNJ,Health
1979-11,0.5,JNJ,Health
1979-12,0.557,JNJ,Health
1980-01,0.555,JNJ,Health
1980-02,0.523,JNJ,Health
1980-03,0.492,JNJ,Health
1980-04,0.522,JNJ,Health
1980-05,0.567,JNJ,Health
1980-06,0.584,JNJ,Health
1980-07,0.582,JNJ,Health
1980-08,0.597,JNJ,Health
1980-09,0.587,JNJ,Health
1980-10,0.589,JNJ,Health
1980-11,0.643,JNJ,Health
1980-12,0.689,JNJ,Health
1981-01,0.715,JNJ,Health
1981-02,0.72,JNJ,Health
1981-03,0.764,JNJ,Health
1981-04,0.793,JNJ,Health
1981-05,0.806,JNJ,Health
1981-06,0.826,JNJ,Health
1981-07,0.734,JNJ,Health
1981-08,0.714,JNJ,Health
1981-09,0.695,JNJ,Health
1981-10,0.782,JNJ,Health
1981-11,0.811,JNJ,Health
1981-12,0.817,JNJ,Health
1982-01,0.81,JNJ,Health
1982-02,0.852,JNJ,Health
1982-03,0.81,JNJ,Health
1982-04,0.879,JNJ,Health
1982-05,0.914,JNJ,Health
1982-06,0.894,JNJ,Health
1982-07,0.934,JNJ,Health
1982-08,0.952,JNJ,Health
1982-09,1.053,JNJ,Health
1982-10,0.978,JNJ,Health
1982-11,1.055,JNJ,Health
1982-12,1.12,JNJ,Health
1983-01,1.136,JNJ,Health
1983-02,1.079,JNJ,Health
1983-03,1.095,JNJ,Health
1983-04,1.102,JNJ,Health
1983-05,1.145,JNJ,Health
1983-06,1.109,JNJ,Health
1983-07,1.106,JNJ,Health
1983-08,0.999,JNJ,Health
1983-09,1.027,JNJ,Health
1983-10,1.086,JNJ,Health
1983-11,1.03,JNJ,Health
1983-12,0.965,JNJ,Health
1984-01,0.96,JNJ,Health
1984-02,0.88,JNJ,Health
1984-03,0.832,JNJ,Health
1984-04,0.874,JNJ,Health
1984-05,0.835,JNJ,Health
1984-06,0.763,JNJ,Health
1984-07,0.706,JNJ,Health
1984-08,0.786,JNJ,Health
1984-09,0.814,JNJ,Health
1984-10,0.777,JNJ,Health
1984-11,0.852,JNJ,Health
1984-12,0.88,JNJ,Health
1985-01,0.915,JNJ,Health
1985-02,0.95,JNJ,Health
1985-03,0.986,JNJ,Health
1985-04,1.04,JNJ,Health
1985-05,1.141,JNJ,Health
1985-06,1.165,JNJ,Health
1985-07,1.173,JNJ,Health
1985-08,1.157,JNJ,Health
1985-09,1.143,JNJ,Health
1985-10,1.14,JNJ,Health
1985-11,1.232,JNJ,Health
1985-12,1.308,JNJ,Health
1986-01,1.301,JNJ,Health
1986-02,1.287,JNJ,Health
1986-03,1.348,JNJ,Health
1986-04,1.584,JNJ,Health
1986-05,1.701,JNJ,Health
1986-06,1.791,JNJ,Health
1986-07,1.751,JNJ,Health
1986-08,1.823,JNJ,Health
1986-09,1.671,JNJ,Health
1986-10,1.736,JNJ,Health
1986-11,1.78,JNJ,Health
1986-12,1.778,JNJ,Health
1987-01,1.874,JNJ,Health
1987-02,2.118,JNJ,Health
1987-03,2.337,JNJ,Health
1987-04,2.293,JNJ,Health
1987-05,2.217,JNJ,Health
1987-06,2.369,JNJ,Health
1987-07,2.433,JNJ,Health
1987-08,2.632,JNJ,Health
