date,average,ticker,industry
1980-03,1.079,JPM,Financial
1980-04,1.133,JPM,Financial
1980-05,1.221,JPM,Financial
1980-06,1.264,JPM,Financial
1980-07,1.302,JPM,Financial
1980-08,1.292,JPM,Financial
1980-09,1.318,JPM,Financial
1980-10,1.284,JPM,Financial
1980-11,1.264,JPM,Financial
1980-12,1.26,JPM,Financial
1981-01,1.446,JPM,Financial
1981-02,1.522,JPM,Financial
1981-03,1.624,JPM,Financial
1981-04,1.703,JPM,Financial
1981-05,1.695,JPM,Financial
1981-06,1.834,JPM,Financial
1981-07,1.698,JPM,Financial
1981-08,1.656,JPM,Financial
1981-09,1.555,JPM,Financial
1981-10,1.696,JPM,Financial
1981-11,1.755,JPM,Financial
1981-12,1.684,JPM,Financial
1982-01,1.559,JPM,Financial
1982-02,1.628,JPM,Financial
1982-03,1.643,JPM,Financial
1982-04,1.659,JPM,Financial
1982-05,1.543,JPM,Financial
1982-06,1.47,JPM,Financial
1982-07,1.318,JPM,Financial
1982-08,1.419,JPM,Financial
1982-09,1.55,JPM,Financial
1982-10,1.862,JPM,Financial
1982-11,2.074,JPM,Financial
1982-12,1.966,JPM,Financial
1983-01,1.941,JPM,Financial
1983-02,2.088,JPM,Financial
1983-03,2.235,JPM,Financial
1983-04,2.497,JPM,Financial
1983-05,2.487,JPM,Financial
1983-06,2.36,JPM,Financial
1983-07,2.275,JPM,Financial
1983-08,2.295,JPM,Financial
1983-09,2.097,JPM,Financial
1983-10,1.966,JPM,Financial
1983-11,2.071,JPM,Financial
1983-12,2.121,JPM,Financial
1984-01,2.289,JPM,Financial
1984-02,2.298,JPM,Financial
1984-03,2.238,JPM,Financial
1984-04,2.146,JPM,Financial
1984-05,2.127,JPM,Financial
1984-06,1.842,JPM,Financial
1984-07,1.892,JPM,Financial
1984-08,2.086,JPM,Financial
1984-09,2.245,JPM,Financial
1984-10,2.212,JPM,Financial
1984-11,2.385,JPM,Financial
1984-12,2.57,JPM,Financial
1985-01,2.769,JPM,Financial
1985-02,3.048,JPM,Financial
1985-03,2.959,JPM,Financial
1985-04,3.053,JPM,Financial
1985-05,3.181,JPM,Financial
1985-06,3.187,JPM,Financial
1985-07,3.328,JPM,Financial
1985-08,3.136,JPM,Financial
1985-09,2.96,JPM,Financial
1985-10,3.033,JPM,Financial
1985-11,3.229,JPM,Financial
1985-12,3.592,JPM,Financial
1986-01,3.653,JPM,Financial
1986-02,3.593,JPM,Financial
1986-03,4.208,JPM,Financial
1986-04,4.394,JPM,Financial
1986-05,4.233,JPM,Financial
1986-06,4.254,JPM,Financial
1986-07,3.935,JPM,Financial
1986-08,3.936,JPM,Financial
1986-09,3.801,JPM,Financial
1986-10,3.688,JPM,Financial
1986-11,3.728,JPM,Financial
1986-12,3.816,JPM,Financial
1987-01,3.968,JPM,Financial
1987-02,4.066,JPM,Financial
1987-03,3.926,JPM,Financial
1987-04,3.707,JPM,Financial
1987-05,3.716,JPM,Financial
1987-06,3.912,JPM,Financial
1987-07,3.646,JPM,Financial
1987-08,3.694,JPM,Financial
1987-09,3.436,JPM,Financial
1987-10,2.903,JPM,Financial
1987-11,2.505,JPM,Financial
1987-12,2.141,JPM,Financial
1988-01,1.941,JPM,Financial
1988-02,2.101,JPM,Financial
1988-03,2.243,JPM,Financial
1988-04,2.241,JPM,Financial
1988-05,2.468,JPM,Financial
1988-06,2.925,JPM,Financial
1988-07,2.899,JPM,Financial
1988-08,3.121,JPM,Financial
1988-09,3.175,JPM,Financial
1988-10,3.129,JPM,Financial
1988-11,3.229,JPM,Financial
1988-12,3.189,JPM,Financial
1989-01,3.213,JPM,Financial
1989-02,3.247,JPM,Financial
1989-03,3.325,JPM,Financial
1989-04,3.655,JPM,Financial
1989-05,3.605,JPM,Financial
1989-06,3.772,JPM,Financial
1989-07,3.927,JPM,Financial
1989-08,4.026,JPM,Financial
1989-09,4.07,JPM,Financial
1989-10,4.005,JPM,Financial
1989-11,3.47,JPM,Financial
1989-12,3.369,JPM,Financial
1990-01,3.158,JPM,Financial
1990-02,2.859,JPM,Financial
1990-03,2.853,JPM,Financial
1990-04,2.659,JPM,Financial
1990-05,2.924,JPM,Financial
1990-06,3.053,JPM,Financial
1990-07,2.82,JPM,Financial
1990-08,2.574,JPM,Financial
1990-09,2.255,JPM,Financial
1990-10,1.574,JPM,Financial
1990-11,1.375,JPM,Financial
1990-12,1.445,JPM,Financial
1991-01,1.419,JPM,Financial
1991-02,1.973,JPM,Financial
1991-03,2.098,JPM,Financial
1991-04,2.427,JPM,Financial
1991-05,2.424,JPM,Financial
1991-06,2.786,JPM,Financial
1991-07,3.0,JPM,Financial
1991-08,3.32,JPM,Financial
1991-09,3.211,JPM,Financial
1991-10,3.062,JPM,Financial
1991-11,2.966,JPM,Financial
1991-12,2.612,JPM,Financial
1992-01,3.482,JPM,Financial
1992-02,4.059,JPM,Financial
1992-03,4.225,JPM,Financial
