date,average,ticker,industry
1980-03,0.699,KMB,Consumer Staples
1980-04,0.68,KMB,Consumer Staples
1980-05,0.744,KMB,Consumer Staples
1980-06,0.781,KMB,Consumer Staples
1980-07,0.823,KMB,Consumer Staples
1980-08,0.872,KMB,Consumer Staples
1980-09,0.894,KMB,Consumer Staples
1980-10,0.896,KMB,Consumer Staples
1980-11,0.875,KMB,Consumer Staples
1980-12,0.874,KMB,Consumer Staples
1981-01,0.971,KMB,Consumer Staples
1981-02,1.026,KMB,Consumer Staples
1981-03,1.109,KMB,Consumer Staples
1981-04,1.087,KMB,Consumer Staples
1981-05,1.104,KMB,Consumer Staples
1981-06,1.202,KMB,Consumer Staples
1981-07,1.208,KMB,Consumer Staples
1981-08,1.173,KMB,Consumer Staples
1981-09,1.064,KMB,Consumer Staples
1981-10,1.022,KMB,Consumer Staples
1981-11,1.053,KMB,Consumer Staples
1981-12,1.133,KMB,Consumer Staples
1982-01,1.097,KMB,Consumer Staples
1982-02,1.063,KMB,Consumer Staples
1982-03,1.05,KMB,Consumer Staples
1982-04,1.085,KMB,Consumer Staples
1982-05,1.079,KMB,Consumer Staples
1982-06,1.043,KMB,Consumer Staples
1982-07,1.024,KMB,Consumer Staples
1982-08,1.035,KMB,Consumer Staples
1982-09,1.103,KMB,Consumer Staples
1982-10,1.18,KMB,Consumer Staples
1982-11,1.288,KMB,Consumer Staples
1982-12,1.258,KMB,Consumer Staples
1983-01,1.294,KMB,Consumer Staples
1983-02,1.21,KMB,Consumer Staples
1983-03,1.226,KMB,Consumer Staples
1983-04,1.324,KMB,Consumer Staples
1983-05,1.516,KMB,Consumer Staples
1983-06,1.48,KMB,Consumer Staples
1983-07,1.501,KMB,Consumer Staples
1983-08,1.466,KMB,Consumer Staples
1983-09,1.542,KMB,Consumer Staples
1983-10,1.625,KMB,Consumer Staples
1983-11,1.636,KMB,Consumer Staples
1983-12,1.615,KMB,Consumer Staples
1984-01,1.562,KMB,Consumer Staples
1984-02,1.485,KMB,Consumer Staples
1984-03,1.516,KMB,Consumer Staples
1984-04,1.5,KMB,Consumer Staples
1984-05,1.445,KMB,Consumer Staples
1984-06,1.425,KMB,Consumer Staples
1984-07,1.416,KMB,Consumer Staples
1984-08,1.582,KMB,Consumer Staples
1984-09,1.575,KMB,Consumer Staples
1984-10,1.56,KMB,Consumer Staples
1984-11,1.635,KMB,Consumer Staples
1984-12,1.606,KMB,Consumer Staples
1985-01,1.645,KMB,Consumer Staples
1985-02,1.695,KMB,Consumer Staples
1985-03,1.701,KMB,Consumer Staples
1985-04,1.793,KMB,Consumer Staples
1985-05,1.895,KMB,Consumer Staples
1985-06,2.051,KMB,Consumer Staples
1985-07,2.081,KMB,Consumer Staples
1985-08,2.168,KMB,Consumer Staples
1985-09,2.17,KMB,Consumer Staples
1985-10,2.177,KMB,Consumer Staples
1985-11,2.247,KMB,Consumer Staples
1985-12,2.43,KMB,Consumer Staples
1986-01,2.452,KMB,Consumer Staples
1986-02,2.758,KMB,Consumer Staples
1986-03,3.008,KMB,Consumer Staples
1986-04,3.057,KMB,Consumer Staples
1986-05,2.948,KMB,Consumer Staples
1986-06,3.251,KMB,Consumer Staples
1986-07,3.165,KMB,Consumer Staples
1986-08,3.141,KMB,Consumer Staples
1986-09,2.961,KMB,Consumer Staples
1986-10,2.955,KMB,Consumer Staples
1986-11,2.995,KMB,Consumer Staples
1986-12,3.113,KMB,Consumer Staples
1987-01,3.5,KMB,Consumer Staples
1987-02,4.027,KMB,Consumer Staples
1987-03,4.206,KMB,Consumer Staples
1987-04,4.118,KMB,Consumer Staples
1987-05,4.041,KMB,Consumer Staples
1987-06,4.193,KMB,Consumer Staples
1987-07,4.131,KMB,Consumer Staples
1987-08,4.501,KMB,Consumer Staples
1987-09,4.287,KMB,Consumer Staples
1987-10,3.881,KMB,Consumer Staples
1987-11,3.972,KMB,Consumer Staples
1987-12,3.828,KMB,Consumer Staples
1988-01,3.74,KMB,Consumer Staples
1988-02,4.056,KMB,Consumer Staples
1988-03,4.358,KMB,Consumer Staples
1988-04,4.221,KMB,Consumer Staples
1988-05,4.083,KMB,Consumer Staples
1988-06,4.486,KMB,Consumer Staples
1988-07,4.603,KMB,Consumer Staples
1988-08,4.339,KMB,Consumer Staples
1988-09,4.459,KMB,Consumer Staples
1988-10,4.813,KMB,Consumer Staples
1988-11,4.433,KMB,Consumer Staples
1988-12,4.549,KMB,Consumer Staples
1989-01,4.711,KMB,Consumer Staples
1989-02,4.832,KMB,Consumer Staples
1989-03,4.764,KMB,Consumer Staples
1989-04,4.957,KMB,Consumer Staples
1989-05,5.008,KMB,Consumer Staples
1989-06,5.065,KMB,Consumer Staples
1989-07,5.056,KMB,Consumer Staples
1989-08,5.414,KMB,Consumer Staples
1989-09,5.369,KMB,Consumer Staples
1989-10,5.423,KMB,Consumer Staples
1989-11,5.65,KMB,Consumer Staples
1989-12,5.894,KMB,Consumer Staples
1990-01,5.696,KMB,Consumer Staples
1990-02,5.311,KMB,Consumer Staples
1990-03,5.26,KMB,Consumer Staples
1990-04,5.445,KMB,Consumer Staples
1990-05,5.612,KMB,Consumer Staples
1990-06,5.876,KMB,Consumer Staples
1990-07,6.544,KMB,Consumer Staples
1990-08,6.196,KMB,Consumer Staples
1990-09,6.178,KMB,Consumer Staples
