date,average,ticker,industry
1992-06,4.515,LIN,Materials
1992-07,4.284,LIN,Materials
1992-08,4.543,LIN,Materials
1992-09,4.666,LIN,Materials
1992-10,4.542,LIN,Materials
1992-11,4.771,LIN,Materials
1992-12,4.826,LIN,Materials
1993-01,4.951,LIN,Materials
1993-02,5.004,LIN,Materials
1993-03,5.099,LIN,Materials
1993-04,4.954,LIN,Materials
1993-05,4.456,LIN,Materials
1993-06,4.468,LIN,Materials
1993-07,4.636,LIN,Materials
1993-08,4.594,LIN,Materials
1993-09,4.587,LIN,Materials
1993-10,4.6,LIN,Materials
1993-11,4.875,LIN,Materials
1993-12,4.876,LIN,Materials
1994-01,5.193,LIN,Materials
1994-02,5.539,LIN,Materials
1994-03,5.574,LIN,Materials
1994-04,5.381,LIN,Materials
1994-05,5.796,LIN,Materials
1994-06,6.0,LIN,Materials
1994-07,6.154,LIN,Materials
1994-08,6.593,LIN,Materials
1994-09,6.791,LIN,Materials
1994-10,6.954,LIN,Materials
1994-11,6.373,LIN,Materials
1994-12,6.057,LIN,Materials
1995-01,6.216,LIN,Materials
1995-02,6.413,LIN,Materials
1995-03,6.568,LIN,Materials
1995-04,7.054,LIN,Materials
1995-05,7.309,LIN,Materials
1995-06,7.229,LIN,Materials
1995-07,8.225,LIN,Materials
1995-08,8.157,LIN,Materials
1995-09,8.247,LIN,Materials
1995-10,7.985,LIN,Materials
1995-11,8.901,LIN,Materials
1995-12,9.451,LIN,Materials
1996-01,10.239,LIN,Materials
1996-02,11.027,LIN,Materials
1996-03,11.608,LIN,Materials
1996-04,12.127,LIN,Materials
1996-05,11.882,LIN,Materials
1996-06,12.453,LIN,Materials
1996-07,11.903,LIN,Materials
1996-08,12.089,LIN,Materials
1996-09,13.019,LIN,Materials
1996-10,13.772,LIN,Materials
1996-11,14.388,LIN,Materials
1996-12,14.212,LIN,Materials
1997-01,14.202,LIN,Materials
1997-02,14.955,LIN,Materials
1997-03,14.85,LIN,Materials
1997-04,14.173,LIN,Materials
1997-05,16.051,LIN,Materials
1997-06,16.926,LIN,Materials
1997-07,17.258,LIN,Materials
1997-08,16.354,LIN,Materials
1997-09,16.261,LIN,Materials
1997-10,14.423,LIN,Materials
1997-11,13.307,LIN,Materials
1997-12,13.958,LIN,Materials
1998-01,13.339,LIN,Materials
1998-02,13.838,LIN,Materials
1998-03,15.025,LIN,Materials
1998-04,15.969,LIN,Materials
1998-05,15.416,LIN,Materials
1998-06,14.86,LIN,Materials
1998-07,14.76,LIN,Materials
1998-08,13.657,LIN,Materials
1998-09,10.711,LIN,Materials
1998-10,11.349,LIN,Materials
1998-11,12.414,LIN,Materials
1998-12,10.889,LIN,Materials
1999-01,11.131,LIN,Materials
1999-02,11.037,LIN,Materials
1999-03,10.913,LIN,Materials
1999-04,13.673,LIN,Materials
1999-05,16.644,LIN,Materials
1999-06,15.946,LIN,Materials
1999-07,15.126,LIN,Materials
1999-08,15.5,LIN,Materials
1999-09,14.604,LIN,Materials
1999-10,14.404,LIN,Materials
1999-11,14.737,LIN,Materials
1999-12,14.877,LIN,Materials
2000-01,15.577,LIN,Materials
2000-02,12.394,LIN,Materials
2000-03,11.613,LIN,Materials
2000-04,13.395,LIN,Materials
2000-05,14.454,LIN,Materials
2000-06,12.433,LIN,Materials
2000-07,12.351,LIN,Materials
2000-08,13.751,LIN,Materials
2000-09,12.688,LIN,Materials
2000-10,11.6,LIN,Materials
2000-11,11.453,LIN,Materials
2000-12,12.994,LIN,Materials
2001-01,13.846,LIN,Materials
2001-02,14.433,LIN,Materials
2001-03,14.801,LIN,Materials
2001-04,15.236,LIN,Materials
2001-05,16.173,LIN,Materials
2001-06,16.024,LIN,Materials
2001-07,14.851,LIN,Materials
2001-08,15.22,LIN,Materials
2001-09,14.126,LIN,Materials
2001-10,14.818,LIN,Materials
2001-11,16.65,LIN,Materials
