date,average,ticker,industry
1980-03,0.259,LOW,Consumer Discretionary
1980-04,0.276,LOW,Consumer Discretionary
1980-05,0.305,LOW,Consumer Discretionary
1980-06,0.317,LOW,Consumer Discretionary
1980-07,0.385,LOW,Consumer Discretionary
1980-08,0.42,LOW,Consumer Discretionary
1980-09,0.41,LOW,Consumer Discretionary
1980-10,0.407,LOW,Consumer Discretionary
1980-11,0.381,LOW,Consumer Discretionary
1980-12,0.359,LOW,Consumer Discretionary
1981-01,0.373,LOW,Consumer Discretionary
1981-02,0.394,LOW,Consumer Discretionary
1981-03,0.442,LOW,Consumer Discretionary
1981-04,0.476,LOW,Consumer Discretionary
1981-05,0.48,LOW,Consumer Discretionary
1981-06,0.476,LOW,Consumer Discretionary
1981-07,0.483,LOW,Consumer Discretionary
1981-08,0.427,LOW,Consumer Discretionary
1981-09,0.367,LOW,Consumer Discretionary
1981-10,0.367,LOW,Consumer Discretionary
1981-11,0.216,LOW,Consumer Discretionary
1981-12,0.231,LOW,Consumer Discretionary
1982-01,0.236,LOW,Consumer Discretionary
1982-02,0.247,LOW,Consumer Discretionary
1982-03,0.26,LOW,Consumer Discretionary
1982-04,0.262,LOW,Consumer Discretionary
1982-05,0.282,LOW,Consumer Discretionary
1982-06,0.268,LOW,Consumer Discretionary
1982-07,0.278,LOW,Consumer Discretionary
1982-08,0.318,LOW,Consumer Discretionary
1982-09,0.385,LOW,Consumer Discretionary
1982-10,0.454,LOW,Consumer Discretionary
1982-11,0.56,LOW,Consumer Discretionary
1982-12,0.638,LOW,Consumer Discretionary
1983-01,0.606,LOW,Consumer Discretionary
1983-02,0.583,LOW,Consumer Discretionary
1983-03,0.695,LOW,Consumer Discretionary
1983-04,0.687,LOW,Consumer Discretionary
1983-05,0.472,LOW,Consumer Discretionary
1983-06,0.551,LOW,Consumer Discretionary
1983-07,0.532,LOW,Consumer Discretionary
1983-08,0.472,LOW,Consumer Discretionary
1983-09,0.476,LOW,Consumer Discretionary
1983-10,0.431,LOW,Consumer Discretionary
1983-11,0.427,LOW,Consumer Discretionary
1983-12,0.411,LOW,Consumer Discretionary
1984-01,0.429,LOW,Consumer Discretionary
1984-02,0.355,LOW,Consumer Discretionary
1984-03,0.368,LOW,Consumer Discretionary
1984-04,0.355,LOW,Consumer Discretionary
1984-05,0.356,LOW,Consumer Discretionary
1984-06,0.378,LOW,Consumer Discretionary
1984-07,0.347,LOW,Consumer Discretionary
1984-08,0.373,LOW,Consumer Discretionary
1984-09,0.385,LOW,Consumer Discretionary
1984-10,0.411,LOW,Consumer Discretionary
1984-11,0.45,LOW,Consumer Discretionary
1984-12,0.453,LOW,Consumer Discretionary
1985-01,0.493,LOW,Consumer Discretionary
1985-02,0.526,LOW,Consumer Discretionary
1985-03,0.511,LOW,Consumer Discretionary
1985-04,0.49,LOW,Consumer Discretionary
1985-05,0.522,LOW,Consumer Discretionary
1985-06,0.505,LOW,Consumer Discretionary
1985-07,0.507,LOW,Consumer Discretionary
1985-08,0.445,LOW,Consumer Discretionary
1985-09,0.414,LOW,Consumer Discretionary
1985-10,0.409,LOW,Consumer Discretionary
1985-11,0.45,LOW,Consumer Discretionary
1985-12,0.453,LOW,Consumer Discretionary
1986-01,0.489,LOW,Consumer Discretionary
1986-02,0.601,LOW,Consumer Discretionary
1986-03,0.717,LOW,Consumer Discretionary
1986-04,0.726,LOW,Consumer Discretionary
1986-05,0.723,LOW,Consumer Discretionary
1986-06,0.683,LOW,Consumer Discretionary
1986-07,0.607,LOW,Consumer Discretionary
1986-08,0.547,LOW,Consumer Discretionary
1986-09,0.492,LOW,Consumer Discretionary
1986-10,0.477,LOW,Consumer Discretionary
1986-11,0.524,LOW,Consumer Discretionary
1986-12,0.519,LOW,Consumer Discretionary
1987-01,0.543,LOW,Consumer Discretionary
1987-02,0.57,LOW,Consumer Discretionary
1987-03,0.607,LOW,Consumer Discretionary
1987-04,0.566,LOW,Consumer Discretionary
1987-05,0.504,LOW,Consumer Discretionary
1987-06,0.53,LOW,Consumer Discretionary
1987-07,0.525,LOW,Consumer Discretionary
1987-08,0.548,LOW,Consumer Discretionary
1987-09,0.501,LOW,Consumer Discretionary
1987-10,0.422,LOW,Consumer Discretionary
1987-11,0.38,LOW,Consumer Discretionary
1987-12,0.328,LOW,Consumer Discretionary
1988-01,0.352,LOW,Consumer Discretionary
1988-02,0.375,LOW,Consumer Discretionary
1988-03,0.387,LOW,Consumer Discretionary
1988-04,0.397,LOW,Consumer Discretionary
1988-05,0.395,LOW,Consumer Discretionary
1988-06,0.429,LOW,Consumer Discretionary
1988-07,0.427,LOW,Consumer Discretionary
1988-08,0.404,LOW,Consumer Discretionary
1988-09,0.413,LOW,Consumer Discretionary
1988-10,0.451,LOW,Consumer Discretionary
1988-11,0.443,LOW,Consumer Discretionary
1988-12,0.416,LOW,Consumer Discretionary
