date,average,ticker,industry
2006-05,4.11,MA,Financial
2006-06,4.273,MA,Financial
2006-07,4.183,MA,Financial
2006-08,4.868,MA,Financial
2006-09,5.822,MA,Financial
2006-10,6.53,MA,Financial
2006-11,8.713,MA,Financial
2006-12,8.939,MA,Financial
2007-01,9.704,MA,Financial
2007-02,9.858,MA,Financial
2007-03,9.67,MA,Financial
2007-04,10.031,MA,Financial
2007-05,12.579,MA,Financial
2007-06,14.285,MA,Financial
2007-07,14.999,MA,Financial
2007-08,12.684,MA,Financial
2007-09,12.886,MA,Financial
2007-10,14.498,MA,Financial
2007-11,17.333,MA,Financial
2007-12,19.274,MA,Financial
2008-01,17.578,MA,Financial
2008-02,18.683,MA,Financial
2008-03,18.991,MA,Financial
2008-04,21.655,MA,Financial
2008-05,26.474,MA,Financial
2008-06,26.652,MA,Financial
2008-07,24.087,MA,Financial
2008-08,21.766,MA,Financial
2008-09,19.147,MA,Financial
2008-10,14.009,MA,Financial
2008-11,13.039,MA,Financial
2008-12,13.06,MA,Financial
2009-01,12.803,MA,Financial
2009-02,14.389,MA,Financial
2009-03,14.421,MA,Financial
2009-04,15.47,MA,Financial
2009-05,16.136,MA,Financial
2009-06,15.344,MA,Financial
2009-07,16.27,MA,Financial
2009-08,18.759,MA,Financial
2009-09,19.528,MA,Financial
2009-10,20.104,MA,Financial
2009-11,21.571,MA,Financial
2009-12,22.972,MA,Financial
2010-01,23.622,MA,Financial
2010-02,21.12,MA,Financial
2010-03,22.668,MA,Financial
2010-04,23.932,MA,Financial
2010-05,20.328,MA,Financial
2010-06,19.222,MA,Financial
2010-07,19.275,MA,Financial
2010-08,19.2,MA,Financial
2010-09,19.47,MA,Financial
2010-10,21.612,MA,Financial
2010-11,22.618,MA,Financial
2010-12,21.967,MA,Financial
2011-01,21.676,MA,Financial
2011-02,23.024,MA,Financial
2011-03,22.988,MA,Financial
2011-04,24.862,MA,Financial
2011-05,25.924,MA,Financial
2011-06,25.591,MA,Financial
2011-07,28.803,MA,Financial
2011-08,29.698,MA,Financial
2011-09,31.024,MA,Financial
2011-10,30.649,MA,Financial
2011-11,33.413,MA,Financial
2011-12,34.529,MA,Financial
2012-01,32.374,MA,Financial
2012-02,37.042,MA,Financial
2012-03,39.119,MA,Financial
2012-04,40.762,MA,Financial
2012-05,39.182,MA,Financial
2012-06,39.081,MA,Financial
2012-07,40.025,MA,Financial
2012-08,39.478,MA,Financial
2012-09,41.548,MA,Financial
2012-10,43.517,MA,Financial
2012-11,44.025,MA,Financial
2012-12,45.288,MA,Financial
2013-01,48.447,MA,Financial
2013-02,48.364,MA,Financial
2013-03,48.886,MA,Financial
2013-04,49.687,MA,Financial
2013-05,52.741,MA,Financial
2013-06,53.194,MA,Financial
2013-07,55.562,MA,Financial
2013-08,58.637,MA,Financial
2013-09,62.018,MA,Financial
2013-10,65.142,MA,Financial
2013-11,69.583,MA,Financial
2013-12,73.982,MA,Financial
2014-01,76.14,MA,Financial
2014-02,71.184,MA,Financial
2014-03,71.891,MA,Financial
2014-04,68.195,MA,Financial
2014-05,70.204,MA,Financial
2014-06,70.523,MA,Financial
2014-07,71.896,MA,Financial
2014-08,71.284,MA,Financial
2014-09,71.308,MA,Financial
2014-10,69.479,MA,Financial
2014-11,79.807,MA,Financial
2014-12,81.7,MA,Financial
2015-01,78.594,MA,Financial
2015-02,82.343,MA,Financial
2015-03,84.023,MA,Financial
2015-04,83.873,MA,Financial
2015-05,87.264,MA,Financial
2015-06,88.603,MA,Financial
2015-07,90.191,MA,Financial
2015-08,90.023,MA,Financial
2015-09,86.154,MA,Financial
2015-10,91.575,MA,Financial
2015-11,94.04,MA,Financial
2015-12,92.672,MA,Financial
2016-01,84.48,MA,Financial
2016-02,81.214,MA,Financial
2016-03,85.839,MA,Financial
2016-04,91.342,MA,Financial
2016-05,91.481,MA,Financial
2016-06,89.567,MA,Financial
2016-07,87.013,MA,Financial
2016-08,91.52,MA,Financial
2016-09,95.327,MA,Financial
2016-10,97.96,MA,Financial
2016-11,99.616,MA,Financial
2016-12,98.916,MA,Financial
2017-01,103.626,MA,Financial
2017-02,103.682,MA,Financial
2017-03,106.9,MA,Financial
2017-04,108.75,MA,Financial
