date,average,ticker,industry
1966-07,0.112,MCD,Consumer Discretionary
1966-08,0.095,MCD,Consumer Discretionary
1966-09,0.08,MCD,Consumer Discretionary
1966-10,0.073,MCD,Consumer Discretionary
1966-11,0.074,MCD,Consumer Discretionary
1966-12,0.093,MCD,Consumer Discretionary
1967-01,0.114,MCD,Consumer Discretionary
1967-02,0.131,MCD,Consumer Discretionary
1967-03,0.149,MCD,Consumer Discretionary
1967-04,0.166,MCD,Consumer Discretionary
1967-05,0.183,MCD,Consumer Discretionary
1967-06,0.192,MCD,Consumer Discretionary
1967-07,0.213,MCD,Consumer Discretionary
1967-08,0.214,MCD,Consumer Discretionary
1967-09,0.21,MCD,Consumer Discretionary
1967-10,0.248,MCD,Consumer Discretionary
1967-11,0.254,MCD,Consumer Discretionary
1967-12,0.313,MCD,Consumer Discretionary
1968-01,0.296,MCD,Consumer Discretionary
1968-02,0.279,MCD,Consumer Discretionary
1968-03,0.265,MCD,Consumer Discretionary
1968-04,0.323,MCD,Consumer Discretionary
1968-05,0.315,MCD,Consumer Discretionary
1968-06,0.212,MCD,Consumer Discretionary
1968-07,0.196,MCD,Consumer Discretionary
1968-08,0.187,MCD,Consumer Discretionary
1968-09,0.196,MCD,Consumer Discretionary
1968-10,0.214,MCD,Consumer Discretionary
1968-11,0.208,MCD,Consumer Discretionary
1968-12,0.226,MCD,Consumer Discretionary
1969-01,0.218,MCD,Consumer Discretionary
1969-02,0.21,MCD,Consumer Discretionary
1969-03,0.191,MCD,Consumer Discretionary
1969-04,0.214,MCD,Consumer Discretionary
1969-05,0.238,MCD,Consumer Discretionary
1969-06,0.168,MCD,Consumer Discretionary
1969-07,0.102,MCD,Consumer Discretionary
1969-08,0.111,MCD,Consumer Discretionary
1969-09,0.122,MCD,Consumer Discretionary
1969-10,0.135,MCD,Consumer Discretionary
1969-11,0.149,MCD,Consumer Discretionary
1969-12,0.145,MCD,Consumer Discretionary
1970-01,0.146,MCD,Consumer Discretionary
1970-02,0.153,MCD,Consumer Discretionary
1970-03,0.15,MCD,Consumer Discretionary
1970-04,0.132,MCD,Consumer Discretionary
1970-05,0.115,MCD,Consumer Discretionary
1970-06,0.12,MCD,Consumer Discretionary
1970-07,0.126,MCD,Consumer Discretionary
1970-08,0.118,MCD,Consumer Discretionary
1970-09,0.141,MCD,Consumer Discretionary
1970-10,0.149,MCD,Consumer Discretionary
1970-11,0.143,MCD,Consumer Discretionary
1970-12,0.159,MCD,Consumer Discretionary
1971-01,0.168,MCD,Consumer Discretionary
1971-02,0.19,MCD,Consumer Discretionary
1971-03,0.224,MCD,Consumer Discretionary
1971-04,0.257,MCD,Consumer Discretionary
1971-05,0.273,MCD,Consumer Discretionary
1971-06,0.3,MCD,Consumer Discretionary
1971-07,0.305,MCD,Consumer Discretionary
1971-08,0.305,MCD,Consumer Discretionary
1971-09,0.332,MCD,Consumer Discretionary
1971-10,0.335,MCD,Consumer Discretionary
1971-11,0.336,MCD,Consumer Discretionary
1971-12,0.389,MCD,Consumer Discretionary
1972-01,0.408,MCD,Consumer Discretionary
1972-02,0.462,MCD,Consumer Discretionary
1972-03,0.492,MCD,Consumer Discretionary
1972-04,0.546,MCD,Consumer Discretionary
1972-05,0.594,MCD,Consumer Discretionary
1972-06,0.626,MCD,Consumer Discretionary
1972-07,0.616,MCD,Consumer Discretionary
1972-08,0.628,MCD,Consumer Discretionary
1972-09,0.608,MCD,Consumer Discretionary
1972-10,0.623,MCD,Consumer Discretionary
1972-11,0.668,MCD,Consumer Discretionary
1972-12,0.761,MCD,Consumer Discretionary
1973-01,0.782,MCD,Consumer Discretionary
1973-02,0.738,MCD,Consumer Discretionary
1973-03,0.716,MCD,Consumer Discretionary
1973-04,0.687,MCD,Consumer Discretionary
1973-05,0.686,MCD,Consumer Discretionary
1973-06,0.651,MCD,Consumer Discretionary
1973-07,0.66,MCD,Consumer Discretionary
1973-08,0.677,MCD,Consumer Discretionary
1973-09,0.723,MCD,Consumer Discretionary
1973-10,0.752,MCD,Consumer Discretionary
1973-11,0.629,MCD,Consumer Discretionary
1973-12,0.575,MCD,Consumer Discretionary
1974-01,0.572,MCD,Consumer Discretionary
1974-02,0.542,MCD,Consumer Discretionary
1974-03,0.594,MCD,Consumer Discretionary
1974-04,0.565,MCD,Consumer Discretionary
1974-05,0.599,MCD,Consumer Discretionary
1974-06,0.609,MCD,Consumer Discretionary
1974-07,0.454,MCD,Consumer Discretionary
1974-08,0.397,MCD,Consumer Discretionary
1974-09,0.307,MCD,Consumer Discretionary
1974-10,0.315,MCD,Consumer Discretionary
1974-11,0.368,MCD,Consumer Discretionary
1974-12,0.328,MCD,Consumer Discretionary
1975-01,0.32,MCD,Consumer Discretionary
1975-02,0.415,MCD,Consumer Discretionary
1975-03,0.458,MCD,Consumer Discretionary
1975-04,0.518,MCD,Consumer Discretionary
1975-05,0.585,MCD,Consumer Discretionary
1975-06,0.57,MCD,Consumer Discretionary
1975-07,0.573,MCD,Consumer Discretionary
1975-08,0.488,MCD,Consumer Discretionary
1975-09,0.499,MCD,Consumer Discretionary
1975-10,0.551,MCD,Consumer Discretionary
1975-11,0.598,MCD,Consumer Discretionary
1975-12,0.591,MCD,Consumer Discretionary
1976-01,0.645,MCD,Consumer Discretionary
1976-02,0.67,MCD,Consumer Discretionary
1976-03,0.659,MCD,Consumer Discretionary
1976-04,0.666,MCD,Consumer Discretionary
1976-05,0.625,MCD,Consumer Discretionary
1976-06,0.596,MCD,Consumer Discretionary
1976-07,0.615,MCD,Consumer Discretionary
1976-08,0.581,MCD,Consumer Discretionary
1976-09,0.613,MCD,Consumer Discretionary
1976-10,0.567,MCD,Consumer Discretionary
1976-11,0.585,MCD,Consumer Discretionary
1976-12,0.569,MCD,Consumer Discretionary
1977-01,0.537,MCD,Consumer Discretionary
1977-02,0.491,MCD,Consumer Discretionary
1977-03,0.467,MCD,Consumer Discretionary
1977-04,0.437,MCD,Consumer Discretionary
1977-05,0.443,MCD,Consumer Discretionary
1977-06,0.476,MCD,Consumer Discretionary
1977-07,0.505,MCD,Consumer Discretionary
1977-08,0.513,MCD,Consumer Discretionary
1977-09,0.522,MCD,Consumer Discretionary
1977-10,0.512,MCD,Consumer Discretionary
1977-11,0.527,MCD,Consumer Discretionary
1977-12,0.55,MCD,Consumer Discretionary
1978-01,0.513,MCD,Consumer Discretionary
1978-02,0.487,MCD,Consumer Discretionary
1978-03,0.49,MCD,Consumer Discretionary
1978-04,0.514,MCD,Consumer Discretionary
1978-05,0.552,MCD,Consumer Discretionary
1978-06,0.59,MCD,Consumer Discretionary
1978-07,0.579,MCD,Consumer Discretionary
1978-08,0.618,MCD,Consumer Discretionary
1978-09,0.569,MCD,Consumer Discretionary
1978-10,0.537,MCD,Consumer Discretionary
1978-11,0.512,MCD,Consumer Discretionary
1978-12,0.519,MCD,Consumer Discretionary
1979-01,0.495,MCD,Consumer Discretionary
1979-02,0.456,MCD,Consumer Discretionary
1979-03,0.45,MCD,Consumer Discretionary
1979-04,0.459,MCD,Consumer Discretionary
1979-05,0.472,MCD,Consumer Discretionary
1979-06,0.503,MCD,Consumer Discretionary
1979-07,0.504,MCD,Consumer Discretionary
1979-08,0.546,MCD,Consumer Discretionary
1979-09,0.543,MCD,Consumer Discretionary
1979-10,0.503,MCD,Consumer Discretionary
1979-11,0.454,MCD,Consumer Discretionary
1979-12,0.474,MCD,Consumer Discretionary
1980-01,0.478,MCD,Consumer Discretionary
1980-02,0.457,MCD,Consumer Discretionary
1980-03,0.42,MCD,Consumer Discretionary
1980-04,0.453,MCD,Consumer Discretionary
1980-05,0.502,MCD,Consumer Discretionary
1980-06,0.535,MCD,Consumer Discretionary
1980-07,0.527,MCD,Consumer Discretionary
1980-08,0.536,MCD,Consumer Discretionary
1980-09,0.533,MCD,Consumer Discretionary
1980-10,0.509,MCD,Consumer Discretionary
1980-11,0.5,MCD,Consumer Discretionary
1980-12,0.507,MCD,Consumer Discretionary
1981-01,0.588,MCD,Consumer Discretionary
1981-02,0.617,MCD,Consumer Discretionary
1981-03,0.668,MCD,Consumer Discretionary
1981-04,0.728,MCD,Consumer Discretionary
1981-05,0.701,MCD,Consumer Discretionary
1981-06,0.754,MCD,Consumer Discretionary
1981-07,0.696,MCD,Consumer Discretionary
1981-08,0.687,MCD,Consumer Discretionary
1981-09,0.668,MCD,Consumer Discretionary
1981-10,0.74,MCD,Consumer Discretionary
1981-11,0.768,MCD,Consumer Discretionary
1981-12,0.734,MCD,Consumer Discretionary
1982-01,0.688,MCD,Consumer Discretionary
1982-02,0.686,MCD,Consumer Discretionary
1982-03,0.717,MCD,Consumer Discretionary
1982-04,0.772,MCD,Consumer Discretionary
1982-05,0.75,MCD,Consumer Discretionary
1982-06,0.784,MCD,Consumer Discretionary
1982-07,0.846,MCD,Consumer Discretionary
1982-08,0.843,MCD,Consumer Discretionary
1982-09,0.954,MCD,Consumer Discretionary
1982-10,0.999,MCD,Consumer Discretionary
1982-11,1.056,MCD,Consumer Discretionary
1982-12,1.001,MCD,Consumer Discretionary
1983-01,0.99,MCD,Consumer Discretionary
1983-02,1.063,MCD,Consumer Discretionary
1983-03,1.185,MCD,Consumer Discretionary
1983-04,1.207,MCD,Consumer Discretionary
1983-05,1.124,MCD,Consumer Discretionary
1983-06,1.103,MCD,Consumer Discretionary
1983-07,1.116,MCD,Consumer Discretionary
1983-08,1.015,MCD,Consumer Discretionary
1983-09,1.103,MCD,Consumer Discretionary
1983-10,1.171,MCD,Consumer Discretionary
1983-11,1.245,MCD,Consumer Discretionary
1983-12,1.241,MCD,Consumer Discretionary
1984-01,1.206,MCD,Consumer Discretionary
1984-02,1.143,MCD,Consumer Discretionary
1984-03,1.163,MCD,Consumer Discretionary
1984-04,1.158,MCD,Consumer Discretionary
1984-05,1.145,MCD,Consumer Discretionary
1984-06,1.184,MCD,Consumer Discretionary
1984-07,1.225,MCD,Consumer Discretionary
1984-08,1.371,MCD,Consumer Discretionary
1984-09,1.337,MCD,Consumer Discretionary
1984-10,1.376,MCD,Consumer Discretionary
1984-11,1.39,MCD,Consumer Discretionary
1984-12,1.387,MCD,Consumer Discretionary
1985-01,1.474,MCD,Consumer Discretionary
1985-02,1.596,MCD,Consumer Discretionary
1985-03,1.59,MCD,Consumer Discretionary
1985-04,1.609,MCD,Consumer Discretionary
1985-05,1.695,MCD,Consumer Discretionary
1985-06,1.817,MCD,Consumer Discretionary
1985-07,1.811,MCD,Consumer Discretionary
1985-08,1.744,MCD,Consumer Discretionary
1985-09,1.74,MCD,Consumer Discretionary
1985-10,1.753,MCD,Consumer Discretionary
1985-11,1.947,MCD,Consumer Discretionary
1985-12,2.094,MCD,Consumer Discretionary
1986-01,2.056,MCD,Consumer Discretionary
1986-02,2.267,MCD,Consumer Discretionary
1986-03,2.52,MCD,Consumer Discretionary
1986-04,2.702,MCD,Consumer Discretionary
1986-05,2.75,MCD,Consumer Discretionary
1986-06,2.78,MCD,Consumer Discretionary
1986-07,2.826,MCD,Consumer Discretionary
1986-08,2.605,MCD,Consumer Discretionary
1986-09,2.409,MCD,Consumer Discretionary
1986-10,2.438,MCD,Consumer Discretionary
1986-11,2.57,MCD,Consumer Discretionary
1986-12,2.575,MCD,Consumer Discretionary
1987-01,2.696,MCD,Consumer Discretionary
1987-02,2.962,MCD,Consumer Discretionary
1987-03,3.188,MCD,Consumer Discretionary
1987-04,3.209,MCD,Consumer Discretionary
1987-05,3.274,MCD,Consumer Discretionary
1987-06,3.407,MCD,Consumer Discretionary
1987-07,3.297,MCD,Consumer Discretionary
1987-08,3.606,MCD,Consumer Discretionary
1987-09,3.413,MCD,Consumer Discretionary
1987-10,2.864,MCD,Consumer Discretionary
1987-11,2.71,MCD,Consumer Discretionary
1987-12,2.689,MCD,Consumer Discretionary
1988-01,2.726,MCD,Consumer Discretionary
1988-02,2.827,MCD,Consumer Discretionary
1988-03,2.795,MCD,Consumer Discretionary
1988-04,2.665,MCD,Consumer Discretionary
1988-05,2.666,MCD,Consumer Discretionary
1988-06,2.798,MCD,Consumer Discretionary
1988-07,2.808,MCD,Consumer Discretionary
1988-08,2.735,MCD,Consumer Discretionary
1988-09,2.888,MCD,Consumer Discretionary
1988-10,3.024,MCD,Consumer Discretionary
1988-11,2.903,MCD,Consumer Discretionary
1988-12,2.965,MCD,Consumer Discretionary
1989-01,3.015,MCD,Consumer Discretionary
1989-02,3.216,MCD,Consumer Discretionary
1989-03,3.165,MCD,Consumer Discretionary
1989-04,3.335,MCD,Consumer Discretionary
1989-05,3.597,MCD,Consumer Discretionary
1989-06,3.687,MCD,Consumer Discretionary
1989-07,3.766,MCD,Consumer Discretionary
1989-08,3.713,MCD,Consumer Discretionary
1989-09,3.744,MCD,Consumer Discretionary
1989-10,3.852,MCD,Consumer Discretionary
1989-11,3.991,MCD,Consumer Discretionary
1989-12,4.277,MCD,Consumer Discretionary
1990-01,4.101,MCD,Consumer Discretionary
1990-02,4.101,MCD,Consumer Discretionary
1990-03,4.036,MCD,Consumer Discretionary
1990-04,4.013,MCD,Consumer Discretionary
1990-05,4.154,MCD,Consumer Discretionary
1990-06,4.491,MCD,Consumer Discretionary
1990-07,4.476,MCD,Consumer Discretionary
1990-08,3.686,MCD,Consumer Discretionary
1990-09,3.405,MCD,Consumer Discretionary
1990-10,3.387,MCD,Consumer Discretionary
1990-11,3.54,MCD,Consumer Discretionary
1990-12,3.761,MCD,Consumer Discretionary
1991-01,3.574,MCD,Consumer Discretionary
1991-02,3.916,MCD,Consumer Discretionary
1991-03,4.351,MCD,Consumer Discretionary
1991-04,4.466,MCD,Consumer Discretionary
1991-05,4.361,MCD,Consumer Discretionary
1991-06,4.275,MCD,Consumer Discretionary
1991-07,4.276,MCD,Consumer Discretionary
1991-08,4.151,MCD,Consumer Discretionary
1991-09,4.265,MCD,Consumer Discretionary
1991-10,4.551,MCD,Consumer Discretionary
1991-11,4.47,MCD,Consumer Discretionary
1991-12,4.671,MCD,Consumer Discretionary
1992-01,5.431,MCD,Consumer Discretionary
1992-02,5.521,MCD,Consumer Discretionary
1992-03,5.397,MCD,Consumer Discretionary
1992-04,5.468,MCD,Consumer Discretionary
1992-05,5.804,MCD,Consumer Discretionary
1992-06,5.942,MCD,Consumer Discretionary
1992-07,5.874,MCD,Consumer Discretionary
1992-08,5.543,MCD,Consumer Discretionary
1992-09,5.736,MCD,Consumer Discretionary
1992-10,5.678,MCD,Consumer Discretionary
1992-11,6.153,MCD,Consumer Discretionary
1992-12,6.384,MCD,Consumer Discretionary
1993-01,6.395,MCD,Consumer Discretionary
1993-02,6.52,MCD,Consumer Discretionary
1993-03,6.852,MCD,Consumer Discretionary
1993-04,6.428,MCD,Consumer Discretionary
1993-05,6.458,MCD,Consumer Discretionary
1993-06,6.493,MCD,Consumer Discretionary
1993-07,6.477,MCD,Consumer Discretionary
1993-08,6.996,MCD,Consumer Discretionary
1993-09,7.04,MCD,Consumer Discretionary
1993-10,7.098,MCD,Consumer Discretionary
