date,average,ticker,industry
2001-06,11.357,MDLZ,Consumer Staples
2001-07,11.542,MDLZ,Consumer Staples
2001-08,11.77,MDLZ,Consumer Staples
2001-09,12.444,MDLZ,Consumer Staples
2001-10,12.757,MDLZ,Consumer Staples
2001-11,12.677,MDLZ,Consumer Staples
2001-12,12.478,MDLZ,Consumer Staples
2002-01,12.852,MDLZ,Consumer Staples
2002-02,14.243,MDLZ,Consumer Staples
2002-03,14.362,MDLZ,Consumer Staples
2002-04,15.031,MDLZ,Consumer Staples
2002-05,15.483,MDLZ,Consumer Staples
2002-06,15.837,MDLZ,Consumer Staples
2002-07,14.162,MDLZ,Consumer Staples
2002-08,14.692,MDLZ,Consumer Staples
2002-09,14.625,MDLZ,Consumer Staples
2002-10,14.505,MDLZ,Consumer Staples
2002-11,14.574,MDLZ,Consumer Staples
2002-12,14.802,MDLZ,Consumer Staples
2003-01,14.11,MDLZ,Consumer Staples
2003-02,11.775,MDLZ,Consumer Staples
2003-03,11.003,MDLZ,Consumer Staples
2003-04,11.312,MDLZ,Consumer Staples
2003-05,12.099,MDLZ,Consumer Staples
2003-06,12.688,MDLZ,Consumer Staples
2003-07,11.579,MDLZ,Consumer Staples
2003-08,11.013,MDLZ,Consumer Staples
2003-09,11.42,MDLZ,Consumer Staples
2003-10,11.393,MDLZ,Consumer Staples
2003-11,11.773,MDLZ,Consumer Staples
2003-12,12.299,MDLZ,Consumer Staples
2004-01,12.444,MDLZ,Consumer Staples
2004-02,12.95,MDLZ,Consumer Staples
2004-03,12.836,MDLZ,Consumer Staples
2004-04,12.522,MDLZ,Consumer Staples
2004-05,12.151,MDLZ,Consumer Staples
2004-06,12.059,MDLZ,Consumer Staples
2004-07,12.212,MDLZ,Consumer Staples
2004-08,12.023,MDLZ,Consumer Staples
2004-09,12.557,MDLZ,Consumer Staples
2004-10,12.742,MDLZ,Consumer Staples
2004-11,13.661,MDLZ,Consumer Staples
2004-12,13.971,MDLZ,Consumer Staples
2005-01,13.584,MDLZ,Consumer Staples
2005-02,13.395,MDLZ,Consumer Staples
2005-03,13.15,MDLZ,Consumer Staples
2005-04,12.872,MDLZ,Consumer Staples
2005-05,13.114,MDLZ,Consumer Staples
2005-06,12.806,MDLZ,Consumer Staples
2005-07,12.626,MDLZ,Consumer Staples
2005-08,12.522,MDLZ,Consumer Staples
2005-09,12.391,MDLZ,Consumer Staples
2005-10,11.856,MDLZ,Consumer Staples
2005-11,11.826,MDLZ,Consumer Staples
2005-12,11.737,MDLZ,Consumer Staples
2006-01,11.718,MDLZ,Consumer Staples
2006-02,12.056,MDLZ,Consumer Staples
2006-03,12.431,MDLZ,Consumer Staples
2006-04,12.492,MDLZ,Consumer Staples
2006-05,13.115,MDLZ,Consumer Staples
2006-06,12.994,MDLZ,Consumer Staples
2006-07,12.873,MDLZ,Consumer Staples
2006-08,13.786,MDLZ,Consumer Staples
2006-09,14.383,MDLZ,Consumer Staples
2006-10,14.875,MDLZ,Consumer Staples
2006-11,14.585,MDLZ,Consumer Staples
2006-12,14.89,MDLZ,Consumer Staples
2007-01,14.916,MDLZ,Consumer Staples
2007-02,14.201,MDLZ,Consumer Staples
2007-03,13.352,MDLZ,Consumer Staples
2007-04,13.788,MDLZ,Consumer Staples
2007-05,14.085,MDLZ,Consumer Staples
2007-06,14.938,MDLZ,Consumer Staples
2007-07,14.892,MDLZ,Consumer Staples
2007-08,13.745,MDLZ,Consumer Staples
2007-09,14.65,MDLZ,Consumer Staples
2007-10,14.515,MDLZ,Consumer Staples
2007-11,14.319,MDLZ,Consumer Staples
2007-12,14.612,MDLZ,Consumer Staples
2008-01,13.482,MDLZ,Consumer Staples
2008-02,13.227,MDLZ,Consumer Staples
2008-03,13.468,MDLZ,Consumer Staples
2008-04,13.714,MDLZ,Consumer Staples
2008-05,14.096,MDLZ,Consumer Staples
2008-06,13.366,MDLZ,Consumer Staples
2008-07,13.139,MDLZ,Consumer Staples
2008-08,14.385,MDLZ,Consumer Staples
2008-09,14.626,MDLZ,Consumer Staples
2008-10,13.055,MDLZ,Consumer Staples
2008-11,12.334,MDLZ,Consumer Staples
2008-12,11.994,MDLZ,Consumer Staples
2009-01,12.83,MDLZ,Consumer Staples
2009-02,11.31,MDLZ,Consumer Staples
2009-03,10.117,MDLZ,Consumer Staples
2009-04,10.374,MDLZ,Consumer Staples
2009-05,11.516,MDLZ,Consumer Staples
2009-06,11.891,MDLZ,Consumer Staples
2009-07,12.654,MDLZ,Consumer Staples
2009-08,13.155,MDLZ,Consumer Staples
2009-09,12.386,MDLZ,Consumer Staples
2009-10,12.477,MDLZ,Consumer Staples
2009-11,12.671,MDLZ,Consumer Staples
2009-12,12.661,MDLZ,Consumer Staples
2010-01,13.53,MDLZ,Consumer Staples
2010-02,13.605,MDLZ,Consumer Staples
2010-03,14.102,MDLZ,Consumer Staples
2010-04,14.464,MDLZ,Consumer Staples
2010-05,14.18,MDLZ,Consumer Staples
2010-06,13.983,MDLZ,Consumer Staples
2010-07,14.03,MDLZ,Consumer Staples
2010-08,14.292,MDLZ,Consumer Staples
2010-09,15.039,MDLZ,Consumer Staples
2010-10,15.405,MDLZ,Consumer Staples
2010-11,14.996,MDLZ,Consumer Staples
2010-12,15.257,MDLZ,Consumer Staples
2011-01,15.347,MDLZ,Consumer Staples
2011-02,15.281,MDLZ,Consumer Staples
2011-03,15.421,MDLZ,Consumer Staples
2011-04,16.218,MDLZ,Consumer Staples
2011-05,17.119,MDLZ,Consumer Staples
2011-06,17.096,MDLZ,Consumer Staples
2011-07,17.661,MDLZ,Consumer Staples
2011-08,17.086,MDLZ,Consumer Staples
2011-09,17.254,MDLZ,Consumer Staples
2011-10,17.449,MDLZ,Consumer Staples
2011-11,17.692,MDLZ,Consumer Staples
2011-12,18.591,MDLZ,Consumer Staples
2012-01,19.394,MDLZ,Consumer Staples
2012-02,19.502,MDLZ,Consumer Staples
2012-03,19.45,MDLZ,Consumer Staples
2012-04,19.562,MDLZ,Consumer Staples
2012-05,19.929,MDLZ,Consumer Staples
2012-06,19.652,MDLZ,Consumer Staples
2012-07,20.355,MDLZ,Consumer Staples
2012-08,21.141,MDLZ,Consumer Staples
2012-09,21.194,MDLZ,Consumer Staples
2012-10,21.287,MDLZ,Consumer Staples
2012-11,20.157,MDLZ,Consumer Staples
2012-12,20.116,MDLZ,Consumer Staples
2013-01,21.533,MDLZ,Consumer Staples
2013-02,21.492,MDLZ,Consumer Staples
2013-03,22.655,MDLZ,Consumer Staples
2013-04,24.352,MDLZ,Consumer Staples
2013-05,24.535,MDLZ,Consumer Staples
2013-06,23.272,MDLZ,Consumer Staples
2013-07,23.979,MDLZ,Consumer Staples
2013-08,24.885,MDLZ,Consumer Staples
2013-09,25.162,MDLZ,Consumer Staples
2013-10,25.511,MDLZ,Consumer Staples
2013-11,26.708,MDLZ,Consumer Staples
2013-12,27.5,MDLZ,Consumer Staples
2014-01,27.678,MDLZ,Consumer Staples
2014-02,26.87,MDLZ,Consumer Staples
2014-03,27.604,MDLZ,Consumer Staples
2014-04,28.082,MDLZ,Consumer Staples
2014-05,29.912,MDLZ,Consumer Staples
2014-06,30.281,MDLZ,Consumer Staples
2014-07,30.709,MDLZ,Consumer Staples
2014-08,29.046,MDLZ,Consumer Staples
2014-09,28.513,MDLZ,Consumer Staples
2014-10,27.474,MDLZ,Consumer Staples
2014-11,30.885,MDLZ,Consumer Staples
2014-12,30.534,MDLZ,Consumer Staples
2015-01,29.835,MDLZ,Consumer Staples
2015-02,29.772,MDLZ,Consumer Staples
2015-03,28.836,MDLZ,Consumer Staples
2015-04,30.399,MDLZ,Consumer Staples
2015-05,32.497,MDLZ,Consumer Staples
2015-06,33.313,MDLZ,Consumer Staples
2015-07,34.62,MDLZ,Consumer Staples
2015-08,36.755,MDLZ,Consumer Staples
2015-09,34.825,MDLZ,Consumer Staples
2015-10,37.374,MDLZ,Consumer Staples
2015-11,36.718,MDLZ,Consumer Staples
2015-12,36.547,MDLZ,Consumer Staples
2016-01,34.492,MDLZ,Consumer Staples
2016-02,32.639,MDLZ,Consumer Staples
2016-03,33.983,MDLZ,Consumer Staples
2016-04,35.238,MDLZ,Consumer Staples
2016-05,36.618,MDLZ,Consumer Staples
2016-06,36.773,MDLZ,Consumer Staples
2016-07,37.734,MDLZ,Consumer Staples
2016-08,36.117,MDLZ,Consumer Staples
2016-09,36.11,MDLZ,Consumer Staples
2016-10,35.989,MDLZ,Consumer Staples
2016-11,36.047,MDLZ,Consumer Staples
2016-12,36.316,MDLZ,Consumer Staples
2017-01,37.68,MDLZ,Consumer Staples
2017-02,37.349,MDLZ,Consumer Staples
2017-03,36.955,MDLZ,Consumer Staples
2017-04,37.607,MDLZ,Consumer Staples
2017-05,38.294,MDLZ,Consumer Staples
2017-06,38.412,MDLZ,Consumer Staples
2017-07,37.049,MDLZ,Consumer Staples
2017-08,36.518,MDLZ,Consumer Staples
2017-09,34.554,MDLZ,Consumer Staples
2017-10,35.062,MDLZ,Consumer Staples
2017-11,35.809,MDLZ,Consumer Staples
2017-12,36.765,MDLZ,Consumer Staples
2018-01,37.377,MDLZ,Consumer Staples
2018-02,37.601,MDLZ,Consumer Staples
2018-03,36.886,MDLZ,Consumer Staples
2018-04,35.465,MDLZ,Consumer Staples
2018-05,33.752,MDLZ,Consumer Staples
2018-06,34.859,MDLZ,Consumer Staples
2018-07,36.632,MDLZ,Consumer Staples
2018-08,36.861,MDLZ,Consumer Staples
2018-09,37.61,MDLZ,Consumer Staples
2018-10,36.406,MDLZ,Consumer Staples
2018-11,38.26,MDLZ,Consumer Staples
2018-12,37.019,MDLZ,Consumer Staples
2019-01,37.378,MDLZ,Consumer Staples
2019-02,41.443,MDLZ,Consumer Staples
2019-03,42.206,MDLZ,Consumer Staples
2019-04,44.153,MDLZ,Consumer Staples
2019-05,45.606,MDLZ,Consumer Staples
2019-06,47.919,MDLZ,Consumer Staples
2019-07,48.682,MDLZ,Consumer Staples
2019-08,48.033,MDLZ,Consumer Staples
2019-09,48.964,MDLZ,Consumer Staples
2019-10,48.078,MDLZ,Consumer Staples
2019-11,46.614,MDLZ,Consumer Staples
2019-12,48.355,MDLZ,Consumer Staples
2020-01,49.293,MDLZ,Consumer Staples
2020-02,51.947,MDLZ,Consumer Staples
2020-03,44.945,MDLZ,Consumer Staples
2020-04,46.789,MDLZ,Consumer Staples
2020-05,45.338,MDLZ,Consumer Staples
2020-06,46.791,MDLZ,Consumer Staples
2020-07,48.392,MDLZ,Consumer Staples
2020-08,51.413,MDLZ,Consumer Staples
2020-09,51.783,MDLZ,Consumer Staples
2020-10,51.586,MDLZ,Consumer Staples
2020-11,51.923,MDLZ,Consumer Staples
2020-12,52.861,MDLZ,Consumer Staples
2021-01,52.411,MDLZ,Consumer Staples
2021-02,50.545,MDLZ,Consumer Staples
2021-03,52.241,MDLZ,Consumer Staples
2021-04,54.56,MDLZ,Consumer Staples
2021-05,57.538,MDLZ,Consumer Staples
2021-06,58.243,MDLZ,Consumer Staples
2021-07,58.913,MDLZ,Consumer Staples
2021-08,57.985,MDLZ,Consumer Staples
2021-09,55.993,MDLZ,Consumer Staples
2021-10,55.838,MDLZ,Consumer Staples
2021-11,57.463,MDLZ,Consumer Staples
2021-12,59.164,MDLZ,Consumer Staples
2022-01,63.019,MDLZ,Consumer Staples
2022-02,62.418,MDLZ,Consumer Staples
2022-03,58.037,MDLZ,Consumer Staples
2022-04,60.466,MDLZ,Consumer Staples
2022-05,60.46,MDLZ,Consumer Staples
2022-06,57.68,MDLZ,Consumer Staples
2022-07,58.991,MDLZ,Consumer Staples
2022-08,60.857,MDLZ,Consumer Staples
2022-09,56.54,MDLZ,Consumer Staples
2022-10,55.177,MDLZ,Consumer Staples
2022-11,61.751,MDLZ,Consumer Staples
2022-12,64.017,MDLZ,Consumer Staples
2023-01,63.135,MDLZ,Consumer Staples
2023-02,63.137,MDLZ,Consumer Staples
2023-03,64.246,MDLZ,Consumer Staples
2023-04,68.794,MDLZ,Consumer Staples
2023-05,73.962,MDLZ,Consumer Staples
2023-06,70.687,MDLZ,Consumer Staples
2023-07,70.742,MDLZ,Consumer Staples
2023-08,70.339,MDLZ,Consumer Staples
2023-09,68.498,MDLZ,Consumer Staples
2023-10,63.091,MDLZ,Consumer Staples
2023-11,68.171,MDLZ,Consumer Staples
2023-12,69.646,MDLZ,Consumer Staples
2024-01,72.445,MDLZ,Consumer Staples
2024-02,72.363,MDLZ,Consumer Staples
2024-03,70.088,MDLZ,Consumer Staples
2024-04,67.726,MDLZ,Consumer Staples
2024-05,69.163,MDLZ,Consumer Staples
2024-06,66.127,MDLZ,Consumer Staples
2024-07,65.832,MDLZ,Consumer Staples
2024-08,69.943,MDLZ,Consumer Staples
2024-09,74.173,MDLZ,Consumer Staples
2024-10,71.215,MDLZ,Consumer Staples
