date,average,ticker,industry
1973-05,0.186,MDT,Health
1973-06,0.192,MDT,Health
1973-07,0.201,MDT,Health
1973-08,0.215,MDT,Health
1973-09,0.242,MDT,Health
1973-10,0.243,MDT,Health
1973-11,0.235,MDT,Health
1973-12,0.207,MDT,Health
1974-01,0.198,MDT,Health
1974-02,0.183,MDT,Health
1974-03,0.203,MDT,Health
1974-04,0.187,MDT,Health
1974-05,0.187,MDT,Health
1974-06,0.166,MDT,Health
1974-07,0.103,MDT,Health
1974-08,0.111,MDT,Health
1974-09,0.109,MDT,Health
1974-10,0.117,MDT,Health
1974-11,0.118,MDT,Health
1974-12,0.097,MDT,Health
1975-01,0.108,MDT,Health
1975-02,0.134,MDT,Health
1975-03,0.147,MDT,Health
1975-04,0.151,MDT,Health
1975-05,0.162,MDT,Health
1975-06,0.16,MDT,Health
1975-07,0.165,MDT,Health
1975-08,0.136,MDT,Health
1975-09,0.137,MDT,Health
1975-10,0.144,MDT,Health
1975-11,0.145,MDT,Health
1975-12,0.123,MDT,Health
1976-01,0.107,MDT,Health
1976-02,0.136,MDT,Health
1976-03,0.134,MDT,Health
1976-04,0.135,MDT,Health
1976-05,0.127,MDT,Health
1976-06,0.114,MDT,Health
1976-07,0.119,MDT,Health
1976-08,0.094,MDT,Health
1976-09,0.098,MDT,Health
1976-10,0.096,MDT,Health
1976-11,0.09,MDT,Health
1976-12,0.091,MDT,Health
1977-01,0.096,MDT,Health
1977-02,0.099,MDT,Health
1977-03,0.111,MDT,Health
1977-04,0.108,MDT,Health
1977-05,0.109,MDT,Health
1977-06,0.11,MDT,Health
1977-07,0.109,MDT,Health
1977-08,0.108,MDT,Health
1977-09,0.098,MDT,Health
1977-10,0.092,MDT,Health
1977-11,0.076,MDT,Health
1977-12,0.075,MDT,Health
1978-01,0.073,MDT,Health
1978-02,0.074,MDT,Health
1978-03,0.081,MDT,Health
1978-04,0.092,MDT,Health
1978-05,0.085,MDT,Health
1978-06,0.098,MDT,Health
1978-07,0.109,MDT,Health
1978-08,0.138,MDT,Health
1978-09,0.154,MDT,Health
1978-10,0.143,MDT,Health
1978-11,0.121,MDT,Health
1978-12,0.135,MDT,Health
1979-01,0.146,MDT,Health
1979-02,0.137,MDT,Health
1979-03,0.146,MDT,Health
1979-04,0.162,MDT,Health
1979-05,0.162,MDT,Health
1979-06,0.17,MDT,Health
1979-07,0.18,MDT,Health
1979-08,0.196,MDT,Health
1979-09,0.219,MDT,Health
1979-10,0.212,MDT,Health
1979-11,0.231,MDT,Health
1979-12,0.261,MDT,Health
1980-01,0.278,MDT,Health
1980-02,0.278,MDT,Health
1980-03,0.247,MDT,Health
1980-04,0.254,MDT,Health
1980-05,0.251,MDT,Health
1980-06,0.281,MDT,Health
1980-07,0.305,MDT,Health
1980-08,0.33,MDT,Health
1980-09,0.369,MDT,Health
1980-10,0.367,MDT,Health
1980-11,0.39,MDT,Health
1980-12,0.343,MDT,Health
1981-01,0.331,MDT,Health
1981-02,0.28,MDT,Health
1981-03,0.29,MDT,Health
1981-04,0.331,MDT,Health
1981-05,0.322,MDT,Health
1981-06,0.312,MDT,Health
1981-07,0.284,MDT,Health
1981-08,0.274,MDT,Health
1981-09,0.286,MDT,Health
1981-10,0.281,MDT,Health
1981-11,0.308,MDT,Health
1981-12,0.322,MDT,Health
1982-01,0.305,MDT,Health
1982-02,0.306,MDT,Health
1982-03,0.298,MDT,Health
1982-04,0.331,MDT,Health
1982-05,0.373,MDT,Health
1982-06,0.378,MDT,Health
1982-07,0.355,MDT,Health
1982-08,0.317,MDT,Health
1982-09,0.344,MDT,Health
1982-10,0.361,MDT,Health
1982-11,0.392,MDT,Health
1982-12,0.449,MDT,Health
1983-01,0.452,MDT,Health
1983-02,0.414,MDT,Health
1983-03,0.428,MDT,Health
1983-04,0.372,MDT,Health
1983-05,0.416,MDT,Health
1983-06,0.486,MDT,Health
1983-07,0.454,MDT,Health
1983-08,0.404,MDT,Health
1983-09,0.381,MDT,Health
1983-10,0.408,MDT,Health
1983-11,0.39,MDT,Health
1983-12,0.36,MDT,Health
1984-01,0.367,MDT,Health
1984-02,0.313,MDT,Health
1984-03,0.278,MDT,Health
1984-04,0.254,MDT,Health
1984-05,0.268,MDT,Health
1984-06,0.245,MDT,Health
1984-07,0.23,MDT,Health
1984-08,0.226,MDT,Health
1984-09,0.233,MDT,Health
1984-10,0.243,MDT,Health
1984-11,0.239,MDT,Health
1984-12,0.234,MDT,Health
1985-01,0.242,MDT,Health
1985-02,0.276,MDT,Health
1985-03,0.27,MDT,Health
1985-04,0.266,MDT,Health
1985-05,0.26,MDT,Health
1985-06,0.281,MDT,Health
1985-07,0.308,MDT,Health
1985-08,0.318,MDT,Health
1985-09,0.329,MDT,Health
1985-10,0.341,MDT,Health
1985-11,0.373,MDT,Health
1985-12,0.377,MDT,Health
1986-01,0.405,MDT,Health
1986-02,0.476,MDT,Health
1986-03,0.529,MDT,Health
1986-04,0.591,MDT,Health
1986-05,0.618,MDT,Health
1986-06,0.635,MDT,Health
1986-07,0.692,MDT,Health
1986-08,0.779,MDT,Health
1986-09,0.721,MDT,Health
1986-10,0.756,MDT,Health
1986-11,0.78,MDT,Health
1986-12,0.74,MDT,Health
1987-01,0.734,MDT,Health
1987-02,0.759,MDT,Health
1987-03,0.789,MDT,Health
1987-04,0.795,MDT,Health
1987-05,0.844,MDT,Health
1987-06,0.873,MDT,Health
1987-07,0.891,MDT,Health
1987-08,0.945,MDT,Health
1987-09,0.92,MDT,Health
1987-10,0.782,MDT,Health
1987-11,0.733,MDT,Health
1987-12,0.798,MDT,Health
1988-01,0.835,MDT,Health
1988-02,0.836,MDT,Health
1988-03,0.873,MDT,Health
1988-04,0.77,MDT,Health
1988-05,0.676,MDT,Health
1988-06,0.729,MDT,Health
1988-07,0.713,MDT,Health
1988-08,0.712,MDT,Health
1988-09,0.751,MDT,Health
1988-10,0.782,MDT,Health
1988-11,0.728,MDT,Health
1988-12,0.706,MDT,Health
1989-01,0.75,MDT,Health
1989-02,0.76,MDT,Health
1989-03,0.769,MDT,Health
1989-04,0.847,MDT,Health
1989-05,0.902,MDT,Health
1989-06,0.903,MDT,Health
1989-07,0.984,MDT,Health
1989-08,1.111,MDT,Health
1989-09,1.136,MDT,Health
1989-10,1.17,MDT,Health
1989-11,1.193,MDT,Health
1989-12,1.255,MDT,Health
1990-01,1.264,MDT,Health
1990-02,1.176,MDT,Health
1990-03,1.179,MDT,Health
1990-04,1.226,MDT,Health
1990-05,1.35,MDT,Health
1990-06,1.498,MDT,Health
1990-07,1.578,MDT,Health
1990-08,1.471,MDT,Health
1990-09,1.513,MDT,Health
1990-10,1.535,MDT,Health
1990-11,1.65,MDT,Health
1990-12,1.663,MDT,Health
1991-01,1.615,MDT,Health
1991-02,1.96,MDT,Health
1991-03,2.163,MDT,Health
1991-04,2.258,MDT,Health
1991-05,2.172,MDT,Health
1991-06,2.195,MDT,Health
1991-07,2.323,MDT,Health
1991-08,2.438,MDT,Health
1991-09,2.62,MDT,Health
1991-10,2.822,MDT,Health
1991-11,2.957,MDT,Health
1991-12,3.168,MDT,Health
1992-01,3.367,MDT,Health
1992-02,3.192,MDT,Health
1992-03,2.952,MDT,Health
1992-04,2.694,MDT,Health
1992-05,2.777,MDT,Health
1992-06,2.982,MDT,Health
1992-07,3.081,MDT,Health
1992-08,2.995,MDT,Health
1992-09,3.547,MDT,Health
1992-10,3.713,MDT,Health
1992-11,3.848,MDT,Health
1992-12,3.673,MDT,Health
1993-01,3.504,MDT,Health
1993-02,3.205,MDT,Health
1993-03,2.886,MDT,Health
1993-04,2.446,MDT,Health
