date,average,ticker,industry
2012-05,31.774,META,Communication Services
2012-06,29.452,META,Communication Services
2012-07,28.793,META,Communication Services
2012-08,20.048,META,Communication Services
2012-09,20.566,META,Communication Services
2012-10,20.558,META,Communication Services
2012-11,22.817,META,Communication Services
2012-12,27.05,META,Communication Services
2013-01,30.241,META,Communication Services
2013-02,28.004,META,Communication Services
2013-03,26.726,META,Communication Services
2013-04,26.528,META,Communication Services
2013-05,26.065,META,Communication Services
2013-06,23.872,META,Communication Services
2013-07,27.828,META,Communication Services
2013-08,38.632,META,Communication Services
2013-09,45.625,META,Communication Services
2013-10,50.36,META,Communication Services
2013-11,47.236,META,Communication Services
2013-12,52.413,META,Communication Services
2014-01,56.757,META,Communication Services
2014-02,66.171,META,Communication Services
2014-03,66.892,META,Communication Services
2014-04,59.428,META,Communication Services
2014-05,59.907,META,Communication Services
2014-06,64.652,META,Communication Services
2014-07,68.824,META,Communication Services
2014-08,73.747,META,Communication Services
2014-09,77.044,META,Communication Services
2014-10,76.308,META,Communication Services
2014-11,74.67,META,Communication Services
2014-12,77.452,META,Communication Services
2015-01,76.491,META,Communication Services
2015-02,76.72,META,Communication Services
2015-03,80.77,META,Communication Services
2015-04,81.845,META,Communication Services
2015-05,79.182,META,Communication Services
2015-06,83.034,META,Communication Services
2015-07,91.779,META,Communication Services
2015-08,91.503,META,Communication Services
2015-09,91.172,META,Communication Services
2015-10,96.838,META,Communication Services
2015-11,105.651,META,Communication Services
2015-12,105.059,META,Communication Services
2016-01,98.685,META,Communication Services
2016-02,105.603,META,Communication Services
2016-03,110.448,META,Communication Services
2016-04,111.598,META,Communication Services
2016-05,118.109,META,Communication Services
2016-06,114.933,META,Communication Services
2016-07,118.82,META,Communication Services
2016-08,124.095,META,Communication Services
2016-09,128.128,META,Communication Services
2016-10,129.32,META,Communication Services
2016-11,120.322,META,Communication Services
2016-12,117.688,META,Communication Services
2017-01,126.437,META,Communication Services
2017-02,133.429,META,Communication Services
2017-03,138.99,META,Communication Services
2017-04,142.536,META,Communication Services
2017-05,149.783,META,Communication Services
2017-06,151.623,META,Communication Services
2017-07,160.051,META,Communication Services
2017-08,168.652,META,Communication Services
2017-09,170.079,META,Communication Services
2017-10,172.786,META,Communication Services
2017-11,179.157,META,Communication Services
2017-12,176.884,META,Communication Services
2018-01,184.408,META,Communication Services
2018-02,179.728,META,Communication Services
2018-03,172.969,META,Communication Services
2018-04,163.319,META,Communication Services
2018-05,182.381,META,Communication Services
2018-06,194.681,META,Communication Services
2018-07,199.367,META,Communication Services
2018-08,176.959,META,Communication Services
2018-09,163.884,META,Communication Services
2018-10,153.725,META,Communication Services
2018-11,141.211,META,Communication Services
2018-12,136.749,META,Communication Services
2019-01,144.986,META,Communication Services
2019-02,164.319,META,Communication Services
2019-03,166.909,META,Communication Services
2019-04,180.002,META,Communication Services
2019-05,185.524,META,Communication Services
2019-06,180.73,META,Communication Services
2019-07,198.996,META,Communication Services
2019-08,183.944,META,Communication Services
2019-09,185.177,META,Communication Services
2019-10,183.83,META,Communication Services
2019-11,195.131,META,Communication Services
2019-12,201.346,META,Communication Services
2020-01,215.993,META,Communication Services
2020-02,206.882,META,Communication Services
2020-03,165.25,META,Communication Services
2020-04,176.472,META,Communication Services
2020-05,215.899,META,Communication Services
2020-06,231.35,META,Communication Services
2020-07,238.494,META,Communication Services
2020-08,267.979,META,Communication Services
2020-09,265.752,META,Communication Services
2020-10,268.971,META,Communication Services
2020-11,275.477,META,Communication Services
2020-12,275.701,META,Communication Services
2021-01,263.815,META,Communication Services
2021-02,265.538,META,Communication Services
2021-03,274.68,META,Communication Services
2021-04,306.83,META,Communication Services
2021-05,316.383,META,Communication Services
2021-06,335.416,META,Communication Services
2021-07,352.316,META,Communication Services
2021-08,361.927,META,Communication Services
2021-09,362.875,META,Communication Services
2021-10,327.679,META,Communication Services
2021-11,335.52,META,Communication Services
2021-12,329.853,META,Communication Services
2022-01,318.448,META,Communication Services
2022-02,227.752,META,Communication Services
2022-03,206.638,META,Communication Services
2022-04,207.61,META,Communication Services
2022-05,197.147,META,Communication Services
2022-06,172.98,META,Communication Services
2022-07,166.857,META,Communication Services
2022-08,168.05,META,Communication Services
2022-09,149.509,META,Communication Services
2022-10,127.532,META,Communication Services
2022-11,106.076,META,Communication Services
2022-12,117.611,META,Communication Services
2023-01,136.838,META,Communication Services
2023-02,175.949,META,Communication Services
2023-03,193.362,META,Communication Services
2023-04,216.55,META,Communication Services
2023-05,242.632,META,Communication Services
2023-06,276.231,META,Communication Services
2023-07,302.231,META,Communication Services
2023-08,298.958,META,Communication Services
2023-09,300.215,META,Communication Services
2023-10,309.935,META,Communication Services
2023-11,327.499,META,Communication Services
2023-12,337.929,META,Communication Services
2024-01,372.791,META,Communication Services
2024-02,468.974,META,Communication Services
2024-03,496.743,META,Communication Services
2024-04,490.888,META,Communication Services
2024-05,466.86,META,Communication Services
2024-06,499.945,META,Communication Services
2024-07,491.822,META,Communication Services
2024-08,515.674,META,Communication Services
2024-09,537.028,META,Communication Services
2024-10,581.415,META,Communication Services
