date,average,ticker,industry
1962-01,0.554,MMM,Industrials
1962-02,0.583,MMM,Industrials
1962-03,0.589,MMM,Industrials
1962-04,0.588,MMM,Industrials
1962-05,0.538,MMM,Industrials
1962-06,0.412,MMM,Industrials
1962-07,0.424,MMM,Industrials
1962-08,0.446,MMM,Industrials
1962-09,0.444,MMM,Industrials
1962-10,0.412,MMM,Industrials
1962-11,0.45,MMM,Industrials
1962-12,0.47,MMM,Industrials
1963-01,0.514,MMM,Industrials
1963-02,0.516,MMM,Industrials
1963-03,0.509,MMM,Industrials
1963-04,0.535,MMM,Industrials
1963-05,0.524,MMM,Industrials
1963-06,0.502,MMM,Industrials
1963-07,0.511,MMM,Industrials
1963-08,0.537,MMM,Industrials
1963-09,0.556,MMM,Industrials
1963-10,0.562,MMM,Industrials
1963-11,0.571,MMM,Industrials
1963-12,0.578,MMM,Industrials
1964-01,0.586,MMM,Industrials
1964-02,0.601,MMM,Industrials
1964-03,0.592,MMM,Industrials
1964-04,0.577,MMM,Industrials
1964-05,0.548,MMM,Industrials
1964-06,0.527,MMM,Industrials
1964-07,0.547,MMM,Industrials
1964-08,0.521,MMM,Industrials
1964-09,0.514,MMM,Industrials
1964-10,0.525,MMM,Industrials
1964-11,0.531,MMM,Industrials
1964-12,0.497,MMM,Industrials
1965-01,0.536,MMM,Industrials
1965-02,0.551,MMM,Industrials
1965-03,0.564,MMM,Industrials
1965-04,0.567,MMM,Industrials
1965-05,0.554,MMM,Industrials
1965-06,0.517,MMM,Industrials
1965-07,0.509,MMM,Industrials
1965-08,0.515,MMM,Industrials
1965-09,0.515,MMM,Industrials
1965-10,0.551,MMM,Industrials
1965-11,0.591,MMM,Industrials
1965-12,0.621,MMM,Industrials
1966-01,0.63,MMM,Industrials
1966-02,0.625,MMM,Industrials
1966-03,0.601,MMM,Industrials
1966-04,0.667,MMM,Industrials
1966-05,0.655,MMM,Industrials
1966-06,0.703,MMM,Industrials
1966-07,0.747,MMM,Industrials
1966-08,0.713,MMM,Industrials
1966-09,0.706,MMM,Industrials
1966-10,0.67,MMM,Industrials
1966-11,0.731,MMM,Industrials
1966-12,0.757,MMM,Industrials
1967-01,0.746,MMM,Industrials
1967-02,0.795,MMM,Industrials
1967-03,0.832,MMM,Industrials
1967-04,0.796,MMM,Industrials
1967-05,0.818,MMM,Industrials
1967-06,0.787,MMM,Industrials
1967-07,0.763,MMM,Industrials
1967-08,0.793,MMM,Industrials
1967-09,0.824,MMM,Industrials
1967-10,0.839,MMM,Industrials
1967-11,0.826,MMM,Industrials
1967-12,0.874,MMM,Industrials
1968-01,0.845,MMM,Industrials
1968-02,0.787,MMM,Industrials
1968-03,0.8,MMM,Industrials
1968-04,0.885,MMM,Industrials
1968-05,0.995,MMM,Industrials
1968-06,1.071,MMM,Industrials
