date,average,ticker,industry
1962-01,0.062,MRK,Health
1962-02,0.065,MRK,Health
1962-03,0.07,MRK,Health
1962-04,0.067,MRK,Health
1962-05,0.062,MRK,Health
1962-06,0.05,MRK,Health
1962-07,0.053,MRK,Health
1962-08,0.051,MRK,Health
1962-09,0.05,MRK,Health
1962-10,0.05,MRK,Health
1962-11,0.056,MRK,Health
1962-12,0.061,MRK,Health
1963-01,0.063,MRK,Health
1963-02,0.065,MRK,Health
1963-03,0.064,MRK,Health
1963-04,0.067,MRK,Health
1963-05,0.067,MRK,Health
1963-06,0.07,MRK,Health
1963-07,0.072,MRK,Health
1963-08,0.077,MRK,Health
1963-09,0.078,MRK,Health
1963-10,0.079,MRK,Health
1963-11,0.08,MRK,Health
1963-12,0.082,MRK,Health
1964-01,0.088,MRK,Health
1964-02,0.091,MRK,Health
1964-03,0.093,MRK,Health
1964-04,0.09,MRK,Health
1964-05,0.087,MRK,Health
1964-06,0.085,MRK,Health
1964-07,0.096,MRK,Health
1964-08,0.098,MRK,Health
1964-09,0.102,MRK,Health
1964-10,0.107,MRK,Health
1964-11,0.114,MRK,Health
1964-12,0.113,MRK,Health
1965-01,0.123,MRK,Health
1965-02,0.124,MRK,Health
1965-03,0.127,MRK,Health
1965-04,0.133,MRK,Health
1965-05,0.136,MRK,Health
1965-06,0.132,MRK,Health
1965-07,0.137,MRK,Health
1965-08,0.138,MRK,Health
1965-09,0.155,MRK,Health
1965-10,0.154,MRK,Health
1965-11,0.168,MRK,Health
1965-12,0.174,MRK,Health
1966-01,0.177,MRK,Health
1966-02,0.178,MRK,Health
1966-03,0.179,MRK,Health
1966-04,0.188,MRK,Health
1966-05,0.179,MRK,Health
1966-06,0.187,MRK,Health
1966-07,0.187,MRK,Health
1966-08,0.178,MRK,Health
1966-09,0.172,MRK,Health
1966-10,0.175,MRK,Health
1966-11,0.192,MRK,Health
1966-12,0.195,MRK,Health
1967-01,0.19,MRK,Health
1967-02,0.191,MRK,Health
1967-03,0.201,MRK,Health
1967-04,0.202,MRK,Health
1967-05,0.199,MRK,Health
1967-06,0.205,MRK,Health
1967-07,0.212,MRK,Health
1967-08,0.226,MRK,Health
1967-09,0.229,MRK,Health
1967-10,0.218,MRK,Health
1967-11,0.212,MRK,Health
1967-12,0.221,MRK,Health
1968-01,0.204,MRK,Health
1968-02,0.198,MRK,Health
1968-03,0.197,MRK,Health
1968-04,0.219,MRK,Health
1968-05,0.225,MRK,Health
1968-06,0.228,MRK,Health
1968-07,0.227,MRK,Health
1968-08,0.226,MRK,Health
1968-09,0.221,MRK,Health
1968-10,0.226,MRK,Health
1968-11,0.225,MRK,Health
1968-12,0.236,MRK,Health
1969-01,0.229,MRK,Health
1969-02,0.227,MRK,Health
1969-03,0.223,MRK,Health
1969-04,0.226,MRK,Health
1969-05,0.237,MRK,Health
1969-06,0.243,MRK,Health
1969-07,0.244,MRK,Health
1969-08,0.248,MRK,Health
1969-09,0.252,MRK,Health
1969-10,0.269,MRK,Health
1969-11,0.281,MRK,Health
1969-12,0.292,MRK,Health
1970-01,0.289,MRK,Health
1970-02,0.289,MRK,Health
1970-03,0.273,MRK,Health
1970-04,0.26,MRK,Health
1970-05,0.235,MRK,Health
1970-06,0.236,MRK,Health
1970-07,0.237,MRK,Health
1970-08,0.212,MRK,Health
1970-09,0.227,MRK,Health
1970-10,0.236,MRK,Health
1970-11,0.239,MRK,Health
1970-12,0.252,MRK,Health
1971-01,0.261,MRK,Health
1971-02,0.263,MRK,Health
1971-03,0.266,MRK,Health
1971-04,0.275,MRK,Health
1971-05,0.292,MRK,Health
1971-06,0.281,MRK,Health
1971-07,0.281,MRK,Health
1971-08,0.285,MRK,Health
1971-09,0.306,MRK,Health
1971-10,0.312,MRK,Health
1971-11,0.314,MRK,Health
1971-12,0.341,MRK,Health
1972-01,0.354,MRK,Health
1972-02,0.372,MRK,Health
1972-03,0.383,MRK,Health
1972-04,0.403,MRK,Health
1972-05,0.394,MRK,Health
1972-06,0.404,MRK,Health
1972-07,0.445,MRK,Health
1972-08,0.463,MRK,Health
1972-09,0.453,MRK,Health
1972-10,0.457,MRK,Health
1972-11,0.482,MRK,Health
1972-12,0.494,MRK,Health
1973-01,0.531,MRK,Health
1973-02,0.529,MRK,Health
1973-03,0.538,MRK,Health
1973-04,0.526,MRK,Health
1973-05,0.508,MRK,Health
1973-06,0.508,MRK,Health
1973-07,0.496,MRK,Health
1973-08,0.483,MRK,Health
1973-09,0.463,MRK,Health
1973-10,0.493,MRK,Health
1973-11,0.489,MRK,Health
1973-12,0.464,MRK,Health
1974-01,0.438,MRK,Health
1974-02,0.43,MRK,Health
1974-03,0.47,MRK,Health
1974-04,0.457,MRK,Health
1974-05,0.464,MRK,Health
1974-06,0.471,MRK,Health
1974-07,0.428,MRK,Health
1974-08,0.357,MRK,Health
1974-09,0.323,MRK,Health
1974-10,0.336,MRK,Health
1974-11,0.383,MRK,Health
1974-12,0.377,MRK,Health
1975-01,0.364,MRK,Health
1975-02,0.413,MRK,Health
1975-03,0.443,MRK,Health
1975-04,0.428,MRK,Health
1975-05,0.467,MRK,Health
1975-06,0.482,MRK,Health
1975-07,0.463,MRK,Health
1975-08,0.41,MRK,Health
1975-09,0.397,MRK,Health
1975-10,0.438,MRK,Health
1975-11,0.452,MRK,Health
1975-12,0.432,MRK,Health
1976-01,0.41,MRK,Health
1976-02,0.415,MRK,Health
1976-03,0.415,MRK,Health
1976-04,0.432,MRK,Health
1976-05,0.429,MRK,Health
1976-06,0.408,MRK,Health
1976-07,0.426,MRK,Health
1976-08,0.427,MRK,Health
1976-09,0.462,MRK,Health
1976-10,0.447,MRK,Health
1976-11,0.411,MRK,Health
1976-12,0.397,MRK,Health
1977-01,0.379,MRK,Health
1977-02,0.349,MRK,Health
1977-03,0.347,MRK,Health
1977-04,0.323,MRK,Health
1977-05,0.315,MRK,Health
1977-06,0.331,MRK,Health
1977-07,0.333,MRK,Health
1977-08,0.339,MRK,Health
1977-09,0.353,MRK,Health
1977-10,0.338,MRK,Health
1977-11,0.339,MRK,Health
1977-12,0.339,MRK,Health
1978-01,0.335,MRK,Health
1978-02,0.337,MRK,Health
1978-03,0.317,MRK,Health
1978-04,0.325,MRK,Health
1978-05,0.352,MRK,Health
1978-06,0.364,MRK,Health
1978-07,0.364,MRK,Health
1978-08,0.381,MRK,Health
1978-09,0.39,MRK,Health
1978-10,0.366,MRK,Health
1978-11,0.371,MRK,Health
1978-12,0.415,MRK,Health
1979-01,0.438,MRK,Health
1979-02,0.422,MRK,Health
1979-03,0.424,MRK,Health
1979-04,0.425,MRK,Health
1979-05,0.416,MRK,Health
1979-06,0.42,MRK,Health
1979-07,0.431,MRK,Health
1979-08,0.444,MRK,Health
1979-09,0.437,MRK,Health
1979-10,0.433,MRK,Health
1979-11,0.447,MRK,Health
1979-12,0.475,MRK,Health
1980-01,0.467,MRK,Health
1980-02,0.431,MRK,Health
1980-03,0.409,MRK,Health
1980-04,0.439,MRK,Health
1980-05,0.46,MRK,Health
1980-06,0.474,MRK,Health
1980-07,0.498,MRK,Health
1980-08,0.519,MRK,Health
1980-09,0.527,MRK,Health
1980-10,0.521,MRK,Health
1980-11,0.526,MRK,Health
1980-12,0.523,MRK,Health
1981-01,0.568,MRK,Health
1981-02,0.548,MRK,Health
1981-03,0.581,MRK,Health
1981-04,0.621,MRK,Health
1981-05,0.624,MRK,Health
1981-06,0.682,MRK,Health
1981-07,0.628,MRK,Health
1981-08,0.593,MRK,Health
1981-09,0.57,MRK,Health
1981-10,0.573,MRK,Health
1981-11,0.554,MRK,Health
1981-12,0.591,MRK,Health
1982-01,0.574,MRK,Health
1982-02,0.577,MRK,Health
1982-03,0.512,MRK,Health
1982-04,0.529,MRK,Health
1982-05,0.527,MRK,Health
1982-06,0.5,MRK,Health
1982-07,0.482,MRK,Health
1982-08,0.493,MRK,Health
1982-09,0.566,MRK,Health
1982-10,0.583,MRK,Health
1982-11,0.592,MRK,Health
1982-12,0.612,MRK,Health
1983-01,0.623,MRK,Health
1983-02,0.606,MRK,Health
1983-03,0.627,MRK,Health
1983-04,0.62,MRK,Health
1983-05,0.656,MRK,Health
1983-06,0.637,MRK,Health
1983-07,0.69,MRK,Health
1983-08,0.701,MRK,Health
1983-09,0.692,MRK,Health
1983-10,0.743,MRK,Health
1983-11,0.723,MRK,Health
1983-12,0.684,MRK,Health
1984-01,0.668,MRK,Health
1984-02,0.675,MRK,Health
1984-03,0.698,MRK,Health
1984-04,0.709,MRK,Health
1984-05,0.674,MRK,Health
1984-06,0.684,MRK,Health
1984-07,0.641,MRK,Health
1984-08,0.651,MRK,Health
1984-09,0.639,MRK,Health
1984-10,0.642,MRK,Health
1984-11,0.673,MRK,Health
1984-12,0.7,MRK,Health
1985-01,0.72,MRK,Health
