date,average,ticker,industry
1986-03,0.059,MSFT,Tech
1986-04,0.063,MSFT,Tech
1986-05,0.069,MSFT,Tech
1986-06,0.069,MSFT,Tech
1986-07,0.063,MSFT,Tech
1986-08,0.062,MSFT,Tech
1986-09,0.062,MSFT,Tech
1986-10,0.075,MSFT,Tech
1986-11,0.095,MSFT,Tech
1986-12,0.103,MSFT,Tech
1987-01,0.134,MSFT,Tech
1987-02,0.156,MSFT,Tech
1987-03,0.185,MSFT,Tech
1987-04,0.209,MSFT,Tech
1987-05,0.246,MSFT,Tech
1987-06,0.225,MSFT,Tech
1987-07,0.211,MSFT,Tech
1987-08,0.226,MSFT,Tech
1987-09,0.252,MSFT,Tech
1987-10,0.259,MSFT,Tech
1987-11,0.204,MSFT,Tech
1987-12,0.212,MSFT,Tech
1988-01,0.242,MSFT,Tech
1988-02,0.24,MSFT,Tech
1988-03,0.258,MSFT,Tech
1988-04,0.238,MSFT,Tech
1988-05,0.242,MSFT,Tech
1988-06,0.27,MSFT,Tech
1988-07,0.276,MSFT,Tech
1988-08,0.224,MSFT,Tech
1988-09,0.226,MSFT,Tech
1988-10,0.218,MSFT,Tech
1988-11,0.202,MSFT,Tech
1988-12,0.215,MSFT,Tech
1989-01,0.23,MSFT,Tech
1989-02,0.262,MSFT,Tech
1989-03,0.224,MSFT,Tech
1989-04,0.224,MSFT,Tech
1989-05,0.239,MSFT,Tech
1989-06,0.242,MSFT,Tech
1989-07,0.23,MSFT,Tech
1989-08,0.246,MSFT,Tech
1989-09,0.271,MSFT,Tech
1989-10,0.337,MSFT,Tech
1989-11,0.363,MSFT,Tech
1989-12,0.357,MSFT,Tech
1990-01,0.386,MSFT,Tech
1990-02,0.411,MSFT,Tech
1990-03,0.466,MSFT,Tech
1990-04,0.502,MSFT,Tech
1990-05,0.575,MSFT,Tech
1990-06,0.644,MSFT,Tech
1990-07,0.628,MSFT,Tech
1990-08,0.523,MSFT,Tech
1990-09,0.509,MSFT,Tech
1990-10,0.534,MSFT,Tech
1990-11,0.581,MSFT,Tech
1990-12,0.637,MSFT,Tech
1991-01,0.715,MSFT,Tech
1991-02,0.879,MSFT,Tech
1991-03,0.87,MSFT,Tech
1991-04,0.92,MSFT,Tech
1991-05,0.89,MSFT,Tech
1991-06,0.92,MSFT,Tech
1991-07,0.871,MSFT,Tech
1991-08,1.04,MSFT,Tech
1991-09,1.086,MSFT,Tech
1991-10,1.158,MSFT,Tech
1991-11,1.234,MSFT,Tech
1991-12,1.337,MSFT,Tech
1992-01,1.581,MSFT,Tech
1992-02,1.561,MSFT,Tech
1992-03,1.586,MSFT,Tech
1992-04,1.505,MSFT,Tech
1992-05,1.476,MSFT,Tech
1992-06,1.447,MSFT,Tech
1992-07,1.369,MSFT,Tech
1992-08,1.375,MSFT,Tech
1992-09,1.515,MSFT,Tech
1992-10,1.647,MSFT,Tech
1992-11,1.769,MSFT,Tech
1992-12,1.716,MSFT,Tech
1993-01,1.703,MSFT,Tech
1993-02,1.615,MSFT,Tech
1993-03,1.653,MSFT,Tech
1993-04,1.678,MSFT,Tech
1993-05,1.726,MSFT,Tech
1993-06,1.753,MSFT,Tech
1993-07,1.566,MSFT,Tech
1993-08,1.431,MSFT,Tech
1993-09,1.497,MSFT,Tech
1993-10,1.577,MSFT,Tech
1993-11,1.534,MSFT,Tech
1993-12,1.578,MSFT,Tech
1994-01,1.628,MSFT,Tech
1994-02,1.554,MSFT,Tech
1994-03,1.611,MSFT,Tech
1994-04,1.704,MSFT,Tech
1994-05,1.88,MSFT,Tech
1994-06,2.021,MSFT,Tech
1994-07,1.908,MSFT,Tech
1994-08,2.118,MSFT,Tech
1994-09,2.186,MSFT,Tech
1994-10,2.22,MSFT,Tech
1994-11,2.435,MSFT,Tech
1994-12,2.399,MSFT,Tech
1995-01,2.37,MSFT,Tech
1995-02,2.354,MSFT,Tech
1995-03,2.677,MSFT,Tech
1995-04,2.871,MSFT,Tech
1995-05,3.214,MSFT,Tech
1995-06,3.346,MSFT,Tech
1995-07,3.715,MSFT,Tech
1995-08,3.652,MSFT,Tech
1995-09,3.574,MSFT,Tech
1995-10,3.539,MSFT,Tech
1995-11,3.571,MSFT,Tech
1995-12,3.447,MSFT,Tech
1996-01,3.383,MSFT,Tech
1996-02,3.804,MSFT,Tech
1996-03,3.86,MSFT,Tech
1996-04,4.125,MSFT,Tech
1996-05,4.47,MSFT,Tech
1996-06,4.691,MSFT,Tech
1996-07,4.54,MSFT,Tech
1996-08,4.775,MSFT,Tech
1996-09,5.031,MSFT,Tech
1996-10,5.226,MSFT,Tech
1996-11,5.698,MSFT,Tech
1996-12,6.261,MSFT,Tech
1997-01,6.931,MSFT,Tech
1997-02,7.602,MSFT,Tech
1997-03,7.464,MSFT,Tech
1997-04,7.965,MSFT,Tech
1997-05,9.222,MSFT,Tech
1997-06,9.8,MSFT,Tech
1997-07,10.525,MSFT,Tech
1997-08,10.611,MSFT,Tech
1997-09,10.423,MSFT,Tech
1997-10,10.365,MSFT,Tech
1997-11,10.371,MSFT,Tech
1997-12,10.409,MSFT,Tech
1998-01,10.502,MSFT,Tech
