date,average,ticker,industry
1993-02,3.724,MS,Financial
1993-03,4.049,MS,Financial
1993-04,4.177,MS,Financial
1993-05,4.146,MS,Financial
1993-06,4.049,MS,Financial
1993-07,4.32,MS,Financial
1993-08,4.375,MS,Financial
1993-09,4.804,MS,Financial
1993-10,4.985,MS,Financial
1993-11,4.448,MS,Financial
1993-12,4.409,MS,Financial
1994-01,4.387,MS,Financial
1994-02,4.2,MS,Financial
1994-03,4.101,MS,Financial
1994-04,4.115,MS,Financial
1994-05,4.563,MS,Financial
1994-06,4.544,MS,Financial
1994-07,4.53,MS,Financial
1994-08,4.733,MS,Financial
1994-09,4.808,MS,Financial
1994-10,4.286,MS,Financial
1994-11,4.273,MS,Financial
1994-12,3.979,MS,Financial
1995-01,4.194,MS,Financial
1995-02,4.748,MS,Financial
1995-03,4.911,MS,Financial
1995-04,5.095,MS,Financial
1995-05,5.496,MS,Financial
1995-06,5.607,MS,Financial
1995-07,5.847,MS,Financial
1995-08,5.842,MS,Financial
1995-09,6.624,MS,Financial
1995-10,6.316,MS,Financial
1995-11,6.062,MS,Financial
1995-12,5.928,MS,Financial
1996-01,5.82,MS,Financial
1996-02,6.552,MS,Financial
1996-03,6.509,MS,Financial
1996-04,6.567,MS,Financial
1996-05,6.935,MS,Financial
1996-06,7.091,MS,Financial
1996-07,6.333,MS,Financial
1996-08,6.315,MS,Financial
1996-09,6.374,MS,Financial
1996-10,7.073,MS,Financial
1996-11,7.793,MS,Financial
1996-12,8.077,MS,Financial
1997-01,8.667,MS,Financial
1997-02,9.994,MS,Financial
1997-03,9.411,MS,Financial
1997-04,8.855,MS,Financial
1997-05,9.739,MS,Financial
1997-06,10.814,MS,Financial
1997-07,11.554,MS,Financial
1997-08,12.694,MS,Financial
1997-09,13.113,MS,Financial
1997-10,13.415,MS,Financial
1997-11,13.062,MS,Financial
1997-12,13.784,MS,Financial
1998-01,14.099,MS,Financial
1998-02,16.095,MS,Financial
1998-03,18.238,MS,Financial
1998-04,19.642,MS,Financial
1998-05,19.057,MS,Financial
1998-06,20.187,MS,Financial
1998-07,22.763,MS,Financial
1998-08,19.508,MS,Financial
1998-09,13.157,MS,Financial
1998-10,12.85,MS,Financial
1998-11,16.514,MS,Financial
1998-12,17.549,MS,Financial
1999-01,20.785,MS,Financial
1999-02,22.596,MS,Financial
1999-03,24.842,MS,Financial
1999-04,26.246,MS,Financial
1999-05,24.646,MS,Financial
1999-06,23.162,MS,Financial
1999-07,24.802,MS,Financial
1999-08,22.712,MS,Financial
1999-09,22.594,MS,Financial
1999-10,24.383,MS,Financial
1999-11,29.565,MS,Financial
1999-12,32.983,MS,Financial
2000-01,33.042,MS,Financial
2000-02,33.469,MS,Financial
2000-03,42.702,MS,Financial
2000-04,40.025,MS,Financial
2000-05,35.883,MS,Financial
2000-06,41.735,MS,Financial
2000-07,46.753,MS,Financial
2000-08,50.955,MS,Financial
2000-09,50.152,MS,Financial
2000-10,41.008,MS,Financial
2000-11,35.832,MS,Financial
2000-12,36.646,MS,Financial
2001-01,42.718,MS,Financial
2001-02,38.917,MS,Financial
2001-03,29.842,MS,Financial
2001-04,29.932,MS,Financial
2001-05,34.662,MS,Financial
2001-06,32.08,MS,Financial
2001-07,30.883,MS,Financial
2001-08,28.914,MS,Financial
2001-09,23.164,MS,Financial
2001-10,26.029,MS,Financial
2001-11,28.598,MS,Financial
2001-12,28.37,MS,Financial
2002-01,29.257,MS,Financial
2002-02,25.796,MS,Financial
2002-03,28.997,MS,Financial
2002-04,27.834,MS,Financial
2002-05,24.927,MS,Financial
2002-06,22.672,MS,Financial
2002-07,21.013,MS,Financial
2002-08,22.288,MS,Financial
2002-09,19.727,MS,Financial
2002-10,18.656,MS,Financial
2002-11,22.397,MS,Financial
2002-12,22.214,MS,Financial
2003-01,21.778,MS,Financial
2003-02,19.28,MS,Financial
2003-03,20.169,MS,Financial
2003-04,23.271,MS,Financial
2003-05,23.713,MS,Financial
2003-06,24.793,MS,Financial
2003-07,25.158,MS,Financial
2003-08,25.823,MS,Financial
2003-09,26.945,MS,Financial
2003-10,28.63,MS,Financial
2003-11,29.864,MS,Financial
2003-12,30.577,MS,Financial
2004-01,31.73,MS,Financial
2004-02,32.057,MS,Financial
2004-03,32.058,MS,Financial
2004-04,29.551,MS,Financial
2004-05,28.55,MS,Financial
2004-06,28.612,MS,Financial
2004-07,26.83,MS,Financial
2004-08,26.905,MS,Financial
2004-09,27.84,MS,Financial
2004-10,26.968,MS,Financial
2004-11,28.737,MS,Financial
2004-12,29.696,MS,Financial
2005-01,30.425,MS,Financial
2005-02,32.123,MS,Financial
2005-03,31.656,MS,Financial
2005-04,29.43,MS,Financial
2005-05,27.458,MS,Financial
2005-06,28.242,MS,Financial
2005-07,29.772,MS,Financial
2005-08,29.268,MS,Financial
2005-09,29.145,MS,Financial
2005-10,29.629,MS,Financial
2005-11,30.732,MS,Financial
2005-12,32.03,MS,Financial
2006-01,33.273,MS,Financial
