date,average,ticker,industry
1973-02,0.375,NEE,Energy
1973-03,0.374,NEE,Energy
1973-04,0.373,NEE,Energy
1973-05,0.386,NEE,Energy
1973-06,0.379,NEE,Energy
1973-07,0.355,NEE,Energy
1973-08,0.337,NEE,Energy
1973-09,0.363,NEE,Energy
1973-10,0.375,NEE,Energy
1973-11,0.325,NEE,Energy
1973-12,0.256,NEE,Energy
1974-01,0.271,NEE,Energy
1974-02,0.254,NEE,Energy
1974-03,0.245,NEE,Energy
1974-04,0.205,NEE,Energy
1974-05,0.192,NEE,Energy
1974-06,0.194,NEE,Energy
1974-07,0.18,NEE,Energy
1974-08,0.169,NEE,Energy
1974-09,0.155,NEE,Energy
1974-10,0.174,NEE,Energy
1974-11,0.174,NEE,Energy
1974-12,0.157,NEE,Energy
1975-01,0.19,NEE,Energy
1975-02,0.218,NEE,Energy
1975-03,0.22,NEE,Energy
1975-04,0.21,NEE,Energy
1975-05,0.215,NEE,Energy
1975-06,0.25,NEE,Energy
1975-07,0.245,NEE,Energy
1975-08,0.219,NEE,Energy
1975-09,0.216,NEE,Energy
1975-10,0.248,NEE,Energy
1975-11,0.265,NEE,Energy
1975-12,0.257,NEE,Energy
1976-01,0.272,NEE,Energy
1976-02,0.26,NEE,Energy
1976-03,0.244,NEE,Energy
1976-04,0.251,NEE,Energy
1976-05,0.232,NEE,Energy
1976-06,0.234,NEE,Energy
1976-07,0.244,NEE,Energy
1976-08,0.247,NEE,Energy
1976-09,0.265,NEE,Energy
1976-10,0.258,NEE,Energy
1976-11,0.253,NEE,Energy
1976-12,0.278,NEE,Energy
1977-01,0.272,NEE,Energy
1977-02,0.261,NEE,Energy
1977-03,0.249,NEE,Energy
1977-04,0.253,NEE,Energy
1977-05,0.261,NEE,Energy
1977-06,0.275,NEE,Energy
1977-07,0.28,NEE,Energy
1977-08,0.268,NEE,Energy
1977-09,0.257,NEE,Energy
1977-10,0.258,NEE,Energy
1977-11,0.264,NEE,Energy
1977-12,0.269,NEE,Energy
1978-01,0.257,NEE,Energy
1978-02,0.254,NEE,Energy
1978-03,0.253,NEE,Energy
1978-04,0.255,NEE,Energy
1978-05,0.263,NEE,Energy
1978-06,0.275,NEE,Energy
1978-07,0.277,NEE,Energy
1978-08,0.29,NEE,Energy
1978-09,0.288,NEE,Energy
1978-10,0.278,NEE,Energy
1978-11,0.267,NEE,Energy
1978-12,0.271,NEE,Energy
1979-01,0.272,NEE,Energy
1979-02,0.279,NEE,Energy
1979-03,0.283,NEE,Energy
1979-04,0.275,NEE,Energy
1979-05,0.27,NEE,Energy
1979-06,0.277,NEE,Energy
1979-07,0.277,NEE,Energy
1979-08,0.275,NEE,Energy
1979-09,0.264,NEE,Energy
1979-10,0.255,NEE,Energy
1979-11,0.252,NEE,Energy
1979-12,0.253,NEE,Energy
1980-01,0.248,NEE,Energy
1980-02,0.227,NEE,Energy
1980-03,0.221,NEE,Energy
1980-04,0.257,NEE,Energy
1980-05,0.27,NEE,Energy
1980-06,0.274,NEE,Energy
1980-07,0.281,NEE,Energy
1980-08,0.272,NEE,Energy
1980-09,0.273,NEE,Energy
1980-10,0.269,NEE,Energy
1980-11,0.265,NEE,Energy
1980-12,0.251,NEE,Energy
1981-01,0.262,NEE,Energy
1981-02,0.252,NEE,Energy
1981-03,0.258,NEE,Energy
1981-04,0.277,NEE,Energy
1981-05,0.28,NEE,Energy
1981-06,0.296,NEE,Energy
1981-07,0.295,NEE,Energy
1981-08,0.305,NEE,Energy
1981-09,0.275,NEE,Energy
1981-10,0.282,NEE,Energy
1981-11,0.304,NEE,Energy
1981-12,0.295,NEE,Energy
1982-01,0.292,NEE,Energy
1982-02,0.295,NEE,Energy
1982-03,0.309,NEE,Energy
