date,average,ticker,industry
1980-03,5.864,NEM,Materials
1980-04,5.337,NEM,Materials
1980-05,5.329,NEM,Materials
1980-06,6.059,NEM,Materials
1980-07,6.839,NEM,Materials
1980-08,7.2,NEM,Materials
1980-09,8.423,NEM,Materials
1980-10,8.417,NEM,Materials
1980-11,7.987,NEM,Materials
1980-12,7.694,NEM,Materials
1981-01,7.115,NEM,Materials
1981-02,7.121,NEM,Materials
1981-03,8.281,NEM,Materials
1981-04,9.647,NEM,Materials
1981-05,9.93,NEM,Materials
1981-06,9.411,NEM,Materials
1981-07,10.182,NEM,Materials
1981-08,10.674,NEM,Materials
1981-09,8.766,NEM,Materials
1981-10,8.588,NEM,Materials
1981-11,7.28,NEM,Materials
1981-12,6.855,NEM,Materials
1982-01,5.815,NEM,Materials
1982-02,5.553,NEM,Materials
1982-03,4.933,NEM,Materials
1982-04,5.564,NEM,Materials
1982-05,5.317,NEM,Materials
1982-06,4.736,NEM,Materials
1982-07,5.005,NEM,Materials
1982-08,5.632,NEM,Materials
1982-09,6.498,NEM,Materials
1982-10,6.443,NEM,Materials
1982-11,6.605,NEM,Materials
1982-12,7.667,NEM,Materials
1983-01,8.697,NEM,Materials
1983-02,8.581,NEM,Materials
1983-03,7.818,NEM,Materials
1983-04,8.298,NEM,Materials
1983-05,8.65,NEM,Materials
1983-06,8.54,NEM,Materials
1983-07,8.545,NEM,Materials
1983-08,8.866,NEM,Materials
1983-09,8.412,NEM,Materials
1983-10,7.434,NEM,Materials
1983-11,7.565,NEM,Materials
1983-12,7.985,NEM,Materials
1984-01,7.324,NEM,Materials
1984-02,7.529,NEM,Materials
1984-03,8.011,NEM,Materials
1984-04,7.685,NEM,Materials
1984-05,6.998,NEM,Materials
1984-06,5.924,NEM,Materials
1984-07,5.159,NEM,Materials
1984-08,5.569,NEM,Materials
1984-09,5.557,NEM,Materials
1984-10,5.458,NEM,Materials
1984-11,6.007,NEM,Materials
1984-12,5.454,NEM,Materials
1985-01,5.947,NEM,Materials
1985-02,6.594,NEM,Materials
1985-03,6.416,NEM,Materials
1985-04,6.821,NEM,Materials
1985-05,6.851,NEM,Materials
1985-06,6.61,NEM,Materials
1985-07,6.67,NEM,Materials
1985-08,6.853,NEM,Materials
1985-09,6.741,NEM,Materials
1985-10,6.84,NEM,Materials
1985-11,6.943,NEM,Materials
1985-12,7.198,NEM,Materials
1986-01,7.676,NEM,Materials
1986-02,7.351,NEM,Materials
1986-03,7.644,NEM,Materials
1986-04,7.008,NEM,Materials
1986-05,6.979,NEM,Materials
1986-06,7.44,NEM,Materials
