date,average,ticker,industry
2002-05,1.136,NFLX,Communication Services
2002-06,1.038,NFLX,Communication Services
2002-07,1.11,NFLX,Communication Services
2002-08,0.871,NFLX,Communication Services
2002-09,0.828,NFLX,Communication Services
2002-10,0.56,NFLX,Communication Services
2002-11,0.684,NFLX,Communication Services
2002-12,0.792,NFLX,Communication Services
2003-01,0.851,NFLX,Communication Services
2003-02,0.992,NFLX,Communication Services
2003-03,1.273,NFLX,Communication Services
2003-04,1.506,NFLX,Communication Services
2003-05,1.637,NFLX,Communication Services
2003-06,1.635,NFLX,Communication Services
2003-07,1.877,NFLX,Communication Services
2003-08,1.902,NFLX,Communication Services
2003-09,2.512,NFLX,Communication Services
2003-10,3.494,NFLX,Communication Services
2003-11,3.514,NFLX,Communication Services
2003-12,3.615,NFLX,Communication Services
2004-01,4.778,NFLX,Communication Services
2004-02,5.045,NFLX,Communication Services
2004-03,4.472,NFLX,Communication Services
2004-04,4.609,NFLX,Communication Services
2004-05,4.309,NFLX,Communication Services
2004-06,4.483,NFLX,Communication Services
2004-07,3.773,NFLX,Communication Services
2004-08,2.306,NFLX,Communication Services
2004-09,2.287,NFLX,Communication Services
2004-10,1.917,NFLX,Communication Services
2004-11,1.55,NFLX,Communication Services
2004-12,1.727,NFLX,Communication Services
2005-01,1.602,NFLX,Communication Services
2005-02,1.584,NFLX,Communication Services
2005-03,1.407,NFLX,Communication Services
2005-04,1.642,NFLX,Communication Services
2005-05,1.951,NFLX,Communication Services
2005-06,2.301,NFLX,Communication Services
2005-07,2.446,NFLX,Communication Services
2005-08,3.032,NFLX,Communication Services
2005-09,3.388,NFLX,Communication Services
2005-10,3.866,NFLX,Communication Services
2005-11,4.026,NFLX,Communication Services
2005-12,3.8,NFLX,Communication Services
2006-01,3.683,NFLX,Communication Services
2006-02,3.674,NFLX,Communication Services
2006-03,3.837,NFLX,Communication Services
2006-04,4.228,NFLX,Communication Services
2006-05,4.144,NFLX,Communication Services
2006-06,3.913,NFLX,Communication Services
2006-07,3.38,NFLX,Communication Services
2006-08,2.834,NFLX,Communication Services
2006-09,3.139,NFLX,Communication Services
2006-10,3.483,NFLX,Communication Services
2006-11,4.103,NFLX,Communication Services
2006-12,3.937,NFLX,Communication Services
2007-01,3.336,NFLX,Communication Services
2007-02,3.28,NFLX,Communication Services
2007-03,3.16,NFLX,Communication Services
2007-04,3.316,NFLX,Communication Services
2007-05,3.168,NFLX,Communication Services
2007-06,2.946,NFLX,Communication Services
2007-07,2.72,NFLX,Communication Services
2007-08,2.475,NFLX,Communication Services
2007-09,2.706,NFLX,Communication Services
2007-10,3.383,NFLX,Communication Services
2007-11,3.472,NFLX,Communication Services
2007-12,3.575,NFLX,Communication Services
2008-01,3.339,NFLX,Communication Services
2008-02,3.952,NFLX,Communication Services
2008-03,4.879,NFLX,Communication Services
2008-04,5.084,NFLX,Communication Services
2008-05,4.419,NFLX,Communication Services
2008-06,4.368,NFLX,Communication Services
2008-07,4.018,NFLX,Communication Services
2008-08,4.369,NFLX,Communication Services
2008-09,4.347,NFLX,Communication Services
2008-10,3.346,NFLX,Communication Services
2008-11,3.128,NFLX,Communication Services
2008-12,3.867,NFLX,Communication Services
2009-01,4.596,NFLX,Communication Services
2009-02,5.251,NFLX,Communication Services
2009-03,5.697,NFLX,Communication Services
2009-04,6.549,NFLX,Communication Services
2009-05,5.746,NFLX,Communication Services
2009-06,5.693,NFLX,Communication Services
2009-07,6.064,NFLX,Communication Services
2009-08,6.373,NFLX,Communication Services
2009-09,6.383,NFLX,Communication Services
2009-10,7.032,NFLX,Communication Services
2009-11,8.313,NFLX,Communication Services
2009-12,8.009,NFLX,Communication Services
2010-01,7.559,NFLX,Communication Services
2010-02,9.061,NFLX,Communication Services
2010-03,10.148,NFLX,Communication Services
2010-04,12.804,NFLX,Communication Services
2010-05,14.559,NFLX,Communication Services
2010-06,16.665,NFLX,Communication Services
2010-07,16.039,NFLX,Communication Services
2010-08,17.559,NFLX,Communication Services
2010-09,21.354,NFLX,Communication Services
2010-10,22.852,NFLX,Communication Services
2010-11,25.267,NFLX,Communication Services
2010-12,26.444,NFLX,Communication Services
2011-01,27.082,NFLX,Communication Services
2011-02,31.821,NFLX,Communication Services
2011-03,30.756,NFLX,Communication Services
2011-04,34.057,NFLX,Communication Services
2011-05,34.854,NFLX,Communication Services
2011-06,37.054,NFLX,Communication Services
2011-07,40.293,NFLX,Communication Services
2011-08,33.333,NFLX,Communication Services
2011-09,23.957,NFLX,Communication Services
2011-10,15.272,NFLX,Communication Services
2011-11,11.395,NFLX,Communication Services
2011-12,10.043,NFLX,Communication Services
2012-01,13.965,NFLX,Communication Services
2012-02,17.131,NFLX,Communication Services
2012-03,16.143,NFLX,Communication Services
2012-04,14.412,NFLX,Communication Services
2012-05,10.427,NFLX,Communication Services
2012-06,9.393,NFLX,Communication Services
2012-07,10.751,NFLX,Communication Services
2012-08,8.677,NFLX,Communication Services
2012-09,8.083,NFLX,Communication Services
2012-10,9.397,NFLX,Communication Services
2012-11,11.435,NFLX,Communication Services
2012-12,12.772,NFLX,Communication Services
2013-01,16.716,NFLX,Communication Services
2013-02,26.065,NFLX,Communication Services
2013-03,26.385,NFLX,Communication Services
2013-04,26.119,NFLX,Communication Services
2013-05,31.96,NFLX,Communication Services
2013-06,31.275,NFLX,Communication Services
2013-07,35.16,NFLX,Communication Services
2013-08,37.745,NFLX,Communication Services
2013-09,43.353,NFLX,Communication Services
2013-10,45.96,NFLX,Communication Services
2013-11,48.955,NFLX,Communication Services
2013-12,52.579,NFLX,Communication Services
2014-01,51.304,NFLX,Communication Services
2014-02,61.631,NFLX,Communication Services
2014-03,59.265,NFLX,Communication Services
2014-04,48.66,NFLX,Communication Services
2014-05,51.776,NFLX,Communication Services
2014-06,61.901,NFLX,Communication Services
2014-07,63.203,NFLX,Communication Services
2014-08,65.317,NFLX,Communication Services
2014-09,66.117,NFLX,Communication Services
2014-10,58.926,NFLX,Communication Services
2014-11,53.346,NFLX,Communication Services
2014-12,48.514,NFLX,Communication Services
2015-01,53.409,NFLX,Communication Services
2015-02,66.132,NFLX,Communication Services
2015-03,62.523,NFLX,Communication Services
2015-04,72.261,NFLX,Communication Services
2015-05,85.2,NFLX,Communication Services
2015-06,93.205,NFLX,Communication Services
2015-07,104.239,NFLX,Communication Services
2015-08,117.503,NFLX,Communication Services
2015-09,100.566,NFLX,Communication Services
2015-10,105.588,NFLX,Communication Services
2015-11,116.069,NFLX,Communication Services
2015-12,121.296,NFLX,Communication Services
2016-01,105.448,NFLX,Communication Services
2016-02,89.97,NFLX,Communication Services
2016-03,99.316,NFLX,Communication Services
2016-04,100.812,NFLX,Communication Services
2016-05,93.175,NFLX,Communication Services
2016-06,94.299,NFLX,Communication Services
2016-07,93.164,NFLX,Communication Services
2016-08,95.623,NFLX,Communication Services
2016-09,97.449,NFLX,Communication Services
2016-10,113.157,NFLX,Communication Services
2016-11,118.384,NFLX,Communication Services
2016-12,124.007,NFLX,Communication Services
2017-01,134.876,NFLX,Communication Services
2017-02,142.497,NFLX,Communication Services
2017-03,143.227,NFLX,Communication Services
2017-04,145.458,NFLX,Communication Services
2017-05,158.395,NFLX,Communication Services
2017-06,156.511,NFLX,Communication Services
2017-07,169.446,NFLX,Communication Services
2017-08,172.39,NFLX,Communication Services
2017-09,181.666,NFLX,Communication Services
2017-10,194.278,NFLX,Communication Services
2017-11,195.223,NFLX,Communication Services
2017-12,187.854,NFLX,Communication Services
2018-01,232.908,NFLX,Communication Services
2018-02,271.444,NFLX,Communication Services
2018-03,312.228,NFLX,Communication Services
2018-04,307.466,NFLX,Communication Services
2018-05,331.537,NFLX,Communication Services
2018-06,384.133,NFLX,Communication Services
2018-07,381.515,NFLX,Communication Services
2018-08,346.258,NFLX,Communication Services
2018-09,362.642,NFLX,Communication Services
2018-10,335.446,NFLX,Communication Services
2018-11,290.345,NFLX,Communication Services
2018-12,265.303,NFLX,Communication Services
2019-01,325.814,NFLX,Communication Services
2019-02,355.608,NFLX,Communication Services
2019-03,359.436,NFLX,Communication Services
2019-04,366.146,NFLX,Communication Services
2019-05,359.45,NFLX,Communication Services
2019-06,356.616,NFLX,Communication Services
2019-07,350.782,NFLX,Communication Services
2019-08,303.128,NFLX,Communication Services
2019-09,281.946,NFLX,Communication Services
2019-10,277.637,NFLX,Communication Services
2019-11,299.126,NFLX,Communication Services
2019-12,314.604,NFLX,Communication Services
2020-01,338.833,NFLX,Communication Services
2020-02,373.988,NFLX,Communication Services
2020-03,350.587,NFLX,Communication Services
2020-04,404.311,NFLX,Communication Services
2020-05,433.294,NFLX,Communication Services
2020-06,438.978,NFLX,Communication Services
2020-07,499.385,NFLX,Communication Services
2020-08,498.075,NFLX,Communication Services
2020-09,495.553,NFLX,Communication Services
2020-10,515.142,NFLX,Communication Services
2020-11,487.444,NFLX,Communication Services
2020-12,516.569,NFLX,Communication Services
2021-01,526.817,NFLX,Communication Services
2021-02,548.96,NFLX,Communication Services
2021-03,518.123,NFLX,Communication Services
2021-04,533.137,NFLX,Communication Services
2021-05,496.715,NFLX,Communication Services
2021-06,503.324,NFLX,Communication Services
2021-07,528.653,NFLX,Communication Services
2021-08,532.347,NFLX,Communication Services
2021-09,590.795,NFLX,Communication Services
2021-10,642.203,NFLX,Communication Services
2021-11,667.524,NFLX,Communication Services
2021-12,608.484,NFLX,Communication Services
2022-01,487.854,NFLX,Communication Services
2022-02,400.986,NFLX,Communication Services
2022-03,366.792,NFLX,Communication Services
2022-04,297.414,NFLX,Communication Services
2022-05,186.45,NFLX,Communication Services
2022-06,184.848,NFLX,Communication Services
2022-07,199.089,NFLX,Communication Services
2022-08,233.027,NFLX,Communication Services
2022-09,232.114,NFLX,Communication Services
2022-10,256.268,NFLX,Communication Services
2022-11,283.172,NFLX,Communication Services
2022-12,302.042,NFLX,Communication Services
2023-01,334.759,NFLX,Communication Services
2023-02,349.098,NFLX,Communication Services
2023-03,312.603,NFLX,Communication Services
2023-04,333.744,NFLX,Communication Services
2023-05,347.46,NFLX,Communication Services
2023-06,421.458,NFLX,Communication Services
2023-07,440.328,NFLX,Communication Services
2023-08,424.059,NFLX,Communication Services
2023-09,407.322,NFLX,Communication Services
2023-10,384.119,NFLX,Communication Services
2023-11,455.716,NFLX,Communication Services
2023-12,474.06,NFLX,Communication Services
2024-01,505.005,NFLX,Communication Services
2024-02,575.379,NFLX,Communication Services
2024-03,614.007,NFLX,Communication Services
2024-04,598.014,NFLX,Communication Services
2024-05,618.828,NFLX,Communication Services
2024-06,661.916,NFLX,Communication Services
2024-07,653.729,NFLX,Communication Services
2024-08,660.192,NFLX,Communication Services
2024-09,694.762,NFLX,Communication Services
2024-10,725.588,NFLX,Communication Services
