date,average,ticker,industry
1980-12,0.112,NKE,Consumer Discretionary
1981-01,0.116,NKE,Consumer Discretionary
1981-02,0.104,NKE,Consumer Discretionary
1981-03,0.101,NKE,Consumer Discretionary
1981-04,0.117,NKE,Consumer Discretionary
1981-05,0.115,NKE,Consumer Discretionary
1981-06,0.131,NKE,Consumer Discretionary
1981-07,0.121,NKE,Consumer Discretionary
1981-08,0.11,NKE,Consumer Discretionary
1981-09,0.107,NKE,Consumer Discretionary
1981-10,0.124,NKE,Consumer Discretionary
1981-11,0.146,NKE,Consumer Discretionary
1981-12,0.153,NKE,Consumer Discretionary
1982-01,0.156,NKE,Consumer Discretionary
1982-02,0.159,NKE,Consumer Discretionary
1982-03,0.152,NKE,Consumer Discretionary
1982-04,0.164,NKE,Consumer Discretionary
1982-05,0.164,NKE,Consumer Discretionary
1982-06,0.167,NKE,Consumer Discretionary
1982-07,0.186,NKE,Consumer Discretionary
1982-08,0.198,NKE,Consumer Discretionary
1982-09,0.242,NKE,Consumer Discretionary
1982-10,0.258,NKE,Consumer Discretionary
1982-11,0.269,NKE,Consumer Discretionary
1982-12,0.28,NKE,Consumer Discretionary
1983-01,0.232,NKE,Consumer Discretionary
1983-02,0.23,NKE,Consumer Discretionary
1983-03,0.179,NKE,Consumer Discretionary
1983-04,0.193,NKE,Consumer Discretionary
1983-05,0.215,NKE,Consumer Discretionary
1983-06,0.201,NKE,Consumer Discretionary
1983-07,0.19,NKE,Consumer Discretionary
1983-08,0.188,NKE,Consumer Discretionary
1983-09,0.189,NKE,Consumer Discretionary
1983-10,0.2,NKE,Consumer Discretionary
1983-11,0.189,NKE,Consumer Discretionary
1983-12,0.164,NKE,Consumer Discretionary
1984-01,0.166,NKE,Consumer Discretionary
1984-02,0.138,NKE,Consumer Discretionary
1984-03,0.129,NKE,Consumer Discretionary
1984-04,0.113,NKE,Consumer Discretionary
1984-05,0.115,NKE,Consumer Discretionary
1984-06,0.111,NKE,Consumer Discretionary
1984-07,0.103,NKE,Consumer Discretionary
1984-08,0.107,NKE,Consumer Discretionary
1984-09,0.107,NKE,Consumer Discretionary
1984-10,0.09,NKE,Consumer Discretionary
1984-11,0.08,NKE,Consumer Discretionary
1984-12,0.086,NKE,Consumer Discretionary
1985-01,0.099,NKE,Consumer Discretionary
1985-02,0.104,NKE,Consumer Discretionary
1985-03,0.098,NKE,Consumer Discretionary
1985-04,0.105,NKE,Consumer Discretionary
1985-05,0.119,NKE,Consumer Discretionary
1985-06,0.118,NKE,Consumer Discretionary
1985-07,0.124,NKE,Consumer Discretionary
1985-08,0.129,NKE,Consumer Discretionary
1985-09,0.139,NKE,Consumer Discretionary
1985-10,0.154,NKE,Consumer Discretionary
1985-11,0.146,NKE,Consumer Discretionary
1985-12,0.152,NKE,Consumer Discretionary
1986-01,0.175,NKE,Consumer Discretionary
1986-02,0.187,NKE,Consumer Discretionary
1986-03,0.188,NKE,Consumer Discretionary
1986-04,0.185,NKE,Consumer Discretionary
1986-05,0.179,NKE,Consumer Discretionary
1986-06,0.198,NKE,Consumer Discretionary
1986-07,0.187,NKE,Consumer Discretionary
1986-08,0.163,NKE,Consumer Discretionary
1986-09,0.143,NKE,Consumer Discretionary
1986-10,0.142,NKE,Consumer Discretionary
1986-11,0.151,NKE,Consumer Discretionary
1986-12,0.14,NKE,Consumer Discretionary
1987-01,0.134,NKE,Consumer Discretionary
1987-02,0.149,NKE,Consumer Discretionary
1987-03,0.188,NKE,Consumer Discretionary
1987-04,0.189,NKE,Consumer Discretionary
1987-05,0.178,NKE,Consumer Discretionary
1987-06,0.197,NKE,Consumer Discretionary
1987-07,0.209,NKE,Consumer Discretionary
1987-08,0.233,NKE,Consumer Discretionary
1987-09,0.25,NKE,Consumer Discretionary
1987-10,0.214,NKE,Consumer Discretionary
1987-11,0.183,NKE,Consumer Discretionary
1987-12,0.201,NKE,Consumer Discretionary
1988-01,0.205,NKE,Consumer Discretionary
1988-02,0.236,NKE,Consumer Discretionary
1988-03,0.269,NKE,Consumer Discretionary
1988-04,0.264,NKE,Consumer Discretionary
1988-05,0.271,NKE,Consumer Discretionary
1988-06,0.286,NKE,Consumer Discretionary
1988-07,0.298,NKE,Consumer Discretionary
1988-08,0.281,NKE,Consumer Discretionary
1988-09,0.323,NKE,Consumer Discretionary
1988-10,0.359,NKE,Consumer Discretionary
1988-11,0.353,NKE,Consumer Discretionary
1988-12,0.303,NKE,Consumer Discretionary
1989-01,0.32,NKE,Consumer Discretionary
1989-02,0.351,NKE,Consumer Discretionary
1989-03,0.369,NKE,Consumer Discretionary
1989-04,0.415,NKE,Consumer Discretionary
1989-05,0.434,NKE,Consumer Discretionary
1989-06,0.481,NKE,Consumer Discretionary
1989-07,0.5,NKE,Consumer Discretionary
1989-08,0.547,NKE,Consumer Discretionary
1989-09,0.676,NKE,Consumer Discretionary
1989-10,0.741,NKE,Consumer Discretionary
1989-11,0.688,NKE,Consumer Discretionary
1989-12,0.611,NKE,Consumer Discretionary
1990-01,0.623,NKE,Consumer Discretionary
1990-02,0.61,NKE,Consumer Discretionary
1990-03,0.721,NKE,Consumer Discretionary
1990-04,0.784,NKE,Consumer Discretionary
1990-05,0.866,NKE,Consumer Discretionary
1990-06,0.89,NKE,Consumer Discretionary
1990-07,1.008,NKE,Consumer Discretionary
1990-08,0.837,NKE,Consumer Discretionary
1990-09,0.795,NKE,Consumer Discretionary
1990-10,0.675,NKE,Consumer Discretionary
1990-11,0.755,NKE,Consumer Discretionary
1990-12,0.885,NKE,Consumer Discretionary
1991-01,0.944,NKE,Consumer Discretionary
1991-02,1.122,NKE,Consumer Discretionary
1991-03,1.131,NKE,Consumer Discretionary
1991-04,1.069,NKE,Consumer Discretionary
1991-05,0.998,NKE,Consumer Discretionary
1991-06,0.897,NKE,Consumer Discretionary
1991-07,0.962,NKE,Consumer Discretionary
1991-08,1.081,NKE,Consumer Discretionary
1991-09,1.184,NKE,Consumer Discretionary
1991-10,1.234,NKE,Consumer Discretionary
1991-11,1.368,NKE,Consumer Discretionary
1991-12,1.48,NKE,Consumer Discretionary
1992-01,1.705,NKE,Consumer Discretionary
1992-02,1.714,NKE,Consumer Discretionary
1992-03,1.63,NKE,Consumer Discretionary
1992-04,1.546,NKE,Consumer Discretionary
1992-05,1.436,NKE,Consumer Discretionary
1992-06,1.346,NKE,Consumer Discretionary
1992-07,1.573,NKE,Consumer Discretionary
1992-08,1.66,NKE,Consumer Discretionary
1992-09,1.769,NKE,Consumer Discretionary
1992-10,1.817,NKE,Consumer Discretionary
1992-11,1.991,NKE,Consumer Discretionary
1992-12,2.004,NKE,Consumer Discretionary
1993-01,1.93,NKE,Consumer Discretionary
1993-02,1.814,NKE,Consumer Discretionary
1993-03,1.758,NKE,Consumer Discretionary
1993-04,1.679,NKE,Consumer Discretionary
1993-05,1.706,NKE,Consumer Discretionary
1993-06,1.503,NKE,Consumer Discretionary
1993-07,1.305,NKE,Consumer Discretionary
1993-08,1.269,NKE,Consumer Discretionary
1993-09,1.142,NKE,Consumer Discretionary
1993-10,1.092,NKE,Consumer Discretionary
1993-11,1.189,NKE,Consumer Discretionary
1993-12,1.077,NKE,Consumer Discretionary
1994-01,1.182,NKE,Consumer Discretionary
1994-02,1.186,NKE,Consumer Discretionary
1994-03,1.278,NKE,Consumer Discretionary
1994-04,1.29,NKE,Consumer Discretionary
1994-05,1.336,NKE,Consumer Discretionary
1994-06,1.37,NKE,Consumer Discretionary
1994-07,1.447,NKE,Consumer Discretionary
1994-08,1.506,NKE,Consumer Discretionary
1994-09,1.459,NKE,Consumer Discretionary
1994-10,1.428,NKE,Consumer Discretionary
1994-11,1.464,NKE,Consumer Discretionary
1994-12,1.621,NKE,Consumer Discretionary
1995-01,1.694,NKE,Consumer Discretionary
1995-02,1.659,NKE,Consumer Discretionary
1995-03,1.76,NKE,Consumer Discretionary
1995-04,1.756,NKE,Consumer Discretionary
1995-05,1.842,NKE,Consumer Discretionary
1995-06,1.932,NKE,Consumer Discretionary
1995-07,2.04,NKE,Consumer Discretionary
1995-08,2.187,NKE,Consumer Discretionary
1995-09,2.332,NKE,Consumer Discretionary
1995-10,2.623,NKE,Consumer Discretionary
1995-11,2.806,NKE,Consumer Discretionary
1995-12,2.984,NKE,Consumer Discretionary
1996-01,3.204,NKE,Consumer Discretionary
1996-02,3.143,NKE,Consumer Discretionary
1996-03,3.646,NKE,Consumer Discretionary
1996-04,4.052,NKE,Consumer Discretionary
1996-05,4.483,NKE,Consumer Discretionary
1996-06,4.84,NKE,Consumer Discretionary
1996-07,4.857,NKE,Consumer Discretionary
1996-08,5.046,NKE,Consumer Discretionary
1996-09,5.583,NKE,Consumer Discretionary
1996-10,5.736,NKE,Consumer Discretionary
1996-11,5.223,NKE,Consumer Discretionary
1996-12,5.439,NKE,Consumer Discretionary
1997-01,5.976,NKE,Consumer Discretionary
1997-02,6.704,NKE,Consumer Discretionary
1997-03,6.295,NKE,Consumer Discretionary
1997-04,5.283,NKE,Consumer Discretionary
1997-05,5.391,NKE,Consumer Discretionary
1997-06,5.505,NKE,Consumer Discretionary
1997-07,5.683,NKE,Consumer Discretionary
1997-08,5.518,NKE,Consumer Discretionary
1997-09,5.119,NKE,Consumer Discretionary
1997-10,4.755,NKE,Consumer Discretionary
1997-11,4.623,NKE,Consumer Discretionary
1997-12,4.116,NKE,Consumer Discretionary
1998-01,3.881,NKE,Consumer Discretionary
1998-02,4.036,NKE,Consumer Discretionary
1998-03,4.253,NKE,Consumer Discretionary
1998-04,4.292,NKE,Consumer Discretionary
1998-05,4.429,NKE,Consumer Discretionary
1998-06,4.34,NKE,Consumer Discretionary
1998-07,4.635,NKE,Consumer Discretionary
1998-08,3.806,NKE,Consumer Discretionary
1998-09,3.442,NKE,Consumer Discretionary
1998-10,3.777,NKE,Consumer Discretionary
1998-11,4.076,NKE,Consumer Discretionary
1998-12,3.718,NKE,Consumer Discretionary
1999-01,3.995,NKE,Consumer Discretionary
1999-02,4.764,NKE,Consumer Discretionary
1999-03,5.305,NKE,Consumer Discretionary
1999-04,5.689,NKE,Consumer Discretionary
1999-05,5.96,NKE,Consumer Discretionary
1999-06,5.64,NKE,Consumer Discretionary
1999-07,5.303,NKE,Consumer Discretionary
1999-08,4.835,NKE,Consumer Discretionary
1999-09,5.137,NKE,Consumer Discretionary
1999-10,5.401,NKE,Consumer Discretionary
1999-11,4.567,NKE,Consumer Discretionary
1999-12,4.516,NKE,Consumer Discretionary
2000-01,4.69,NKE,Consumer Discretionary
2000-02,3.282,NKE,Consumer Discretionary
2000-03,3.088,NKE,Consumer Discretionary
2000-04,4.1,NKE,Consumer Discretionary
2000-05,4.102,NKE,Consumer Discretionary
2000-06,3.807,NKE,Consumer Discretionary
2000-07,4.199,NKE,Consumer Discretionary
2000-08,4.299,NKE,Consumer Discretionary
2000-09,3.781,NKE,Consumer Discretionary
2000-10,3.742,NKE,Consumer Discretionary
2000-11,4.027,NKE,Consumer Discretionary
2000-12,4.6,NKE,Consumer Discretionary
2001-01,5.302,NKE,Consumer Discretionary
2001-02,4.937,NKE,Consumer Discretionary
2001-03,3.728,NKE,Consumer Discretionary
2001-04,3.782,NKE,Consumer Discretionary
2001-05,3.995,NKE,Consumer Discretionary
2001-06,4.054,NKE,Consumer Discretionary
2001-07,4.344,NKE,Consumer Discretionary
2001-08,4.748,NKE,Consumer Discretionary
2001-09,4.468,NKE,Consumer Discretionary
