date,average,ticker,industry
1996-11,5.917,NSRGY,Consumer Staples
1996-12,5.69,NSRGY,Consumer Staples
1997-01,5.651,NSRGY,Consumer Staples
1997-02,5.883,NSRGY,Consumer Staples
1997-03,5.923,NSRGY,Consumer Staples
1997-04,6.297,NSRGY,Consumer Staples
1997-05,6.765,NSRGY,Consumer Staples
1997-06,6.828,NSRGY,Consumer Staples
1997-07,7.016,NSRGY,Consumer Staples
1997-08,6.626,NSRGY,Consumer Staples
1997-09,6.911,NSRGY,Consumer Staples
1997-10,7.578,NSRGY,Consumer Staples
1997-11,7.686,NSRGY,Consumer Staples
1997-12,7.841,NSRGY,Consumer Staples
1998-01,8.096,NSRGY,Consumer Staples
1998-02,9.086,NSRGY,Consumer Staples
1998-03,9.577,NSRGY,Consumer Staples
1998-04,10.092,NSRGY,Consumer Staples
1998-05,10.972,NSRGY,Consumer Staples
1998-06,11.398,NSRGY,Consumer Staples
1998-07,11.596,NSRGY,Consumer Staples
1998-08,10.452,NSRGY,Consumer Staples
1998-09,10.313,NSRGY,Consumer Staples
1998-10,10.628,NSRGY,Consumer Staples
1998-11,11.423,NSRGY,Consumer Staples
1998-12,10.972,NSRGY,Consumer Staples
1999-01,10.68,NSRGY,Consumer Staples
1999-02,9.79,NSRGY,Consumer Staples
1999-03,9.771,NSRGY,Consumer Staples
1999-04,9.736,NSRGY,Consumer Staples
1999-05,10.017,NSRGY,Consumer Staples
1999-06,9.871,NSRGY,Consumer Staples
1999-07,9.954,NSRGY,Consumer Staples
1999-08,10.422,NSRGY,Consumer Staples
1999-09,10.317,NSRGY,Consumer Staples
1999-10,10.242,NSRGY,Consumer Staples
1999-11,9.928,NSRGY,Consumer Staples
1999-12,9.525,NSRGY,Consumer Staples
2000-01,9.624,NSRGY,Consumer Staples
2000-02,8.794,NSRGY,Consumer Staples
2000-03,9.085,NSRGY,Consumer Staples
2000-04,9.66,NSRGY,Consumer Staples
2000-05,9.88,NSRGY,Consumer Staples
2000-06,10.46,NSRGY,Consumer Staples
2000-07,10.707,NSRGY,Consumer Staples
2000-08,11.082,NSRGY,Consumer Staples
2000-09,11.241,NSRGY,Consumer Staples
2000-10,11.133,NSRGY,Consumer Staples
2000-11,11.243,NSRGY,Consumer Staples
2000-12,11.753,NSRGY,Consumer Staples
