date,average,ticker,industry
1999-01,0.038,NVDA,Tech
1999-02,0.039,NVDA,Tech
1999-03,0.04,NVDA,Tech
1999-04,0.036,NVDA,Tech
1999-05,0.034,NVDA,Tech
1999-06,0.033,NVDA,Tech
1999-07,0.039,NVDA,Tech
1999-08,0.044,NVDA,Tech
1999-09,0.045,NVDA,Tech
1999-10,0.041,NVDA,Tech
1999-11,0.063,NVDA,Tech
1999-12,0.078,NVDA,Tech
2000-01,0.081,NVDA,Tech
2000-02,0.101,NVDA,Tech
2000-03,0.172,NVDA,Tech
2000-04,0.16,NVDA,Tech
2000-05,0.184,NVDA,Tech
2000-06,0.263,NVDA,Tech
2000-07,0.243,NVDA,Tech
2000-08,0.27,NVDA,Tech
2000-09,0.283,NVDA,Tech
2000-10,0.252,NVDA,Tech
2000-11,0.234,NVDA,Tech
2000-12,0.153,NVDA,Tech
2001-01,0.178,NVDA,Tech
2001-02,0.191,NVDA,Tech
2001-03,0.222,NVDA,Tech
2001-04,0.275,NVDA,Tech
2001-05,0.334,NVDA,Tech
2001-06,0.354,NVDA,Tech
2001-07,0.301,NVDA,Tech
2001-08,0.328,NVDA,Tech
2001-09,0.249,NVDA,Tech
2001-10,0.297,NVDA,Tech
2001-11,0.393,NVDA,Tech
2001-12,0.488,NVDA,Tech
2002-01,0.502,NVDA,Tech
2002-02,0.44,NVDA,Tech
2002-03,0.4,NVDA,Tech
2002-04,0.294,NVDA,Tech
2002-05,0.27,NVDA,Tech
2002-06,0.204,NVDA,Tech
2002-07,0.135,NVDA,Tech
2002-08,0.079,NVDA,Tech
2002-09,0.073,NVDA,Tech
2002-10,0.072,NVDA,Tech
2002-11,0.11,NVDA,Tech
2002-12,0.103,NVDA,Tech
2003-01,0.087,NVDA,Tech
2003-02,0.087,NVDA,Tech
2003-03,0.102,NVDA,Tech
2003-04,0.105,NVDA,Tech
2003-05,0.153,NVDA,Tech
2003-06,0.187,NVDA,Tech
2003-07,0.171,NVDA,Tech
2003-08,0.137,NVDA,Tech
2003-09,0.142,NVDA,Tech
2003-10,0.13,NVDA,Tech
2003-11,0.155,NVDA,Tech
2003-12,0.163,NVDA,Tech
2004-01,0.184,NVDA,Tech
2004-02,0.176,NVDA,Tech
2004-03,0.173,NVDA,Tech
2004-04,0.185,NVDA,Tech
2004-05,0.165,NVDA,Tech
2004-06,0.16,NVDA,Tech
2004-07,0.123,NVDA,Tech
2004-08,0.092,NVDA,Tech
2004-09,0.106,NVDA,Tech
2004-10,0.11,NVDA,Tech
2004-11,0.137,NVDA,Tech
2004-12,0.172,NVDA,Tech
2005-01,0.168,NVDA,Tech
2005-02,0.201,NVDA,Tech
2005-03,0.196,NVDA,Tech
2005-04,0.172,NVDA,Tech
2005-05,0.19,NVDA,Tech
2005-06,0.21,NVDA,Tech
2005-07,0.208,NVDA,Tech
2005-08,0.222,NVDA,Tech
2005-09,0.249,NVDA,Tech
2005-10,0.249,NVDA,Tech
2005-11,0.27,NVDA,Tech
2005-12,0.281,NVDA,Tech
2006-01,0.329,NVDA,Tech
2006-02,0.346,NVDA,Tech
2006-03,0.386,NVDA,Tech
2006-04,0.451,NVDA,Tech
2006-05,0.411,NVDA,Tech
2006-06,0.325,NVDA,Tech
2006-07,0.299,NVDA,Tech
2006-08,0.392,NVDA,Tech
2006-09,0.448,NVDA,Tech
2006-10,0.49,NVDA,Tech
2006-11,0.539,NVDA,Tech
2006-12,0.564,NVDA,Tech
2007-01,0.506,NVDA,Tech
2007-02,0.501,NVDA,Tech
2007-03,0.452,NVDA,Tech
2007-04,0.474,NVDA,Tech
2007-05,0.52,NVDA,Tech
2007-06,0.594,NVDA,Tech
2007-07,0.688,NVDA,Tech
2007-08,0.702,NVDA,Tech
2007-09,0.793,NVDA,Tech
2007-10,0.843,NVDA,Tech
2007-11,0.75,NVDA,Tech
2007-12,0.788,NVDA,Tech
2008-01,0.612,NVDA,Tech
2008-02,0.542,NVDA,Tech
2008-03,0.446,NVDA,Tech
2008-04,0.447,NVDA,Tech
2008-05,0.525,NVDA,Tech
2008-06,0.491,NVDA,Tech
2008-07,0.28,NVDA,Tech
2008-08,0.284,NVDA,Tech
2008-09,0.25,NVDA,Tech
2008-10,0.179,NVDA,Tech
2008-11,0.171,NVDA,Tech
2008-12,0.182,NVDA,Tech
2009-01,0.185,NVDA,Tech
2009-02,0.192,NVDA,Tech
2009-03,0.215,NVDA,Tech
2009-04,0.258,NVDA,Tech
2009-05,0.23,NVDA,Tech
2009-06,0.255,NVDA,Tech
2009-07,0.268,NVDA,Tech
2009-08,0.311,NVDA,Tech
2009-09,0.349,NVDA,Tech
2009-10,0.308,NVDA,Tech
2009-11,0.298,NVDA,Tech
2009-12,0.375,NVDA,Tech
2010-01,0.4,NVDA,Tech
2010-02,0.381,NVDA,Tech
2010-03,0.397,NVDA,Tech
2010-04,0.388,NVDA,Tech
2010-05,0.312,NVDA,Tech
2010-06,0.266,NVDA,Tech
2010-07,0.237,NVDA,Tech
2010-08,0.217,NVDA,Tech
2010-09,0.248,NVDA,Tech
2010-10,0.261,NVDA,Tech
2010-11,0.298,NVDA,Tech
2010-12,0.338,NVDA,Tech
2011-01,0.498,NVDA,Tech
2011-02,0.547,NVDA,Tech
2011-03,0.433,NVDA,Tech
2011-04,0.42,NVDA,Tech
2011-05,0.432,NVDA,Tech
2011-06,0.385,NVDA,Tech
2011-07,0.337,NVDA,Tech
2011-08,0.3,NVDA,Tech
2011-09,0.322,NVDA,Tech
2011-10,0.333,NVDA,Tech
2011-11,0.335,NVDA,Tech
2011-12,0.329,NVDA,Tech
2012-01,0.33,NVDA,Tech
2012-02,0.363,NVDA,Tech
2012-03,0.339,NVDA,Tech
2012-04,0.319,NVDA,Tech
2012-05,0.288,NVDA,Tech
2012-06,0.288,NVDA,Tech
2012-07,0.299,NVDA,Tech
2012-08,0.328,NVDA,Tech
2012-09,0.309,NVDA,Tech
2012-10,0.292,NVDA,Tech
2012-11,0.278,NVDA,Tech
2012-12,0.284,NVDA,Tech
2013-01,0.285,NVDA,Tech
2013-02,0.288,NVDA,Tech
2013-03,0.294,NVDA,Tech
2013-04,0.298,NVDA,Tech
2013-05,0.334,NVDA,Tech
2013-06,0.334,NVDA,Tech
2013-07,0.335,NVDA,Tech
2013-08,0.346,NVDA,Tech
2013-09,0.364,NVDA,Tech
2013-10,0.363,NVDA,Tech
2013-11,0.363,NVDA,Tech
2013-12,0.367,NVDA,Tech
2014-01,0.373,NVDA,Tech
2014-02,0.409,NVDA,Tech
2014-03,0.432,NVDA,Tech
2014-04,0.441,NVDA,Tech
2014-05,0.438,NVDA,Tech
2014-06,0.452,NVDA,Tech
2014-07,0.442,NVDA,Tech
2014-08,0.448,NVDA,Tech
2014-09,0.459,NVDA,Tech
2014-10,0.431,NVDA,Tech
2014-11,0.482,NVDA,Tech
2014-12,0.49,NVDA,Tech
2015-01,0.476,NVDA,Tech
2015-02,0.515,NVDA,Tech
2015-03,0.54,NVDA,Tech
2015-04,0.533,NVDA,Tech
2015-05,0.519,NVDA,Tech
2015-06,0.52,NVDA,Tech
2015-07,0.48,NVDA,Tech
2015-08,0.539,NVDA,Tech
2015-09,0.557,NVDA,Tech
2015-10,0.658,NVDA,Tech
2015-11,0.74,NVDA,Tech
2015-12,0.804,NVDA,Tech
2016-01,0.713,NVDA,Tech
2016-02,0.698,NVDA,Tech
2016-03,0.816,NVDA,Tech
2016-04,0.888,NVDA,Tech
2016-05,0.991,NVDA,Tech
2016-06,1.149,NVDA,Tech
2016-07,1.295,NVDA,Tech
2016-08,1.485,NVDA,Tech
2016-09,1.564,NVDA,Tech
2016-10,1.677,NVDA,Tech
2016-11,2.042,NVDA,Tech
2016-12,2.455,NVDA,Tech
2017-01,2.6,NVDA,Tech
2017-02,2.723,NVDA,Tech
2017-03,2.562,NVDA,Tech
2017-04,2.495,NVDA,Tech
2017-05,3.09,NVDA,Tech
2017-06,3.734,NVDA,Tech
2017-07,3.937,NVDA,Tech
2017-08,4.084,NVDA,Tech
2017-09,4.306,NVDA,Tech
2017-10,4.76,NVDA,Tech
2017-11,5.2,NVDA,Tech
2017-12,4.776,NVDA,Tech
2018-01,5.627,NVDA,Tech
2018-02,5.855,NVDA,Tech
2018-03,5.96,NVDA,Tech
2018-04,5.592,NVDA,Tech
2018-05,6.099,NVDA,Tech
2018-06,6.351,NVDA,Tech
2018-07,6.158,NVDA,Tech
2018-08,6.459,NVDA,Tech
2018-09,6.737,NVDA,Tech
2018-10,5.947,NVDA,Tech
2018-11,4.49,NVDA,Tech
2018-12,3.563,NVDA,Tech
2019-01,3.596,NVDA,Tech
2019-02,3.799,NVDA,Tech
2019-03,4.154,NVDA,Tech
2019-04,4.646,NVDA,Tech
2019-05,3.972,NVDA,Tech
2019-06,3.72,NVDA,Tech
2019-07,4.175,NVDA,Tech
2019-08,3.987,NVDA,Tech
2019-09,4.41,NVDA,Tech
2019-10,4.744,NVDA,Tech
2019-11,5.24,NVDA,Tech
2019-12,5.593,NVDA,Tech
2020-01,6.095,NVDA,Tech
2020-02,6.746,NVDA,Tech
2020-03,6.068,NVDA,Tech
2020-04,6.9,NVDA,Tech
2020-05,8.155,NVDA,Tech
2020-06,9.087,NVDA,Tech
2020-07,10.195,NVDA,Tech
2020-08,11.938,NVDA,Tech
2020-09,12.738,NVDA,Tech
2020-10,13.522,NVDA,Tech
2020-11,13.342,NVDA,Tech
2020-12,13.192,NVDA,Tech
2021-01,13.255,NVDA,Tech
2021-02,14.242,NVDA,Tech
2021-03,12.848,NVDA,Tech
2021-04,14.978,NVDA,Tech
2021-05,14.657,NVDA,Tech
2021-06,18.183,NVDA,Tech
2021-07,19.609,NVDA,Tech
2021-08,20.673,NVDA,Tech
2021-09,21.899,NVDA,Tech
2021-10,22.073,NVDA,Tech
2021-11,30.336,NVDA,Tech
2021-12,29.883,NVDA,Tech
2022-01,25.729,NVDA,Tech
2022-02,24.59,NVDA,Tech
2022-03,24.816,NVDA,Tech
2022-04,21.929,NVDA,Tech
2022-05,17.765,NVDA,Tech
2022-06,16.994,NVDA,Tech
2022-07,16.311,NVDA,Tech
2022-08,17.741,NVDA,Tech
2022-09,13.162,NVDA,Tech
2022-10,12.458,NVDA,Tech
2022-11,15.3,NVDA,Tech
2022-12,16.202,NVDA,Tech
2023-01,17.262,NVDA,Tech
2023-02,22.028,NVDA,Tech
2023-03,25.095,NVDA,Tech
2023-04,27.136,NVDA,Tech
2023-05,31.042,NVDA,Tech
2023-06,40.905,NVDA,Tech
2023-07,44.745,NVDA,Tech
2023-08,45.237,NVDA,Tech
2023-09,44.31,NVDA,Tech
2023-10,43.622,NVDA,Tech
2023-11,47.517,NVDA,Tech
2023-12,48.06,NVDA,Tech
2024-01,56.247,NVDA,Tech
2024-02,72.535,NVDA,Tech
2024-03,89.427,NVDA,Tech
2024-04,85.69,NVDA,Tech
2024-05,96.204,NVDA,Tech
2024-06,124.575,NVDA,Tech
2024-07,121.902,NVDA,Tech
2024-08,117.112,NVDA,Tech
2024-09,115.052,NVDA,Tech
2024-10,133.004,NVDA,Tech
