date,average,ticker,industry
1986-03,0.051,ORCL,Tech
1986-04,0.058,ORCL,Tech
1986-05,0.063,ORCL,Tech
1986-06,0.061,ORCL,Tech
1986-07,0.051,ORCL,Tech
1986-08,0.038,ORCL,Tech
1986-09,0.038,ORCL,Tech
1986-10,0.043,ORCL,Tech
1986-11,0.05,ORCL,Tech
1986-12,0.05,ORCL,Tech
1987-01,0.065,ORCL,Tech
1987-02,0.084,ORCL,Tech
1987-03,0.102,ORCL,Tech
1987-04,0.119,ORCL,Tech
1987-05,0.126,ORCL,Tech
1987-06,0.121,ORCL,Tech
1987-07,0.109,ORCL,Tech
1987-08,0.125,ORCL,Tech
1987-09,0.14,ORCL,Tech
1987-10,0.142,ORCL,Tech
1987-11,0.111,ORCL,Tech
1987-12,0.133,ORCL,Tech
1988-01,0.135,ORCL,Tech
1988-02,0.141,ORCL,Tech
1988-03,0.16,ORCL,Tech
1988-04,0.159,ORCL,Tech
1988-05,0.163,ORCL,Tech
1988-06,0.186,ORCL,Tech
1988-07,0.198,ORCL,Tech
1988-08,0.186,ORCL,Tech
1988-09,0.193,ORCL,Tech
1988-10,0.177,ORCL,Tech
1988-11,0.165,ORCL,Tech
1988-12,0.187,ORCL,Tech
1989-01,0.215,ORCL,Tech
1989-02,0.234,ORCL,Tech
1989-03,0.238,ORCL,Tech
1989-04,0.265,ORCL,Tech
1989-05,0.286,ORCL,Tech
1989-06,0.313,ORCL,Tech
1989-07,0.322,ORCL,Tech
1989-08,0.353,ORCL,Tech
1989-09,0.411,ORCL,Tech
1989-10,0.491,ORCL,Tech
1989-11,0.471,ORCL,Tech
1989-12,0.459,ORCL,Tech
1990-01,0.41,ORCL,Tech
1990-02,0.442,ORCL,Tech
1990-03,0.483,ORCL,Tech
1990-04,0.333,ORCL,Tech
1990-05,0.366,ORCL,Tech
1990-06,0.435,ORCL,Tech
1990-07,0.384,ORCL,Tech
1990-08,0.287,ORCL,Tech
1990-09,0.157,ORCL,Tech
1990-10,0.12,ORCL,Tech
1990-11,0.124,ORCL,Tech
1990-12,0.157,ORCL,Tech
1991-01,0.138,ORCL,Tech
1991-02,0.187,ORCL,Tech
1991-03,0.18,ORCL,Tech
1991-04,0.208,ORCL,Tech
1991-05,0.17,ORCL,Tech
1991-06,0.177,ORCL,Tech
1991-07,0.176,ORCL,Tech
1991-08,0.2,ORCL,Tech
1991-09,0.227,ORCL,Tech
1991-10,0.291,ORCL,Tech
1991-11,0.3,ORCL,Tech
1991-12,0.262,ORCL,Tech
1992-01,0.356,ORCL,Tech
1992-02,0.403,ORCL,Tech
1992-03,0.338,ORCL,Tech
1992-04,0.27,ORCL,Tech
1992-05,0.303,ORCL,Tech
1992-06,0.31,ORCL,Tech
1992-07,0.36,ORCL,Tech
1992-08,0.352,ORCL,Tech
1992-09,0.391,ORCL,Tech
1992-10,0.418,ORCL,Tech
1992-11,0.448,ORCL,Tech
1992-12,0.47,ORCL,Tech
1993-01,0.617,ORCL,Tech
1993-02,0.622,ORCL,Tech
1993-03,0.697,ORCL,Tech
1993-04,0.691,ORCL,Tech
1993-05,0.809,ORCL,Tech
1993-06,0.882,ORCL,Tech
1993-07,0.991,ORCL,Tech
1993-08,1.05,ORCL,Tech
1993-09,1.093,ORCL,Tech
1993-10,1.215,ORCL,Tech
1993-11,1.235,ORCL,Tech
1993-12,1.337,ORCL,Tech
1994-01,1.309,ORCL,Tech
1994-02,1.313,ORCL,Tech
1994-03,1.355,ORCL,Tech
1994-04,1.23,ORCL,Tech
1994-05,1.261,ORCL,Tech
1994-06,1.462,ORCL,Tech
1994-07,1.513,ORCL,Tech
1994-08,1.585,ORCL,Tech
1994-09,1.727,ORCL,Tech
1994-10,1.767,ORCL,Tech
1994-11,1.716,ORCL,Tech
1994-12,1.641,ORCL,Tech
1995-01,1.721,ORCL,Tech
1995-02,1.798,ORCL,Tech
1995-03,1.953,ORCL,Tech
1995-04,1.843,ORCL,Tech
1995-05,1.987,ORCL,Tech
1995-06,2.244,ORCL,Tech
