date,average,ticker,industry
1972-06,0.164,PFE,Health
1972-07,0.172,PFE,Health
1972-08,0.173,PFE,Health
1972-09,0.164,PFE,Health
1972-10,0.16,PFE,Health
1972-11,0.17,PFE,Health
1972-12,0.173,PFE,Health
1973-01,0.171,PFE,Health
1973-02,0.167,PFE,Health
1973-03,0.168,PFE,Health
1973-04,0.16,PFE,Health
1973-05,0.162,PFE,Health
1973-06,0.175,PFE,Health
1973-07,0.193,PFE,Health
1973-08,0.186,PFE,Health
1973-09,0.178,PFE,Health
1973-10,0.188,PFE,Health
1973-11,0.18,PFE,Health
1973-12,0.166,PFE,Health
1974-01,0.158,PFE,Health
1974-02,0.151,PFE,Health
1974-03,0.158,PFE,Health
1974-04,0.148,PFE,Health
1974-05,0.138,PFE,Health
1974-06,0.153,PFE,Health
1974-07,0.137,PFE,Health
1974-08,0.109,PFE,Health
1974-09,0.101,PFE,Health
1974-10,0.109,PFE,Health
1974-11,0.129,PFE,Health
1974-12,0.125,PFE,Health
1975-01,0.118,PFE,Health
1975-02,0.133,PFE,Health
1975-03,0.144,PFE,Health
1975-04,0.134,PFE,Health
1975-05,0.141,PFE,Health
1975-06,0.135,PFE,Health
1975-07,0.124,PFE,Health
1975-08,0.109,PFE,Health
1975-09,0.106,PFE,Health
1975-10,0.116,PFE,Health
1975-11,0.123,PFE,Health
1975-12,0.112,PFE,Health
1976-01,0.12,PFE,Health
1976-02,0.121,PFE,Health
1976-03,0.119,PFE,Health
1976-04,0.121,PFE,Health
1976-05,0.121,PFE,Health
1976-06,0.118,PFE,Health
1976-07,0.124,PFE,Health
1976-08,0.12,PFE,Health
1976-09,0.126,PFE,Health
1976-10,0.126,PFE,Health
1976-11,0.118,PFE,Health
1976-12,0.12,PFE,Health
1977-01,0.12,PFE,Health
1977-02,0.118,PFE,Health
1977-03,0.125,PFE,Health
1977-04,0.12,PFE,Health
1977-05,0.114,PFE,Health
1977-06,0.118,PFE,Health
1977-07,0.119,PFE,Health
1977-08,0.117,PFE,Health
1977-09,0.118,PFE,Health
1977-10,0.115,PFE,Health
1977-11,0.118,PFE,Health
1977-12,0.121,PFE,Health
1978-01,0.123,PFE,Health
1978-02,0.123,PFE,Health
1978-03,0.123,PFE,Health
1978-04,0.13,PFE,Health
1978-05,0.147,PFE,Health
1978-06,0.153,PFE,Health
1978-07,0.156,PFE,Health
1978-08,0.166,PFE,Health
1978-09,0.167,PFE,Health
1978-10,0.159,PFE,Health
1978-11,0.152,PFE,Health
1978-12,0.158,PFE,Health
1979-01,0.158,PFE,Health
1979-02,0.145,PFE,Health
1979-03,0.15,PFE,Health
1979-04,0.15,PFE,Health
1979-05,0.142,PFE,Health
1979-06,0.149,PFE,Health
1979-07,0.148,PFE,Health
1979-08,0.165,PFE,Health
1979-09,0.165,PFE,Health
1979-10,0.167,PFE,Health
1979-11,0.185,PFE,Health
1979-12,0.196,PFE,Health
1980-01,0.188,PFE,Health
1980-02,0.18,PFE,Health
1980-03,0.17,PFE,Health
1980-04,0.189,PFE,Health
1980-05,0.198,PFE,Health
1980-06,0.209,PFE,Health
1980-07,0.204,PFE,Health
1980-08,0.21,PFE,Health
1980-09,0.226,PFE,Health
1980-10,0.229,PFE,Health
1980-11,0.236,PFE,Health
1980-12,0.244,PFE,Health
1981-01,0.259,PFE,Health
1981-02,0.25,PFE,Health
1981-03,0.267,PFE,Health
1981-04,0.268,PFE,Health
1981-05,0.261,PFE,Health
1981-06,0.262,PFE,Health
1981-07,0.244,PFE,Health
1981-08,0.243,PFE,Health
1981-09,0.222,PFE,Health
1981-10,0.233,PFE,Health
1981-11,0.254,PFE,Health
1981-12,0.272,PFE,Health
1982-01,0.277,PFE,Health
1982-02,0.293,PFE,Health
1982-03,0.275,PFE,Health
1982-04,0.295,PFE,Health
1982-05,0.292,PFE,Health
1982-06,0.288,PFE,Health
1982-07,0.302,PFE,Health
1982-08,0.312,PFE,Health
1982-09,0.356,PFE,Health
1982-10,0.399,PFE,Health
1982-11,0.385,PFE,Health
1982-12,0.384,PFE,Health
1983-01,0.379,PFE,Health
1983-02,0.381,PFE,Health
1983-03,0.407,PFE,Health
1983-04,0.437,PFE,Health
1983-05,0.443,PFE,Health
1983-06,0.439,PFE,Health
1983-07,0.455,PFE,Health
1983-08,0.412,PFE,Health
1983-09,0.428,PFE,Health
1983-10,0.457,PFE,Health
1983-11,0.43,PFE,Health
1983-12,0.399,PFE,Health
1984-01,0.408,PFE,Health
1984-02,0.413,PFE,Health
1984-03,0.412,PFE,Health
1984-04,0.378,PFE,Health
1984-05,0.369,PFE,Health
1984-06,0.373,PFE,Health
1984-07,0.357,PFE,Health
1984-08,0.408,PFE,Health
1984-09,0.411,PFE,Health
1984-10,0.41,PFE,Health
1984-11,0.453,PFE,Health
1984-12,0.466,PFE,Health
1985-01,0.465,PFE,Health
1985-02,0.462,PFE,Health
1985-03,0.481,PFE,Health
1985-04,0.508,PFE,Health
1985-05,0.554,PFE,Health
1985-06,0.573,PFE,Health
1985-07,0.59,PFE,Health
1985-08,0.573,PFE,Health
1985-09,0.551,PFE,Health
1985-10,0.54,PFE,Health
1985-11,0.592,PFE,Health
1985-12,0.624,PFE,Health
1986-01,0.587,PFE,Health
1986-02,0.615,PFE,Health
1986-03,0.684,PFE,Health
1986-04,0.726,PFE,Health
1986-05,0.729,PFE,Health
1986-06,0.804,PFE,Health
1986-07,0.816,PFE,Health
1986-08,0.832,PFE,Health
1986-09,0.739,PFE,Health
1986-10,0.715,PFE,Health
1986-11,0.743,PFE,Health
1986-12,0.758,PFE,Health
1987-01,0.806,PFE,Health
1987-02,0.879,PFE,Health
1987-03,0.908,PFE,Health
1987-04,0.865,PFE,Health
1987-05,0.819,PFE,Health
1987-06,0.871,PFE,Health
1987-07,0.897,PFE,Health
1987-08,0.92,PFE,Health
1987-09,0.865,PFE,Health
1987-10,0.737,PFE,Health
1987-11,0.644,PFE,Health
1987-12,0.579,PFE,Health
1988-01,0.65,PFE,Health
1988-02,0.668,PFE,Health
1988-03,0.7,PFE,Health
1988-04,0.722,PFE,Health
1988-05,0.659,PFE,Health
1988-06,0.671,PFE,Health
1988-07,0.656,PFE,Health
1988-08,0.663,PFE,Health
1988-09,0.694,PFE,Health
1988-10,0.732,PFE,Health
1988-11,0.729,PFE,Health
1988-12,0.759,PFE,Health
1989-01,0.755,PFE,Health
1989-02,0.75,PFE,Health
1989-03,0.74,PFE,Health
1989-04,0.795,PFE,Health
1989-05,0.825,PFE,Health
1989-06,0.789,PFE,Health
1989-07,0.801,PFE,Health
1989-08,0.89,PFE,Health
1989-09,0.919,PFE,Health
1989-10,0.914,PFE,Health
1989-11,0.957,PFE,Health
1989-12,0.942,PFE,Health
1990-01,0.946,PFE,Health
1990-02,0.889,PFE,Health
1990-03,0.822,PFE,Health
1990-04,0.794,PFE,Health
1990-05,0.83,PFE,Health
1990-06,0.891,PFE,Health
1990-07,0.969,PFE,Health
1990-08,0.982,PFE,Health
1990-09,0.99,PFE,Health
1990-10,1.04,PFE,Health
1990-11,1.082,PFE,Health
1990-12,1.131,PFE,Health
1991-01,1.136,PFE,Health
1991-02,1.402,PFE,Health
1991-03,1.489,PFE,Health
1991-04,1.59,PFE,Health
1991-05,1.63,PFE,Health
1991-06,1.615,PFE,Health
1991-07,1.668,PFE,Health
1991-08,1.848,PFE,Health
1991-09,1.862,PFE,Health
1991-10,1.925,PFE,Health
1991-11,1.974,PFE,Health
1991-12,2.131,PFE,Health
1992-01,2.268,PFE,Health
1992-02,2.107,PFE,Health
1992-03,2.065,PFE,Health
1992-04,2.026,PFE,Health
1992-05,2.089,PFE,Health
1992-06,2.056,PFE,Health
1992-07,2.225,PFE,Health
1992-08,2.347,PFE,Health
1992-09,2.292,PFE,Health
1992-10,2.146,PFE,Health
1992-11,2.249,PFE,Health
1992-12,2.259,PFE,Health
1993-01,1.95,PFE,Health
1993-02,1.79,PFE,Health
1993-03,1.778,PFE,Health
1993-04,1.849,PFE,Health
1993-05,2.094,PFE,Health
1993-06,2.103,PFE,Health
1993-07,1.896,PFE,Health
1993-08,1.822,PFE,Health
