date,average,ticker,industry
1997-11,7.85,PLD,Real Estate
1997-12,8.108,PLD,Real Estate
1998-01,8.444,PLD,Real Estate
1998-02,8.367,PLD,Real Estate
1998-03,8.331,PLD,Real Estate
1998-04,8.143,PLD,Real Estate
1998-05,8.318,PLD,Real Estate
1998-06,8.254,PLD,Real Estate
1998-07,8.58,PLD,Real Estate
1998-08,8.515,PLD,Real Estate
1998-09,8.441,PLD,Real Estate
1998-10,8.557,PLD,Real Estate
1998-11,8.159,PLD,Real Estate
1998-12,7.779,PLD,Real Estate
1999-01,8.182,PLD,Real Estate
1999-02,7.796,PLD,Real Estate
1999-03,7.689,PLD,Real Estate
1999-04,7.966,PLD,Real Estate
1999-05,8.312,PLD,Real Estate
1999-06,8.484,PLD,Real Estate
1999-07,8.579,PLD,Real Estate
1999-08,8.243,PLD,Real Estate
1999-09,7.869,PLD,Real Estate
1999-10,7.817,PLD,Real Estate
1999-11,7.841,PLD,Real Estate
1999-12,7.511,PLD,Real Estate
2000-01,7.868,PLD,Real Estate
2000-02,8.0,PLD,Real Estate
2000-03,8.12,PLD,Real Estate
2000-04,8.634,PLD,Real Estate
2000-05,9.028,PLD,Real Estate
2000-06,9.181,PLD,Real Estate
2000-07,9.597,PLD,Real Estate
2000-08,9.775,PLD,Real Estate
2000-09,9.934,PLD,Real Estate
2000-10,9.69,PLD,Real Estate
2000-11,9.659,PLD,Real Estate
2000-12,10.421,PLD,Real Estate
2001-01,10.272,PLD,Real Estate
2001-02,10.087,PLD,Real Estate
2001-03,10.229,PLD,Real Estate
2001-04,10.095,PLD,Real Estate
2001-05,10.379,PLD,Real Estate
2001-06,10.603,PLD,Real Estate
2001-07,10.962,PLD,Real Estate
2001-08,11.228,PLD,Real Estate
2001-09,10.467,PLD,Real Estate
2001-10,10.423,PLD,Real Estate
2001-11,10.954,PLD,Real Estate
2001-12,11.442,PLD,Real Estate
2002-01,11.526,PLD,Real Estate
2002-02,11.549,PLD,Real Estate
2002-03,12.107,PLD,Real Estate
2002-04,12.681,PLD,Real Estate
2002-05,12.82,PLD,Real Estate
2002-06,13.445,PLD,Real Estate
2002-07,12.929,PLD,Real Estate
2002-08,13.388,PLD,Real Estate
2002-09,13.301,PLD,Real Estate
2002-10,12.451,PLD,Real Estate
2002-11,12.549,PLD,Real Estate
2002-12,12.913,PLD,Real Estate
2003-01,12.684,PLD,Real Estate
2003-02,12.913,PLD,Real Estate
2003-03,13.203,PLD,Real Estate
2003-04,13.275,PLD,Real Estate
2003-05,13.222,PLD,Real Estate
2003-06,13.546,PLD,Real Estate
2003-07,13.437,PLD,Real Estate
2003-08,13.564,PLD,Real Estate
2003-09,14.432,PLD,Real Estate
2003-10,15.112,PLD,Real Estate
2003-11,15.303,PLD,Real Estate
2003-12,16.065,PLD,Real Estate
2004-01,16.883,PLD,Real Estate
2004-02,17.586,PLD,Real Estate
2004-03,18.022,PLD,Real Estate
2004-04,16.424,PLD,Real Estate
2004-05,15.444,PLD,Real Estate
2004-06,17.22,PLD,Real Estate
2004-07,17.825,PLD,Real Estate
2004-08,18.197,PLD,Real Estate
2004-09,18.774,PLD,Real Estate
2004-10,19.035,PLD,Real Estate
2004-11,20.052,PLD,Real Estate
2004-12,20.913,PLD,Real Estate
2005-01,20.13,PLD,Real Estate
2005-02,20.14,PLD,Real Estate
2005-03,19.963,PLD,Real Estate
2005-04,19.902,PLD,Real Estate
2005-05,21.084,PLD,Real Estate
2005-06,22.528,PLD,Real Estate
2005-07,23.972,PLD,Real Estate
2005-08,23.23,PLD,Real Estate
2005-09,23.784,PLD,Real Estate
2005-10,23.178,PLD,Real Estate
2005-11,23.951,PLD,Real Estate
2005-12,26.383,PLD,Real Estate
2006-01,27.343,PLD,Real Estate
2006-02,28.194,PLD,Real Estate
2006-03,29.417,PLD,Real Estate
2006-04,27.825,PLD,Real Estate
2006-05,27.062,PLD,Real Estate
2006-06,27.012,PLD,Real Estate
2006-07,28.48,PLD,Real Estate
2006-08,29.69,PLD,Real Estate
2006-09,31.017,PLD,Real Estate
2006-10,31.573,PLD,Real Estate
2006-11,32.924,PLD,Real Estate
2006-12,33.724,PLD,Real Estate
2007-01,33.208,PLD,Real Estate
2007-02,35.28,PLD,Real Estate
2007-03,32.614,PLD,Real Estate
2007-04,34.403,PLD,Real Estate
2007-05,32.996,PLD,Real Estate
2007-06,31.424,PLD,Real Estate
2007-07,31.493,PLD,Real Estate
2007-08,29.946,PLD,Real Estate
2007-09,32.301,PLD,Real Estate
2007-10,36.799,PLD,Real Estate
2007-11,34.784,PLD,Real Estate
2007-12,33.841,PLD,Real Estate
2008-01,30.053,PLD,Real Estate
2008-02,29.314,PLD,Real Estate
2008-03,29.894,PLD,Real Estate
2008-04,33.061,PLD,Real Estate
2008-05,34.223,PLD,Real Estate
2008-06,31.933,PLD,Real Estate
