date,average,ticker,industry
2008-03,22.963,PM,Consumer Staples
2008-04,22.952,PM,Consumer Staples
2008-05,23.764,PM,Consumer Staples
2008-06,23.145,PM,Consumer Staples
2008-07,24.066,PM,Consumer Staples
2008-08,25.202,PM,Consumer Staples
2008-09,24.091,PM,Consumer Staples
2008-10,20.147,PM,Consumer Staples
2008-11,18.864,PM,Consumer Staples
2008-12,19.555,PM,Consumer Staples
2009-01,19.556,PM,Consumer Staples
2009-02,16.895,PM,Consumer Staples
2009-03,16.995,PM,Consumer Staples
2009-04,17.663,PM,Consumer Staples
2009-05,19.721,PM,Consumer Staples
2009-06,20.682,PM,Consumer Staples
2009-07,21.508,PM,Consumer Staples
2009-08,22.507,PM,Consumer Staples
2009-09,23.037,PM,Consumer Staples
2009-10,24.313,PM,Consumer Staples
2009-11,24.243,PM,Consumer Staples
2009-12,24.152,PM,Consumer Staples
2010-01,23.968,PM,Consumer Staples
2010-02,23.881,PM,Consumer Staples
2010-03,25.472,PM,Consumer Staples
2010-04,25.713,PM,Consumer Staples
2010-05,23.193,PM,Consumer Staples
2010-06,22.722,PM,Consumer Staples
2010-07,25.098,PM,Consumer Staples
2010-08,26.335,PM,Consumer Staples
2010-09,27.958,PM,Consumer Staples
2010-10,29.475,PM,Consumer Staples
2010-11,30.334,PM,Consumer Staples
2010-12,30.301,PM,Consumer Staples
2011-01,29.577,PM,Consumer Staples
2011-02,31.156,PM,Consumer Staples
2011-03,33.147,PM,Consumer Staples
2011-04,34.869,PM,Consumer Staples
2011-05,36.278,PM,Consumer Staples
2011-06,35.573,PM,Consumer Staples
2011-07,36.558,PM,Consumer Staples
2011-08,36.256,PM,Consumer Staples
2011-09,35.269,PM,Consumer Staples
2011-10,35.912,PM,Consumer Staples
2011-11,38.294,PM,Consumer Staples
2011-12,41.125,PM,Consumer Staples
2012-01,41.117,PM,Consumer Staples
2012-02,43.497,PM,Consumer Staples
2012-03,46.491,PM,Consumer Staples
2012-04,47.974,PM,Consumer Staples
2012-05,47.01,PM,Consumer Staples
2012-06,46.569,PM,Consumer Staples
2012-07,49.291,PM,Consumer Staples
2012-08,50.288,PM,Consumer Staples
2012-09,49.655,PM,Consumer Staples
2012-10,50.301,PM,Consumer Staples
2012-11,48.382,PM,Consumer Staples
2012-12,48.141,PM,Consumer Staples
2013-01,49.012,PM,Consumer Staples
2013-02,50.311,PM,Consumer Staples
2013-03,50.939,PM,Consumer Staples
2013-04,52.903,PM,Consumer Staples
2013-05,52.815,PM,Consumer Staples
2013-06,50.686,PM,Consumer Staples
2013-07,50.375,PM,Consumer Staples
2013-08,49.019,PM,Consumer Staples
2013-09,49.372,PM,Consumer Staples
2013-10,50.002,PM,Consumer Staples
2013-11,51.019,PM,Consumer Staples
2013-12,49.244,PM,Consumer Staples
2014-01,47.92,PM,Consumer Staples
2014-02,45.796,PM,Consumer Staples
2014-03,46.695,PM,Consumer Staples
2014-04,49.03,PM,Consumer Staples
2014-05,50.512,PM,Consumer Staples
2014-06,51.938,PM,Consumer Staples
2014-07,50.333,PM,Consumer Staples
2014-08,49.897,PM,Consumer Staples
2014-09,50.166,PM,Consumer Staples
2014-10,51.467,PM,Consumer Staples
2014-11,52.441,PM,Consumer Staples
2014-12,50.785,PM,Consumer Staples
2015-01,49.962,PM,Consumer Staples
2015-02,50.036,PM,Consumer Staples
2015-03,47.999,PM,Consumer Staples
2015-04,49.605,PM,Consumer Staples
2015-05,51.9,PM,Consumer Staples
2015-06,50.306,PM,Consumer Staples
2015-07,52.104,PM,Consumer Staples
2015-08,51.699,PM,Consumer Staples
2015-09,49.708,PM,Consumer Staples
2015-10,54.134,PM,Consumer Staples
2015-11,54.259,PM,Consumer Staples
2015-12,55.753,PM,Consumer Staples
2016-01,55.808,PM,Consumer Staples
2016-02,57.634,PM,Consumer Staples
2016-03,61.568,PM,Consumer Staples
2016-04,63.878,PM,Consumer Staples
2016-05,64.136,PM,Consumer Staples
2016-06,64.794,PM,Consumer Staples
2016-07,65.809,PM,Consumer Staples
2016-08,64.722,PM,Consumer Staples
2016-09,65.094,PM,Consumer Staples
2016-10,63.152,PM,Consumer Staples
2016-11,60.09,PM,Consumer Staples
2016-12,59.644,PM,Consumer Staples
2017-01,61.923,PM,Consumer Staples
2017-02,68.611,PM,Consumer Staples
2017-03,74.555,PM,Consumer Staples
2017-04,75.538,PM,Consumer Staples
2017-05,76.525,PM,Consumer Staples
2017-06,80.896,PM,Consumer Staples
2017-07,80.129,PM,Consumer Staples
2017-08,78.162,PM,Consumer Staples
2017-09,78.083,PM,Consumer Staples
2017-10,75.424,PM,Consumer Staples
2017-11,70.238,PM,Consumer Staples
2017-12,72.724,PM,Consumer Staples
2018-01,73.414,PM,Consumer Staples
2018-02,70.881,PM,Consumer Staples
2018-03,71.345,PM,Consumer Staples
2018-04,65.634,PM,Consumer Staples
2018-05,56.349,PM,Consumer Staples
2018-06,55.888,PM,Consumer Staples
2018-07,58.719,PM,Consumer Staples
2018-08,58.581,PM,Consumer Staples
2018-09,56.784,PM,Consumer Staples
