date,average,ticker,industry
1980-11,2.347,PSA,Real Estate
1980-12,2.06,PSA,Real Estate
1981-01,2.213,PSA,Real Estate
1981-02,2.216,PSA,Real Estate
1981-03,2.116,PSA,Real Estate
1981-04,2.231,PSA,Real Estate
1981-05,1.919,PSA,Real Estate
1981-06,1.876,PSA,Real Estate
1981-07,1.835,PSA,Real Estate
1981-08,1.93,PSA,Real Estate
1981-09,1.83,PSA,Real Estate
1981-10,2.003,PSA,Real Estate
1981-11,1.946,PSA,Real Estate
1981-12,1.952,PSA,Real Estate
1982-01,1.994,PSA,Real Estate
1982-02,1.97,PSA,Real Estate
1982-03,1.943,PSA,Real Estate
1982-04,2.077,PSA,Real Estate
1982-05,2.073,PSA,Real Estate
1982-06,2.088,PSA,Real Estate
1982-07,2.124,PSA,Real Estate
1982-08,2.113,PSA,Real Estate
1982-09,2.363,PSA,Real Estate
1982-10,2.44,PSA,Real Estate
1982-11,2.371,PSA,Real Estate
1982-12,2.459,PSA,Real Estate
1983-01,2.689,PSA,Real Estate
1983-02,2.677,PSA,Real Estate
1983-03,2.595,PSA,Real Estate
1983-04,2.678,PSA,Real Estate
1983-05,2.963,PSA,Real Estate
1983-06,3.109,PSA,Real Estate
1983-07,2.826,PSA,Real Estate
1983-08,2.653,PSA,Real Estate
1983-09,2.707,PSA,Real Estate
1983-10,2.834,PSA,Real Estate
1983-11,2.799,PSA,Real Estate
1983-12,2.778,PSA,Real Estate
1984-01,2.831,PSA,Real Estate
1984-02,2.742,PSA,Real Estate
1984-03,2.829,PSA,Real Estate
1984-04,2.835,PSA,Real Estate
1984-05,2.687,PSA,Real Estate
1984-06,2.6,PSA,Real Estate
1984-07,2.622,PSA,Real Estate
1984-08,2.796,PSA,Real Estate
1984-09,2.807,PSA,Real Estate
1984-10,2.849,PSA,Real Estate
1984-11,2.895,PSA,Real Estate
1984-12,2.889,PSA,Real Estate
1985-01,2.983,PSA,Real Estate
1985-02,3.133,PSA,Real Estate
1985-03,3.424,PSA,Real Estate
1985-04,3.5,PSA,Real Estate
1985-05,3.319,PSA,Real Estate
1985-06,3.459,PSA,Real Estate
1985-07,3.45,PSA,Real Estate
1985-08,3.27,PSA,Real Estate
1985-09,3.275,PSA,Real Estate
1985-10,3.25,PSA,Real Estate
1985-11,3.209,PSA,Real Estate
1985-12,3.017,PSA,Real Estate
1986-01,3.085,PSA,Real Estate
1986-02,3.011,PSA,Real Estate
1986-03,3.093,PSA,Real Estate
1986-04,3.309,PSA,Real Estate
1986-05,2.888,PSA,Real Estate
1986-06,2.43,PSA,Real Estate
1986-07,2.533,PSA,Real Estate
1986-08,2.592,PSA,Real Estate
1986-09,2.712,PSA,Real Estate
1986-10,2.725,PSA,Real Estate
1986-11,2.69,PSA,Real Estate
1986-12,2.589,PSA,Real Estate
1987-01,2.545,PSA,Real Estate
1987-02,2.55,PSA,Real Estate
1987-03,2.535,PSA,Real Estate
1987-04,2.476,PSA,Real Estate
1987-05,2.41,PSA,Real Estate
1987-06,2.344,PSA,Real Estate
1987-07,2.348,PSA,Real Estate
1987-08,2.379,PSA,Real Estate
1987-09,2.233,PSA,Real Estate
1987-10,1.962,PSA,Real Estate
1987-11,1.919,PSA,Real Estate
1987-12,1.796,PSA,Real Estate
1988-01,2.048,PSA,Real Estate
1988-02,2.122,PSA,Real Estate
1988-03,2.029,PSA,Real Estate
1988-04,1.974,PSA,Real Estate
1988-05,1.97,PSA,Real Estate
1988-06,1.949,PSA,Real Estate
1988-07,2.02,PSA,Real Estate
1988-08,2.09,PSA,Real Estate
1988-09,2.119,PSA,Real Estate
1988-10,2.033,PSA,Real Estate
1988-11,2.017,PSA,Real Estate
1988-12,2.046,PSA,Real Estate
1989-01,2.143,PSA,Real Estate
1989-02,2.269,PSA,Real Estate
1989-03,2.421,PSA,Real Estate
1989-04,2.45,PSA,Real Estate
